# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.11
metadata : {}


# id : NWRW1800000054.11.1.1
'터미네이터' 슈워제네거 "트럼프 얼굴 박살내고파"

'터미네이터'	'/SS+터미네이터/NNP+'/SS
낼	내/VV+ㄹ/ETM
걸	거/NNB+ㄹ/JKO
그랬다'고	그러/VV+었/EP+다/EF+'/SS+고/JKQ
말했다"며	말/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"그러나	"/SS+그러나/MAJ
지금은	지금/NNG+은/JX
그런	그런/MMD
일을	일/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000054.11.4.2
그의 조롱을 뛰어넘어 그를 곤혹스럽게 해야 한다"고 했다.

그의	그/NP+의/JKG
조롱을	조롱/NNG+을/JKO
뛰어넘어	뛰어넘/VV+어/EC
그를	그/NP+를/JKO
곤혹스럽게	곤혹/NNG+스럽/XSA+게/EC
해야	하/VX+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.11.5.1
슈워제네거는 자신의 트위터 계정에 이번 인터뷰 동영상을 올리면서 "트럼프는 과거 자신이 '어프렌티스' 시청률을 올리기 위해 열심히 했던 것처럼 미국인들을 위해 최선을 다해야 한다"며 "더 충실하게 대통령직을 수행하는 것이 그가 해야 할 일"이라고 적기도 했다.

슈워제네거는	슈워제네거/NNP+는/JX
자신의	자신/NNG+의/JKG
트위터	트위터/NNP
계정에	계정/NNG+에/JKB
이번	이번/NNG
인터뷰	인터뷰/NNG
동영상을	동영상/NNG+을/JKO
올리면서	올리/VV+면서/EC
"트럼프는	"/SS+트럼프/NNP+는/JX
과거	과거/NNG
자신이	자신/NNG+이/JKS
'어프렌티스'	'/SS+어프렌티스/NNG+'/SS
시청률을	시청/NNG+률/XSN+을/JKO
올리기	올리/VV+기/ETN
위해	위하/VV+아/EC
열심히	열심히/MAG
했던	하/VV+았/EP+던/ETM
것처럼	것/NNB+처럼/JKB
미국인들을	미국인/NNG+들/XSN+을/JKO
최선을	최선/NNG+을/JKO
다해야	다/MAG+하/XSV+아야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"더	"/SS+더/MAG
충실하게	충실/NNG+하/XSA+게/EC
대통령직을	대통령직/NNG+을/JKO
수행하는	수행/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
그가	그/NP+가/JKS
해야	하/VV+아야/EC
할	하/VX+ㄹ/ETM
일"이라고	일/NNG+"/SS+이라고/JKQ
적기도	적/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.11.6.1
'어프렌티스'는 트럼프 기업의 입사자를 선발하는 서바이벌 프로그램으로, 트럼프는 자신의 후임으로 슈워제네거가 진행을 맡은 뒤 시청률이 하락하자 "대단한 영화배우인 슈워제네거가 '어프렌티스' 진행을 맡은 뒤 시청률이 곤두박질쳤다. 완전히 재앙"이라고 말했다.

'어프렌티스'는	'/SS+어프렌티스/NNG+'/SS+는/JX
트럼프	트럼프/NNP
기업의	기업/NNG+의/JKG
입사자를	입사자/NNG+를/JKO
선발하는	선발/NNG+하/XSV+는/ETM
서바이벌	서바이벌/NNG
프로그램으로,	프로그램/NNG+으로/JKB+,/SP
트럼프는	트럼프/NNP+는/JX
자신의	자신/NNG+의/JKG
후임으로	후임/NNG+으로/JKB
슈워제네거가	슈워제네거/NNP+가/JKS
진행을	진행/NNG+을/JKO
맡은	맡/VV+은/ETM
뒤	뒤/NNG
시청률이	시청/NNG+률/XSN+이/JKS
하락하자	하락/NNG+하/XSV+자/EC
"대단한	"/SS+대단하/VA+ㄴ/ETM
영화배우인	영화배우/NNG+이/VCP+ㄴ/ETM
'어프렌티스'	'/SS+어프렌티스/NNG+'/SS
곤두박질쳤다.	곤두박질치/VV+었/EP+다/EF+./SF
완전히	완전히/MAG
재앙"이라고	재앙/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.11.6.2
이에 슈워제네거는 "서로 직업을 바꾸자"고 응수하며 설전(舌戰)을 벌였다.

이에	이/NP+에/JKB
슈워제네거는	슈워제네거/NNP+는/JX
"서로	"/SS+서로/MAG
직업을	직업/NNG+을/JKO
바꾸자"고	바꾸/VV+자/EF+"/SS+고/JKQ
응수하며	응수/NNG+하/XSV+며/EC
설전(舌戰)을	설전/NNG+(/SS+舌戰/SH+)/SS+을/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


