# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.197
metadata : {}


# id : NWRW1800000054.197.1.1
[호남의 '문화 3景'] 臣에게는… 땅끝마을에 '67개의 작품'이 있사옵니다

[호남의	[/SS+호남/NNP+의/JKG
우수영은 2014년 개봉한 영화 '명량'이 흥행에 성공하면서 주목받았다.

우수영은	우수영/NNP+은/JX
2014년	2014/SN+년/NNB
개봉한	개봉/NNG+하/XSV+ㄴ/ETM
영화	영화/NNG
'명량'이	'/SS+명량/NNP+'/SS+이/JKS
흥행에	흥행/NNG+에/JKB
성공하면서	성공/NNG+하/XSV+면서/EC
주목받았다.	주목/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.197.7.2
명량대첩은 이순신 장군이 정유재란 때인 1597년 우수영에서 지척인 울돌목 바다에서 일본 수군을 대파한 해전이다.

명량대첩은	명량/NNP+대첩/NNG+은/JX
이순신	이순신/NNP
장군이	장군/NNG+이/JKS
정유재란	정유재란/NNG
때인	때/NNG+이/VCP+ㄴ/ETM
1597년	1597/SN+년/NNB
우수영에서	우수영/NNP+에서/JKB
지척인	지척/NNG+이/VCP+ㄴ/ETM
울돌목	울돌목/NNP
바다에서	바다/NNG+에서/JKB
일본	일본/NNP
수군을	수군/NNG+을/JKO
대파한	대파/NNG+하/XSV+ㄴ/ETM
해전이다.	해전/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.197.8.1
해남군은 새롭게 조명을 받은 우수영마을에 문화의 색채를 입혔다.

해남군은	해남군/NNP+은/JX
새롭게	새롭/VA+게/EC
조명을	조명/NNG+을/JKO
받은	받/VV+은/ETM
우수영마을에	우수영마을/NNP+에/JKB
문화의	문화/NNG+의/JKG
색채를	색채/NNG+를/JKO
입혔다.	입히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.197.8.2
2015년에 문화체육관광부의 공공 미술 사업인 '마을 미술프로젝트' 후보로 밀어 국비 3억원을 지원받았다.

2015년에	2015/SN+년/NNB+에/JKB
문화체육관광부의	문화/NNG+체육/NNG+관광부/NNG+의/JKG
공공	공공/NNG
미술	미술/NNG
사업인	사업/NNG+이/VCP+ㄴ/ETM
'마을	'/SS+마을/NNG
미술프로젝트'	미술/NNG+프로젝트/NNG+'/SS
후보로	후보/NNG+로/JKB
밀어	밀/VV+어/EC
국비	국비/NNG
3억원을	3/SN+억/NR+원/NNB+을/JKO
지원받았다.	지원/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.197.8.3
이후 총사업비 11억원을 투자해 우수영마을 입구부터 2㎞ 구간 곳곳에 영상미디어·공예·회화·조각 등 공공미술 작품 67점을 설치했다.

이후	이후/NNG
총사업비	총/MMA+사업비/NNG
11억원을	11/SN+억/NR+원/NNB+을/JKO
투자해	투자/NNG+하/XSV+아/EC
우수영마을	우수영마을/NNP
입구부터	입구/NNG+부터/JX
2㎞	2/SN+㎞/SW
구간	구간/NNG
곳곳에	곳곳/NNG+에/JKB
영상미디어·공예·회화·조각	영상/NNG+미디어/NNG+·/SP+공예/NNG+·/SP+회화/NNG+·/SP+조각/NNG
등	등/NNB
공공미술	공공/NNG+미술/NNG
작품	작품/NNG
67점을	67/SN+점/NNB+을/JKO
설치했다.	설치/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.197.8.4
67개팀, 예술가 100여명이 작품 제작에 참여했다.

67개팀,	67/SN+개/NNB+팀/NNG+,/SP
예술가	예술가/NNG
100여명이	100/SN+여/XSN+명/NNB+이/JKS
작품	작품/NNG
제작에	제작/NNG+에/JKB
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.197.8.5
부산 감천마을 등 전국의 주요 문화마을을 조성한 재단법인 '아름다운맵'이 작가 구성, 작품 기획, 제작, 설치 등을 맡았다.

부산	부산/NNP
감천마을	감천마을/NNP
등	등/NNB
전국의	전국/NNG+의/JKG
주요	주요/NNG
문화마을을	문화/NNG+마을/NNG+을/JKO
조성한	조성/NNG+하/XSV+ㄴ/ETM
재단법인	재단/NNG+법인/NNG
'아름다운맵'이	'/SS+아름다운맵/NNP+'/SS+이/JKS
작가	작가/NNG
구성,	구성/NNG+,/SP
작품	작품/NNG
기획,	기획/NNG+,/SP
제작,	제작/NNG+,/SP
설치	설치/NNG
등을	등/NNB+을/JKO
맡았다.	맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.197.8.6
사업 첫해인 2015년 4월부터 9월까지 예술가 6명이 마을에 살면서 작품을 만들었다.

사업	사업/NNG
첫해인	첫해/NNG+이/VCP+ㄴ/ETM
2015년	2015/SN+년/NNB
4월부터	4/SN+월/NNB+부터/JX
9월까지	9/SN+월/NNB+까지/JX
예술가	예술가/NNG
6명이	6/SN+명/NNB+이/JKS
마을에	마을/NNG+에/JKB
살면서	살/VV+면서/EC
작품을	작품/NNG+을/JKO
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.197.8.7
주민 생활과 지역 역사를 작품에 구현하는 '공동체 미술(커뮤니티 아트)'을 실천한 것이다.

주민	주민/NNG
생활과	생활/NNG+과/JC
지역	지역/NNG
역사를	역사/NNG+를/JKO
작품에	작품/NNG+에/JKB
구현하는	구현/NNG+하/XSV+는/ETM
'공동체	'/SS+공동체/NNG
미술(커뮤니티	미술/NNG+(/SS+커뮤니티/NNG
아트)'을	아트/NNG+)/SS+'/SS+을/JKO
실천한	실천/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.197.8.8
이들은 골목길 담벼락에 벽화를 그렸다.

이들은	이/NP+들/XSN+은/JX
골목길	골목길/NNG
담벼락에	담벼락/NNG+에/JKB
벽화를	벽화/NNG+를/JKO
그렸다.	그리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.197.8.9
1940년대 포목점이던 '면립상회'에 회화 작품을 걸었고, 문방구와 복덕방, 주막집 등도 문화 공간으로 바꿨다.

1940년대	1940/SN+년대/NNB
포목점이던	포목점/NNG+이/VCP+던/ETM
'면립상회'에	'/SS+면립상회/NNP+'/SS+에/JKB
회화	회화/NNG
작품을	작품/NNG+을/JKO
걸었고,	걸/VV+었/EP+고/EC+,/SP
문방구와	문방구/NNG+와/JC
복덕방,	복덕방/NNG+,/SP
주막집	주막집/NNG
등도	등/NNB+도/JX
문화	문화/NNG
공간으로	공간/NNG+으로/JKB
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.197.8.10
마을 전체가 '지붕 없는 미술관'이 된 것이다.

마을	마을/NNG
전체가	전체/NNG+가/JKS
'지붕	'/SS+지붕/NNG
없는	없/VA+는/ETM
미술관'이	미술관/NNG+'/SS+이/JKC
된	되/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.197.9.1
◇문화예술로 활력 찾아

◇문화예술로	◇/SW+문화/NNG+예술/NNG+로/JKB
활력	활력/NNG
찾아	찾/VV+아/EF


# id : NWRW1800000054.197.10.1
요즘 주말이면 하루 100명가량 외지인이 우수영문화마을을 찾는다.

요즘	요즘/NNG
주말이면	주말/NNG+이/VCP+면/EC
하루	하루/NNG
100명가량	100/SN+명/NNB+가량/XSN
외지인이	외지인/NNG+이/JKS
우수영문화마을을	우수영문화마을/NNP+을/JKO
찾는다.	찾/VV+는다/EF+./SF


# id : NWRW1800000054.197.10.2
정춘원(69) 우수영문화마을 주민협의회장은 "한때 마을이 폐촌 위기에 몰릴 정도로 쇠락했는데, 아트하우스와 갤러리로 바뀐 마을을 보러 사람들이 몰리면서 마을에 활력이 생겼다"고 말했다.

정춘원(69)	정춘원/NNP+(/SS+69/SN+)/SS
우수영문화마을	우수영문화마을/NNP
주민협의회장은	주민/NNG+협의회장/NNG+은/JX
"한때	"/SS+한때/MAG
마을이	마을/NNG+이/JKS
폐촌	폐촌/NNG
위기에	위기/NNG+에/JKB
몰릴	몰리/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
쇠락했는데,	쇠락/NNG+하/XSV+았/EP+는데/EC+,/SP
아트하우스와	아트하우스/NNG+와/JC
갤러리로	갤러리/NNG+로/JKB
바뀐	바뀌/VV+ㄴ/ETM
마을을	마을/NNG+을/JKO
보러	보/VV+러/EC
사람들이	사람/NNG+들/XSN+이/JKS
몰리면서	몰리/VV+면서/EC
마을에	마을/NNG+에/JKB
활력이	활력/NNG+이/JKS
생겼다"고	생기/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.197.10.3
김해곤 아름다운맵 총괄감독은 "문화마을은 적어도 5년은 조성해야 자리를 잡는다"며 "우수영문화마을을 한 해 100만명이 찾는 부산 감천문화마을처럼 명소로 만들고 싶다"고 말했다.

김해곤	김해곤/NNP
아름다운맵	아름다운맵/NNP
총괄감독은	총괄/NNG+감독/NNG+은/JX
"문화마을은	"/SS+문화/NNG+마을/NNG+은/JX
적어도	적어도/MAG
5년은	5/SN+년/NNB+은/JX
조성해야	조성/NNG+하/XSV+아야/EC
자리를	자리/NNG+를/JKO
잡는다"며	잡/VV+는다/EF+"/SS+며/EC
"우수영문화마을을	"/SS+우수영문화마을/NNP+을/JKO
한	한/MMN
해	해/NNB
100만명이	100/SN+만/NR+명/NNB+이/JKS
찾는	찾/VV+는/ETM
부산	부산/NNP
감천문화마을처럼	감천문화마을/NNP+처럼/JKB
명소로	명소/NNG+로/JKB
만들고	만들/VV+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.197.11.1
우수영문화마을은 명량대첩의 후예 1388명이 사는 고장이다.

우수영문화마을은	우수영문화마을/NNP+은/JX
명량대첩의	명량/NNP+대첩/NNG+의/JKG
후예	후예/NNG
1388명이	1388/SN+명/NNB+이/JKS
사는	살/VV+는/ETM
고장이다.	고장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.197.11.2
이순신 장군과 수군, 명량해전 등의 내용을 담은 벽화와 조각 작품이 많다.

이순신	이순신/NNP
장군과	장군/NNG+과/JC
수군,	수군/NNG+,/SP
명량해전	명량/NNP+해전/NNG
등의	등/NNB+의/JKG
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
벽화와	벽화/NNG+와/JC
조각	조각/NNG
작품이	작품/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000054.197.11.3
마을 언덕 암벽엔 보물 제503호로 지정된 명량대첩비가 있다.

마을	마을/NNG
언덕	언덕/NNG
암벽엔	암벽/NNG+에/JKB+ㄴ/JX
보물	보물/NNG
제503호로	제/XPN+503/SN+호/NNB+로/JKB
지정된	지정/NNG+되/XSV+ㄴ/ETM
명량대첩비가	명량/NNP+대첩비/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.197.11.4
우수영마을에서 차로 5분 거리엔 명량해전이 펼쳐진 울돌목의 생생한 물살과 소리를 체험할 수 있는 우수영 관광지가 있다.

우수영마을에서	우수영마을/NNP+에서/JKB
차로	차/NNG+로/JKB
5분	5/SN+분/NNB
거리엔	거리/NNG+에/JKB+ㄴ/JX
명량해전이	명량/NNP+해전/NNG+이/JKS
펼쳐진	펼쳐지/VV+ㄴ/ETM
울돌목의	울돌목/NNP+의/JKG
생생한	생생하/VA+ㄴ/ETM
물살과	물살/NNG+과/JC
소리를	소리/NNG+를/JKO
체험할	체험/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
우수영	우수영/NNP
관광지가	관광지/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.197.11.5
오는 9월 8일부터 사흘간 이곳에선 명량해전을 재현하는 명량대첩축제가 열린다.

오는	오/VV+는/ETM
9월	9/SN+월/NNB
8일부터	8/SN+일/NNB+부터/JX
사흘간	사흘/NNG+간/XSN
이곳에선	이곳/NP+에서/JKB+ㄴ/JX
명량해전을	명량/NNP+해전/NNG+을/JKO
재현하는	재현/NNG+하/XSV+는/ETM
명량대첩축제가	명량/NNP+대첩/NNG+축제/NNG+가/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.197.11.6
특히 올해는 명량대첩의 칠주갑(60갑자가 7번 반복·420주년)을 맞는 해이다.

특히	특히/MAG
올해는	올해/NNG+는/JX
명량대첩의	명량/NNP+대첩/NNG+의/JKG
칠주갑(60갑자가	칠/NR+주갑/NNG+(/SS+60/SN+갑자/NNG+가/JKS
7번	7/SN+번/NNB
반복·420주년)을	반복/NNG+·/SP+420/SN+주년/NNB+)/SS+을/JKO
맞는	맞/VV+는/ETM
해이다.	해/NNG+이/VCP+다/EF+./SF


