# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.217
metadata : {}


# id : NWRW1800000052.217.1.1
“옛문헌에 살아 숨쉬고 있는 무등산 찾아냈죠”

“옛문헌에	“/SS+옛/MMA+문헌/NNG+에/JKB
# id : NWRW1800000052.217.4.1
무등산은 자연풍광이 아름다울 뿐 아니라 과거부터 광주인문정신의 산실로 알려진 호남의 진산으로 꼽힌다.

무등산은	무등산/NNP+은/JX
자연풍광이	자연/NNG+풍광/NNG+이/JKS
아름다울	아름답/VA+ㄹ/ETM
뿐	뿐/NNB
아니라	아니/VCN+라/EC
과거부터	과거/NNG+부터/JX
광주인문정신의	광주/NNP+인문/NNG+정신/NNG+의/JKG
산실로	산실/NNG+로/JKB
알려진	알려지/VV+ㄴ/ETM
호남의	호남/NNP+의/JKG
진산으로	진산/NNG+으로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.217.4.2
김 교수는 고려시대 대각국사 의천의 시문집에서부터 의재 허백련의 시문집에 이르기까지, 수많은 옛 문헌에서 무등산의 자취를 찾아냈다.

김	김/NNP
교수는	교수/NNG+는/JX
고려시대	고려/NNP+시대/NNG
대각국사	대각국사/NNP
의천의	의천/NNP+의/JKG
시문집에서부터	시문집/NNG+에서부터/JKB
의재	의재/NNP
허백련의	허백련/NNP+의/JKG
시문집에	시문집/NNG+에/JKB
이르기까지,	이르/VV+기/ETN+까지/JX+,/SP
수많은	수많/VA+은/ETM
옛	옛/MMA
문헌에서	문헌/NNG+에서/JKB
무등산의	무등산/NNP+의/JKG
자취를	자취/NNG+를/JKO
찾아냈다.	찾아내/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.217.5.1
그는 찾아낸 무등산 관련 한시 300여수 가운데 100여수를 모아 시대 순으로 엮었다.

그는	그/NP+는/JX
찾아낸	찾아내/VV+ㄴ/ETM
무등산	무등산/NNP
관련	관련/NNG
한시	한시/NNG
300여수	300/SN+여/XSN+수/NNB
가운데	가운데/NNG
100여수를	100/SN+여/XSN+수/NNB+를/JKO
모아	모으/VV+아/EC
시대	시대/NNG
순으로	순/NNB+으로/JKB
엮었다.	엮/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.217.5.2
옛 선현들의 시엔 입석대·서석대·규봉암 등 무등산 정상 부근의 대표적인 절경들을 노래한 빼어난 작품들을 그가 직접 번역해 넣기도 했다.

옛	옛/MMA
선현들의	선현/NNG+들/XSN+의/JKG
시엔	시/NNG+에/JKB+ㄴ/JX
입석대·서석대·규봉암	입석대/NNP+·/SP+서석대/NNP+·/SP+규봉암/NNP
등	등/NNB
무등산	무등산/NNP
정상	정상/NNG
부근의	부근/NNG+의/JKG
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
절경들을	절경/NNG+들/XSN+을/JKO
노래한	노래/NNG+하/XSV+ㄴ/ETM
빼어난	빼어나/VA+ㄴ/ETM
작품들을	작품/NNG+들/XSN+을/JKO
그가	그/NP+가/JKS
직접	직접/MAG
번역해	번역/NNG+하/XSV+아/EC
넣기도	넣/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.217.5.3
퇴계 이황 선생에게 무등산은 ‘산 빛은 아침저녁으로 안개 자욱하고, 깎아지른 산세는 만고의 으뜸이라’는 느낌을 줬다.

퇴계	퇴계/NNP
이황	이황/NNP
선생에게	선생/NNG+에게/JKB
무등산은	무등산/NNP+은/JX
‘산	‘/SS+산/NNG
빛은	빛/NNG+은/JX
아침저녁으로	아침저녁/NNG+으로/JKB
안개	안개/NNG
자욱하고,	자욱하/VA+고/EC+,/SP
깎아지른	깎아지르/VA+ㄴ/ETM
산세는	산세/NNG+는/JX
만고의	만고/NNG+의/JKG
으뜸이라’는	으뜸/NNG+이/VCP+라/EF+’/SS+는/ETM
느낌을	느낌/NNG+을/JKO
줬다.	주/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.217.5.4
다산 정약용 선생은 ‘많은 이들 우러르는 서석산, 꼭대기에는 태곳적 눈이 남아 있구나’라고 읊었다.

다산	다산/NNP
정약용	정약용/NNP
선생은	선생/NNG+은/JX
‘많은	‘/SS+많/VA+은/ETM
이들	이/NNB+들/XSN
우러르는	우러르/VV+는/ETM
서석산,	서석산/NNP+,/SP
꼭대기에는	꼭대기/NNG+에/JKB+는/JX
태곳적	태곳적/NNG
눈이	눈/NNG+이/JKS
남아	남/VV+아/EC
있구나’라고	있/VX+구나/EF+’/SS+라고/JKQ
읊었다.	읊/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.217.6.1
앞서 2010년 그는 한문 등산기 20여편을 모아 번역한 <무등산유산기>를 펴냈다.

앞서	앞서/MAG
2010년	2010/SN+년/NNB
그는	그/NP+는/JX
한문	한문/NNG
등산기	등산기/NNG
20여편을	20/SN+여/XSN+편/NNB+을/JKO
모아	모으/VV+아/EC
번역한	번역/NNG+하/XSV+ㄴ/ETM
<무등산유산기>를	</SS+무등산유산기/NNP+>/SS+를/JKO
펴냈다.	펴내/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.217.6.2
그는 호남지방문헌연구소 소장을 맡아 호남의 지방문헌을 조사해 정리하고 있다.

그는	그/NP+는/JX
호남지방문헌연구소	호남지방문헌연구소/NNP
소장을	소장/NNG+을/JKO
맡아	맡/VV+아/EC
호남의	호남/NNP+의/JKG
지방문헌을	지방/NNG+문헌/NNG+을/JKO
조사해	조사/NNG+하/XSV+아/EC
정리하고	정리/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.217.6.3
연구소에서 ‘호남문집 기초목록’ ‘호남지방지 기초목록’ ‘호남누정 기초목록’을 만들었고, 최근에는 ‘호남문중문헌 기초목록’을 출간했다.

연구소에서	연구소/NNG+에서/JKB
‘호남문집	‘/SS+호남/NNP+문집/NNG
기초목록’	기초/NNG+목록/NNG+’/SS
‘호남지방지	‘/SS+호남/NNP+지방지/NNG
‘호남누정	‘/SS+호남/NNP+누정/NNP
기초목록’을	기초/NNG+목록/NNG+’/SS+을/JKO
만들었고,	만들/VV+었/EP+고/EC+,/SP
최근에는	최근/NNG+에/JKB+는/JX
‘호남문중문헌	‘/SS+호남/NNP+문중/NNG+문헌/NNG
출간했다.	출간/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.217.6.4
호남 문화연구의 기초 문헌자료들을 목록화하는 일도 계속 진행하고 있다.

호남	호남/NNP
문화연구의	문화/NNG+연구/NNG+의/JKG
기초	기초/NNG
문헌자료들을	문헌/NNG+자료/NNG+들/XSN+을/JKO
목록화하는	목록/NNG+화/XSN+하/XSV+는/ETM
일도	일/NNG+도/JX
계속	계속/MAG
진행하고	진행/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.217.7.1
김 교수는 “한문 문헌에 나타난 무등산의 고전 자료를 중심으로 인문학적 가치를 연구하고 있다. 이번 ‘무등산 한시선’이 옛 사람들이 느꼈던 무등산에 대한 생각과 정취를 느낄 수 있는 시집이 되길 바란다”고 말했다.

김	김/NNP
교수는	교수/NNG+는/JX
“한문	“/SS+한문/NNG
문헌에	문헌/NNG+에/JKB
나타난	나타나/VV+ㄴ/ETM
무등산의	무등산/NNP+의/JKG
고전	고전/NNG
자료를	자료/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
인문학적	인문학/NNG+적/XSN
가치를	가치/NNG+를/JKO
연구하고	연구/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF
이번	이번/NNG
‘무등산	‘/SS+무등산/NNP
한시선’이	한시선/NNG+’/SS+이/JKS
옛	옛/MMA
사람들이	사람/NNG+들/XSN+이/JKS
느꼈던	느끼/VV+었/EP+던/ETM
무등산에	무등산/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
생각과	생각/NNG+과/JC
정취를	정취/NNG+를/JKO
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
시집이	시집/NNG+이/JKS
되길	되/VV+기/ETN+ㄹ/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


