# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.362
metadata : {}


# id : NWRW1800000054.362.1.1
"安후보는 부패 기득권 세력의 정권 연장 대리인"

"安후보는	"/SS+安/SH+후보/NNG+는/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.362.5.2
그는 "촛불 민심을 받드는 정권 주체 후보인가, 부패 기득권 세력의 정권 연장을 위한 후보인가 하는 대결 구도라는 걸 좀 더 분명히 함으로써 정권 교체를 바라는 다수 국민의 지지를 얻어나가겠다"고 했다.

그는	그/NP+는/JX
"촛불	"/SS+촛불/NNG
민심을	민심/NNG+을/JKO
받드는	받들/VV+는/ETM
정권	정권/NNG
주체	주체/NNG
후보인가,	후보/NNG+이/VCP+ㄴ가/EF+,/SP
부패	부패/NNG
기득권	기득/NNG+권/XSN
세력의	세력/NNG+의/JKG
연장을	연장/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
후보인가	후보/NNG+이/VCP+ㄴ가/EF
하는	하/VV+는/ETM
대결	대결/NNG
구도라는	구도/NNG+이/VCP+라는/ETM
걸	거/NNB+ㄹ/JKO
좀	좀/MAG
더	더/MAG
분명히	분명히/MAG
함으로써	하/VV+ㅁ/ETN+으로써/JKB
교체를	교체/NNG+를/JKO
바라는	바라/VV+는/ETM
다수	다수/NNG
국민의	국민/NNG+의/JKG
지지를	지지/NNG+를/JKO
얻어나가겠다"고	얻/VV+어/EC+나가/VX+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.362.5.3
그는 "저와 안 후보와의 양강 구도로 좁혀진다면 결국 국민은 '정권 교체냐 정권 연장이냐'를 두고 판단할 것"이라고 했다.

그는	그/NP+는/JX
"저와	"/SS+저/NP+와/JKB
안	안/NNP
후보와의	후보/NNG+와/JKB+의/JKG
양강	양/MMN+강/NNB
구도로	구도/NNG+로/JKB
좁혀진다면	좁히/VV+어/EC+지/VX+ㄴ다면/EC
결국	결국/MAG
국민은	국민/NNG+은/JX
'정권	'/SS+정권/NNG
교체냐	교체/NNG+이/VCP+냐/EF
정권	정권/NNG
연장이냐'를	연장/NNG+이/VCP+냐/EF+'/SS+를/JKO
두고	두/VV+고/EC
판단할	판단/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


