# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.160
metadata : {}


# id : NWRW1800000038.160.1.1
[죄의식 없는 '표절 대한민국'](6) '스펙 따기'에 눈먼 교육계

[죄의식	[/SS+죄의식/NNG
'역할을	'/SS+역할/NNG+을/JKO
수행하는	수행/NNG+하/XSV+는/ETM
것이다'는	것/NNB+이/VCP+다/EF+'/SS+는/ETM
식으로	식/NNB+으로/JKB
일부만을	일부/NNG+만/JX+을/JKO
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.160.7.1
자율형 사립 E고교의 F교감은 신라대 교육대학원 석사 학위논문을 작성하면서 최소 2편의 논문과 인터넷상에 떠 있는 다른 사람의 글을 베꼈다.

자율형	자율/NNG+형/XSN
사립	사립/NNG
E고교의	E/SL+고교/NNG+의/JKG
F교감은	F/SL+교감/NNG+은/JX
신라대	신라대/NNP
교육대학원	교육/NNG+대학원/NNG
석사	석사/NNG
학위논문을	학위/NNG+논문/NNG+을/JKO
작성하면서	작성/NNG+하/XSV+면서/EC
최소	최소/NNG
2편의	2/SN+편/NNB+의/JKG
논문과	논문/NNG+과/JC
인터넷상에	인터넷/NNG+상/XSN+에/JKB
떠	뜨/VV+어/EC
있는	있/VX+는/ETM
다른	다른/MMD
사람의	사람/NNG+의/JKG
글을	글/NNG+을/JKO
베꼈다.	베끼/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.160.8.1
F교감은 다른 연구자의 논문을 인용하면서 인용 부호를 일부 달긴 했지만 대부분은 토씨 하나 다르지 않게 각주(脚註)까지 베꼈다.

F교감은	F/SL+교감/NNG+은/JX
다른	다른/MMD
연구자의	연구자/NNG+의/JKG
논문을	논문/NNG+을/JKO
인용하면서	인용/NNG+하/XSV+면서/EC
인용	인용/NNG
부호를	부호/NNG+를/JKO
일부	일부/NNG
달긴	달/VV+기/ETN+ㄴ/JX
했지만	하/VX+았/EP+지만/EC
대부분은	대/XPN+부분/NNG+은/JX
토씨	토씨/NNG
하나	하나/NR
다르지	다르/VA+지/EC
않게	않/VX+게/EC
각주(脚註)까지	각주/NNG+(/SS+脚註/SH+)/SS+까지/JX
베꼈다.	베끼/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.160.8.2
그는 오래된 논문을 베끼면서 자신의 석사 학위 취득 시기에 맞춰 논문 내용 시점을 바꾸는 수법까지 썼다.

그는	그/NP+는/JX
오래된	오래/MAG+되/XSA+ㄴ/ETM
논문을	논문/NNG+을/JKO
베끼면서	베끼/VV+면서/EC
자신의	자신/NNG+의/JKG
석사	석사/NNG
학위	학위/NNG
취득	취득/NNG
시기에	시기/NNG+에/JKB
맞춰	맞추/VV+어/EC
논문	논문/NNG
내용	내용/NNG
시점을	시점/NNG+을/JKO
바꾸는	바꾸/VV+는/ETM
수법까지	수법/NNG+까지/JX
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.160.9.1
이 세 사람은 모두 본지 통화에서 "현직에 있으면서 정신없이 쓴 논문이었다. 죄송하다"는 취지의 말을 했다.

이	이/MMD
세	세/MMN
사람은	사람/NNG+은/JX
모두	모두/MAG
본지	본지/NNG
통화에서	통화/NNG+에서/JKB
"현직에	"/SS+현직/NNG+에/JKB
있으면서	있/VA+으면서/EC
정신없이	정신없이/MAG
쓴	쓰/VV+ㄴ/ETM
논문이었다.	논문/NNG+이/VCP+었/EP+다/EF+./SF
죄송하다"는	죄송하/VA+다/EF+"/SS+는/ETM
취지의	취지/NNG+의/JKG
말을	말/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.160.10.1
세 사람의 논문을 본 한 서울대 교수는 "논문을 짜깁기한 것은 그대로 가져다 복사한 것보다 더 나쁜 행위"라고 말했다.

세	세/MMN
사람의	사람/NNG+의/JKG
논문을	논문/NNG+을/JKO
본	보/VV+ㄴ/ETM
한	한/MMN
서울대	서울대/NNP
교수는	교수/NNG+는/JX
"논문을	"/SS+논문/NNG+을/JKO
짜깁기한	짜깁기/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
그대로	그대로/MAG
가져다	가지/VV+어다/EC
복사한	복사/NNG+하/XSV+ㄴ/ETM
것보다	것/NNB+보다/JKB
더	더/MAG
나쁜	나쁘/VA+ㄴ/ETM
행위"라고	행위/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.160.10.2
교육부 규정에 따르면 교사가 학위를 취득하면 승진 시 혜택을 받을 수 있다.

교육부	교육부/NNG
규정에	규정/NNG+에/JKB
따르면	따르/VV+면/EC
교사가	교사/NNG+가/JKS
학위를	학위/NNG+를/JKO
취득하면	취득/NNG+하/XSV+면/EC
승진	승진/NNG
시	시/NNB
혜택을	혜택/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.160.10.3
교육부 관계자는 "학위를 따게 되면 승진 점수를 받는데 소수점 단위로 결정되는 승진 심사에서 이 점수는 큰 비중을 차지한다"고 말했다.

교육부	교육부/NNG
관계자는	관계자/NNG+는/JX
"학위를	"/SS+학위/NNG+를/JKO
따게	따/VV+게/EC
되면	되/VV+면/EC
승진	승진/NNG
점수를	점수/NNG+를/JKO
받는데	받/VV+는데/EC
소수점	소수점/NNG
단위로	단위/NNG+로/JKB
결정되는	결정/NNG+되/XSV+는/ETM
심사에서	심사/NNG+에서/JKB
이	이/MMD
점수는	점수/NNG+는/JX
큰	크/VA+ㄴ/ETM
비중을	비중/NNG+을/JKO
차지한다"고	차지/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.160.10.4
서울의 한 사립학교 교사는 "공립은 석·박사 학위를 취득하면 승진에서 큰 차이가 난다. 사립도 학위가 있으면 내세우기 좋기 때문에 교감·교장을 할 때 유리한 점이 있다"고 했다.

서울의	서울/NNP+의/JKG
한	한/MMN
사립학교	사립/NNG+학교/NNG
교사는	교사/NNG+는/JX
"공립은	"/SS+공립/NNG+은/JX
석·박사	석·박사/NNG
학위를	학위/NNG+를/JKO
취득하면	취득/NNG+하/XSV+면/EC
승진에서	승진/NNG+에서/JKB
큰	크/VA+ㄴ/ETM
차이가	차이/NNG+가/JKS
난다.	나/VV+ㄴ다/EF+./SF
사립도	사립/NNG+도/JX
학위가	학위/NNG+가/JKS
있으면	있/VA+으면/EC
내세우기	내세우/VV+기/ETN
좋기	좋/VA+기/ETN
때문에	때문/NNB+에/JKB
교감·교장을	교감/NNG+·/SP+교장/NNG+을/JKO
할	하/VV+ㄹ/ETM
때	때/NNG
유리한	유리/NNG+하/XSA+ㄴ/ETM
점이	점/NNG+이/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.160.11.1
한국교육개발원에 따르면 전국 초·중·고교 교원 46만1406명 중 13만8094명(29.9%)이 석사 학위, 4542명(0.9%)이 박사 학위 소지자다.

한국교육개발원에	한국교육개발원/NNP+에/JKB
따르면	따르/VV+면/EC
전국	전국/NNG
초·중·고교	초·중·고교/NNG
교원	교원/NNG
46만1406명	46/SN+만/NR+1406/SN+명/NNB
중	중/NNB
13만8094명(29.9%)이	13/SN+만/NR+8094/SN+명/NNB+(/SS+29/SN+./SP+9/SN+%/SW+)/SS+이/JKS
석사	석사/NNG
학위,	학위/NNG+,/SP
4542명(0.9%)이	4542/SN+명/NNB+(/SS+0/SN+./SP+9/SN+%/SW+)/SS+이/JKS
박사	박사/NNG
학위	학위/NNG
소지자다.	소지자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.160.11.2
2005년보다 석·박사 교원이 50% 이상 늘어났다.

2005년보다	2005/SN+년/NNB+보다/JKB
석·박사	석·박사/NNG
교원이	교원/NNG+이/JKS
50%	50/SN+%/SW
이상	이상/NNG
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.160.11.3
특히 고교 교사 10명 중 4명은 석사 이상의 학력을 가진 것으로 조사됐다.

특히	특히/MAG
고교	고교/NNG
교사	교사/NNG
10명	10/SN+명/NNB
중	중/NNB
4명은	4/SN+명/NNB+은/JX
석사	석사/NNG
이상의	이상/NNG+의/JKG
학력을	학력/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.160.12.1
명지대 강규형 교수는 "교사들이 학문적 요건에 부합하는 논문을 쓰기는 현실적으로 어려운 만큼 교원 평가제도를 다층적이고 입체적으로 개선할 필요가 있다"고 말했다.

명지대	명지대/NNP
강규형	강규형/NNP
교수는	교수/NNG+는/JX
"교사들이	"/SS+교사/NNG+들/XSN+이/JKS
학문적	학문/NNG+적/XSN
요건에	요건/NNG+에/JKB
부합하는	부합/NNG+하/XSV+는/ETM
논문을	논문/NNG+을/JKO
쓰기는	쓰/VV+기/ETN+는/JX
현실적으로	현실/NNG+적/XSN+으로/JKB
어려운	어렵/VA+ㄴ/ETM
만큼	만큼/NNB
교원	교원/NNG
평가제도를	평가/NNG+제도/NNG+를/JKO
다층적이고	다층/NNG+적/XSN+이/VCP+고/EC
입체적으로	입체/NNG+적/XSN+으로/JKB
개선할	개선/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


