# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.376
metadata : {}


# id : NWRW1800000033.376.1.1
‘신불자 빚독촉 기한 연장訴’ 공방 가열

‘신불자	‘/SS+신불자/NNG
의혹을	의혹/NNG+을/JKO
제기했다.	제기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.376.4.1
새누리당 권성동 의원은 이날 기자회견을 열어 “2003년부터 2008년까지 캠코가 신불자의 채권 소멸시효 연장 소송을 위해 변호사들에게 지불한 선임료는 모두 700억 원인데, 이 중 307억 원을 친노 성향과 민변(민주사회를 위한 변호사모임) 출신 변호사들이 독차지했다”고 주장했다.

새누리당	새누리당/NNP
권성동	권성동/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
“2003년부터	“/SS+2003/SN+년/NNB+부터/JX
2008년까지	2008/SN+년/NNB+까지/JX
캠코가	캠코/NNP+가/JKS
신불자의	신불자/NNG+의/JKG
채권	채권/NNG
소멸시효	소멸/NNG+시효/NNG
연장	연장/NNG
소송을	소송/NNG+을/JKO
위해	위하/VV+아/EC
변호사들에게	변호사/NNG+들/XSN+에게/JKB
지불한	지불/NNG+하/XSV+ㄴ/ETM
선임료는	선임료/NNG+는/JX
모두	모두/MAG
700억	700/SN+억/NR
원인데,	원/NNB+이/VCP+ㄴ데/EC+,/SP
이	이/MMD
중	중/NNB
307억	307/SN+억/NR
원을	원/NNB+을/JKO
친노	친/XPN+노/NNP
성향과	성향/NNG+과/JC
민변(민주사회를	민변/NNP+(/SS+민주/NNG+사회/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
변호사모임)	변호사/NNG+모임/NNG+)/SS
출신	출신/NNG
변호사들이	변호사/NNG+들/XSN+이/JKS
독차지했다”고	독차지/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.376.4.2
이어 “이 기간 캠코의 고문변호사(개인과 법인을 포함) 90여 명 중 민변 출신이 50여 명”이라며 “전체 변호사 중 민변 출신은 5.5%인데 권력의 개입이 없었다면 이 같은 ‘민변 편중’은 있을 수 없다”고 덧붙였다.

이어	이어/MAG
“이	“/SS+이/MMD
기간	기간/NNG
캠코의	캠코/NNP+의/JKG
고문변호사(개인과	고문/NNG+변호사/NNG+(/SS+개인/NNG+과/JC
법인을	법인/NNG+을/JKO
포함)	포함/NNG+)/SS
90여	90/SN+여/XSN
명	명/NNB
중	중/NNB
민변	민변/NNP
출신이	출신/NNG+이/JKS
50여	50/SN+여/XSN
명”이라며	명/NNB+”/SS+이/VCP+라며/EC
“전체	“/SS+전체/NNG
변호사	변호사/NNG
출신은	출신/NNG+은/JX
5.5%인데	5/SN+./SP+5/SN+%/SW+이/VCP+ㄴ데/EC
권력의	권력/NNG+의/JKG
개입이	개입/NNG+이/JKS
없었다면	없/VA+었/EP+다면/EC
이	이/MMD
같은	같/VA+은/ETM
‘민변	‘/SS+민변/NNP
편중’은	편중/NNG+’/SS+은/JX
있을	있/VA+을/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.376.4.3
권 의원은 캠코와 별도로 금융기관의 부실채권을 인수해 정리하는 예금보험공사 산하 KR&C(옛 정리금융공사)에서도 2004∼2008년 채권 소멸시효 연장 소송 선임료로 356억 원을 지출하면서 이 중 113억 원을 민변 출신 변호사에게 몰아줬다고 주장했다.

권	권/NNP
의원은	의원/NNG+은/JX
캠코와	캠코/NNP+와/JKB
별도로	별도/NNG+로/JKB
금융기관의	금융/NNG+기관/NNG+의/JKG
부실채권을	부실/NNG+채권/NNG+을/JKO
인수해	인수/NNG+하/XSV+아/EC
정리하는	정리/NNG+하/XSV+는/ETM
예금보험공사	예금보험공사/NNP
산하	산하/NNG
KR&C(옛	KR/SL+&/SW+C/SL+(/SS+옛/MMA
정리금융공사)에서도	정리금융공사/NNP+)/SS+에서/JKB+도/JX
2004∼2008년	2004/SN+∼/SO+2008/SN+년/NNB
채권	채권/NNG
소멸시효	소멸/NNG+시효/NNG
연장	연장/NNG
소송	소송/NNG
선임료로	선임료/NNG+로/JKB
356억	356/SN+억/NR
원을	원/NNB+을/JKO
지출하면서	지출/NNG+하/XSV+면서/EC
이	이/MMD
중	중/NNB
113억	113/SN+억/NR
민변	민변/NNP
출신	출신/NNG
변호사에게	변호사/NNG+에게/JKB
몰아줬다고	몰아주/VV+었/EP+다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.376.5.1
결국 새누리당의 주장은 친노 성향 변호사들이 참여정부 시절 신불자의 채권 추심 기간을 연장해주고 420억 원을 챙겼다는 것이다.

결국	결국/NNG
새누리당의	새누리당/NNP+의/JKG
주장은	주장/NNG+은/JX
친노	친/XPN+노/NNP
성향	성향/NNG
변호사들이	변호사/NNG+들/XSN+이/JKS
참여정부	참여/NNG+정부/NNG
시절	시절/NNG
신불자의	신불자/NNG+의/JKG
채권	채권/NNG
추심	추심/NNG
기간을	기간/NNG+을/JKO
연장해주고	연장/NNG+하/XSV+아/EC+주/VX+고/EC
420억	420/SN+억/NR
원을	원/NNB+을/JKO
챙겼다는	챙기/VV+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.376.5.2
특히 민주통합당 문재인 후보가 대표로 있던 법무법인 부산도 같은 소송을 대리해주고 KR&C에서 9억 원, 부산저축은행에서 70억 원을 수수했다는 것.

특히	특히/MAG
민주통합당	민주통합당/NNP
문재인	문재인/NNP
후보가	후보/NNG+가/JKS
대표로	대표/NNG+로/JKB
있던	있/VA+던/ETM
법무법인	법무/NNG+법인/NNG
부산도	부산/NNP+도/JX
같은	같/VA+은/ETM
소송을	소송/NNG+을/JKO
대리해주고	대리/NNG+하/XSV+아/EC+주/VX+고/EC
KR&C에서	KR/SL+&/SW+C/SL+에서/JKB
9억	9/SN+억/NR
원,	원/NNB+,/SP
부산저축은행에서	부산저축은행/NNP+에서/JKB
70억	70/SN+억/NR
원을	원/NNB+을/JKO
수수했다는	수수/NNG+하/XSV+았/EP+다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000033.376.6.1
민주당은 새누리당 전현직 의원들도 ‘캠코와의 유착 의혹’에서 자유롭지 않다며 역공을 폈다.

민주당은	민주당/NNP+은/JX
새누리당	새누리당/NNP
전현직	전현직/NNG
의원들도	의원/NNG+들/XSN+도/JX
‘캠코와의	‘/SS+캠코/NNP+와/JKB+의/JKG
유착	유착/NNG
의혹’에서	의혹/NNG+’/SS+에서/JKB
자유롭지	자유/NNG+롭/XSA+지/EC
않다며	않/VX+다며/EC
역공을	역공/NNG+을/JKO
폈다.	펴/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.376.6.2
문 후보 캠프 박광온 대변인은 “악의적인 허위사실 유포”라며 “(전날 이 문제를 폭로한) 새누리당 김무성 총괄선거대책본부장을 고발하는 방안을 검토하고 있다”고 밝혔다.

문	문/NNP
후보	후보/NNG
캠프	캠프/NNG
박광온	박광온/NNP
대변인은	대변인/NNG+은/JX
“악의적인	“/SS+악의/NNG+적/XSN+이/VCP+ㄴ/ETM
허위사실	허위/NNG+사실/NNG
유포”라며	유포/NNG+”/SS+이/VCP+라며/EC
“(전날	“/SS+(/SS+전날/NNG
이	이/MMD
문제를	문제/NNG+를/JKO
폭로한)	폭로/NNG+하/XSV+ㄴ/ETM+)/SS
새누리당	새누리당/NNP
김무성	김무성/NNP
총괄선거대책본부장을	총괄/NNG+선거/NNG+대책/NNG+본부장/NNG+을/JKO
고발하는	고발/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
검토하고	검토/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.376.6.3
이어 “김 본부장은 신불자의 채권 소멸시효 연장 소송을 민주당 전현직 의원 변호사만 수임한 것처럼 주장했지만 새누리당 박근혜 대선후보의 올케 서향희 씨를 비롯한 새누리당 (법조인 출신) 전현직 의원이 일했거나 속해 있는 법무법인들도 캠코에서 같은 소송을 수임했다”고 반박했다.

이어	이어/MAG
“김	“/SS+김/NNP
본부장은	본부장/NNG+은/JX
신불자의	신불자/NNG+의/JKG
채권	채권/NNG
소멸시효	소멸/NNG+시효/NNG
연장	연장/NNG
소송을	소송/NNG+을/JKO
민주당	민주당/NNP
전현직	전현직/NNG
의원	의원/NNG
변호사만	변호사/NNG+만/JX
수임한	수임/NNG+하/XSV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
주장했지만	주장/NNG+하/XSV+았/EP+지만/EC
새누리당	새누리당/NNP
박근혜	박근혜/NNP
대선후보의	대선/NNG+후보/NNG+의/JKG
올케	올케/NNG
서향희	서향희/NNP
씨를	씨/NNB+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
(법조인	(/SS+법조인/NNG
출신)	출신/NNG+)/SS
의원이	의원/NNG+이/JKS
일했거나	일/NNG+하/XSV+았/EP+거나/EC
속해	속하/VV+아/EC
있는	있/VX+는/ETM
법무법인들도	법무/NNG+법인/NNG+들/XSN+도/JX
캠코에서	캠코/NNP+에서/JKB
같은	같/VA+은/ETM
수임했다”고	수임/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.376.7.1
이에 권 의원은 “새누리당에서 캠코에 확인한 결과 캠코와 고문계약을 맺고 채권 소멸시효 연장 소송을 수임한 변호사는 모두 새누리당 전현직 의원들이 아닌 법무법인 소속 다른 변호사로 확인됐다”고 반박했다.

이에	이/NP+에/JKB
권	권/NNP
의원은	의원/NNG+은/JX
“새누리당에서	“/SS+새누리당/NNP+에서/JKB
캠코에	캠코/NNP+에/JKB
확인한	확인/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
캠코와	캠코/NNP+와/JKB
고문계약을	고문/NNG+계약/NNG+을/JKO
맺고	맺/VV+고/EC
채권	채권/NNG
소멸시효	소멸/NNG+시효/NNG
연장	연장/NNG
소송을	소송/NNG+을/JKO
수임한	수임/NNG+하/XSV+ㄴ/ETM
변호사는	변호사/NNG+는/JX
모두	모두/MAG
새누리당	새누리당/NNP
전현직	전현직/NNG
의원들이	의원/NNG+들/XSN+이/JKC
아닌	아니/VCN+ㄴ/ETM
법무법인	법무/NNG+법인/NNG
소속	소속/NNG
다른	다른/MMD
변호사로	변호사/NNG+로/JKB
확인됐다”고	확인/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.376.7.2
다만 서 씨가 대표를 맡았던 법무법인 새빛은 올해 4월 캠코의 고문변호사로 위촉돼 서 씨가 직접 관련 사건을 수임한 것으로 알려졌다.

다만	다만/MAG
서	서/NNP
씨가	씨/NNB+가/JKS
대표를	대표/NNG+를/JKO
맡았던	맡/VV+았/EP+던/ETM
법무법인	법무/NNG+법인/NNG
새빛은	새빛/NNP+은/JX
올해	올해/NNG
4월	4/SN+월/NNB
캠코의	캠코/NNP+의/JKG
고문변호사로	고문/NNG+변호사/NNG+로/JKB
위촉돼	위촉/NNG+되/XSV+어/EC
직접	직접/MAG
관련	관련/NNG
사건을	사건/NNG+을/JKO
수임한	수임/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


