# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.79
metadata : {}


# id : NWRW1800000037.79.1.1
[Culture]엑소 “팀워크가 탄탄해 깜짝 1위 올랐나봐요”

[Culture]엑소	[/SS+Culture/SL+]/SS+엑소/NNP
인상적인	인상/NNG+적/XSN+이/VCP+ㄴ/ETM
데뷔	데뷔/NNG
2년차	2/SN+년/NNB+차/NNB
남성	남성/NNG
그룹이다.	그룹/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.79.4.2
총 12명의 멤버로 구성된 엑소는 지난해 국내 연예기획사의 ‘큰손’ SM엔터테인먼트가 5년 넘게 공들여 내놓은 야심작.

총	총/MMA
12명의	12/SN+명/NNB+의/JKG
멤버로	멤버/NNG+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
엑소는	엑소/NNP+는/JX
지난해	지난해/NNG
국내	국내/NNG
연예기획사의	연예/NNG+기획사/NNG+의/JKG
‘큰손’	‘/SS+큰손/NNG+’/SS
SM엔터테인먼트가	SM엔터테인먼트/NNP+가/JKS
5년	5/SN+년/NNB
넘게	넘/VV+게/EC
공들여	공들이/VV+어/EC
내놓은	내놓/VV+은/ETM
야심작.	야심작/NNG+./SF


# id : NWRW1800000037.79.4.3
국내를 겨냥한 ‘엑소케이(EXO-K)’와 중화권을 겨냥한 ‘엑소엠(EXO-M)’으로 나뉘어 각각 6명의 멤버로 데뷔했다.

국내를	국내/NNG+를/JKO
겨냥한	겨냥/NNG+하/XSV+ㄴ/ETM
‘엑소케이(EXO-K)’와	‘/SS+엑소케이/NNP+(/SS+EXO/SL+-/SO+K/SL+)/SS+’/SS+와/JC
중화권을	중화/NNG+권/XSN+을/JKO
‘엑소엠(EXO-M)’으로	‘/SS+엑소엠/NNP+(/SS+EXO/SL+-/SO+M/SL+)/SS+’/SS+으로/JKB
나뉘어	나뉘/VV+어/EC
각각	각각/MAG
6명의	6/SN+명/NNB+의/JKG
멤버로	멤버/NNG+로/JKB
데뷔했다.	데뷔/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.79.4.4
엑소는 이번 앨범에서 처음으로 12명이 하나의 팀으로 활동하고 있다.

엑소는	엑소/NNP+는/JX
이번	이번/NNG
앨범에서	앨범/NNG+에서/JKB
처음으로	처음/NNG+으로/JKB
12명이	12/SN+명/NNB+이/JKS
하나의	하나/NR+의/JKG
팀으로	팀/NNG+으로/JKB
활동하고	활동/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.79.4.5
12명의 화력은 막강했다.

12명의	12/SN+명/NNB+의/JKG
화력은	화력/NNG+은/JX
막강했다.	막강/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000037.79.4.6
단숨에 동방신기와 샤이니의 뒤를 이을 SM의 간판 남성 아이돌 그룹으로 우뚝 섰다.

단숨에	단숨에/MAG
동방신기와	동방신기/NNP+와/JC
샤이니의	샤이니/NNP+의/JKG
뒤를	뒤/NNG+를/JKO
이을	잇/VV+을/ETM
SM의	SM/SL+의/JKG
간판	간판/NNG
남성	남성/NNG
아이돌	아이돌/NNG
그룹으로	그룹/NNG+으로/JKB
우뚝	우뚝/MAG
섰다.	서/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.79.4.7
1년 2개월의 공백을 깨고 발표한 정규 앨범 ‘XOXO’는 선주문만 30만 장 이상을 기록했다.

1년	1/SN+년/NNB
2개월의	2/SN+개월/NNB+의/JKG
공백을	공백/NNG+을/JKO
깨고	깨/VV+고/EC
발표한	발표/NNG+하/XSV+ㄴ/ETM
정규	정규/NNG
앨범	앨범/NNG
‘XOXO’는	‘/SS+XOXO/SL+’/SS+는/JX
선주문만	선주문/NNG+만/JX
30만	30/SN+만/NR
장	장/NNB
이상을	이상/NNG+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.79.4.8
타이틀곡 ‘늑대와 미녀(Wolf)’는 지상파 3사 음악프로그램을 석권했다.

타이틀곡	타이틀곡/NNG
‘늑대와	‘/SS+늑대/NNG+와/JC
미녀(Wolf)’는	미녀/NNG+(/SS+Wolf/SL+)/SS+’/SS+는/JX
지상파	지상파/NNG
3사	3사/NNG
음악프로그램을	음악/NNG+프로그램/NNG+을/JKO
석권했다.	석권/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.79.4.9
데뷔 첫 1위였다.

데뷔	데뷔/NNG
첫	첫/MMN
1위였다.	1/SN+위/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.79.5.1
“1위는 전혀 생각하지 못했어요.

“1위는	“/SS+1/SN+위/NNB+는/JX
전혀	전혀/MAG
생각하지	생각/NNG+하/XSV+지/EC
못했어요.	못하/VX+았/EP+어요/EF+./SF


# id : NWRW1800000037.79.5.2
늘 1위 후보에 오른 선배들을 보며 마냥 부러워했는데 우리가 1위라니요.

늘	늘/MAG
1위	1/SN+위/NNB
후보에	후보/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
선배들을	선배/NNG+들/XSN+을/JKO
보며	보/VV+며/EC
마냥	마냥/MAG
부러워했는데	부러워하/VV+았/EP+는데/EC
우리가	우리/NP+가/JKS
1위라니요.	1/SN+위/NNB+이/VCP+라니요/EF+./SF


# id : NWRW1800000037.79.5.3
기뻐서 눈물이 났지만 다음 일정 때문에 참느라 고생 좀 했어요.”(수호 루한 레이 크리스)

기뻐서	기쁘/VA+어서/EC
눈물이	눈물/NNG+이/JKS
났지만	나/VV+았/EP+지만/EC
다음	다음/NNG
일정	일정/NNG
때문에	때문/NNB+에/JKB
참느라	참/VV+느라/EC
고생	고생/NNG
좀	좀/MAG
했어요.”(수호	하/VV+았/EP+어요/EF+./SF+”/SS+(/SS+수호/NNP
루한	루한/NNP
레이	레이/NNP
크리스)	크리스/NNP+)/SS


# id : NWRW1800000037.79.6.1
엑소의 1위 소식에 누구보다 기뻐한 사람은 그들의 가족이었다.

엑소의	엑소/NNP+의/JKG
1위	1/SN+위/NNB
소식에	소식/NNG+에/JKB
누구보다	누구/NP+보다/JKB
기뻐한	기뻐하/VV+ㄴ/ETM
사람은	사람/NNG+은/JX
그들의	그/NP+들/XSN+의/JKG
가족이었다.	가족/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.79.6.2
찬열과 첸은 “부모님이 우리를 자랑스러워하는 게 가장 행복하다.

찬열과	찬열/NNP+과/JC
첸은	첸/NNP+은/JX
“부모님이	“/SS+부모/NNG+님/XSN+이/JKS
우리를	우리/NP+를/JKO
자랑스러워하는	자랑/NNG+스럽/XSA+어/EC+하/VX+는/ETM
게	거/NNB+이/JKS
가장	가장/MAG
행복하다.	행복/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000037.79.6.3
‘지인들에게 한턱 쐈다’는 말에 뿌듯했다”고 밝혔다.

‘지인들에게	‘/SS+지인/NNG+들/XSN+에게/JKB
한턱	한턱/NNG
쐈다’는	쏘/VV+았/EP+다/EF+’/SS+는/ETM
말에	말/NNG+에/JKB
뿌듯했다”고	뿌듯하/VA+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.79.7.1
엑소는 국내를 넘어 해외에서도 뜨거운 반응을 얻고 있다.

엑소는	엑소/NNP+는/JX
국내를	국내/NNG+를/JKO
넘어	넘/VV+어/EC
해외에서도	해외/NNG+에서/JKB+도/JX
뜨거운	뜨겁/VA+ㄴ/ETM
반응을	반응/NNG+을/JKO
얻고	얻/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.79.7.2
앨범 발매 2주 만에 미국 빌보드 월드 앨범차트와 홍콩 HMV 주간차트에서도 당당히 1위를 차지했다.

앨범	앨범/NNG
발매	발매/NNG
2주	2/SN+주/NNB
만에	만/NNB+에/JKB
미국	미국/NNP
빌보드	빌보드/NNP
월드	월드/NNG
앨범차트와	앨범/NNG+차트/NNG+와/JC
홍콩	홍콩/NNP
HMV	HMV/SL
주간차트에서도	주간/NNG+차트/NNG+에서/JKB+도/JX
당당히	당당히/MAG
1위를	1/SN+위/NNB+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.79.7.3
백현과 세훈은 “처음 노래와 안무를 접하고 제대로 된 결과물이 나올 거라 예감했다”며 “더욱 강력하고 완성도 높은 SM의 퍼포먼스를 보여줄 수 있어 기쁘다”고 말했다.

백현과	백현/NNP+과/JC
세훈은	세훈/NNP+은/JX
“처음	“/SS+처음/NNG
노래와	노래/NNG+와/JC
안무를	안무/NNG+를/JKO
접하고	접하/VV+고/EC
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
결과물이	결과물/NNG+이/JKS
나올	나오/VV+ㄹ/ETM
거라	거/NNB+이/VCP+라/EC
예감했다”며	예감/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“더욱	“/SS+더욱/MAG
강력하고	강력/NNG+하/XSA+고/EC
완성도	완성도/NNG
높은	높/VA+은/ETM
SM의	SM/SL+의/JKG
퍼포먼스를	퍼포먼스/NNG+를/JKO
보여줄	보이/VV+어/EC+주/VX+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
기쁘다”고	기쁘/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.79.8.1
하지만 우려의 목소리도 있다.

하지만	하지만/MAJ
우려의	우려/NNG+의/JKG
목소리도	목소리/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.79.8.2
SM과 앞서 성공한 선배들의 후광을 업고 자란 그룹이라는 지적이다.

SM과	SM/SL+과/JC
앞서	앞서/MAG
성공한	성공/NNG+하/XSV+ㄴ/ETM
선배들의	선배/NNG+들/XSN+의/JKG
후광을	후광/NNG+을/JKO
업고	업/VV+고/EC
자란	자라/VV+ㄴ/ETM
그룹이라는	그룹/NNG+이/VCP+라는/ETM
지적이다.	지적/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.79.9.1
“좋은 회사와 훌륭한 선배들 덕에 우리에게까지 관심이 이어지고 있어요.

“좋은	“/SS+좋/VA+은/ETM
회사와	회사/NNG+와/JC
훌륭한	훌륭하/VA+ㄴ/ETM
선배들	선배/NNG+들/XSN
덕에	덕/NNG+에/JKB
우리에게까지	우리/NP+에게/JKB+까지/JX
관심이	관심/NNG+이/JKS
이어지고	이어지/VV+고/EC
있어요.	있/VX+어요/EF+./SF


# id : NWRW1800000037.79.9.2
그럴수록 겸손해지려고 해요.

그럴수록	그렇/VA+ㄹ수록/EC
겸손해지려고	겸손/NNG+하/XSA+아/EC+지/VX+려고/EC
해요.	하/VX+아요/EF+./SF


# id : NWRW1800000037.79.9.3
또 열심히 노력해 ‘관심’을 ‘팬심’으로 바꾸는 게 우리의 몫이라고 생각해요.”(백현 수호)

또	또/MAG
열심히	열심히/MAG
노력해	노력/NNG+하/XSV+아/EC
‘관심’을	‘/SS+관심/NNG+’/SS+을/JKO
‘팬심’으로	‘/SS+팬심/NNG+’/SS+으로/JKB
바꾸는	바꾸/VV+는/ETM
게	거/NNB+이/JKS
우리의	우리/NP+의/JKG
몫이라고	몫/NNG+이/VCP+라고/EC
생각해요.”(백현	생각/NNG+하/XSV+아요/EF+./SF+”/SS+(/SS+백현/NNP
수호)	수호/NNP+)/SS


# id : NWRW1800000037.79.10.1
엑소는 인기보다 팀워크를 중시한다.

엑소는	엑소/NNP+는/JX
인기보다	인기/NNG+보다/JKB
팀워크를	팀워크/NNG+를/JKO
중시한다.	중시/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.79.10.2
인성을 중시하는 SM의 전통이기도 하다.

인성을	인성/NNG+을/JKO
중시하는	중시/NNG+하/XSV+는/ETM
SM의	SM/SL+의/JKG
전통이기도	전통/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000037.79.10.3
그들은 “국내외 활동을 병행하며 수년째 무대에 서고 있는 선배들의 모든 걸 본받고 싶다”고 말했다.

그들은	그/NP+들/XSN+은/JX
“국내외	“/SS+국내외/NNG
활동을	활동/NNG+을/JKO
병행하며	병행/NNG+하/XSV+며/EC
수년째	수년/NNG+째/XSN
무대에	무대/NNG+에/JKB
서고	서/VV+고/EC
있는	있/VX+는/ETM
선배들의	선배/NNG+들/XSN+의/JKG
모든	모든/MMN
걸	거/NNB+ㄹ/JKO
본받고	본받/VV+고/EC
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.79.11.1
많은 멤버 수만큼 사건도 많다는 엑소는 팀워크를 강화하는 비결도 공개했다.

많은	많/VA+은/ETM
멤버	멤버/NNG
수만큼	수/NNG+만큼/JKB
사건도	사건/NNG+도/JX
많다는	많/VA+다는/ETM
엑소는	엑소/NNP+는/JX
팀워크를	팀워크/NNG+를/JKO
강화하는	강화/NNG+하/XSV+는/ETM
비결도	비결/NNG+도/JX
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.79.11.2
시우민과 타오는 “‘운동’과 ‘수다’가 우리를 끈끈하게 만든다”며 “삼삼오오 짝을 지어 한강에서 축구와 농구를 즐긴다”고 설명했다.

시우민과	시우민/NNP+과/JC
타오는	타오/NNP+는/JX
“‘운동’과	“/SS+‘/SS+운동/NNG+’/SS+과/JC
‘수다’가	‘/SS+수다/NNG+’/SS+가/JKS
우리를	우리/NP+를/JKO
끈끈하게	끈끈하/VA+게/EC
만든다”며	만들/VV+ㄴ다/EF+”/SS+며/EC
“삼삼오오	“/SS+삼삼오오/NNG
짝을	짝/NNG+을/JKO
지어	짓/VV+어/EC
한강에서	한강/NNP+에서/JKB
축구와	축구/NNG+와/JC
농구를	농구/NNG+를/JKO
즐긴다”고	즐기/VV+ㄴ다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.79.11.3
특히 밤새는 줄 모르고 계속되는 수다는 서로를 이해하는 최고의 방법이다.

특히	특히/MAG
밤새는	밤새/VV+는/ETM
줄	줄/NNB
모르고	모르/VV+고/EC
계속되는	계속/NNG+되/XSV+는/ETM
수다는	수다/NNG+는/JX
서로를	서로/NNG+를/JKO
이해하는	이해/NNG+하/XSV+는/ETM
최고의	최고/NNG+의/JKG
방법이다.	방법/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.79.12.1
“백현이가 정말 시끄러워요.

“백현이가	“/SS+백현이/NNP+가/JKS
정말	정말/MAG
시끄러워요.	시끄럽/VA+어요/EF+./SF


# id : NWRW1800000037.79.12.2
찬열이도 장난을 좋아해요.

찬열이도	찬열이/NNP+도/JX
장난을	장난/NNG+을/JKO
좋아해요.	좋아하/VV+아요/EF+./SF


# id : NWRW1800000037.79.12.3
작은 수다가 12명을 지나면서 큰일로 바뀌게 돼요.

작은	작/VA+은/ETM
수다가	수다/NNG+가/JKS
12명을	12/SN+명/NNB+을/JKO
지나면서	지나/VV+면서/EC
큰일로	큰일/NNG+로/JKB
바뀌게	바뀌/VV+게/EC
돼요.	되/VV+어요/EF+./SF


# id : NWRW1800000037.79.12.4
실제로 카이와 첸은 휴가 때 모자를 눌러쓰고 숙소 뒷문으로 나가다 도둑으로 오해받기도 했어요.

실제로	실제로/MAG
카이와	카이/NNP+와/JC
첸은	첸/NNP+은/JX
휴가	휴가/NNG
때	때/NNG
모자를	모자/NNG+를/JKO
눌러쓰고	눌러쓰/VV+고/EC
숙소	숙소/NNG
뒷문으로	뒷문/NNG+으로/JKB
나가다	나가/VV+다/EC
도둑으로	도둑/NNG+으로/JKB
오해받기도	오해/NNG+받/XSV+기/ETN+도/JX
했어요.	하/VX+았/EP+어요/EF+./SF


# id : NWRW1800000037.79.12.5
한바탕 큰 소동이 있었죠.

한바탕	한/XPN+바탕/NNG
큰	크/VA+ㄴ/ETM
소동이	소동/NNG+이/JKS
있었죠.	있/VA+었/EP+죠/EF+./SF


# id : NWRW1800000037.79.12.6
잠시도 쉴 틈이 없어요.”(시우민 디오 타오)

잠시도	잠시/NNG+도/JX
쉴	쉬/VV+ㄹ/ETM
틈이	틈/NNB+이/JKS
없어요.”(시우민	없/VA+어요/EF+./SF+”/SS+(/SS+시우민/NNP
디오	디오/NNP
타오)	타오/NNP+)/SS


# id : NWRW1800000037.79.13.1
화장실 사용은 전쟁터를 방불케 한다.

화장실	화장실/NNG
사용은	사용/NNG+은/JX
전쟁터를	전쟁터/NNG+를/JKO
방불케	방불하/VA+게/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000037.79.13.2
매니저를 포함해 16명의 남자가 2개의 화장실을 사용하기 때문에 하루에 두 번씩 전쟁을 치르고 있다.

매니저를	매니저/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
16명의	16/SN+명/NNB+의/JKG
남자가	남자/NNG+가/JKS
2개의	2/SN+개/NNB+의/JKG
화장실을	화장실/NNG+을/JKO
사용하기	사용/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
하루에	하루/NNG+에/JKB
두	두/MMN
번씩	번/NNB+씩/XSN
전쟁을	전쟁/NNG+을/JKO
치르고	치르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.79.13.3
늦은 밤 일정을 마치고 순서대로 씻다가 아침을 맞이한 적도 많았다.

늦은	늦/VA+은/ETM
밤	밤/NNG
일정을	일정/NNG+을/JKO
마치고	마치/VV+고/EC
순서대로	순서/NNG+대로/JX
씻다가	씻/VV+다가/EC
아침을	아침/NNG+을/JKO
맞이한	맞이하/VV+ㄴ/ETM
적도	적/NNB+도/JX
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000037.79.13.4
결국 이들은 3명씩 짝을 이뤄 함께 씻고 있다.

결국	결국/MAG
이들은	이/NP+들/XSN+은/JX
3명씩	3/SN+명/NNB+씩/XSN
짝을	짝/NNG+을/JKO
이뤄	이루/VV+어/EC
함께	함께/MAG
씻고	씻/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.79.13.5
시간 절약은 물론이고 우정도 돈독해졌다고.

시간	시간/NNG
절약은	절약/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
우정도	우정/NNG+도/JX
돈독해졌다고.	돈독하/VA+아/EC+지/VX+었/EP+다고/EF+./SF


# id : NWRW1800000037.79.14.1
‘최고의 재능을 갖춘 아이돌 그룹’이라는 엑소의 발전 가능성은 무한대다.

‘최고의	‘/SS+최고/NNG+의/JKG
재능을	재능/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
아이돌	아이돌/NNG
그룹’이라는	그룹/NNG+’/SS+이/VCP+라는/ETM
엑소의	엑소/NNP+의/JKG
발전	발전/NNG
가능성은	가능/NNG+성/XSN+은/JX
무한대다.	무한대/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.79.14.2
단독 콘서트, 아시아투어, 월드투어를 꿈꾸고 있다.

단독	단독/NNG
콘서트,	콘서트/NNG+,/SP
아시아투어,	아시아/NNP+투어/NNG+,/SP
월드투어를	월드/NNG+투어/NNG+를/JKO
꿈꾸고	꿈꾸/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.79.14.3
그리고 그 꿈을 향해 빠르게 달려가고 있다.

그리고	그리고/MAJ
그	그/MMD
꿈을	꿈/NNG+을/JKO
향해	향하/VV+아/EC
빠르게	빠르/VA+게/EC
달려가고	달려가/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.79.15.1
“엑소가 가진 12가지 맛 중 하나라도 마음에 들어 하면 성공! 아시아를 대표하는 팀이 되는 날까지 지켜봐 주세요.”

“엑소가	“/SS+엑소/NNP+가/JKS
가진	가지/VV+ㄴ/ETM
12가지	12/SN+가지/NNB
맛	맛/NNG
중	중/NNB
하나라도	하나/NR+라도/JX
마음에	마음/NNG+에/JKB
들어	들/VV+어/EC
하면	하/VX+면/EC
성공!	성공/NNG+!/SF
아시아를	아시아/NNP+를/JKO
대표하는	대표/NNG+하/XSV+는/ETM
팀이	팀/NNG+이/JKC
되는	되/VV+는/ETM
날까지	날/NNG+까지/JX
지켜봐	지켜보/VV+아/EC
주세요.”	주/VX+시/EP+어요/EF+./SF+”/SS


