# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.209
metadata : {}


# id : NWRW1800000045.209.1.1
현대車 정몽구 회장, 청년희망펀드에 150억 기부

현대車	현대車/NNP
측은	측/NNB+은/JX
“정	“/SS+정/NNP
회장이	회장/NNG+이/JKS
청년	청년/NNG
일자리	일자리/NNG
창출을	창출/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
사회적	사회/NNG+적/XSN
노력에	노력/NNG+에/JKB
공감하고,	공감/NNG+하/XSV+고/EC+,/SP
청년들이	청년/NNG+들/XSN+이/JKS
미래에	미래/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
희망을	희망/NNG+을/JKO
갖고	갖/VV+고/EC
창의적	창의/NNG+적/XSN
도전을	도전/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
지원해야	지원/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
사회공헌	사회/NNG+공헌/NNG
철학에	철학/NNG+에/JKB
따라	따르/VV+아/EC
기부한	기부/NNG+하/XSV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.209.5.1
앞서 정 회장은 2007년 사재를 출연해 ‘현대차 정몽구 재단’을 설립했다.

앞서	앞서/MAG
정	정/NNP
회장은	회장/NNG+은/JX
2007년	2007/SN+년/NNB
사재를	사재/NNG+를/JKO
출연해	출연/NNG+하/XSV+아/EC
‘현대차	‘/SS+현대차/NNP
정몽구	정몽구/NNP
재단’을	재단/NNG+’/SS+을/JKO
설립했다.	설립/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.209.5.2
이 재단은 2012년부터 ‘H-온드림 오디션’ 사업을 통해 청년 사회적기업가를 대상으로 △지속적인 창업 교육 및 컨설팅 △최대 1억 원의 자금 지원 △성공한 사회적기업 멘토링 등 체계적인 프로그램으로 청년 창업을 지원하고 있다.

이	이/MMD
재단은	재단/NNG+은/JX
2012년부터	2012/SN+년/NNB+부터/JX
‘H-온드림	‘/SS+H/SL+-/SO+온드림/NNG
오디션’	오디션/NNG+’/SS
사업을	사업/NNG+을/JKO
통해	통하/VV+아/EC
청년	청년/NNG
사회적기업가를	사회/NNG+적/XSN+기업가/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
△지속적인	△/SW+지속/NNG+적/XSN+이/VCP+ㄴ/ETM
창업	창업/NNG
교육	교육/NNG
및	및/MAG
컨설팅	컨설팅/NNG
△최대	△/SW+최대/NNG
1억	1/SN+억/NR
원의	원/NNB+의/JKG
자금	자금/NNG
지원	지원/NNG
△성공한	△/SW+성공/NNG+하/XSV+ㄴ/ETM
사회적기업	사회/NNG+적/XSN+기업/NNG
멘토링	멘토링/NNG
등	등/NNB
체계적인	체계/NNG+적/XSN+이/VCP+ㄴ/ETM
프로그램으로	프로그램/NNG+으로/JKB
창업을	창업/NNG+을/JKO
지원하고	지원/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.209.5.3
현대차그룹은 최근 2016∼2018년 3년간 3만6000명을 채용하고 1만2000명의 취업 및 창업을 지원하는 ‘청년 채용 및 취업 지원 방안’을 발표하기도 했다.

현대차그룹은	현대차그룹/NNP+은/JX
최근	최근/MAG
2016∼2018년	2016/SN+∼/SO+2018/SN+년/NNB
3년간	3/SN+년/NNB+간/XSN
3만6000명을	3/SN+만/NR+6000/SN+명/NNB+을/JKO
채용하고	채용/NNG+하/XSV+고/EC
1만2000명의	1/SN+만/NR+2000/SN+명/NNB+의/JKG
취업	취업/NNG
및	및/MAG
창업을	창업/NNG+을/JKO
지원하는	지원/NNG+하/XSV+는/ETM
‘청년	‘/SS+청년/NNG
채용	채용/NNG
지원	지원/NNG
방안’을	방안/NNG+’/SS+을/JKO
발표하기도	발표/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.209.6.1
한편 신한카드와 우리카드는 카드 이용자들이 누적 포인트 등으로 ‘청년희망펀드’에 기부할 수 있도록 했다고 밝혔다.

한편	한편/MAG
신한카드와	신한카드/NNP+와/JC
우리카드는	우리카드/NNP+는/JX
카드	카드/NNG
이용자들이	이용자/NNG+들/XSN+이/JKS
누적	누적/NNG
포인트	포인트/NNG
등으로	등/NNB+으로/JKB
‘청년희망펀드’에	‘/SS+청년희망펀드/NNP+’/SS+에/JKB
기부할	기부/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
했다고	하/VV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


