# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.39
metadata : {}


# id : NWRW1800000038.39.1.1
이란도 놀랐다, 새 대통령에 실용주의 온건파

이란도	이란/NNP+도/JX
것은	것/NNB+은/JX
중도·개혁파	중도/NNG+·/SP+개혁파/NNG
간	간/NNB
후보	후보/NNG
단일화가	단일/NNG+화/XSN+가/JKS
이뤄졌기	이뤄지/VV+었/EP+기/ETN
때문이라는	때문/NNB+이/VCP+라는/ETM
분석이다.	분석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.39.5.4
개혁파 후보 모하마드 레자 아레프가 선거 사흘 전 사퇴하면서 로하니에게 힘을 몰아준 것이다.

개혁파	개혁파/NNG
후보	후보/NNG
모하마드	모하마드/NNP
레자	레자/NNP
아레프가	아레프/NNP+가/JKS
선거	선거/NNG
사흘	사흘/NNG
전	전/NNG
사퇴하면서	사퇴/NNG+하/XSV+면서/EC
로하니에게	로하니/NNP+에게/JKB
힘을	힘/NNG+을/JKO
몰아준	몰아주/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.39.5.5
중도·개혁 성향인 모하마드 하타미 전 대통령과 악바르 하셰미 라프산자니 전 대통령도 로하니 지지 선언을 했다.

중도·개혁	중도/NNG+·/SP+개혁/NNG
성향인	성향/NNG+이/VCP+ㄴ/ETM
모하마드	모하마드/NNP
하타미	하타미/NNP
전	전/MMD
대통령과	대통령/NNG+과/JC
악바르	악바르/NNP
하셰미	하셰미/NNP
라프산자니	라프산자니/NNP
대통령도	대통령/NNG+도/JX
로하니	로하니/NNP
지지	지지/NNG
선언을	선언/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.39.5.6
이란 전문가인 유달승 한국외대 교수는 "후보 중 유일한 성직자라는 로하니의 신분이 일부 보수층까지 끌어안으며 선거에서 유리하게 작용했다"고 말했다.

이란	이란/NNP
전문가인	전문가/NNG+이/VCP+ㄴ/ETM
유달승	유달승/NNP
한국외대	한국외대/NNP
교수는	교수/NNG+는/JX
"후보	"/SS+후보/NNG
중	중/NNB
유일한	유일/NNG+하/XSA+ㄴ/ETM
성직자라는	성직자/NNG+이/VCP+라는/ETM
로하니의	로하니/NNP+의/JKG
신분이	신분/NNG+이/JKS
일부	일부/NNG
보수층까지	보수/NNG+층/XSN+까지/JX
끌어안으며	끌어안/VV+으며/EC
선거에서	선거/NNG+에서/JKB
유리하게	유리/NNG+하/XSA+게/EC
작용했다"고	작용/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.39.6.1
이란에서 개혁파는 여성 인권 신장을 추구하는 등 이슬람 율법을 유연하게 해석하는 측을 말한다.

이란에서	이란/NNP+에서/JKB
개혁파는	개혁파/NNG+는/JX
여성	여성/NNG
인권	인권/NNG
신장을	신장/NNG+을/JKO
추구하는	추구/NNG+하/XSV+는/ETM
등	등/NNB
이슬람	이슬람/NNG
율법을	율법/NNG+을/JKO
유연하게	유연하/VA+게/EC
해석하는	해석/NNG+하/XSV+는/ETM
측을	측/NNB+을/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.39.6.2
보수파는 율법을 수호하기 위해 개인의 자유를 어느 정도 희생하고 인터넷과 언론 등 여론 통제도 필요하다고 본다.

보수파는	보수파/NNG+는/JX
율법을	율법/NNG+을/JKO
수호하기	수호/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
개인의	개인/NNG+의/JKG
자유를	자유/NNG+를/JKO
어느	어느/MMD
정도	정도/NNG
희생하고	희생/NNG+하/XSV+고/EC
인터넷과	인터넷/NNG+과/JC
언론	언론/NNG
등	등/NNB
여론	여론/NNG
통제도	통제/NNG+도/JX
필요하다고	필요/NNG+하/XSA+다고/EC
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.39.7.1
로하니가 서방의 핵 사찰을 허용하는 등 획기적인 변화를 시도할 수 있을지는 미지수이다.

로하니가	로하니/NNP+가/JKS
서방의	서방/NNG+의/JKG
핵	핵/NNG
사찰을	사찰/NNG+을/JKO
허용하는	허용/NNG+하/XSV+는/ETM
등	등/NNB
획기적인	획기적/NNG+이/VCP+ㄴ/ETM
변화를	변화/NNG+를/JKO
시도할	시도/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을지는	있/VA+을지/EF+는/JX
미지수이다.	미지수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.39.7.2
중요 현안에 대해 최종 결정권을 가진 최고지도자 하메네이의 뜻을 거스르기는 힘들기 때문이다.

중요	중요/NNG
현안에	현안/NNG+에/JKB
대해	대하/VV+아/EC
최종	최종/NNG
결정권을	결정/NNG+권/XSN+을/JKO
가진	가지/VV+ㄴ/ETM
최고지도자	최고/NNG+지도자/NNG
하메네이의	하메네이/NNP+의/JKG
뜻을	뜻/NNG+을/JKO
거스르기는	거스르/VV+기/ETN+는/JX
힘들기	힘들/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.39.7.3
이란은 성직자가 최고지도자인 신정(神政)공화국 체제로, 최고지도자 아래 대통령과 입법·사법·행정부 등이 있다.

이란은	이란/NNP+은/JX
성직자가	성직자/NNG+가/JKS
최고지도자인	최고/NNG+지도자/NNG+이/VCP+ㄴ/ETM
신정(神政)공화국	신정/NNG+(/SS+神政/SH+)/SS+공화국/NNG
체제로,	체제/NNG+로/JKB+,/SP
최고지도자	최고/NNG+지도자/NNG
아래	아래/NNG
대통령과	대통령/NNG+과/JC
입법·사법·행정부	입법/NNG+·/SP+사법/NNG+·/SP+행정부/NNG
등이	등/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.39.7.4
하지만 경제와 국정 현안 등을 책임지는 국정의 2인자로서 로하니가 새로운 시도를 할 것이란 전망도 나온다.

하지만	하지만/MAJ
경제와	경제/NNG+와/JC
국정	국정/NNG
현안	현안/NNG
등을	등/NNB+을/JKO
책임지는	책임지/VV+는/ETM
국정의	국정/NNG+의/JKG
2인자로서	2인자/NNG+로서/JKB
로하니가	로하니/NNP+가/JKS
새로운	새롭/VA+ㄴ/ETM
시도를	시도/NNG+를/JKO
할	하/VV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
전망도	전망/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.39.7.5
그는 당선이 확정되자 "새로운 기회가 생겨났다. 대화와 민주주의를 주창하는 국가들이 이란의 권리를 존중한다면 (이란도) 이에 응답할 것"이라고 말했다고 프레스TV가 전했다.

그는	그/NP+는/JX
당선이	당선/NNG+이/JKS
확정되자	확정/NNG+되/XSV+자/EC
"새로운	"/SS+새롭/VA+ㄴ/ETM
기회가	기회/NNG+가/JKS
생겨났다.	생겨나/VV+았/EP+다/EF+./SF
대화와	대화/NNG+와/JC
민주주의를	민주주의/NNG+를/JKO
주창하는	주창/NNG+하/XSV+는/ETM
국가들이	국가/NNG+들/XSN+이/JKS
이란의	이란/NNP+의/JKG
권리를	권리/NNG+를/JKO
존중한다면	존중/NNG+하/XSV+ㄴ다면/EC
(이란도)	(/SS+이란/NNP+도/JX+)/SS
이에	이/NP+에/JKB
응답할	응답/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
프레스TV가	프레스TV/NNP+가/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.39.8.1
국제사회에서는 핵 개발을 둘러싸고 서방과 대립각을 세워온 이란이 조만간 핵 협상에 전향적인 자세로 나올 수 있다는 관측이 나오고 있다.

국제사회에서는	국제/NNG+사회/NNG+에서/JKB+는/JX
핵	핵/NNG
개발을	개발/NNG+을/JKO
둘러싸고	둘러싸/VV+고/EC
서방과	서방/NNG+과/JKB
대립각을	대립각/NNG+을/JKO
세워온	세우/VV+어/EC+오/VX+ㄴ/ETM
이란이	이란/NNP+이/JKS
조만간	조만간/MAG
협상에	협상/NNG+에/JKB
전향적인	전향/NNG+적/XSN+이/VCP+ㄴ/ETM
자세로	자세/NNG+로/JKB
나올	나오/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
관측이	관측/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.39.8.2
이란이 경제난을 벗어나려면 서방이 주도하는 경제 제재에서 벗어나는 것이 시급하기 때문이다.

이란이	이란/NNP+이/JKS
경제난을	경제난/NNG+을/JKO
벗어나려면	벗어나/VV+려면/EC
서방이	서방/NNG+이/JKS
주도하는	주도/NNG+하/XSV+는/ETM
경제	경제/NNG
제재에서	제재/NNG+에서/JKB
벗어나는	벗어나/VV+는/ETM
것이	것/NNB+이/JKS
시급하기	시급하/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.39.9.1
실제로 로하니는 선거 유세 때 "이란 경제를 살리고 정치적 고립에서 벗어나 국제사회와 건설적인 관계를 구축해야 한다"고 했다.

실제로	실제로/MAG
로하니는	로하니/NNP+는/JX
선거	선거/NNG
유세	유세/NNG
때	때/NNG
"이란	"/SS+이란/NNP
경제를	경제/NNG+를/JKO
살리고	살리/VV+고/EC
정치적	정치/NNG+적/XSN
고립에서	고립/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
국제사회와	국제/NNG+사회/NNG+와/JKB
건설적인	건설/NNG+적/XSN+이/VCP+ㄴ/ETM
관계를	관계/NNG+를/JKO
구축해야	구축/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.39.9.2
실용주의를 강조하며 '경제 대통령'이 되겠다는 뜻을 내비친 것이다.

실용주의를	실용주의/NNG+를/JKO
강조하며	강조/NNG+하/XSV+며/EC
'경제	'/SS+경제/NNG
대통령'이	대통령/NNG+'/SS+이/JKC
되겠다는	되/VV+겠/EP+다는/ETM
뜻을	뜻/NNG+을/JKO
내비친	내비치/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.39.10.1
캐서린 애슈턴 EU(유럽연합) 외교·안보 고위대표는 "핵 문제의 신속한 외교적 해법을 찾는 데 이란의 새 지도부와 협력할 의지가 있다"고 말했다.

캐서린	캐서린/NNP
애슈턴	애슈턴/NNP
EU(유럽연합)	EU/SL+(/SS+유럽연합/NNP+)/SS
외교·안보	외교/NNG+·/SP+안보/NNG
고위대표는	고위/NNG+대표/NNG+는/JX
"핵	"/SS+핵/NNG
문제의	문제/NNG+의/JKG
신속한	신속/NNG+하/XSA+ㄴ/ETM
외교적	외교/NNG+적/XSN
해법을	해법/NNG+을/JKO
찾는	찾/VV+는/ETM
데	데/NNB
이란의	이란/NNP+의/JKG
새	새/MMA
지도부와	지도부/NNG+와/JKB
협력할	협력/NNG+하/XSV+ㄹ/ETM
의지가	의지/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.39.11.1
하지만 이란 국회의원 샤리프 후세이니는 "누가 대통령이 됐든 이란의 핵 관련 정책은 지금과 달라지지 않을 것"이라고 말했다고 NYT가 전했다.

하지만	하지만/MAJ
이란	이란/NNP
국회의원	국회/NNG+의원/NNG
샤리프	샤리프/NNP
후세이니는	후세이니/NNP+는/JX
"누가	"/SS+누구/NP+가/JKS
대통령이	대통령/NNG+이/JKC
됐든	되/VV+었/EP+든/EC
이란의	이란/NNP+의/JKG
핵	핵/NNG
관련	관련/NNG
정책은	정책/NNG+은/JX
지금과	지금/NNG+과/JKB
달라지지	달라지/VV+지/EC
않을	않/VX+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
NYT가	NYT/SL+가/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


