# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.234
metadata : {}


# id : NWRW1800000026.234.1.1
[부산·경남] 부산 병원들, "전문화가 경쟁력이다";'암 치료 전문' 동남권 원자력의학원 오늘 정식 개원

[부산·경남]	[/SS+부산/NNP+·/SP+경남/NNP+]/SS
병원측은	병원/NNG+측/NNB+은/JX
"암에	"/SS+암/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
원스톱	원스톱/NNG
치료	치료/NNG
체제를	체제/NNG+를/JKO
갖췄다"고	갖추/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.234.5.1
이 병원은 또 부산 최초로 사이버나이프를 들인 것을 비롯, 6차원 고정밀 선형가속기, 로봇수술기, 4D-CT치료계획장치, PET-CT, 3TMRI, 128채널 CT 등 첨단 암진단 및 치료장비를 갖췄다.

이	이/MMD
병원은	병원/NNG+은/JX
또	또/MAG
부산	부산/NNP
최초로	최초/NNG+로/JKB
사이버나이프를	사이버나이프/NNG+를/JKO
들인	들이/VV+ㄴ/ETM
것을	것/NNB+을/JKO
비롯,	비롯/XR+,/SP
6차원	6/SN+차원/NNG
고정밀	고/XPN+정밀/NNG
선형가속기,	선형/NNG+가속기/NNG+,/SP
로봇수술기,	로봇/NNG+수술기/NNG+,/SP
4D-CT치료계획장치,	4/SN+D/SL+-/SO+CT/SL+치료/NNG+계획/NNG+장치/NNG+,/SP
PET-CT,	PET/SL+-/SO+CT/SL+,/SP
3TMRI,	3/SN+TMRI/SL+,/SP
128채널	128/SN+채널/NNG
CT	CT/SL
등	등/NNB
첨단	첨단/NNG
암진단	암/NNG+진단/NNG
및	및/MAG
치료장비를	치료/NNG+장비/NNG+를/JKO
갖췄다.	갖추/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.234.5.2
특히 꿈의 암치료기라고 불리는 '의료용 중입자 가속기'도 1950억원을 들여 도입, 2016년부터 운영할 예정이다.

특히	특히/MAG
꿈의	꿈/NNG+의/JKG
암치료기라고	암/NNG+치료기/NNG+이/VCP+라고/EC
불리는	불리/VV+는/ETM
'의료용	'/SS+의료/NNG+용/XSN
중입자	중입자/NNG
가속기'도	가속기/NNG+'/SS+도/JX
1950억원을	1950/SN+억/NR+원/NNB+을/JKO
들여	들이/VV+어/EC
도입,	도입/NNG+,/SP
2016년부터	2016/SN+년/NNB+부터/JX
운영할	운영/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.234.6.1
병원측은 또 "한적한 교외의 공기 좋은 곳의 햇볕 가득히 받는 병실에서 풀밭과 산림을 보며 암 치료를 받을 수 있다는 게 우리의 특징"이라며 "한마디로 '오감(五感) 치료' 서비스 제공이 가능하다"고 말했다.

병원측은	병원/NNG+측/NNB+은/JX
또	또/MAG
"한적한	"/SS+한적하/VA+ㄴ/ETM
교외의	교외/NNG+의/JKG
공기	공기/NNG
좋은	좋/VA+은/ETM
곳의	곳/NNG+의/JKG
햇볕	햇볕/NNG
가득히	가득히/MAG
받는	받/VV+는/ETM
병실에서	병실/NNG+에서/JKB
풀밭과	풀밭/NNG+과/JC
산림을	산림/NNG+을/JKO
보며	보/VV+며/EC
암	암/NNG
치료를	치료/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
게	거/NNB+이/JKS
우리의	우리/NP+의/JKG
특징"이라며	특징/NNG+"/SS+이/VCP+라며/EC
"한마디로	"/SS+한마디/NNG+로/JKB
'오감(五感)	'/SS+오감/NNG+(/SS+五感/SH+)/SS
치료'	치료/NNG+'/SS
서비스	서비스/NNG
제공이	제공/NNG+이/JKS
가능하다"고	가능/NNG+하/XSA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.234.7.1
해운대구 좌동 해운대백병원은 지난 14일 갑상선센터를 개소했다.

해운대구	해운대구/NNP
좌동	좌동/NNP
해운대백병원은	해운대백병원/NNP+은/JX
지난	지나/VV+ㄴ/ETM
14일	14/SN+일/NNB
갑상선센터를	갑상선/NNG+센터/NNG+를/JKO
개소했다.	개소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.234.7.2
이 센터는 내분비대사 내과, 갑상선 두경부 외과, 영상의학과 등 6개 진료과를 통합한 국내 최초의 대학병원 갑상선 전문센터다.

이	이/MMD
센터는	센터/NNG+는/JX
내분비대사	내분비/NNG+대사/NNG
내과,	내과/NNG+,/SP
갑상선	갑상선/NNG
두경부	두경부/NNG
외과,	외과/NNG+,/SP
영상의학과	영상/NNG+의학과/NNG
등	등/NNB
6개	6/SN+개/NNB
진료과를	진료과/NNG+를/JKO
통합한	통합/NNG+하/XSV+ㄴ/ETM
국내	국내/NNG
최초의	최초/NNG+의/JKG
대학병원	대학/NNG+병원/NNG
전문센터다.	전문/NNG+센터/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.234.7.3
또 해운대구 중동 '해운대 힐링스병원'이 지난 3일 개원했다.

또	또/MAG
해운대구	해운대구/NNP
중동	중동/NNP
'해운대	'/SS+해운대/NNP
힐링스병원'이	힐링스병원/NNP+'/SS+이/JKS
지난	지나/VV+ㄴ/ETM
3일	3/SN+일/NNB
개원했다.	개원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.234.7.4
도시철도 2호선 중동역 부근에 있는 이 병원은 중풍 후유증 재활치료 전문병원.

도시철도	도시/NNG+철도/NNG
2호선	2/SN+호선/NNB
중동역	중동역/NNP
부근에	부근/NNG+에/JKB
있는	있/VA+는/ETM
이	이/MMD
병원은	병원/NNG+은/JX
중풍	중풍/NNG
후유증	후유증/NNG
재활치료	재활/NNG+치료/NNG
전문병원.	전문/NNG+병원/NNG+./SF


# id : NWRW1800000026.234.7.5
일상생활동작치료실, 운동치료실, 작업치료실, 통증치료실, 언어치료실 등을 갖추고 있다.

일상생활동작치료실,	일상생활/NNG+동작/NNG+치료실/NNG+,/SP
운동치료실,	운동/NNG+치료실/NNG+,/SP
작업치료실,	작업/NNG+치료실/NNG+,/SP
통증치료실,	통증/NNG+치료실/NNG+,/SP
언어치료실	언어/NNG+치료실/NNG
등을	등/NNB+을/JKO
갖추고	갖추/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.234.7.6
321병상 규모다.

321병상	321/SN+병상/NNG
규모다.	규모/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.234.8.1
이에 앞서 화상전문인 북구 화명동 베스티안, 대장·항문·위 등 소화기 전문의 연제구 연산동 새항운병원 등도 올봄 문을 열었다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
화상전문인	화상/NNG+전문/NNG+이/VCP+ㄴ/ETM
북구	북구/NNP
화명동	화명동/NNP
베스티안,	베스티안/NNP+,/SP
대장·항문·위	대장/NNG+·/SP+항문/NNG+·/SP+위/NNG
등	등/NNB
소화기	소화기/NNG
전문의	전문/NNG+의/JKG
연제구	연제구/NNP
연산동	연산동/NNP
새항운병원	새항운병원/NNP
등도	등/NNB+도/JX
올봄	올봄/NNG
문을	문/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.234.8.2
지난해 7월엔 부산대병원의 '부산지역 암센터'가 개설됐다.

지난해	지난해/NNG
7월엔	7/SN+월/NNB+에/JKB+ㄴ/JX
부산대병원의	부산대병원/NNP+의/JKG
'부산지역	'/SS+부산지역/NNP
암센터'가	암/NNG+센터/NNG+'/SS+가/JKS
개설됐다.	개설/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.234.8.3
이와 함께 척추질환전문 한방병원도 생긴다.

이와	이/NP+와/JKB
함께	함께/MAG
척추질환전문	척추/NNG+질환/NNG+전문/NNG
한방병원도	한방/NNG+병원/NNG+도/JX
생긴다.	생기/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.234.8.4
200병상 규모의 자생한방병원.

200병상	200/SN+병상/NNG
규모의	규모/NNG+의/JKG
자생한방병원.	자생한방병원/NNP+./SF


# id : NWRW1800000026.234.8.5
오는 연말 해운대에서 문을 열 예정이다.

오는	오/VV+는/ETM
연말	연말/NNG
해운대에서	해운대/NNP+에서/JKB
문을	문/NNG+을/JKO
열	열/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.234.8.6
부산대병원은 499억원이 투입되는 '동남권역 호흡기전문질환센터' 개설을 추진 중이다.

부산대병원은	부산대병원/NNP+은/JX
499억원이	499/SN+억/NR+원/NNB+이/JKS
투입되는	투입/NNG+되/XSV+는/ETM
'동남권역	'/SS+동남/NNG+권역/NNG
호흡기전문질환센터'	호흡기/NNG+전문/NNG+질환/NNG+센터/NNG+'/SS
개설을	개설/NNG+을/JKO
추진	추진/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.234.8.7
부산대측은 최근 정부로부터 이 센터 사업자로 선정됐다.

부산대측은	부산대/NNP+측/NNB+은/JX
최근	최근/NNG
정부로부터	정부/NNG+로부터/JKB
이	이/MMD
센터	센터/NNG
사업자로	사업자/NNG+로/JKB
선정됐다.	선정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.234.9.1
이 밖에 미용과 성형, 재건 등 성형 관련 전문치료센터로 유명한 좋은문화병원 미용성형재건센터 등도 있다.

이	이/NP
밖에	밖/NNG+에/JKB
미용과	미용/NNG+과/JC
성형,	성형/NNG+,/SP
재건	재건/NNG
등	등/NNB
성형	성형/NNG
관련	관련/NNG
전문치료센터로	전문/NNG+치료/NNG+센터/NNG+로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
좋은문화병원	좋은문화병원/NNP
미용성형재건센터	미용/NNG+성형/NNG+재건/NNG+센터/NNG
등도	등/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.234.10.1
부산의료관광정보센터 오창석 센터장은 "부산의 의료 인프라 수준이 높아지면서 병원들의 전문화가 가속화하고 있다"며 "이런 추세는 KTX 2단계 개통과 병원 간 경쟁 격화 등 주변 환경 변화에 따라 더욱 심화될 전망"이라고 말했다.

부산의료관광정보센터	부산의료관광정보센터/NNP
오창석	오창석/NNP
센터장은	센터장/NNG+은/JX
"부산의	"/SS+부산/NNP+의/JKG
의료	의료/NNG
인프라	인프라/NNG
수준이	수준/NNG+이/JKS
높아지면서	높아지/VV+면서/EC
병원들의	병원/NNG+들/XSN+의/JKG
전문화가	전문/NNG+화/XSN+가/JKS
가속화하고	가속/NNG+화/XSN+하/XSV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"이런	"/SS+이런/MMD
추세는	추세/NNG+는/JX
KTX	KTX/SL
2단계	2/SN+단계/NNG
개통과	개통/NNG+과/JKB
병원	병원/NNG
간	간/NNB
경쟁	경쟁/NNG
격화	격화/NNG
등	등/NNB
주변	주변/NNG
환경	환경/NNG
변화에	변화/NNG+에/JKB
따라	따르/VV+아/EC
더욱	더욱/MAG
심화될	심화/NNG+되/XSV+ㄹ/ETM
전망"이라고	전망/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


