# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.228
metadata : {}


# id : NWRW1800000044.228.1.1
연금만으로 생활 어려워…노인 54% 일한다

연금만으로	연금/NNG+만/JX+으로/JKB
고령층	고령/NNG+층/XSN
10명	10/SN+명/NNB
중	중/NNB
6명	6/SN+명/NNB
이상은	이상/NNG+은/JX
“앞으로	“/SS+앞/NNG+으로/JKB
더	더/MAG
일을	일/NNG+을/JKO
해야	하/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
생각하고	생각/NNG+하/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000044.228.7.4
“생활비에 보탬이 되기 위해서”가 54%로 가장 많았다.

“생활비에	“/SS+생활비/NNG+에/JKB
보탬이	보탬/NNG+이/JKC
되기	되/VV+기/ETN
위해서”가	위하/VV+아서/EC+”/SS+가/JKS
54%로	54/SN+%/SW+로/JKB
가장	가장/MAG
많았다.	많/VA+았/EP+다/EF+./SF


