# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.351
metadata : {}


# id : NWRW1800000049.351.1.1
[단독]특별감찰관 이석수, 우병우 檢에 수사의뢰

[단독]특별감찰관	[/SS+단독/NNG+]/SS+특별/NNG+감찰관/NNG
않은	않/VX+은/ETM
것이라	것/NNB+이/VCP+라/EC
부실	부실/NNG
감찰	감찰/NNG
논란이	논란/NNG+이/JKS
불거질	불거지/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.351.4.1
이 특별감찰관은 우 수석 아들의 ‘의경 보직’ 논란과 관련해 직권남용 혐의, 우 수석 가족기업 정강에 대해서는 횡령 혐의에 해당한다며 수사를 의뢰한 것으로 알려졌다.

이	이/NNP
특별감찰관은	특별/NNG+감찰관/NNG+은/JX
우	우/NNP
수석	수석/NNG
아들의	아들/NNG+의/JKG
‘의경	‘/SS+의경/NNG
보직’	보직/NNG+’/SS
논란과	논란/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
직권남용	직권/NNG+남용/NNG
혐의,	혐의/NNG+,/SP
가족기업	가족/NNG+기업/NNG
정강에	정강/NNP+에/JKB
대해서는	대하/VV+아서/EC+는/JX
횡령	횡령/NNG
혐의에	혐의/NNG+에/JKB
해당한다며	해당/NNG+하/XSV+ㄴ다며/EC
수사를	수사/NNG+를/JKO
의뢰한	의뢰/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.351.4.2
하지만 핵심 의혹이었던 우 수석 처가의 서울 강남 땅 매매 과정과 진경준 전 검사장 부실 검증 의혹은 특별감찰 대상인 ‘비위행위’가 아니어서 정작 들여다보지도 못한 것으로 알려졌다.

하지만	하지만/MAJ
핵심	핵심/NNG
의혹이었던	의혹/NNG+이/VCP+었/EP+던/ETM
우	우/NNP
수석	수석/NNG
처가의	처가/NNG+의/JKG
서울	서울/NNP
강남	강남/NNP
땅	땅/NNG
매매	매매/NNG
과정과	과정/NNG+과/JC
진경준	진경준/NNP
전	전/MMD
검사장	검사장/NNG
부실	부실/NNG
검증	검증/NNG
의혹은	의혹/NNG+은/JX
특별감찰	특별/NNG+감찰/NNG
대상인	대상/NNG+이/VCP+ㄴ/ETM
‘비위행위’가	‘/SS+비위/NNG+행위/NNG+’/SS+가/JKC
아니어서	아니/VCN+어서/EC
정작	정작/MAG
들여다보지도	들여다보/VV+지/EC+도/JX
못한	못하/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.351.4.3
우 수석 아들인 우모 수경은 지난해 2월 의경으로 입대해 같은 해 4월 정부서울청사 경비대에 배치됐고 7월 서울지방경찰청 운전병으로 자리를 옮겨 특혜 논란이 일었다.

우	우/NNP
수석	수석/NNG
아들인	아들/NNG+이/VCP+ㄴ/ETM
우모	우/NNP+모/NP
수경은	수경/NNG+은/JX
지난해	지난해/NNG
2월	2/SN+월/NNB
의경으로	의경/NNG+으로/JKB
입대해	입대/NNG+하/XSV+아/EC
같은	같/VA+은/ETM
해	해/NNG
4월	4/SN+월/NNB
정부서울청사	정부서울청사/NNP
경비대에	경비대/NNG+에/JKB
배치됐고	배치/NNG+되/XSV+었/EP+고/EC
7월	7/SN+월/NNB
서울지방경찰청	서울지방경찰청/NNP
운전병으로	운전병/NNG+으로/JKB
자리를	자리/NNG+를/JKO
옮겨	옮기/VV+어/EC
특혜	특혜/NNG
논란이	논란/NNG+이/JKS
일었다.	일/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.351.5.1
특별감찰관법에 따르면 범죄 혐의가 명백해 형사처벌이 필요하다고 인정한 때에는 검찰에 ‘고발’할 수 있다.

특별감찰관법에	특별/NNG+감찰관/NNG+법/NNG+에/JKB
따르면	따르/VV+면/EC
범죄	범죄/NNG
혐의가	혐의/NNG+가/JKS
명백해	명백하/VA+아/EC
형사처벌이	형사/NNG+처벌/NNG+이/JKS
필요하다고	필요/NNG+하/XSA+다고/EC
인정한	인정/NNG+하/XSV+ㄴ/ETM
때에는	때/NNG+에/JKB+는/JX
검찰에	검찰/NNG+에/JKB
‘고발’할	‘/SS+고발/NNG+’/SS+하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.351.5.2
반면 이번 경우처럼 범죄 행위에 해당한다고 믿을 만한 상당한 이유가 있고 증거 인멸 등을 방지하거나 증거를 확보하기 위해 필요하다고 인정한 때에는 ‘수사 의뢰’를 할 수 있다.

반면	반면/NNG
이번	이번/NNG
경우처럼	경우/NNG+처럼/JKB
범죄	범죄/NNG
행위에	행위/NNG+에/JKB
해당한다고	해당/NNG+하/XSV+ㄴ다고/EC
믿을	믿/VV+을/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
상당한	상당/NNG+하/XSA+ㄴ/ETM
이유가	이유/NNG+가/JKS
있고	있/VA+고/EC
증거	증거/NNG
인멸	인멸/NNG
등을	등/NNB+을/JKO
방지하거나	방지/NNG+하/XSV+거나/EC
증거를	증거/NNG+를/JKO
확보하기	확보/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
필요하다고	필요/NNG+하/XSA+다고/EC
인정한	인정/NNG+하/XSV+ㄴ/ETM
때에는	때/NNG+에/JKB+는/JX
‘수사	‘/SS+수사/NNG
의뢰’를	의뢰/NNG+’/SS+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.351.5.3
검찰은 특별감찰관의 수사 의뢰를 서울중앙지검으로 곧 이첩해 수사에 착수할 예정이다.

검찰은	검찰/NNG+은/JX
특별감찰관의	특별/NNG+감찰관/NNG+의/JKG
수사	수사/NNG
의뢰를	의뢰/NNG+를/JKO
서울중앙지검으로	서울중앙지검/NNP+으로/JKB
곧	곧/MAG
이첩해	이첩/NNG+하/XSV+아/EC
수사에	수사/NNG+에/JKB
착수할	착수/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.351.6.1
한편 이 특별감찰관이 한 일간지 기자에게 감찰 내용을 누설했다는 의혹과 관련해 대한민국수호천주교인모임 대표 이모 씨 등 3명은 18일 “이 특별감찰관이 특별감찰관법을 위반했다”며 서울중앙지검에 고발했다.

한편	한편/MAG
이	이/NNP
특별감찰관이	특별/NNG+감찰관/NNG+이/JKS
한	한/MMN
일간지	일간지/NNG
기자에게	기자/NNG+에게/JKB
감찰	감찰/NNG
내용을	내용/NNG+을/JKO
누설했다는	누설/NNG+하/XSV+았/EP+다는/ETM
의혹과	의혹/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
대한민국수호천주교인모임	대한민국/NNP+수호/NNG+천주교인/NNG+모임/NNG
대표	대표/NNG
이모	이/NNP+모/NP
씨	씨/NNB
등	등/NNB
3명은	3/SN+명/NNB+은/JX
18일	18/SN+일/NNB
“이	“/SS+이/NNP
특별감찰관법을	특별/NNG+감찰관/NNG+법/NNG+을/JKO
위반했다”며	위반/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
서울중앙지검에	서울중앙지검/NNP+에/JKB
고발했다.	고발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.351.6.2
이에 따라 검찰은 이 특별감찰관의 감찰 내용 누설 여부를 수사할 것으로 전망된다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
검찰은	검찰/NNG+은/JX
이	이/NNP
특별감찰관의	특별/NNG+감찰관/NNG+의/JKG
감찰	감찰/NNG
내용	내용/NNG
누설	누설/NNG
여부를	여부/NNG+를/JKO
수사할	수사/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


