# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.188
metadata : {}


# id : NWRW1800000041.188.1.1
“항일 민족혼, 빛바랠 순 없다”

“항일	“/SS+항일/NNG
이에	이/NP+에/JKB
동아일보사는	동아일보사/NNP+는/JX
지난해	지난해/NNG
4월	4/SN+월/NNB
전국	전국/NNG
15곳에	15/SN+곳/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
현장	현장/NNG
점검을	점검/NNG+을/JKO
실시했다.	실시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.188.4.4
그 결과 지자체의 관리를 통해 예산이 적게 드는 주변 조경 개선 등은 이뤄졌으나 오염되거나 훼손된 기념비나 조형물은 비용 부담으로 방치된 경우가 많았다.

그	그/MMD
결과	결과/NNG
지자체의	지자체/NNG+의/JKG
관리를	관리/NNG+를/JKO
통해	통하/VV+아/EC
예산이	예산/NNG+이/JKS
적게	적/VA+게/EC
드는	들/VV+는/ETM
주변	주변/NNG
조경	조경/NNG
개선	개선/NNG
등은	등/NNB+은/JX
이뤄졌으나	이뤄지/VV+었/EP+으나/EC
오염되거나	오염/NNG+되/XSV+거나/EC
훼손된	훼손/NNG+되/XSV+ㄴ/ETM
기념비나	기념비/NNG+나/JC
조형물은	조형물/NNG+은/JX
비용	비용/NNG
부담으로	부담/NNG+으로/JKB
방치된	방치/NNG+되/XSV+ㄴ/ETM
경우가	경우/NNG+가/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000041.188.4.5
현충시설의 개·보수 시 보훈지청의 예산을 지원받을 수 있으나 지자체 관리자가 관련 사실을 모르고 있는 경우도 있었다.

현충시설의	현충/NNG+시설/NNG+의/JKG
개·보수	개·보수/NNG
시	시/NNB
보훈지청의	보훈/NNG+지청/NNG+의/JKG
예산을	예산/NNG+을/JKO
지원받을	지원/NNG+받/XSV+을/ETM
수	수/NNB
있으나	있/VA+으나/EC
지자체	지자체/NNG
관리자가	관리자/NNG+가/JKS
관련	관련/NNG
사실을	사실/NNG+을/JKO
모르고	모르/VV+고/EC
있는	있/VX+는/ETM
경우도	경우/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.188.5.1
현장 점검 결과를 바탕으로 오염 및 훼손 정도가 심한 익산 영동 남원 영암 서천 5곳의 3·1운동기념비와 완도에 있는 신지 항일운동기념탑에 대한 개·보수 작업이 지난해 11월 말 이뤄졌다.

현장	현장/NNG
점검	점검/NNG
결과를	결과/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
오염	오염/NNG
및	및/MAG
훼손	훼손/NNG
정도가	정도/NNG+가/JKS
심한	심하/VA+ㄴ/ETM
익산	익산/NNP
영동	영동/NNP
남원	남원/NNP
영암	영암/NNP
서천	서천/NNP
5곳의	5/SN+곳/NNG+의/JKG
3·1운동기념비와	3/SN+·/SP+1/SN+운동/NNG+기념비/NNG+와/JC
완도에	완도/NNP+에/JKB
있는	있/VA+는/ETM
신지	신지/NNP
항일운동기념탑에	항일/NNG+운동/NNG+기념탑/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
개·보수	개·보수/NNG
작업이	작업/NNG+이/JKS
지난해	지난해/NNG
11월	11/SN+월/NNB
말	말/NNB
이뤄졌다.	이뤄지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.188.5.2
‘국가유공자 등 예우 및 지원에 관한 법률’에 의거해 현충시설의 시설보수비 등은 전액 국비로 지원됐다.

‘국가유공자	‘/SS+국가/NNG+유공자/NNG
등	등/NNB
예우	예우/NNG
및	및/MAG
지원에	지원/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률’에	법률/NNG+’/SS+에/JKB
의거해	의거/NNG+하/XSV+아/EC
현충시설의	현충/NNG+시설/NNG+의/JKG
시설보수비	시설/NNG+보수비/NNG
등은	등/NNB+은/JX
전액	전액/NNG
국비로	국비/NNG+로/JKB
지원됐다.	지원/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.188.6.1
올해 내로 홍천 임실 안동 영동 강진 등 다섯 곳의 시설을 추가로 개·보수하기 위해 현재 사업계획서가 보훈지청에 전달된 상태다.

올해	올해/NNG
내로	내/NNB+로/JKB
홍천	홍천/NNP
임실	임실/NNP
안동	안동/NNP
영동	영동/NNP
강진	강진/NNP
등	등/NNB
다섯	다섯/NR
곳의	곳/NNG+의/JKG
시설을	시설/NNG+을/JKO
추가로	추가/NNG+로/JKB
개·보수하기	개·보수/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
현재	현재/MAG
사업계획서가	사업/NNG+계획서/NNG+가/JKS
보훈지청에	보훈/NNG+지청/NNG+에/JKB
전달된	전달/NNG+되/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.188.7.1
현충시설 관리에 힘써온 양영두 소충사선문화제전위원회 위원장은 “대중의 관심 부족으로 기념비에 대한 관리가 부실했던 게 사실인데 3·1절을 맞이하는 시점에 이를 되돌아보고 개·보수에 나서게 된 것은 큰 의미가 있다”며 “민관이 협력해 현충시설을 보존 및 관리하는 데 더욱 노력할 필요가 있다”고 말했다.

현충시설	현충/NNG+시설/NNG
관리에	관리/NNG+에/JKB
힘써온	힘쓰/VV+어/EC+오/VX+ㄴ/ETM
양영두	양영두/NNP
소충사선문화제전위원회	소충사선문화제전위원회/NNP
위원장은	위원장/NNG+은/JX
“대중의	“/SS+대중/NNG+의/JKG
관심	관심/NNG
부족으로	부족/NNG+으로/JKB
기념비에	기념비/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관리가	관리/NNG+가/JKS
부실했던	부실/NNG+하/XSA+았/EP+던/ETM
게	거/NNB+이/JKS
사실인데	사실/NNG+이/VCP+ㄴ데/EC
3·1절을	3·1절/NNG+을/JKO
맞이하는	맞이하/VV+는/ETM
시점에	시점/NNG+에/JKB
이를	이/NP+를/JKO
되돌아보고	되돌아보/VV+고/EC
개·보수에	개·보수/NNG+에/JKB
나서게	나서/VV+게/EC
된	되/VV+ㄴ/ETM
것은	것/NNB+은/JX
큰	크/VA+ㄴ/ETM
의미가	의미/NNG+가/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
“민관이	“/SS+민관/NNG+이/JKS
협력해	협력/NNG+하/XSV+아/EC
현충시설을	현충/NNG+시설/NNG+을/JKO
보존	보존/NNG
및	및/MAG
관리하는	관리/NNG+하/XSV+는/ETM
데	데/NNB
더욱	더욱/MAG
노력할	노력/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.188.8.1
현재 전국에 있는 독립운동 관련 현충시설은 모두 823개.

현재	현재/MAG
전국에	전국/NNG+에/JKB
있는	있/VA+는/ETM
독립운동	독립운동/NNG
관련	관련/NNG
현충시설은	현충/NNG+시설/NNG+은/JX
모두	모두/MAG
823개.	823/SN+개/NNB+./SF


# id : NWRW1800000041.188.8.2
그중 탑이나 비석은 515개다.

그중	그중/NNG
탑이나	탑/NNG+이나/JC
비석은	비석/NNG+은/JX
515개다.	515/SN+개/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.188.8.3
국가보훈처는 ‘국가유공자 등 예우 및 지원에 관한 법률’에 의거해 현충시설들을 관리하고 있으며 시설보수비 등을 국비로 지원하고 있다.

국가보훈처는	국가/NNG+보훈처/NNG+는/JX
‘국가유공자	‘/SS+국가/NNG+유공자/NNG
등	등/NNB
예우	예우/NNG
및	및/MAG
지원에	지원/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률’에	법률/NNG+’/SS+에/JKB
의거해	의거/NNG+하/XSV+아/EC
현충시설들을	현충/NNG+시설/NNG+들/XSN+을/JKO
관리하고	관리/NNG+하/XSV+고/EC
있으며	있/VX+으며/EC
시설보수비	시설/NNG+보수비/NNG
등을	등/NNB+을/JKO
국비로	국비/NNG+로/JKB
지원하고	지원/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


