# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.183
metadata : {}


# id : NWRW1800000033.183.1.1
이혼숙려제처럼… 고교생 자퇴도 2주간 ‘숙려’

이혼숙려제처럼…	이혼/NNG+숙려/NNG+제/XSN+처럼/JKB+…/SE
‘학업중단	‘/SS+학업/NNG+중단/NNG
숙려제’를	숙려/NNG+제/XSN+’/SS+를/JKO
시행한다고	시행/NNG+하/XSV+ㄴ다고/EC
28일	28/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.183.5.1
숙려제 적용 대상은 자퇴 의사를 밝히거나, 무단결석 등 학업중단의 조짐을 보이는 고교생이다.

숙려제	숙려/NNG+제/XSN
적용	적용/NNG
대상은	대상/NNG+은/JX
자퇴	자퇴/NNG
의사를	의사/NNG+를/JKO
밝히거나,	밝히/VV+거나/EC+,/SP
무단결석	무단결석/NNG
등	등/NNB
학업중단의	학업/NNG+중단/NNG+의/JKG
조짐을	조짐/NNG+을/JKO
보이는	보이/VV+는/ETM
고교생이다.	고교/NNG+생/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000033.183.5.2
다만 이 제도는 의무가 아니라서 학생이 숙려제를 거부하고 즉시 자퇴를 요구하는 경우에는 바로 학교를 떠나게 된다.

다만	다만/MAG
이	이/MMD
제도는	제도/NNG+는/JX
의무가	의무/NNG+가/JKC
아니라서	아니/VCN+라서/EC
학생이	학생/NNG+이/JKS
숙려제를	숙려/NNG+제/XSN+를/JKO
거부하고	거부/NNG+하/XSV+고/EC
즉시	즉시/NNG
자퇴를	자퇴/NNG+를/JKO
요구하는	요구/NNG+하/XSV+는/ETM
경우에는	경우/NNG+에/JKB+는/JX
바로	바로/MAG
학교를	학교/NNG+를/JKO
떠나게	떠나/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.183.6.1
질병이나 유학, 특수학교 전학 등의 사유가 있으면 숙려제 적용 대상이 아니다.

질병이나	질병/NNG+이나/JC
유학,	유학/NNG+,/SP
특수학교	특수/NNG+학교/NNG
전학	전학/NNG
등의	등/NNB+의/JKG
사유가	사유/NNG+가/JKS
있으면	있/VA+으면/EC
숙려제	숙려/NNG+제/XSN
적용	적용/NNG
대상이	대상/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000033.183.6.2
검정고시를 보려고 학교를 그만두는 학생은 원칙적으로 적용 대상이지만, 숙려 기간 때문에 검정고시 지원자격(검정고시 공고일 6개월 이전에 자퇴)을 잃게 되는 경우에는 예외로 한다.

검정고시를	검정고시/NNG+를/JKO
보려고	보/VV+려고/EC
학교를	학교/NNG+를/JKO
그만두는	그만두/VV+는/ETM
학생은	학생/NNG+은/JX
원칙적으로	원칙/NNG+적/XSN+으로/JKB
적용	적용/NNG
대상이지만,	대상/NNG+이/VCP+지만/EC+,/SP
숙려	숙려/NNG
기간	기간/NNG
때문에	때문/NNB+에/JKB
검정고시	검정고시/NNG
지원자격(검정고시	지원/NNG+자격/NNG+(/SS+검정고시/NNG
공고일	공고일/NNG
6개월	6/SN+개월/NNB
이전에	이전/NNG+에/JKB
자퇴)을	자퇴/NNG+)/SS+을/JKO
잃게	잃/VV+게/EC
되는	되/VV+는/ETM
경우에는	경우/NNG+에/JKB+는/JX
예외로	예외/NNG+로/JKB
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.183.7.1
숙려 기간은 최소 2주로 하되, 시도 교육감이 달리 정할 수 있다.

숙려	숙려/NNG
기간은	기간/NNG+은/JX
최소	최소/NNG
2주로	2/SN+주/NNB+로/JKB
하되,	하/VV+되/EC+,/SP
시도	시도/NNG
교육감이	교육감/NNG+이/JKS
달리	달리/MAG
정할	정하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.183.7.2
시작하는 시점은 학교장이 정한다.

시작하는	시작/NNG+하/XSV+는/ETM
시점은	시점/NNG+은/JX
학교장이	학교장/NNG+이/JKS
정한다.	정하/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.183.7.3
예를 들어 학생이 자퇴서를 낸 다음 날부터 셀 수도 있고, 무단결석한 지 5일이 지난 날부터 셀 수도 있다.

예를	예/NNG+를/JKO
들어	들/VV+어/EC
학생이	학생/NNG+이/JKS
자퇴서를	자퇴서/NNG+를/JKO
낸	내/VV+ㄴ/ETM
다음	다음/NNG
날부터	날/NNG+부터/JX
셀	세/VV+ㄹ/ETM
수도	수/NNB+도/JX
있고,	있/VA+고/EC+,/SP
무단결석한	무단결석/NNG+하/XSV+ㄴ/ETM
지	지/NNB
5일이	5/SN+일/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.183.7.4
이에 따라 실제 숙려 기간은 2주보다 길어질 수 있다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
실제	실제/NNG
숙려	숙려/NNG
기간은	기간/NNG+은/JX
2주보다	2/SN+주/NNB+보다/JKB
길어질	길어지/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.183.8.1
이 기간에 학생은 학생 상담 치료 전문 가구인 위(Wee)센터나 청소년상담지원센터 등 학교 밖 기관에서 상담과 심리검사를 받게 된다.

이	이/MMD
기간에	기간/NNG+에/JKB
학생은	학생/NNG+은/JX
학생	학생/NNG
상담	상담/NNG
치료	치료/NNG
전문	전문/NNG
가구인	가구/NNG+이/VCP+ㄴ/ETM
위(Wee)센터나	위/NNP+(/SS+Wee/SL+)/SS+센터/NNG+나/JC
청소년상담지원센터	청소년/NNG+상담/NNG+지원/NNG+센터/NNG
등	등/NNB
학교	학교/NNG
밖	밖/NNG
기관에서	기관/NNG+에서/JKB
상담과	상담/NNG+과/JC
심리검사를	심리/NNG+검사/NNG+를/JKO
받게	받/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.183.8.2
학업을 중단했을 때 달라질 진로와 미래의 상황에 대한 안내도 받게 된다.

학업을	학업/NNG+을/JKO
중단했을	중단/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
달라질	달라지/VV+ㄹ/ETM
진로와	진로/NNG+와/JC
미래의	미래/NNG+의/JKG
상황에	상황/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
안내도	안내/NNG+도/JX
받게	받/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.183.8.3
상담을 받은 날은 학교에 출석한 것으로 인정된다.

상담을	상담/NNG+을/JKO
받은	받/VV+은/ETM
날은	날/NNG+은/JX
학교에	학교/NNG+에/JKB
출석한	출석/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
인정된다.	인정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.183.8.4
해당 학생의 학부모도 상담을 받을 수 있다.

해당	해당/NNG
학생의	학생/NNG+의/JKG
학부모도	학부모/NNG+도/JX
상담을	상담/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.183.9.1
지난해 고교생 가운데 학업을 중단한 학생은 3만4091명으로 전체 고교생의 1.74%였다.

지난해	지난해/NNG
고교생	고교/NNG+생/XSN
가운데	가운데/NNG
학업을	학업/NNG+을/JKO
중단한	중단/NNG+하/XSV+ㄴ/ETM
학생은	학생/NNG+은/JX
3만4091명으로	3/SN+만/NR+4091/SN+명/NNB+으로/JKB
전체	전체/NNG
고교생의	고교/NNG+생/XSN+의/JKG
1.74%였다.	1/SN+./SP+74/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.183.9.2
학업 중단 사유는 부적응(51.4%)이 가장 많았다.

학업	학업/NNG
중단	중단/NNG
사유는	사유/NNG+는/JX
부적응(51.4%)이	부/XPN+적응/NNG+(/SS+51/SN+./SP+4/SN+%/SW+)/SS+이/JKS
가장	가장/MAG
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000033.183.10.1
교과부는 학업중단 숙려제를 시행하면 고교생의 학업 중단율이 10% 이상 줄어들 것으로 기대하고 있다.

교과부는	교과부/NNG+는/JX
학업중단	학업/NNG+중단/NNG
숙려제를	숙려/NNG+제/XSN+를/JKO
시행하면	시행/NNG+하/XSV+면/EC
고교생의	고교/NNG+생/XSN+의/JKG
학업	학업/NNG
중단율이	중단/NNG+율/XSN+이/JKS
10%	10/SN+%/SW
이상	이상/NNG
줄어들	줄어들/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대하고	기대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.183.10.2
지난해 이 제도를 시범 실시한 경기도교육청의 경우 상담을 받은 학생의 18%(369명)가 자퇴 의사를 철회했다.

지난해	지난해/NNG
이	이/MMD
제도를	제도/NNG+를/JKO
시범	시범/NNG
실시한	실시/NNG+하/XSV+ㄴ/ETM
경기도교육청의	경기도교육청/NNP+의/JKG
경우	경우/NNG
상담을	상담/NNG+을/JKO
받은	받/VV+은/ETM
학생의	학생/NNG+의/JKG
18%(369명)가	18/SN+%/SW+(/SS+369/SN+명/NNB+)/SS+가/JKS
자퇴	자퇴/NNG
의사를	의사/NNG+를/JKO
철회했다.	철회/NNG+하/XSV+았/EP+다/EF+./SF


