# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.232
metadata : {}


# id : NWRW1800000025.232.1.1
인천, 143km 8코스 ‘강화나들길’ 조성

인천,	인천/NNP+,/SP
단장된다.	단장/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.232.3.1
1코스 ‘심도역사문화길’은 강화읍내 주요 문화유적지를 6시간가량 걷는 18km 구간.

1코스	1/SN+코스/NNG
‘심도역사문화길’은	‘/SS+심도역사문화길/NNP+’/SS+은/JX
강화읍내	강화읍/NNP+내/NNB
주요	주요/NNG
문화유적지를	문화/NNG+유적지/NNG+를/JKO
6시간가량	6/SN+시간/NNB+가량/XSN
걷는	걷/VV+는/ETM
18km	18/SN+km/SW
구간.	구간/NNG+./SF


# id : NWRW1800000025.232.3.2
도보여권을 나눠주는 강화버스터미널에서 시작해 용흥궁∼성공회강화성당∼고려궁지∼강화향교∼강화성∼황형장군묘∼월곶돈대∼갑곶성지∼강화역사관으로 이어지는 코스다.

도보여권을	도보/NNG+여권/NNG+을/JKO
나눠주는	나누/VV+어/EC+주/VX+는/ETM
강화버스터미널에서	강화버스터미널/NNP+에서/JKB
시작해	시작/NNG+하/XSV+아/EC
용흥궁∼성공회강화성당∼고려궁지∼강화향교∼강화성∼황형장군묘∼월곶돈대∼갑곶성지∼강화역사관으로	용흥궁/NNP+∼/SO+성공회강화성당/NNP+∼/SO+고려궁지/NNP+∼/SO+강화향교/NNP+∼/SO+강화성/NNP+∼/SO+황형장군묘/NNP+∼/SO+월곶돈대/NNP+∼/SO+갑곶성지/NNP+∼/SO+강화역사관/NNP+으로/JKB
이어지는	이어지/VV+는/ETM
코스다.	코스/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.232.4.1
2코스 ‘호국돈대길’은 한강과 서해가 만나는 염하 해안도로를 따라 가는 17km 길이(5시간 50분 소요)다.

2코스	2/SN+코스/NNG
‘호국돈대길’은	‘/SS+호국돈대길/NNP+’/SS+은/JX
한강과	한강/NNP+과/JC
서해가	서해/NNP+가/JKS
만나는	만나/VV+는/ETM
염하	염하/NNP
해안도로를	해안/NNG+도로/NNG+를/JKO
따라	따르/VV+아/EC
가는	가/VX+는/ETM
17km	17/SN+km/SW
길이(5시간	길이/NNG+(/SS+5/SN+시간/NNB
50분	50/SN+분/NNB
소요)다.	소요/NNG+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000025.232.4.2
오두돈대, 광성보, 덕진진, 초지진 등 조선시대 국방유적지를 돌아볼 수 있다.

오두돈대,	오두돈대/NNP+,/SP
광성보,	광성보/NNP+,/SP
덕진진,	덕진진/NNP+,/SP
초지진	초지진/NNP
등	등/NNB
조선시대	조선시대/NNG
국방유적지를	국방/NNG+유적지/NNG+를/JKO
돌아볼	돌아보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.232.4.3
썰물 때 해안 바위길을 따라 걸을 수 있고, 풍광이 뛰어난 지점이 많아 사진을 촬영하기 좋다.

썰물	썰물/NNG
때	때/NNG
해안	해안/NNG
바위길을	바위길/NNG+을/JKO
따라	따르/VV+아/EC
걸을	걷/VV+을/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
풍광이	풍광/NNG+이/JKS
뛰어난	뛰어나/VA+ㄴ/ETM
지점이	지점/NNG+이/JKS
많아	많/VA+아/EC
사진을	사진/NNG+을/JKO
촬영하기	촬영/NNG+하/XSV+기/ETN
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000025.232.5.1
20km 안팎인 3∼8코스 거리 단장은 내년부터 2013년까지 본격화된다.

20km	20/SN+km/SW
안팎인	안팎/NNG+이/VCP+ㄴ/ETM
3∼8코스	3/SN+∼/SO+8/SN+코스/NNG
거리	거리/NNG
단장은	단장/NNG+은/JX
내년부터	내년/NNG+부터/JX
2013년까지	2013/SN+년/NNB+까지/JX
본격화된다.	본격/NNG+화/XSN+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.232.5.2
고찰인 전등사, 외포리 새우젓 재래시장, 고인돌군, 삼림욕장, 고려팔만대장경(세계문화유산)을 조판한 선원사지, 마니산 청소년수련원, 철새 도래지 등을 찾아갈 수 있다.

고찰인	고찰/NNG+이/VCP+ㄴ/ETM
전등사,	전등사/NNP+,/SP
외포리	외포리/NNP
새우젓	새우젓/NNG
재래시장,	재래시장/NNG+,/SP
고인돌군,	고인돌군/NNG+,/SP
삼림욕장,	삼림욕장/NNG+,/SP
고려팔만대장경(세계문화유산)을	고려/NNP+팔만대장경/NNG+(/SS+세계/NNG+문화유산/NNG+)/SS+을/JKO
조판한	조판/NNG+하/XSV+ㄴ/ETM
선원사지,	선원사지/NNP+,/SP
마니산	마니산/NNP
청소년수련원,	청소년/NNG+수련원/NNG+,/SP
철새	철새/NNG
도래지	도래지/NNG
등을	등/NNB+을/JKO
찾아갈	찾아가/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.232.6.1
인천시는 이미 조성된 강화나들길 여행자에게 ‘도보여권’을 나눠주고, 구간별로 완주 도장을 찍어주고 있다.

인천시는	인천시/NNP+는/JX
이미	이미/MAG
조성된	조성/NNG+되/XSV+ㄴ/ETM
강화나들길	강화나들길/NNP
여행자에게	여행자/NNG+에게/JKB
‘도보여권’을	‘/SS+도보/NNG+여권/NNG+’/SS+을/JKO
나눠주고,	나누/VV+어/EC+주/VX+고/EC+,/SP
구간별로	구간/NNG+별/XSN+로/JKB
완주	완주/NNG
도장을	도장/NNG+을/JKO
찍어주고	찍/VV+어/EC+주/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.232.6.2
도보여권에는 코스별 안내 외 화문석문화마을, 용두레마을, 달빛동화마을 등의 농촌체험장, 숙소, 식당 등을 알려주는 여행정보도 싣고 있다.

도보여권에는	도보/NNG+여권/NNG+에/JKB+는/JX
코스별	코스/NNG+별/XSN
안내	안내/NNG
외	외/NNB
화문석문화마을,	화문석문화마을/NNP+,/SP
용두레마을,	용두레마을/NNP+,/SP
달빛동화마을	달빛동화마을/NNP
등의	등/NNB+의/JKG
농촌체험장,	농촌/NNG+체험장/NNG+,/SP
숙소,	숙소/NNG+,/SP
식당	식당/NNG
등을	등/NNB+을/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
여행정보도	여행/NNG+정보/NNG+도/JX
싣고	싣/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.232.6.3
인천시 황규옥 관광진흥과장은 “강화도는 선사시대부터 근대 유적지를 풍부히 간직하고 있는 ‘지붕 없는 박물관’이어서 문화탐방을 겸한 도보여행이 가능하다”고 소개했다.

인천시	인천시/NNP
황규옥	황규옥/NNP
관광진흥과장은	관광/NNG+진흥/NNG+과장/NNG+은/JX
“강화도는	“/SS+강화도/NNP+는/JX
선사시대부터	선사/NNG+시대/NNG+부터/JX
근대	근대/NNG
유적지를	유적지/NNG+를/JKO
풍부히	풍부히/MAG
간직하고	간직/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
‘지붕	‘/SS+지붕/NNG
없는	없/VA+는/ETM
박물관’이어서	박물관/NNG+’/SS+이/VCP+어서/EC
문화탐방을	문화/NNG+탐방/NNG+을/JKO
겸한	겸/NNB+하/XSV+ㄴ/ETM
도보여행이	도보/NNG+여행/NNG+이/JKS
가능하다”고	가능/NNG+하/XSA+다/EF+”/SS+고/JKQ
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.232.6.4
032-930-4331, cafe.daum.net/vita-walk

032-930-4331,	032/SN+-/SO+930/SN+-/SO+4331/SN+,/SP
cafe.daum.net/vita-walk	cafe/SL+./SP+daum/SL+./SP+net/SL+//SP+vita/SL+-/SO+walk/SL


