# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.139
metadata : {}


# id : NWRW1800000021.139.1.1
[부산/경남]울산공단 4개 기업 ‘에너지 품앗이’

[부산/경남]울산공단	[/SS+부산/NNP+//SP+경남/NNP+]/SS+울산공단/NNP
개선에도	개선/NNG+에/JKB+도/JX
기여할	기여/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.139.4.1
코리아PTG는 소각열에서 발생하는 고압 스팀을 그동안 저압 스팀으로 재가공해 사용하면서 비용이 많이 들었다.

코리아PTG는	코리아PTG/NNP+는/JX
소각열에서	소각/NNG+열/NNG+에서/JKB
발생하는	발생/NNG+하/XSV+는/ETM
고압	고압/NNG
스팀을	스팀/NNG+을/JKO
그동안	그동안/NNG
저압	저압/NNG
스팀으로	스팀/NNG+으로/JKB
재가공해	재/XPN+가공/NNG+하/XSV+아/EC
사용하면서	사용/NNG+하/XSV+면서/EC
비용이	비용/NNG+이/JKS
많이	많이/MAG
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.139.4.2
그러나 이 시설 준공으로 시간당 30t의 고압 스팀을 SKC 울산공장에 공급하고 필요한 저압 스팀은 KP케미칼과 한솔EME에서 받아 사용하게 됐다.

그러나	그러나/MAJ
이	이/MMD
시설	시설/NNG
준공으로	준공/NNG+으로/JKB
시간당	시간/NNG+당/XSN
30t의	30/SN+t/SW+의/JKG
고압	고압/NNG
스팀을	스팀/NNG+을/JKO
SKC	SKC/SL
울산공장에	울산/NNP+공장/NNG+에/JKB
공급하고	공급/NNG+하/XSV+고/EC
필요한	필요/NNG+하/XSA+ㄴ/ETM
저압	저압/NNG
스팀은	스팀/NNG+은/JX
KP케미칼과	KP케미칼/NNP+과/JC
한솔EME에서	한솔EME/NNP+에서/JKB
받아	받/VV+아/EC
사용하게	사용/NNG+하/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.139.4.3
이 같은 에너지 이용 효율화로 코리아PTG와 KP케미칼 울산2공장, 한솔EME 등 3개사가 각각 연간 33억 원의 스팀 판매수익을 올릴 수 있게 됐다.

이	이/NP
같은	같/VA+은/ETM
에너지	에너지/NNG
이용	이용/NNG
효율화로	효율/NNG+화/XSN+로/JKB
코리아PTG와	코리아PTG/NNP+와/JC
KP케미칼	KP케미칼/NNP
울산2공장,	울산/NNP+2/SN+공장/NNG+,/SP
한솔EME	한솔EME/NNP
등	등/NNB
3개사가	3/SN+개사/NNB+가/JKS
각각	각각/MAG
연간	연간/NNG
33억	33/SN+억/NR
원의	원/NNB+의/JKG
스팀	스팀/NNG
판매수익을	판매/NNG+수익/NNG+을/JKO
올릴	올리/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.139.5.1
또 SKC 울산공장은 싼 고압 스팀을 이용함으로써 기존 벙커C유 사용량을 연간 1600만 L나 줄여 22억 원의 비용절감과 함께 이산화탄소 등 대기오염물질 배출을 줄여 연간 1억9000여만 원의 탄소배출권 수익도 기대된다.

또	또/MAG
SKC	SKC/SL
울산공장은	울산/NNP+공장/NNG+은/JX
싼	싸/VA+ㄴ/ETM
고압	고압/NNG
스팀을	스팀/NNG+을/JKO
이용함으로써	이용/NNG+하/XSV+ㅁ/ETN+으로써/JKB
기존	기존/NNG
벙커C유	벙커C유/NNG
사용량을	사용량/NNG+을/JKO
연간	연간/NNG
1600만	1600/SN+만/NR
L나	L/SW+나/JX
줄여	줄이/VV+어/EC
22억	22/SN+억/NR
원의	원/NNB+의/JKG
비용절감과	비용/NNG+절감/NNG+과/JKB
함께	함께/MAG
이산화탄소	이산화/NNG+탄소/NNG
등	등/NNB
대기오염물질	대기/NNG+오염/NNG+물질/NNG
배출을	배출/NNG+을/JKO
1억9000여만	1/SN+억/NR+9000/SN+여/XSN+만/NR
탄소배출권	탄소/NNG+배출/NNG+권/XSN
수익도	수익/NNG+도/JX
기대된다.	기대/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.139.5.2
울산시 관계자는 “이해관계가 다른 기업체가 공동으로 에너지 네트워크를 구축한 점이 높이 평가된다”며 “앞으로 울산지역 산업단지 전체로 확산되는 계기가 될 것”이라고 말했다.

울산시	울산시/NNP
관계자는	관계자/NNG+는/JX
“이해관계가	“/SS+이해관계/NNG+가/JKS
다른	다르/VA+ㄴ/ETM
기업체가	기업체/NNG+가/JKS
공동으로	공동/NNG+으로/JKB
에너지	에너지/NNG
네트워크를	네트워크/NNG+를/JKO
구축한	구축/NNG+하/XSV+ㄴ/ETM
점이	점/NNG+이/JKS
높이	높이/MAG
평가된다”며	평가/NNG+되/XSV+ㄴ다/EF+”/SS+며/EC
“앞으로	“/SS+앞/NNG+으로/JKB
울산지역	울산/NNP+지역/NNG
산업단지	산업/NNG+단지/NNG
전체로	전체/NNG+로/JKB
확산되는	확산/NNG+되/XSV+는/ETM
계기가	계기/NNG+가/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.139.5.3
울산에코사업단은 2004년부터 울산공단 내 기업체에서 발생하는 부산물과 폐기물, 폐에너지 등을 원료나 에너지로 재자원화해 오염물질을 없애는 생태산업단지 구축사업을 펼치고 있다.

울산에코사업단은	울산에코사업단/NNP+은/JX
2004년부터	2004/SN+년/NNB+부터/JX
울산공단	울산공단/NNP
내	내/NNB
기업체에서	기업체/NNG+에서/JKB
발생하는	발생/NNG+하/XSV+는/ETM
부산물과	부산물/NNG+과/JC
폐기물,	폐기물/NNG+,/SP
폐에너지	폐/XPN+에너지/NNG
등을	등/NNB+을/JKO
원료나	원료/NNG+나/JC
에너지로	에너지/NNG+로/JKB
재자원화해	재/XPN+자원/NNG+화/XSN+하/XSV+아/EC
오염물질을	오염/NNG+물질/NNG+을/JKO
없애는	없애/VV+는/ETM
생태산업단지	생태/NNG+산업/NNG+단지/NNG
구축사업을	구축/NNG+사업/NNG+을/JKO
펼치고	펼치/VV+고/EC
있다.	있/VX+다/EF+./SF


