# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000042.362
metadata : {}


# id : NWRW1800000042.362.1.1
박영선, 유민 아빠(38일째 단식 농성) 만나 "우리가 잘못… 용서해달라"

박영선,	박영선/NNP+,/SP
대통령이	대통령/NNG+이/JKS
김씨를	김/NNP+씨/NNB+를/JKO
만나달라고	만나/VV+아/EC+달/VX+라고/EC
촉구했고,	촉구/NNG+하/XSV+았/EP+고/EC+,/SP
당	당/NNG
대변인들도	대변인/NNG+들/XSN+도/JX
나서서	나서/VV+어서/EC
같은	같/VA+은/ETM
주장을	주장/NNG+을/JKO
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000042.362.5.3
이에 대해 새누리당 박대출 대변인은 브리핑을 통해 "여야 합의에 대한 유가족 동의와 대통령의 유가족 면담은 주고받을 사안이 아니다"며 "여야 합의가 두 차례 연속 무산될지 모르는 상황에 놓이자 위기를 벗어나려 청와대를 도피처로 삼는 것은 온당치 못하다"고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
새누리당	새누리당/NNP
박대출	박대출/NNP
대변인은	대변인/NNG+은/JX
브리핑을	브리핑/NNG+을/JKO
통해	통하/VV+아/EC
"여야	"/SS+여야/NNG
합의에	합의/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
유가족	유가족/NNG
동의와	동의/NNG+와/JC
대통령의	대통령/NNG+의/JKG
면담은	면담/NNG+은/JX
주고받을	주고받/VV+을/ETM
사안이	사안/NNG+이/JKC
아니다"며	아니/VCN+다/EF+"/SS+며/EC
합의가	합의/NNG+가/JKS
두	두/MMN
차례	차례/NNG
연속	연속/NNG
무산될지	무산/NNG+되/XSV+ㄹ지/EF
모르는	모르/VV+는/ETM
상황에	상황/NNG+에/JKB
놓이자	놓이/VV+자/EC
위기를	위기/NNG+를/JKO
벗어나려	벗어나/VV+려/EC
청와대를	청와대/NNP+를/JKO
도피처로	도피처/NNG+로/JKB
삼는	삼/VV+는/ETM
것은	것/NNB+은/JX
온당치	온당하/VA+지/EC
못하다"고	못하/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000042.362.6.1
김씨는 박 위원장을 만난 자리에서 세월호특별법 재협상안에 대해 반대 입장을 표한 것으로 알려졌다.

김씨는	김/NNP+씨/NNB+는/JX
박	박/NNP
위원장을	위원장/NNG+을/JKO
만난	만나/VV+ㄴ/ETM
자리에서	자리/NNG+에서/JKB
세월호특별법	세월호/NNP+특별법/NNG
재협상안에	재/XPN+협상안/NNG+에/JKB
대해	대하/VV+아/EC
반대	반대/NNG
입장을	입장/NNG+을/JKO
표한	표/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000042.362.6.2
박 위원장은 김씨의 반응에 대해 "만족스럽지 않을 것이다. (재협상안이) 유가족의 마음을 다 담지 못했지 않으냐"며 "유민 아빠한테 우리가 이렇게 했으니 여기서 단식을 그만둬 달라고 말씀드릴 순 없다. 그 마음은 이해해야 한다"고 말했다.

박	박/NNP
위원장은	위원장/NNG+은/JX
김씨의	김/NNP+씨/NNB+의/JKG
반응에	반응/NNG+에/JKB
대해	대하/VV+아/EC
"만족스럽지	"/SS+만족/NNG+스럽/XSA+지/EC
않을	않/VX+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF
(재협상안이)	(/SS+재/XPN+협상안/NNG+이/JKS+)/SS
유가족의	유가족/NNG+의/JKG
마음을	마음/NNG+을/JKO
다	다/MAG
담지	담/VV+지/EC
못했지	못하/VX+았/EP+지/EC
않으냐"며	않/VX+으냐/EF+"/SS+며/EC
"유민	"/SS+유민/NNP
아빠한테	아빠/NNG+한테/JKB
우리가	우리/NP+가/JKS
이렇게	이렇/VA+게/EC
했으니	하/VV+았/EP+으니/EC
여기서	여기/NP+서/JKB
단식을	단식/NNG+을/JKO
그만둬	그만두/VV+어/EC
달라고	달/VX+라고/EC
말씀드릴	말씀/NNG+드리/VV+ㄹ/ETM
순	수/NNB+ㄴ/JX
없다.	없/VA+다/EF+./SF
그	그/MMD
마음은	마음/NNG+은/JX
이해해야	이해/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000042.362.6.3
박 위원장은 유족들이 요구하는 '재재협상' 가능성에 대해서는 "그건 못한다고 말씀드렸다"고 했다.

박	박/NNP
위원장은	위원장/NNG+은/JX
유족들이	유족/NNG+들/XSN+이/JKS
요구하는	요구/NNG+하/XSV+는/ETM
'재재협상'	'/SS+재/XPN+재/XPN+협상/NNG+'/SS
가능성에	가능/NNG+성/XSN+에/JKB
대해서는	대하/VV+아서/EC+는/JX
"그건	"/SS+그거/NP+ㄴ/JX
못한다고	못/MAG+하/VV+ㄴ다고/EC
말씀드렸다"고	말씀/NNG+드리/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000042.362.7.1
박 위원장 측은 이날 따로 사전 연락 없이 김씨를 방문했고, 세월호특별법 재협상안에 반발하는 일부 유족의 항의를 받은 것으로 알려졌다.

박	박/NNP
위원장	위원장/NNG
측은	측/NNB+은/JX
이날	이날/NNG
따로	따로/MAG
사전	사전/NNG
연락	연락/NNG
없이	없이/MAG
김씨를	김/NNP+씨/NNB+를/JKO
방문했고,	방문/NNG+하/XSV+았/EP+고/EC+,/SP
세월호특별법	세월호/NNP+특별법/NNG
재협상안에	재/XPN+협상안/NNG+에/JKB
반발하는	반발/NNG+하/XSV+는/ETM
일부	일부/NNG
유족의	유족/NNG+의/JKG
항의를	항의/NNG+를/JKO
받은	받/VV+은/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


