# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.249
metadata : {}


# id : NWRW1800000037.249.1.1
전세기 타고 간 배상문 “1000만달러 타겠다”

전세기	전세기/NNG
첫	첫/MMN
우승을	우승/NNG+을/JKO
거둬	거두/VV+어/EC
기세등등하던	기세등등/MAG+하/XSA+던/ETM
배상문은	배상문/NNP+은/JX
“한국과	“/SS+한국/NNP+과/JC
일본에서도	일본/NNP+에서/JKB+도/JX
승이	승/NNB+이/JKS
힘들었지	힘들/VA+었/EP+지/EC
두	두/MMN
번째는	번/NNB+째/XSN+는/JX
금방	금방/MAG
왔다.	오/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.249.3.3
미국에서도 마찬가지일 것”이라며 큰소리쳤다.

미국에서도	미국/NNP+에서/JKB+도/JX
마찬가지일	마찬가지/NNG+이/VCP+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
큰소리쳤다.	큰소리치/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.249.3.4
하지만 우승 후 출전한 9개 대회에서 4회 연속을 포함해 5차례 예선 탈락하며 침묵했다.

하지만	하지만/MAJ
우승	우승/NNG
후	후/NNG
출전한	출전/NNG+하/XSV+ㄴ/ETM
9개	9/SN+개/NNB
대회에서	대회/NNG+에서/JKB
4회	4/SN+회/NNB
연속을	연속/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
5차례	5/SN+차례/NNG
예선	예선/NNG
탈락하며	탈락/NNG+하/XSV+며/EC
침묵했다.	침묵/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.249.4.1
배상문이 이번 주 막이 오르는 페덱스컵 플레이오프에서 반격을 노리는 이유다.

배상문이	배상문/NNP+이/JKS
이번	이번/NNG
주	주/NNG
막이	막/NNG+이/JKS
오르는	오르/VV+는/ETM
페덱스컵	페덱스/NNP+컵/NNG
플레이오프에서	플레이오프/NNG+에서/JKB
반격을	반격/NNG+을/JKO
노리는	노리/VV+는/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.249.4.2
배상문은 자신의 페이스북에 전세기편으로 대회 장소 인근 뉴욕에 도착하는 사진을 올리며 기대감을 드러냈다.

배상문은	배상문/NNP+은/JX
자신의	자신/NNG+의/JKG
페이스북에	페이스북/NNP+에/JKB
전세기편으로	전세기/NNG+편/NNB+으로/JKB
대회	대회/NNG
장소	장소/NNG
인근	인근/NNG
뉴욕에	뉴욕/NNP+에/JKB
도착하는	도착/NNG+하/XSV+는/ETM
사진을	사진/NNG+을/JKO
올리며	올리/VV+며/EC
기대감을	기대감/NNG+을/JKO
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.249.4.3
이번 플레이오프는 22일 미국 뉴저지 주 저지시티 리버티내셔널GC(파71·7400야드)에서 개막하는 바클레이스를 시작으로 도이체방크챔피언십, BMW챔피언십, 투어챔피언십까지 4개 대회를 치른다.

이번	이번/NNG
플레이오프는	플레이오프/NNG+는/JX
22일	22/SN+일/NNB
미국	미국/NNP
뉴저지	뉴저지/NNP
주	주/NNG
저지시티	저지시티/NNP
리버티내셔널GC(파71·7400야드)에서	리버티내셔널GC/NNP+(/SS+파/NNG+71/SN+·/SP+7400/SN+야드/NNB+)/SS+에서/JKB
개막하는	개막/NNG+하/XSV+는/ETM
바클레이스를	바클레이스/NNP+를/JKO
시작으로	시작/NNG+으로/JKB
도이체방크챔피언십,	도이체방크/NNP+챔피언십/NNG+,/SP
BMW챔피언십,	BMW/SL+챔피언십/NNG+,/SP
투어챔피언십까지	투어챔피언십/NNG+까지/JX
4개	4/SN+개/NNB
대회를	대회/NNG+를/JKO
치른다.	치르/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.249.5.1
지난해 플레이오프에 처음 출전해 두 번째 관문에서 탈락한 배상문은 전화 인터뷰에서 “첫 단추가 중요하다.

지난해	지난해/NNG
플레이오프에	플레이오프/NNG+에/JKB
처음	처음/NNG
출전해	출전/NNG+하/XSV+아/EC
두	두/MMN
번째	번/NNB+째/XSN
관문에서	관문/NNG+에서/JKB
탈락한	탈락/NNG+하/XSV+ㄴ/ETM
배상문은	배상문/NNP+은/JX
전화	전화/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
“첫	“/SS+첫/MMN
단추가	단추/NNG+가/JKS
중요하다.	중요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000037.249.5.2
이번 주 최대한 성적을 끌어올려 끝까지 살아남는 게 1차 목표다.

이번	이번/NNG
주	주/NNG
최대한	최대한/MAG
성적을	성적/NNG+을/JKO
끌어올려	끌어올리/VV+어/EC
끝까지	끝/NNG+까지/JX
살아남는	살아남/VV+는/ETM
게	거/NNB+이/JKS
1차	1/SN+차/NNB
목표다.	목표/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.249.5.3
물론 눈높이는 우승에 맞춰져 있다”고 밝혔다.

물론	물론/MAG
눈높이는	눈높이/NNG+는/JX
우승에	우승/NNG+에/JKB
맞춰져	맞추/VV+어/EC+지/VX+어/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.249.5.4
그는 “우승 이후 그린 주변이나 퍼트에서의 미세한 실수로 스코어가 관리가 안 됐다.

그는	그/NP+는/JX
“우승	“/SS+우승/NNG
이후	이후/NNG
그린	그린/NNG
주변이나	주변/NNG+이나/JC
퍼트에서의	퍼트/NNG+에서/JKB+의/JKG
미세한	미세/NNG+하/XSA+ㄴ/ETM
실수로	실수/NNG+로/JKB
스코어가	스코어/NNG+가/JKS
관리가	관리/NNG+가/JKS
안	안/MAG
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.249.5.5
그동안 쇼트 게임 보완에 치중했고 한 번 경험해 봤기에 자신감도 붙었다”고 말했다.

그동안	그동안/NNG
쇼트	쇼트/NNG
게임	게임/NNG
보완에	보완/NNG+에/JKB
치중했고	치중/NNG+하/XSV+았/EP+고/EC
한	한/MMN
번	번/NNB
경험해	경험/NNG+하/XSV+아/EC
봤기에	보/VX+았/EP+기에/EC
자신감도	자신감/NNG+도/JX
붙었다”고	붙/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.249.5.6
드라이버 비거리가 늘었고 아이언의 정확도도 향상됐기에 ‘설거지’(쇼트 게임)만 되면 승산이 충분하다는 게 그의 얘기.

드라이버	드라이버/NNG
비거리가	비거리/NNG+가/JKS
늘었고	늘/VV+었/EP+고/EC
아이언의	아이언/NNG+의/JKG
정확도도	정확도/NNG+도/JX
향상됐기에	향상/NNG+되/XSV+었/EP+기에/EC
‘설거지’(쇼트	‘/SS+설거지/NNG+’/SS+(/SS+쇼트/NNG
게임)만	게임/NNG+)/SS+만/JX
되면	되/VV+면/EC
승산이	승산/NNG+이/JKS
충분하다는	충분하/VA+다는/ETM
게	거/NNB+이/JKS
그의	그/NP+의/JKG
얘기.	얘기/NNG+./SF


# id : NWRW1800000037.249.6.1
플레이오프는 125명의 1차전 출전자 가운데 상위 100명이 2차전에 나서며 70명이 출전하는 3차전을 거쳐 30명만이 최종전에 합류하는 서바이벌 게임.

플레이오프는	플레이오프/NNG+는/JX
125명의	125/SN+명/NNB+의/JKG
1차전	1/SN+차전/NNB
출전자	출전자/NNG
가운데	가운데/NNG
상위	상위/NNG
100명이	100/SN+명/NNB+이/JKS
2차전에	2/SN+차전/NNB+에/JKB
나서며	나서/VV+며/EC
70명이	70/SN+명/NNB+이/JKS
출전하는	출전/NNG+하/XSV+는/ETM
3차전을	3/SN+차전/NNB+을/JKO
거쳐	거치/VV+어/EC
30명만이	30/SN+명/NNB+만/JX+이/JKS
최종전에	최종전/NNG+에/JKB
합류하는	합류/NNG+하/XSV+는/ETM
서바이벌	서바이벌/NNG
게임.	게임/NNG+./SF


# id : NWRW1800000037.249.6.2
최종전에서 가장 높은 포인트를 얻으면 은퇴 후 연금 형식으로 지급되는 1000만 달러(약 112억 원)의 보너스를 차지한다.

최종전에서	최종전/NNG+에서/JKB
가장	가장/MAG
높은	높/VA+은/ETM
포인트를	포인트/NNG+를/JKO
얻으면	얻/VV+으면/EC
은퇴	은퇴/NNG
후	후/NNG
연금	연금/NNG
형식으로	형식/NNG+으로/JKB
지급되는	지급/NNG+되/XSV+는/ETM
1000만	1000/SN+만/NR
달러(약	달러/NNB+(/SS+약/MMA
112억	112/SN+억/NR
원)의	원/NNB+)/SS+의/JKG
보너스를	보너스/NNG+를/JKO
차지한다.	차지/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.249.7.1
최종전에는 새로운 포인트에 따른 순위를 부여해 극적인 재미를 더한다.

최종전에는	최종전/NNG+에/JKB+는/JX
새로운	새롭/VA+ㄴ/ETM
포인트에	포인트/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
순위를	순위/NNG+를/JKO
부여해	부여/NNG+하/XSV+아/EC
극적인	극/NNG+적/XSN+이/VCP+ㄴ/ETM
재미를	재미/NNG+를/JKO
더한다.	더/MAG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.249.7.2
2011년 빌 하스(미국)는 포인트 랭킹에서 25위에 불과했지만 최종전 우승으로 막판 뒤집기에 성공하며 1000만 달러를 차지했다.

2011년	2011/SN+년/NNB
빌	빌/NNP
하스(미국)는	하스/NNP+(/SS+미국/NNP+)/SS+는/JX
포인트	포인트/NNG
랭킹에서	랭킹/NNG+에서/JKB
25위에	25/SN+위/NNB+에/JKB
불과했지만	불과/MAG+하/XSA+았/EP+지만/EC
최종전	최종전/NNG
우승으로	우승/NNG+으로/JKB
막판	막판/NNG
뒤집기에	뒤집기/NNG+에/JKB
성공하며	성공/NNG+하/XSV+며/EC
1000만	1000/SN+만/NR
달러를	달러/NNB+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.249.7.3
배상문을 비롯해 최경주, 위창수, 이동환과 재미교포 존 허, 제임스 한, 리처드 리 등 7명의 한국(계) 선수가 출전한다.

배상문을	배상문/NNP+을/JKO
비롯해	비롯하/VV+아/EC
최경주,	최경주/NNP+,/SP
위창수,	위창수/NNP+,/SP
이동환과	이동환/NNP+과/JC
재미교포	재미/NNG+교포/NNG
존	존/NNP
허,	허/NNP+,/SP
제임스	제임스/NNP
한,	한/NNP+,/SP
리처드	리처드/NNP
리	리/NNP
등	등/NNB
7명의	7/SN+명/NNB+의/JKG
한국(계)	한국/NNP+(/SS+계/XSN+)/SS
선수가	선수/NNG+가/JKS
출전한다.	출전/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.249.7.4
2007년과 2009년 플레이오프 우승자인 타이거 우즈는 올 시즌 5승을 거둔 여세를 몰아 세 번째 유종의 미를 노린다.

2007년과	2007/SN+년/NNB+과/JC
2009년	2009/SN+년/NNB
플레이오프	플레이오프/NNG
우승자인	우승자/NNG+이/VCP+ㄴ/ETM
타이거	타이거/NNP
우즈는	우즈/NNP+는/JX
올	올/NNG
시즌	시즌/NNG
5승을	5/SN+승/NNB+을/JKO
거둔	거두/VV+ㄴ/ETM
여세를	여세/NNG+를/JKO
몰아	몰/VV+아/EC
세	세/MMN
번째	번/NNB+째/XSN
유종의	유종/NNG+의/JKG
미를	미/NNG+를/JKO
노린다.	노리/VV+ㄴ다/EF+./SF


