# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.225
metadata : {}


# id : NWRW1800000054.225.1.1
[핫 코너] 차례상 과일 환불해달라는 진상 고객님들

[핫	[/SS+핫/NNG
달랜	달래/VV+ㄴ/ETM
뒤에야	뒤/NNG+에/JKB+야/JX
소동이	소동/NNG+이/JKS
끝났다.	끝나/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.225.4.1
추석 연휴가 끝난 뒤 마트 직원들이 '진상 고객' 때문에 골머리를 앓고 있다.

추석	추석/NNG
연휴가	연휴/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
마트	마트/NNG
직원들이	직원/NNG+들/XSN+이/JKS
'진상	'/SS+진상/NNG
고객'	고객/NNG+'/SS
때문에	때문/NNB+에/JKB
골머리를	골머리/NNG+를/JKO
앓고	앓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.225.4.2
다른 사람에게 받은 선물 세트를 마트에 들고 와 교환·환불을 요구하는 사례가 많기 때문이다.

다른	다른/MMD
사람에게	사람/NNG+에게/JKB
받은	받/VV+은/ETM
선물	선물/NNG
세트를	세트/NNG+를/JKO
마트에	마트/NNG+에/JKB
들고	들/VV+고/EC
와	오/VV+아/EC
교환·환불을	교환/NNG+·/SP+환불/NNG+을/JKO
요구하는	요구/NNG+하/XSV+는/ETM
사례가	사례/NNG+가/JKS
많기	많/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.225.4.3
일부 고객은 "제사상에 올렸는데 맛이 없더라"며 먹던 포도를 박스에 넣어와서 환불해 달라거나 "선물 세트 구성품이 마음에 안 든다"며 포장을 뜯은 세트를 교환해 달라고 요구했다.

일부	일부/NNG
고객은	고객/NNG+은/JX
"제사상에	"/SS+제사상/NNG+에/JKB
올렸는데	올리/VV+었/EP+는데/EC
맛이	맛/NNG+이/JKS
없더라"며	없/VA+더라/EF+"/SS+며/EC
먹던	먹/VV+던/ETM
포도를	포도/NNG+를/JKO
박스에	박스/NNG+에/JKB
넣어와서	넣/VV+어/EC+오/VX+아서/EC
환불해	환불/NNG+하/XSV+아/EC
달라거나	달/VX+라거나/EC
"선물	"/SS+선물/NNG
세트	세트/NNG
구성품이	구성품/NNG+이/JKS
마음에	마음/NNG+에/JKB
안	안/MAG
든다"며	들/VV+ㄴ다/EF+"/SS+며/EC
포장을	포장/NNG+을/JKO
뜯은	뜯/VV+은/ETM
세트를	세트/NNG+를/JKO
교환해	교환/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.225.5.1
추석 연휴였던 지난 7일 한 인터넷 커뮤니티에는 '명절날 마트에서 신세계를 봤습니다'라는 제목의 글이 올라왔다.

추석	추석/NNG
연휴였던	연휴/NNG+이/VCP+었/EP+던/ETM
지난	지나/VV+ㄴ/ETM
7일	7/SN+일/NNB
한	한/MMN
인터넷	인터넷/NNG
커뮤니티에는	커뮤니티/NNG+에/JKB+는/JX
'명절날	'/SS+명절날/NNG
마트에서	마트/NNG+에서/JKB
신세계를	신/XPN+세계/NNG+를/JKO
봤습니다'라는	보/VV+았/EP+습니다/EF+'/SS+이/VCP+라는/ETM
제목의	제목/NNG+의/JKG
글이	글/NNG+이/JKS
올라왔다.	올라오/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.225.5.2
이 네티즌은 "한 대형마트 고객센터에 1시간가량 있으면서 본 것들"이라며 "스팸 선물 세트 박스는 버리고 스팸만 검정 비닐봉지에 가져와서 바꿔 달라고 하는 사람, 먹던 홍삼 진액 세트를 들고 와 상품권으로 교환해 달라는 사람, 과일이 맛없으니 당도 측정기를 가지고 오라는 사람 때문에 소동이 났다.

이	이/MMD
네티즌은	네티즌/NNG+은/JX
"한	"/SS+한/MMN
대형마트	대형/NNG+마트/NNG
고객센터에	고객/NNG+센터/NNG+에/JKB
1시간가량	1/SN+시간/NNB+가량/XSN
있으면서	있/VV+으면서/EC
본	보/VV+ㄴ/ETM
것들"이라며	것/NNB+들/XSN+"/SS+이/VCP+라며/EC
"스팸	"/SS+스팸/NNG
선물	선물/NNG
세트	세트/NNG
박스는	박스/NNG+는/JX
버리고	버리/VV+고/EC
스팸만	스팸/NNG+만/JX
검정	검정/NNG
비닐봉지에	비닐봉지/NNG+에/JKB
가져와서	가져오/VV+아서/EC
바꿔	바꾸/VV+어/EC
달라고	달/VX+라고/EC
하는	하/VV+는/ETM
사람,	사람/NNG+,/SP
먹던	먹/VV+던/ETM
홍삼	홍삼/NNG
진액	진액/NNG
세트를	세트/NNG+를/JKO
들고	들/VV+고/EC
와	오/VV+아/EC
상품권으로	상품/NNG+권/XSN+으로/JKB
교환해	교환/NNG+하/XSV+아/EC
달라는	달/VX+라는/ETM
과일이	과일/NNG+이/JKS
맛없으니	맛없/VA+으니/EC
당도	당도/NNG
측정기를	측정기/NNG+를/JKO
가지고	가지/VV+고/EC
오라는	오/VV+라는/ETM
사람	사람/NNG
때문에	때문/NNB+에/JKB
소동이	소동/NNG+이/JKS
났다.	나/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.225.5.3
아수라장이 따로 없었다"고 썼다.

아수라장이	아수라장/NNG+이/JKS
따로	따로/MAG
없었다"고	없/VA+었/EP+다/EF+"/SS+고/JKQ
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.225.6.1
유통회사들은 '영수증을 지참하고 일정 기간 내에 사용하지 않은 상품을 포장해서 가져왔을 때만 교환·환불이 가능하다'는 내부 규정을 갖고 있다.

유통회사들은	유통/NNG+회사/NNG+들/XSN+은/JX
'영수증을	'/SS+영수증/NNG+을/JKO
지참하고	지참/NNG+하/XSV+고/EC
일정	일정/NNG
기간	기간/NNG
내에	내/NNB+에/JKB
사용하지	사용/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
상품을	상품/NNG+을/JKO
포장해서	포장/NNG+하/XSV+아서/EC
가져왔을	가져오/VV+았/EP+을/ETM
때만	때/NNG+만/JX
교환·환불이	교환/NNG+·/SP+환불/NNG+이/JKS
가능하다'는	가능/NNG+하/XSA+다/EF+'/SS+는/ETM
내부	내부/NNG
규정을	규정/NNG+을/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.225.6.2
하지만 막무가내 우기는 고객을 달래기 위해 교환을 해주거나 소액의 상품권을 주는 경우가 있다.

하지만	하지만/MAJ
막무가내	막무가내/NNG
우기는	우기/VV+는/ETM
고객을	고객/NNG+을/JKO
달래기	달래/VV+기/ETN
위해	위하/VV+아/EC
교환을	교환/NNG+을/JKO
해주거나	하/VV+아/EC+주/VX+거나/EC
소액의	소액/NNG+의/JKG
상품권을	상품/NNG+권/XSN+을/JKO
주는	주/VV+는/ETM
경우가	경우/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.225.6.3
한 마트 관계자는 "단호하게 대응했더니 고객이 인터넷에 악성 루머를 퍼뜨리더라. 고객 뺏기고 매출 떨어지면 우리만 손해"라고 했다.

한	한/MMN
마트	마트/NNG
관계자는	관계자/NNG+는/JX
"단호하게	"/SS+단호하/VA+게/EC
대응했더니	대응/NNG+하/XSV+았/EP+더니/EC
고객이	고객/NNG+이/JKS
인터넷에	인터넷/NNG+에/JKB
악성	악성/NNG
루머를	루머/NNG+를/JKO
퍼뜨리더라.	퍼뜨리/VV+더라/EF+./SF
고객	고객/NNG
뺏기고	뺏기/VV+고/EC
매출	매출/NNG
떨어지면	떨어지/VV+면/EC
우리만	우리/NP+만/JX
손해"라고	손해/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


