# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.302
metadata : {}


# id : NWRW1800000056.302.1.1
[오철우의 과학의 숲] ‘과학행진’ 이후의 행진

[오철우의	[/SS+오철우/NNP+의/JKG
행진은	행진/NNG+은/JX
지구촌	지구촌/NNG
600여	600/SN+여/XSN
곳에서	곳/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
과학행진의	과학/NNG+행진/NNG+의/JKG
하나였다.	하나/NR+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000056.302.3.2
미국, 영국, 프랑스, 오스트레일리아에서도, 일본, 싱가포르, 대만에서도 과학의 가치를 옹호하는 이들이 저마다 행진했다.

미국,	미국/NNP+,/SP
영국,	영국/NNP+,/SP
프랑스,	프랑스/NNP+,/SP
오스트레일리아에서도,	오스트레일리아/NNP+에서/JKB+도/JX+,/SP
일본,	일본/NNP+,/SP
싱가포르,	싱가포르/NNP+,/SP
대만에서도	대만/NNP+에서/JKB+도/JX
과학의	과학/NNG+의/JKG
가치를	가치/NNG+를/JKO
옹호하는	옹호/NNG+하/XSV+는/ETM
이들이	이/NNB+들/XSN+이/JKS
저마다	저마다/MAG
행진했다.	행진/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.302.4.1
지구촌 행진의 진원지는 트럼프 행정부의 과학기술 정책에 반발한 미국 연구자들의 행진이었다.

지구촌	지구촌/NNG
행진의	행진/NNG+의/JKG
진원지는	진원지/NNG+는/JX
트럼프	트럼프/NNP
행정부의	행정부/NNG+의/JKG
과학기술	과학/NNG+기술/NNG
정책에	정책/NNG+에/JKB
반발한	반발/NNG+하/XSV+ㄴ/ETM
미국	미국/NNP
연구자들의	연구자/NNG+들/XSN+의/JKG
행진이었다.	행진/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000056.302.4.2
미국에선 대규모 인원이 참석했고, 그래서 과학자 행진이 역사상 처음이라는 보도도 이어졌다.

미국에선	미국/NNP+에서/JKB+ㄴ/JX
대규모	대/XPN+규모/NNG
인원이	인원/NNG+이/JKS
참석했고,	참석/NNG+하/XSV+았/EP+고/EC+,/SP
그래서	그래서/MAJ
과학자	과학자/NNG
행진이	행진/NNG+이/JKS
역사상	역사/NNG+상/XSN
처음이라는	처음/NNG+이/VCP+라는/ETM
보도도	보도/NNG+도/JX
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.302.4.3
연구자들이 거리에 나선 건 1960년대 반핵시위 때에도 있었지만 이번엔 정부 정책에 반발해 ‘과학의 가치’를 내걸고 시민과 함께 대규모로 나섰다는 점에서 ‘전례 없는 일’이라는 해석도 덧붙여졌다.

연구자들이	연구자/NNG+들/XSN+이/JKS
거리에	거리/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
1960년대	1960/SN+년대/NNB
반핵시위	반핵/NNG+시위/NNG
때에도	때/NNG+에/JKB+도/JX
있었지만	있/VA+었/EP+지만/EC
이번엔	이번/NNG+에/JKB+ㄴ/JX
정부	정부/NNG
정책에	정책/NNG+에/JKB
반발해	반발/NNG+하/XSV+아/EC
‘과학의	‘/SS+과학/NNG+의/JKG
가치’를	가치/NNG+’/SS+를/JKO
내걸고	내걸/VV+고/EC
시민과	시민/NNG+과/JKB
함께	함께/MAG
대규모로	대/XPN+규모/NNG+로/JKB
나섰다는	나서/VV+었/EP+다는/ETM
점에서	점/NNG+에서/JKB
‘전례	‘/SS+전례/NNG
없는	없/VA+는/ETM
일’이라는	일/NNG+’/SS+이/VCP+라는/ETM
해석도	해석/NNG+도/JX
덧붙여졌다.	덧붙이/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000056.302.5.1
첫발을 뗀 지구촌 과학행진이 앞으로 어떤 운동으로 전개될지는 더 지켜봐야 한다.

첫발을	첫발/NNG+을/JKO
뗀	떼/VV+ㄴ/ETM
지구촌	지구촌/NNG
과학행진이	과학/NNG+행진/NNG+이/JKS
앞으로	앞/NNG+으로/JKB
어떤	어떤/MMD
운동으로	운동/NNG+으로/JKB
전개될지는	전개/NNG+되/XSV+ㄹ지/EC+는/JX
더	더/MAG
지켜봐야	지켜보/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000056.302.5.2
여전히 과학행진이 정치 운동으로 흘러 과학 객관성을 해칠 것이라는 걱정도 나오고, 과학 객관성은 이를 훼손하려는 권력과 맞서 싸울 때 지킬 수 있다는 주장도 나온다.

여전히	여전히/MAG
과학행진이	과학/NNG+행진/NNG+이/JKS
정치	정치/NNG
운동으로	운동/NNG+으로/JKB
흘러	흐르/VV+어/EC
과학	과학/NNG
객관성을	객관/NNG+성/XSN+을/JKO
해칠	해치/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
걱정도	걱정/NNG+도/JX
나오고,	나오/VV+고/EC+,/SP
객관성은	객관/NNG+성/XSN+은/JX
이를	이/NP+를/JKO
훼손하려는	훼손/NNG+하/XSV+려는/ETM
권력과	권력/NNG+과/JKB
맞서	맞서/VV+어/EC
싸울	싸우/VV+ㄹ/ETM
때	때/NNG
지킬	지키/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
주장도	주장/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.302.5.3
여러 평가와 보도를 보면, 적어도 과학행진이 과학, 정부, 시민사회 간의 관계를 두고 풍성한 논의의 자리를 열어줄 것임은 분명해 보인다.

여러	여러/MMN
평가와	평가/NNG+와/JC
보도를	보도/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
적어도	적어도/MAG
과학행진이	과학/NNG+행진/NNG+이/JKS
과학,	과학/NNG+,/SP
정부,	정부/NNG+,/SP
시민사회	시민/NNG+사회/NNG
간의	간/NNB+의/JKG
관계를	관계/NNG+를/JKO
두고	두/VV+고/EC
풍성한	풍성/NNG+하/XSA+ㄴ/ETM
논의의	논의/NNG+의/JKG
자리를	자리/NNG+를/JKO
열어줄	열/VV+어/EC+주/VX+ㄹ/ETM
것임은	것/NNB+이/VCP+ㅁ/ETN+은/JX
분명해	분명/MAG+하/XSA+아/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.302.6.1
과학행진은 단지 정부 소속 연구자의 사전검열, 연구예산 삭감, 공개정보 제한, 규제과학 기준 완화와 같은 트럼프 행정부의 정책 추진 방향을 우려하고 반대하는 미국 안의 운동에 그치진 않을 듯하다.

과학행진은	과학/NNG+행진/NNG+은/JX
단지	단지/MAG
정부	정부/NNG
소속	소속/NNG
연구자의	연구자/NNG+의/JKG
사전검열,	사전/NNG+검열/NNG+,/SP
연구예산	연구/NNG+예산/NNG
삭감,	삭감/NNG+,/SP
공개정보	공개/NNG+정보/NNG
제한,	제한/NNG+,/SP
규제과학	규제/NNG+과학/NNG
기준	기준/NNG
완화와	완화/NNG+와/JKB
같은	같/VA+은/ETM
트럼프	트럼프/NNP
행정부의	행정부/NNG+의/JKG
정책	정책/NNG
추진	추진/NNG
방향을	방향/NNG+을/JKO
우려하고	우려/NNG+하/XSV+고/EC
반대하는	반대/NNG+하/XSV+는/ETM
미국	미국/NNP
안의	안/NNG+의/JKG
운동에	운동/NNG+에/JKB
그치진	그치/VV+지/EC+ㄴ/JX
않을	않/VX+을/ETM
듯하다.	듯/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000056.302.6.2
각지에 퍼진 행진은 저마다 다른 파장의 울림을 낼 테니까.

각지에	각지/NNG+에/JKB
퍼진	퍼지/VV+ㄴ/ETM
행진은	행진/NNG+은/JX
저마다	저마다/MAG
다른	다른/MMD
파장의	파장/NNG+의/JKG
울림을	울림/NNG+을/JKO
낼	내/VV+ㄹ/ETM
테니까.	터/NNB+이/VCP+니까/EC+./SF


# id : NWRW1800000056.302.7.1
광화문광장에서 빛나진 않을지언정 저마다 진정성 있는 가치를 품고 연구실을 지키는 연구자들의 생생한 목소리를 듣다 보면 국내에서도 지금 어떤 변화가 일고 있음을 분명 느낄 수 있다.

광화문광장에서	광화문광장/NNP+에서/JKB
빛나진	빛나/VV+지/EC+ㄴ/JX
않을지언정	않/VX+을지언정/EC
저마다	저마다/MAG
진정성	진정/NNG+성/XSN
있는	있/VA+는/ETM
가치를	가치/NNG+를/JKO
품고	품/VV+고/EC
연구실을	연구실/NNG+을/JKO
지키는	지키/VV+는/ETM
연구자들의	연구자/NNG+들/XSN+의/JKG
생생한	생생하/VA+ㄴ/ETM
목소리를	목소리/NNG+를/JKO
듣다	듣/VV+다/EC
보면	보/VX+면/EC
국내에서도	국내/NNG+에서/JKB+도/JX
지금	지금/MAG
어떤	어떤/MMD
변화가	변화/NNG+가/JKS
일고	일/VV+고/EC
있음을	있/VX+음/ETN+을/JKO
분명	분명/MAG
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000056.302.7.2
무엇을 연구할지 큰 틀을 정부가 주도하는 방식은 이제 자율적인 연구자들의 연구를 중심에 두는 방식으로 바뀌어야 한다.

무엇을	무엇/NP+을/JKO
연구할지	연구/NNG+하/XSV+ㄹ지/EC
큰	크/VA+ㄴ/ETM
틀을	틀/NNG+을/JKO
정부가	정부/NNG+가/JKS
주도하는	주도/NNG+하/XSV+는/ETM
방식은	방식/NNG+은/JX
이제	이제/MAG
자율적인	자율/NNG+적/XSN+이/VCP+ㄴ/ETM
연구자들의	연구자/NNG+들/XSN+의/JKG
연구를	연구/NNG+를/JKO
중심에	중심/NNG+에/JKB
두는	두/VV+는/ETM
방식으로	방식/NNG+으로/JKB
바뀌어야	바뀌/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000056.302.7.3
연구생에게도 비정규직 연구원에게도 합리적이고 민주적인 연구환경이 마련돼야 한다.

연구생에게도	연구/NNG+생/XSN+에게/JKB+도/JX
비정규직	비/XPN+정규직/NNG
연구원에게도	연구원/NNG+에게/JKB+도/JX
합리적이고	합리/NNG+적/XSN+이/VCP+고/EC
민주적인	민주/NNG+적/XSN+이/VCP+ㄴ/ETM
연구환경이	연구/NNG+환경/NNG+이/JKS
마련돼야	마련/NNG+되/XSV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000056.302.7.4
여성, 장애인, 외국인 같은 과학계 소수자에게 균등한 기회는 더욱 보장돼야 한다.

여성,	여성/NNG+,/SP
장애인,	장애인/NNG+,/SP
외국인	외국인/NNG
같은	같/VA+은/ETM
과학계	과학/NNG+계/XSN
소수자에게	소수자/NNG+에게/JKB
균등한	균등/NNG+하/XSA+ㄴ/ETM
기회는	기회/NNG+는/JX
더욱	더욱/MAG
보장돼야	보장/NNG+되/XSV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000056.302.8.1
노벨상이 최정점인 양 그것을 향해 달리자고 온통 갈망하는 사회, 과학기술 다양성을 다 살피지 못한 채 첨단 과학기술에 ‘올인’이라도 할 듯이 공약하는 정치인, 성과를 위해 열악한 연구노동을 견디도록 요구하는 연구환경을 돌아보며 ‘정말 언제까지 이래야 할까’ 하고 되묻는, 적어도 그런 장을 과학행진은 마련해주고 있다.

노벨상이	노벨상/NNG+이/JKS
최정점인	최/XPN+정점/NNG+이/VCP+ㄴ/ETM
양	양/NNB
그것을	그것/NP+을/JKO
향해	향하/VV+아/EC
달리자고	달리/VV+자고/EC
온통	온통/MAG
갈망하는	갈망/NNG+하/XSV+는/ETM
사회,	사회/NNG+,/SP
과학기술	과학/NNG+기술/NNG
다양성을	다양/NNG+성/XSN+을/JKO
다	다/MAG
살피지	살피/VV+지/EC
못한	못하/VX+ㄴ/ETM
채	채/NNB
첨단	첨단/NNG
과학기술에	과학/NNG+기술/NNG+에/JKB
‘올인’이라도	‘/SS+올인/NNG+’/SS+이라도/JX
할	하/VV+ㄹ/ETM
듯이	듯이/NNB
공약하는	공약/NNG+하/XSV+는/ETM
정치인,	정치인/NNG+,/SP
성과를	성과/NNG+를/JKO
위해	위하/VV+아/EC
열악한	열악하/VA+ㄴ/ETM
연구노동을	연구/NNG+노동/NNG+을/JKO
견디도록	견디/VV+도록/EC
요구하는	요구/NNG+하/XSV+는/ETM
연구환경을	연구/NNG+환경/NNG+을/JKO
돌아보며	돌아보/VV+며/EC
‘정말	‘/SS+정말/MAG
언제까지	언제/NP+까지/JX
이래야	이렇/VA+어야/EC
할까’	하/VX+ㄹ까/EF+’/SS
하고	하/VV+고/EC
되묻는,	되묻/VV+는/ETM+,/SP
적어도	적어도/MAG
그런	그런/MMD
장을	장/NNG+을/JKO
과학행진은	과학/NNG+행진/NNG+은/JX
마련해주고	마련/NNG+하/XSV+아/EC+주/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.302.9.1
행사를 사진에 담고자 스마트폰을 꺼냈다.

행사를	행사/NNG+를/JKO
사진에	사진/NNG+에/JKB
담고자	담/VV+고자/EC
스마트폰을	스마트폰/NNG+을/JKO
꺼냈다.	꺼내/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.302.9.2
네모 화면 한쪽에 행사장 바깥의 세종로 횡단보도를 무심히 지나가는 시민들이 들어왔다.

네모	네모/NNG
화면	화면/NNG
한쪽에	한쪽/NNG+에/JKB
행사장	행사장/NNG
바깥의	바깥/NNG+의/JKG
세종로	세종로/NNP
횡단보도를	횡단보도/NNG+를/JKO
무심히	무심히/MAG
지나가는	지나가/VV+는/ETM
시민들이	시민/NNG+들/XSN+이/JKS
들어왔다.	들어오/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.302.9.3
과학행진 안에서 보는 시선이 아니라 바깥에서 바라보는 시민의 시선은 어떤 것일까?

과학행진	과학/NNG+행진/NNG
안에서	안/NNG+에서/JKB
보는	보/VV+는/ETM
시선이	시선/NNG+이/JKC
아니라	아니/VCN+라/EC
바깥에서	바깥/NNG+에서/JKB
바라보는	바라보/VV+는/ETM
시민의	시민/NNG+의/JKG
시선은	시선/NNG+은/JX
어떤	어떤/MMD
것일까?	것/NNB+이/VCP+ㄹ까/EF+?/SF


# id : NWRW1800000056.302.9.4
시민과 함께하는 지구촌 과학행진은 사실 과학의 가치가 연구실 안에만 있지 않음을 말해주었다.

시민과	시민/NNG+과/JKB
함께하는	함께/MAG+하/XSV+는/ETM
지구촌	지구촌/NNG
과학행진은	과학/NNG+행진/NNG+은/JX
사실	사실/MAG
과학의	과학/NNG+의/JKG
가치가	가치/NNG+가/JKS
연구실	연구실/NNG
안에만	안/NNG+에/JKB+만/JX
있지	있/VA+지/EC
않음을	않/VX+음/ETN+을/JKO
말해주었다.	말/NNG+하/XSV+아/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000056.302.9.5
연구자 사회 안에 학문 생태계의 뿌리를 튼실히 가꾸는 일 못잖게, 시민사회를 향해 그동안 우리 사회에 부족했던 사회적 책임을 넓히고 가꾸는 일도 과학의 가치와 신뢰를 높이는 길일 테지.

연구자	연구자/NNG
사회	사회/NNG
안에	안/NNG+에/JKB
학문	학문/NNG
생태계의	생태/NNG+계/XSN+의/JKG
뿌리를	뿌리/NNG+를/JKO
튼실히	튼실히/MAG
가꾸는	가꾸/VV+는/ETM
일	일/NNG
못잖게,	못잖/VA+게/EC+,/SP
시민사회를	시민/NNG+사회/NNG+를/JKO
향해	향하/VV+아/EC
그동안	그동안/NNG
우리	우리/NP
사회에	사회/NNG+에/JKB
부족했던	부족/NNG+하/XSA+았/EP+던/ETM
사회적	사회/NNG+적/XSN
책임을	책임/NNG+을/JKO
넓히고	넓히/VV+고/EC
일도	일/NNG+도/JX
과학의	과학/NNG+의/JKG
가치와	가치/NNG+와/JC
신뢰를	신뢰/NNG+를/JKO
높이는	높이/VV+는/ETM
길일	길/NNG+이/VCP+ㄹ/ETM
테지.	터/NNB+이/VCP+지/EF+./SF


# id : NWRW1800000056.302.9.6
횡단보도 시민들이 함께 담긴 화면에 셔터를 눌렀다.

횡단보도	횡단보도/NNG
시민들이	시민/NNG+들/XSN+이/JKS
함께	함께/MAG
담긴	담기/VV+ㄴ/ETM
화면에	화면/NNG+에/JKB
셔터를	셔터/NNG+를/JKO
눌렀다.	누르/VV+었/EP+다/EF+./SF


