# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.115
metadata : {}


# id : NWRW1800000024.115.1.1
다시 활짝 핀 한송이…흥국생명 웃었다

다시	다시/MAG
카리나는	카리나/NNP+는/JX
가로막기(5점)와	가로막기/NNG+(/SS+5/SN+점/NNB+)/SS+와/JC
후위공격(8점)에서도	후위/NNG+공격/NNG+(/SS+8/SN+점/NNB+)/SS+에서/JKB+도/JX
제몫을	저/NP+의/JKG+몫/NNG+을/JKO
다했다.	다/MAG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.115.5.4
어창선 흥국생명 감독대행은 “카리나를 오른쪽으로 배치해 공격 범위를 넓게 펼친 것이 상대 공격도 막고, 결과적으로 한송이의 활용도를 높일 수 있었다”고 했다.

어창선	어창선/NNP
흥국생명	흥국생명/NNP
감독대행은	감독/NNG+대행/NNG+은/JX
“카리나를	“/SS+카리나/NNP+를/JKO
오른쪽으로	오른쪽/NNG+으로/JKB
배치해	배치/NNG+하/XSV+아/EC
공격	공격/NNG
범위를	범위/NNG+를/JKO
넓게	넓/VA+게/EC
펼친	펼치/VV+ㄴ/ETM
것이	것/NNB+이/JKS
상대	상대/NNG
공격도	공격/NNG+도/JX
막고,	막/VV+고/EC+,/SP
결과적으로	결과/NNG+적/XSN+으로/JKB
한송이의	한송이/NNP+의/JKG
활용도를	활용도/NNG+를/JKO
높일	높이/VV+ㄹ/ETM
수	수/NNB
있었다”고	있/VA+었/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.115.5.5
흥국생명은 많은 범실(28-16)에도 가로막기(7-3)와 공격성공률(48%-39%)에서 앞섰다.

흥국생명은	흥국생명/NNP+은/JX
많은	많/VA+은/ETM
범실(28-16)에도	범실/NNG+(/SS+28/SN+-/SO+16/SN+)/SS+에/JKB+도/JX
가로막기(7-3)와	가로막기/NNG+(/SS+7/SN+-/SO+3/SN+)/SS+와/JC
공격성공률(48%-39%)에서	공격/NNG+성공/NNG+률/XSN+(/SS+48/SN+%/SW+-/SO+39/SN+%/SW+)/SS+에서/JKB
앞섰다.	앞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.115.5.6
지에스칼텍스는 1세트를 내준 뒤 2·3세트를 따내 분위기 반전에 나섰지만 데라크루즈에 의존하는 단조로운 공격 패턴 탓에 무너졌다.

지에스칼텍스는	지에스칼텍스/NNP+는/JX
1세트를	1/SN+세트/NNG+를/JKO
내준	내주/VV+ㄴ/ETM
뒤	뒤/NNG
2·3세트를	2/SN+·/SP+3/SN+세트/NNG+를/JKO
따내	따/VV+아/EC+내/VX+어/EC
분위기	분위기/NNG
반전에	반전/NNG+에/JKB
나섰지만	나서/VV+었/EP+지만/EC
데라크루즈에	데라크루즈/NNP+에/JKB
의존하는	의존/NNG+하/XSV+는/ETM
단조로운	단조/NNG+롭/XSA+ㄴ/ETM
공격	공격/NNG
패턴	패턴/NNG
탓에	탓/NNG+에/JKB
무너졌다.	무너지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.115.5.7
이성희 감독은 “1차전을 너무 쉽게 이긴 것이 오히려 독이 됐다”며 “방심이 집중력 부재로 이어졌고, 상대의 강한 서브에 고전한 것이 패인”이라고 말했다.

이성희	이성희/NNP
감독은	감독/NNG+은/JX
“1차전을	“/SS+1/SN+차전/NNB+을/JKO
너무	너무/MAG
쉽게	쉽/VA+게/EC
이긴	이기/VV+ㄴ/ETM
것이	것/NNB+이/JKS
오히려	오히려/MAG
독이	독/NNG+이/JKC
됐다”며	되/VV+었/EP+다/EF+”/SS+며/EC
“방심이	“/SS+방심/NNG+이/JKS
집중력	집중력/NNG
부재로	부재/NNG+로/JKB
이어졌고,	이어지/VV+었/EP+고/EC+,/SP
상대의	상대/NNG+의/JKG
강한	강하/VA+ㄴ/ETM
서브에	서브/NNG+에/JKB
고전한	고전/NNG+하/XSV+ㄴ/ETM
패인”이라고	패인/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


