# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.238
metadata : {}


# id : NWRW1800000021.238.1.1
매출 3조8694억 영업익 2773억… GS건설 상반기 사상최대 실적

매출	매출/NNG
결과”라고	결과/NNG+”/SS+라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.238.4.1
대림산업은 16일 2분기 매출액과 영업이익으로 전년 동기 대비 각각 1.0%, 4.8% 증가한 1조5387억 원, 1425억 원을 발표해 시장의 기대치보다 좋은 실적을 냈다.

대림산업은	대림산업/NNP+은/JX
16일	16/SN+일/NNB
2분기	2/SN+분기/NNG
매출액과	매출액/NNG+과/JC
영업이익으로	영업/NNG+이익/NNG+으로/JKB
전년	전년/NNG
동기	동기/NNG
대비	대비/NNG
각각	각각/MAG
1.0%,	1/SN+./SP+0/SN+%/SW+,/SP
4.8%	4/SN+./SP+8/SN+%/SW
증가한	증가/NNG+하/XSV+ㄴ/ETM
1조5387억	1/SN+조/NR+5387/SN+억/NR
원,	원/NNB+,/SP
1425억	1425/SN+억/NR
원을	원/NNB+을/JKO
발표해	발표/NNG+하/XSV+아/EC
시장의	시장/NNG+의/JKG
기대치보다	기대/NNG+치/XSN+보다/JKB
좋은	좋/VA+은/ETM
실적을	실적/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.238.4.2
대림산업은 재개발, 재건축 수주가 이어진 데다 수익률이 좋은 해외 수주액 증가에 힘입어 이 같은 성적을 거둔 것으로 분석됐다.

대림산업은	대림산업/NNP+은/JX
재개발,	재/XPN+개발/NNG+,/SP
재건축	재/XPN+건축/NNG
수주가	수주/NNG+가/JKS
이어진	이어지/VV+ㄴ/ETM
데다	데/NNB+다/JX
수익률이	수익/NNG+률/XSN+이/JKS
좋은	좋/VA+은/ETM
해외	해외/NNG
수주액	수주액/NNG
증가에	증가/NNG+에/JKB
힘입어	힘입/VV+어/EC
이	이/MMD
같은	같/VA+은/ETM
성적을	성적/NNG+을/JKO
거둔	거두/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
분석됐다.	분석/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.238.5.1
27일 공시를 앞둔 현대건설도 좋은 실적을 발표할 것으로 예상된다.

27일	27/SN+일/NNB
공시를	공시/NNG+를/JKO
앞둔	앞두/VV+ㄴ/ETM
현대건설도	현대건설/NNP+도/JX
좋은	좋/VA+은/ETM
실적을	실적/NNG+을/JKO
발표할	발표/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.238.5.2
현대건설 관계자는 “주택부문 비중이 다른 건설사들에 비해 작은 데다 해외 및 공공수주 물량 증가에 힘입어 매출액은 물론이고 영업이익도 시장 예상치보다는 나을 것으로 기대한다”고 말했다.

현대건설	현대건설/NNP
관계자는	관계자/NNG+는/JX
“주택부문	“/SS+주택/NNG+부문/NNG
비중이	비중/NNG+이/JKS
다른	다른/MMD
건설사들에	건설사/NNG+들/XSN+에/JKB
비해	비/NNG+하/XSV+아/EC
작은	작/VA+은/ETM
데다	데/NNB+다/JX
해외	해외/NNG
및	및/MAG
공공수주	공공/NNG+수주/NNG
물량	물량/NNG
증가에	증가/NNG+에/JKB
힘입어	힘입/VV+어/EC
매출액은	매출액/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
영업이익도	영업/NNG+이익/NNG+도/JX
시장	시장/NNG
예상치보다는	예상/NNG+치/XSN+보다/JKB+는/JX
나을	낫/VA+을/ETM
것으로	것/NNB+으로/JKB
기대한다”고	기대/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.238.6.1
그러나 사업이 주택부문에 집중돼 있는 중견 건설사들은 오히려 수익이 악화될 것으로 보인다.

그러나	그러나/MAJ
사업이	사업/NNG+이/JKS
주택부문에	주택/NNG+부문/NNG+에/JKB
집중돼	집중/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
중견	중견/NNG
건설사들은	건설사/NNG+들/XSN+은/JX
오히려	오히려/MAG
수익이	수익/NNG+이/JKS
악화될	악화/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.238.6.2
한 중견 건설사 관계자는 “지난해부터 정부에서 발주한 공공사업들이 대기업 중심으로 수주가 이뤄진 데다 해외 사업에도 대기업들이 대거 진출하면서 대부분의 중견 기업은 2분기에 수익 악화를 예상하고 있다”고 말했다.

한	한/MMN
중견	중견/NNG
건설사	건설사/NNG
관계자는	관계자/NNG+는/JX
“지난해부터	“/SS+지난해/NNG+부터/JX
정부에서	정부/NNG+에서/JKB
발주한	발주/NNG+하/XSV+ㄴ/ETM
공공사업들이	공공사업/NNG+들/XSN+이/JKS
대기업	대/XPN+기업/NNG
중심으로	중심/NNG+으로/JKB
수주가	수주/NNG+가/JKS
이뤄진	이뤄지/VV+ㄴ/ETM
데다	데/NNB+다/JX
해외	해외/NNG
사업에도	사업/NNG+에/JKB+도/JX
대기업들이	대/XPN+기업/NNG+들/XSN+이/JKS
대거	대거/MAG
진출하면서	진출/NNG+하/XSV+면서/EC
대부분의	대/XPN+부분/NNG+의/JKG
기업은	기업/NNG+은/JX
2분기에	2/SN+분기/NNG+에/JKB
수익	수익/NNG
악화를	악화/NNG+를/JKO
예상하고	예상/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.238.6.3
다른 중견 건설사 관계자도 “상반기에는 미분양 해소에 바빠 신규 사업은 꿈도 못 꾼 상황”이라며 “하반기 이후에나 실적이 개선될 것으로 기대하고 있다”고 말했다.

다른	다른/MMD
중견	중견/NNG
건설사	건설사/NNG
관계자도	관계자/NNG+도/JX
“상반기에는	“/SS+상반기/NNG+에/JKB+는/JX
미분양	미/XPN+분양/NNG
해소에	해소/NNG+에/JKB
바빠	바쁘/VA+아/EC
신규	신규/NNG
사업은	사업/NNG+은/JX
꿈도	꿈/NNG+도/JX
못	못/MAG
꾼	꾸/VV+ㄴ/ETM
상황”이라며	상황/NNG+”/SS+이/VCP+라며/EC
“하반기	“/SS+하반기/NNG
이후에나	이후/NNG+에/JKB+나/JX
실적이	실적/NNG+이/JKS
개선될	개선/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대하고	기대/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


