# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.192
metadata : {}


# id : NWRW1800000030.192.1.1
박태환 "7월 상하이에 태극기 휘날릴 것"

박태환	박태환/NNP
호주에서	호주/NNP+에서/JKB
2차	2/SN+차/NNB
전지훈련을	전지훈련/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.192.7.3
세계선수권을 대비한 마지막 전지훈련은 6월 7일부터 7월 18일까지로 예정돼 있다.

세계선수권을	세계/NNG+선수/NNG+권/XSN+을/JKO
대비한	대비/NNG+하/XSV+ㄴ/ETM
마지막	마지막/NNG
전지훈련은	전지훈련/NNG+은/JX
6월	6/SN+월/NNB
7일부터	7/SN+일/NNB+부터/JX
7월	7/SN+월/NNB
18일까지로	18/SN+일/NNB+까지/JX+로/JKB
예정돼	예정/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.192.8.1
볼 코치는 최근 박태환에게 전화로 '한국에서 훈련에 집중해 컨디션을 끌어올리고 오라'는 주문을 했다.

볼	볼/NNP
코치는	코치/NNG+는/JX
최근	최근/MAG
박태환에게	박태환/NNP+에게/JKB
전화로	전화/NNG+로/JKB
'한국에서	'/SS+한국/NNP+에서/JKB
훈련에	훈련/NNG+에/JKB
집중해	집중/NNG+하/XSV+아/EC
컨디션을	컨디션/NNG+을/JKO
끌어올리고	끌어올리/VV+고/EC
오라'는	오/VV+라/EF+'/SS+는/ETM
주문을	주문/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.192.8.2
호주로 건너가면 자유형 200m와 400m 위주로 프로그램을 짤 가능성이 크다.

호주로	호주/NNP+로/JKB
건너가면	건너가/VV+면/EC
자유형	자유/NNG+형/XSN
200m와	200/SN+m/SW+와/JC
400m	400/SN+m/SW
위주로	위주/NNG+로/JKB
프로그램을	프로그램/NNG+을/JKO
짤	짜/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000030.192.9.1
박태환의 최종 목표는 내년 런던올림픽 금메달이다.

박태환의	박태환/NNP+의/JKG
최종	최종/NNG
목표는	목표/NNG+는/JX
내년	내년/NNG
런던올림픽	런던/NNP+올림픽/NNG
금메달이다.	금메달/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.192.9.2
"전 신체조건이나 테크닉이나 외국선수들보다 잘난 부분이 없어요.

"전	"/SS+저/NP+ㄴ/JX
신체조건이나	신체/NNG+조건/NNG+이나/JC
테크닉이나	테크닉/NNG+이나/JC
외국선수들보다	외국/NNG+선수/NNG+들/XSN+보다/JKB
잘난	잘나/VV+ㄴ/ETM
부분이	부분/NNG+이/JKS
없어요.	없/VA+어요/EF+./SF


# id : NWRW1800000030.192.9.3
지금까지 끈기와 자부심으로 해왔고 앞으로도 그렇게 해나갈 겁니다."

지금까지	지금/NNG+까지/JX
끈기와	끈기/NNG+와/JC
자부심으로	자부심/NNG+으로/JKB
해왔고	하/VV+아/EC+오/VX+았/EP+고/EC
앞으로도	앞/NNG+으로/JKB+도/JX
그렇게	그렇/VA+게/EC
해나갈	하/VV+아/EC+나가/VX+ㄹ/ETM
겁니다."	거/NNB+이/VCP+ㅂ니다/EF+./SF+"/SS


