# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.98
metadata : {}


# id : NWRW1800000037.98.1.1
[에너지 강국]가스는 수입하고 기술은 수출한다… 아프리카까지 진출해 미래 개척

[에너지	[/SS+에너지/NNG
가스공사는 2005년 지상식 LNG 저장탱크로는 세계 최대용량인 20만 kL 저장탱크를 개발해 통영과 평택생산기지에 공급했다.

가스공사는	가스공사/NNP+는/JX
2005년	2005/SN+년/NNB
지상식	지상식/NNG
LNG	LNG/SL
저장탱크로는	저장/NNG+탱크/NNG+로/JKB+는/JX
세계	세계/NNG
최대용량인	최대/NNG+용량/NNG+이/VCP+ㄴ/ETM
20만	20/SN+만/NR
kL	kL/SW
저장탱크를	저장/NNG+탱크/NNG+를/JKO
개발해	개발/NNG+하/XSV+아/EC
통영과	통영/NNP+과/JC
평택생산기지에	평택/NNP+생산/NNG+기지/NNG+에/JKB
공급했다.	공급/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.98.5.1
탱크를 대형화하면 기당 50억 원의 설계비와 70억 원의 건설비를 절감할 수 있다는 사실이 알려지며 세계시장에서 눈길을 끌었다.

탱크를	탱크/NNG+를/JKO
대형화하면	대형/NNG+화/XSN+하/XSV+면/EC
기당	기/NNB+당/XSN
50억	50/SN+억/NR
원의	원/NNB+의/JKG
설계비와	설계비/NNG+와/JC
70억	70/SN+억/NR
건설비를	건설비/NNG+를/JKO
절감할	절감/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
사실이	사실/NNG+이/JKS
알려지며	알려지/VV+며/EC
세계시장에서	세계/NNG+시장/NNG+에서/JKB
눈길을	눈길/NNG+을/JKO
끌었다.	끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.98.6.1
이어 27만 kL 저장탱크를 만드는 개발도 성공하며 해외 플랜트 공사를 수주할 때 경쟁력을 확보하게 됐다.

이어	이어/MAG
27만	27/SN+만/NR
kL	kL/SW
저장탱크를	저장/NNG+탱크/NNG+를/JKO
만드는	만들/VV+는/ETM
개발도	개발/NNG+도/JX
성공하며	성공/NNG+하/XSV+며/EC
해외	해외/NNG
플랜트	플랜트/NNG
공사를	공사/NNG+를/JKO
수주할	수주/NNG+하/XSV+ㄹ/ETM
때	때/NNG
경쟁력을	경쟁력/NNG+을/JKO
확보하게	확보/NNG+하/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.98.6.2
27만 kL 저장탱크는 20만 kL에 비해 210억 원의 건설비를 아낄 수 있다.

27만	27/SN+만/NR
kL	kL/SW
저장탱크는	저장/NNG+탱크/NNG+는/JX
20만	20/SN+만/NR
kL에	kL/SW+에/JKB
비해	비/NNG+하/XSV+아/EC
210억	210/SN+억/NR
원의	원/NNB+의/JKG
건설비를	건설비/NNG+를/JKO
아낄	아끼/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.98.6.3
저장용량은 약 35% 늘어난다.

저장용량은	저장/NNG+용량/NNG+은/JX
약	약/MMA
35%	35/SN+%/SW
늘어난다.	늘어나/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.98.7.1
‘가스는 수입하고 기술은 수출한다’는 목표 아래 아프리카 모잠비크에 진출하기도 했다.

‘가스는	‘/SS+가스/NNG+는/JX
수입하고	수입/NNG+하/XSV+고/EC
기술은	기술/NNG+은/JX
수출한다’는	수출/NNG+하/XSV+ㄴ다/EF+’/SS+는/ETM
목표	목표/NNG
아래	아래/NNG
아프리카	아프리카/NNP
모잠비크에	모잠비크/NNP+에/JKB
진출하기도	진출/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.98.7.2
가스공사는 모잠비크 정부로부터 마푸투 도시가스 사업을 수주해 모잠비크 국영가스공사와 합작법인을 설립하고 공사를 시작했다.

가스공사는	가스공사/NNP+는/JX
모잠비크	모잠비크/NNP
정부로부터	정부/NNG+로부터/JKB
마푸투	마푸투/NNP
도시가스	도시가스/NNG
사업을	사업/NNG+을/JKO
수주해	수주/NNG+하/XSV+아/EC
국영가스공사와	국영/NNG+가스공사/NNP+와/JKB
합작법인을	합작/NNG+법인/NNG+을/JKO
설립하고	설립/NNG+하/XSV+고/EC
공사를	공사/NNG+를/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.98.7.3
2014년 배관건설을 마무리 짓고 수도인 마푸투에 도시가스를 공급할 계획이다.

2014년	2014/SN+년/NNB
배관건설을	배관/NNG+건설/NNG+을/JKO
마무리	마무리/NNG
짓고	짓/VV+고/EC
수도인	수도/NNG+이/VCP+ㄴ/ETM
마푸투에	마푸투/NNP+에/JKB
도시가스를	도시가스/NNG+를/JKO
공급할	공급/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.98.8.1
세계시장에 선보이기 위한 자체 기술 개발에도 몰두하고 있다.

세계시장에	세계/NNG+시장/NNG+에/JKB
선보이기	선보이/VV+기/ETN
위한	위하/VV+ㄴ/ETM
자체	자체/NNG
기술	기술/NNG
개발에도	개발/NNG+에/JKB+도/JX
몰두하고	몰두/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.98.8.2
가스공사는 LNG생산기지의 기본 설계 기술을 확보하고 평택 생산기지 제2공장과 삼척기지를 설계할 때 이를 적용했다.

가스공사는	가스공사/NNP+는/JX
LNG생산기지의	LNG/SL+생산/NNG+기지/NNG+의/JKG
기본	기본/NNG
설계	설계/NNG
기술을	기술/NNG+을/JKO
확보하고	확보/NNG+하/XSV+고/EC
평택	평택/NNP
생산기지	생산/NNG+기지/NNG
제2공장과	제/XPN+2/SN+공장/NNG+과/JC
삼척기지를	삼척/NNP+기지/NNG+를/JKO
설계할	설계/NNG+하/XSV+ㄹ/ETM
때	때/NNG
이를	이/NP+를/JKO
적용했다.	적용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.98.9.1
바다를 매립해 조성한 평택 생산기지 제2공장의 기본 설계를 성공적으로 수행하며 60억 원의 예산과 70억 원의 외화를 절감했다.

바다를	바다/NNG+를/JKO
매립해	매립/NNG+하/XSV+아/EC
조성한	조성/NNG+하/XSV+ㄴ/ETM
평택	평택/NNP
생산기지	생산/NNG+기지/NNG
제2공장의	제/XPN+2/SN+공장/NNG+의/JKG
기본	기본/NNG
설계를	설계/NNG+를/JKO
성공적으로	성공/NNG+적/XSN+으로/JKB
수행하며	수행/NNG+하/XSV+며/EC
60억	60/SN+억/NR
원의	원/NNB+의/JKG
예산과	예산/NNG+과/JC
70억	70/SN+억/NR
외화를	외화/NNG+를/JKO
절감했다.	절감/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.98.9.2
삼척기지의 기본 설계를 자체적으로 완성하며 140억 원의 예산 절감과 170억 원의 수입대체 효과를 거두기도 했다.

삼척기지의	삼척/NNP+기지/NNG+의/JKG
기본	기본/NNG
설계를	설계/NNG+를/JKO
자체적으로	자체/NNG+적/XSN+으로/JKB
완성하며	완성/NNG+하/XSV+며/EC
140억	140/SN+억/NR
원의	원/NNB+의/JKG
예산	예산/NNG
절감과	절감/NNG+과/JC
170억	170/SN+억/NR
수입대체	수입/NNG+대체/NNG
효과를	효과/NNG+를/JKO
거두기도	거두/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.98.10.1
프랑스에서 독점 보유하고 있던 초저온 액상화물 격납 기술도 자체 개발하는 데 성공했다.

프랑스에서	프랑스/NNP+에서/JKB
독점	독점/NNG
보유하고	보유/NNG+하/XSV+고/EC
있던	있/VX+던/ETM
초저온	초/XPN+저온/NNG
액상화물	액상/NNG+화물/NNG
격납	격납/NNG
기술도	기술/NNG+도/JX
자체	자체/NNG
개발하는	개발/NNG+하/XSV+는/ETM
데	데/NNB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.98.10.2
LNG 수송선의 핵심인 초저온 액상화물 격납의 원천기술을 프랑스에서 독점하다 보니 매년 막대한 외화가 기술료 명목으로 유출됐다.

LNG	LNG/SL
수송선의	수송선/NNG+의/JKG
핵심인	핵심/NNG+이/VCP+ㄴ/ETM
초저온	초/XPN+저온/NNG
액상화물	액상/NNG+화물/NNG
격납의	격납/NNG+의/JKG
원천기술을	원천/NNG+기술/NNG+을/JKO
프랑스에서	프랑스/NNP+에서/JKB
독점하다	독점/NNG+하/XSV+다/EC
보니	보/VX+니/EC
매년	매년/MAG
막대한	막대하/VA+ㄴ/ETM
외화가	외화/NNG+가/JKS
기술료	기술료/NNG
명목으로	명목/NNG+으로/JKB
유출됐다.	유출/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.98.11.1
가스공사는 올해 LNG 화물창 기술 개발에 성공해 매년 2880억 원의 기술료를 아끼고 1920억 원의 원가절감 효과가 있을 것으로 내다봤다.

가스공사는	가스공사/NNP+는/JX
올해	올해/NNG
LNG	LNG/SL
화물창	화물창/NNG
기술	기술/NNG
개발에	개발/NNG+에/JKB
성공해	성공/NNG+하/XSV+아/EC
매년	매년/MAG
2880억	2880/SN+억/NR
원의	원/NNB+의/JKG
기술료를	기술료/NNG+를/JKO
아끼고	아끼/VV+고/EC
1920억	1920/SN+억/NR
원가절감	원가/NNG+절감/NNG
효과가	효과/NNG+가/JKS
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.98.12.1
가스공사는 환경오염을 최소화하려는 노력도 병행하고 있다.

가스공사는	가스공사/NNP+는/JX
환경오염을	환경/NNG+오염/NNG+을/JKO
최소화하려는	최소/NNG+화/XSN+하/XSV+려는/ETM
노력도	노력/NNG+도/JX
병행하고	병행/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.98.12.2
세계적으로 선박 운항이 늘며 온실가스가 증가한다는 우려가 일자 가스공사는 LNG를 선박연료로 사용하는 대책을 추진했다.

세계적으로	세계/NNG+적/XSN+으로/JKB
선박	선박/NNG
운항이	운항/NNG+이/JKS
늘며	늘/VV+며/EC
온실가스가	온실가스/NNG+가/JKS
증가한다는	증가/NNG+하/XSV+ㄴ다는/ETM
우려가	우려/NNG+가/JKS
일자	일/VV+자/EC
가스공사는	가스공사/NNP+는/JX
LNG를	LNG/SL+를/JKO
선박연료로	선박/NNG+연료/NNG+로/JKB
사용하는	사용/NNG+하/XSV+는/ETM
대책을	대책/NNG+을/JKO
추진했다.	추진/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.98.12.3
7월에는 아시아 최초로 LNG를 사용하는 항만 안내선인 ‘에코누리호’를 출항하기도 했다.

7월에는	7/SN+월/NNB+에/JKB+는/JX
아시아	아시아/NNP
최초로	최초/NNG+로/JKB
LNG를	LNG/SL+를/JKO
사용하는	사용/NNG+하/XSV+는/ETM
항만	항만/NNG
안내선인	안내선/NNG+이/VCP+ㄴ/ETM
‘에코누리호’를	‘/SS+에코누리호/NNP+’/SS+를/JKO
출항하기도	출항/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.98.13.1
가스공사 관계자는 “LNG를 선박연료로 사용하면 매연과 황산화물 배출을 90% 이상 줄이고 질소화합물과 온실가스도 크게 줄일 수 있다”며 “석유연료와 비교해 연료소비효율이 비슷하고 가격은 오히려 낮아 환경을 살리는 경제적인 기술”이라고 말했다.

가스공사	가스공사/NNP
관계자는	관계자/NNG+는/JX
“LNG를	“/SS+LNG/SL+를/JKO
선박연료로	선박/NNG+연료/NNG+로/JKB
사용하면	사용/NNG+하/XSV+면/EC
매연과	매연/NNG+과/JC
황산화물	황산화물/NNG
배출을	배출/NNG+을/JKO
90%	90/SN+%/SW
이상	이상/NNG
줄이고	줄이/VV+고/EC
질소화합물과	질소/NNG+화합물/NNG+과/JC
온실가스도	온실가스/NNG+도/JX
크게	크/VA+게/EC
줄일	줄이/VV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
“석유연료와	“/SS+석유/NNG+연료/NNG+와/JKB
비교해	비교/NNG+하/XSV+아/EC
연료소비효율이	연료/NNG+소비/NNG+효율/NNG+이/JKS
비슷하고	비슷하/VA+고/EC
가격은	가격/NNG+은/JX
오히려	오히려/MAG
낮아	낮/VA+아/EC
환경을	환경/NNG+을/JKO
살리는	살리/VV+는/ETM
경제적인	경제/NNG+적/XSN+이/VCP+ㄴ/ETM
기술”이라고	기술/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.98.14.1
천연가스로부터 합성원유를 만드는 기술인 GTL의 핵심기술도 확보하고 상용화를 위해 노력 중이다.

천연가스로부터	천연가스/NNG+로부터/JKB
합성원유를	합성/NNG+원유/NNG+를/JKO
만드는	만들/VV+는/ETM
기술인	기술/NNG+이/VCP+ㄴ/ETM
GTL의	GTL/SL+의/JKG
핵심기술도	핵심/NNG+기술/NNG+도/JX
확보하고	확보/NNG+하/XSV+고/EC
상용화를	상용/NNG+화/XSN+를/JKO
위해	위하/VV+아/EC
노력	노력/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.98.14.2
GTL은 경제적 가치가 없는 중소규모의 가스전을 개발할 수 있게 해 무분별한 유전 개발을 막을 수 있게 한다.

GTL은	GTL/SL+은/JX
경제적	경제/NNG+적/XSN
가치가	가치/NNG+가/JKS
없는	없/VA+는/ETM
중소규모의	중소/NNG+규모/NNG+의/JKG
가스전을	가스전/NNG+을/JKO
개발할	개발/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
해	하/VX+아/EC
무분별한	무/XPN+분별/NNG+하/XSA+ㄴ/ETM
유전	유전/NNG
개발을	개발/NNG+을/JKO
막을	막/VV+을/ETM
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000037.98.14.3
지금까지 일본과 유럽에서 수입하던 기술을 국내에서 직접 개발해 외화절감 효과도 기대할 수 있다.

지금까지	지금/NNG+까지/JX
일본과	일본/NNP+과/JC
유럽에서	유럽/NNP+에서/JKB
수입하던	수입/NNG+하/XSV+던/ETM
기술을	기술/NNG+을/JKO
국내에서	국내/NNG+에서/JKB
직접	직접/MAG
개발해	개발/NNG+하/XSV+아/EC
외화절감	외화/NNG+절감/NNG
효과도	효과/NNG+도/JX
기대할	기대/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.98.15.1
신기술을 개발하며 중소기업과의 협력을 강화한 점도 눈에 띈다.

신기술을	신/XPN+기술/NNG+을/JKO
개발하며	개발/NNG+하/XSV+며/EC
중소기업과의	중소기업/NNG+과/JKB+의/JKG
협력을	협력/NNG+을/JKO
강화한	강화/NNG+하/XSV+ㄴ/ETM
점도	점/NNG+도/JX
눈에	눈/NNG+에/JKB
띈다.	띄/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.98.15.2
한국가스공사는 천연가스 분야 기자재와 핵심부품 신제품 개발에 나서는 중소기업에 기술개발비를 지원하고 있다.

한국가스공사는	한국가스공사/NNP+는/JX
천연가스	천연가스/NNG
분야	분야/NNG
기자재와	기자재/NNG+와/JC
핵심부품	핵심/NNG+부품/NNG
신제품	신/XPN+제품/NNG
개발에	개발/NNG+에/JKB
나서는	나서/VV+는/ETM
중소기업에	중소기업/NNG+에/JKB
기술개발비를	기술/NNG+개발비/NNG+를/JKO
지원하고	지원/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.98.15.3
현재 천연가스 발열량 측정장치 등 다양한 사업에 개발비를 지원하고 있다.

현재	현재/MAG
천연가스	천연가스/NNG
발열량	발열량/NNG
측정장치	측정/NNG+장치/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
사업에	사업/NNG+에/JKB
개발비를	개발비/NNG+를/JKO
지원하고	지원/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


