# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.221
metadata : {}


# id : NWRW1800000041.221.1.1
여중생 임신시킨 40대, 성폭행혐의 무죄 논란

여중생	여중/NNG+생/XSN
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.221.7.2
조 씨가 A 양의 의사에 반해 성폭력 범죄를 저질렀다고 한 진술은 믿기 어렵다”고 밝혔다.

조	조/NNP
씨가	씨/NNB+가/JKS
A	A/SL
양의	양/NNB+의/JKG
의사에	의사/NNG+에/JKB
반해	반하/VV+아/EC
성폭력	성폭력/NNG
범죄를	범죄/NNG+를/JKO
저질렀다고	저지르/VV+었/EP+다고/EC
한	하/VV+ㄴ/ETM
진술은	진술/NNG+은/JX
믿기	믿/VV+기/ETN
어렵다”고	어렵/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.221.7.3
다만 조 씨가 A 양과 관계를 맺으면서도 길거리에서 초중학생에게 접근해 이성관계를 가지려 시도한 사실을 비롯해 1, 2심에서 유죄 근거로 참고한 것 등은 판단하지 않아 논란이 예상된다.

다만	다만/MAG
조	조/NNP
씨가	씨/NNB+가/JKS
A	A/SL
양과	양/NNB+과/JKB
관계를	관계/NNG+를/JKO
맺으면서도	맺/VV+으면서/EC+도/JX
길거리에서	길거리/NNG+에서/JKB
초중학생에게	초중학생/NNG+에게/JKB
접근해	접근/NNG+하/XSV+아/EC
이성관계를	이성/NNG+관계/NNG+를/JKO
가지려	가지/VV+려/EC
시도한	시도/NNG+하/XSV+ㄴ/ETM
사실을	사실/NNG+을/JKO
비롯해	비롯하/VV+아/EC
1,	1/SN+,/SP
2심에서	2심/NNG+에서/JKB
유죄	유죄/NNG
근거로	근거/NNG+로/JKB
참고한	참고/NNG+하/XSV+ㄴ/ETM
것	것/NNB
등은	등/NNB+은/JX
판단하지	판단/NNG+하/XSV+지/EC
않아	않/VX+아/EC
논란이	논란/NNG+이/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.221.7.4
현행법에 따르면 13세 미만 미성년자는 상대의 동의를 얻었더라도 ‘미성년자의제 강간죄’가 성립돼 형사처벌을 받지만 13세 이상 미성년자에 대해서는 위계(僞計)나 위력, 금품 지급이 있어야 처벌할 수 있다.

현행법에	현행법/NNG+에/JKB
따르면	따르/VV+면/EC
13세	13/SN+세/NNB
미만	미만/NNG
미성년자는	미성년자/NNG+는/JX
상대의	상대/NNG+의/JKG
동의를	동의/NNG+를/JKO
얻었더라도	얻/VV+었/EP+더라도/EC
‘미성년자의제	‘/SS+미성년자/NNG+의제/NNG
강간죄’가	강간죄/NNG+’/SS+가/JKS
성립돼	성립/NNG+되/XSV+어/EC
형사처벌을	형사/NNG+처벌/NNG+을/JKO
받지만	받/VV+지만/EC
이상	이상/NNG
미성년자에	미성년자/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
위계(僞計)나	위계/NNG+(/SS+僞計/SH+)/SS+나/JC
위력,	위력/NNG+,/SP
금품	금품/NNG
지급이	지급/NNG+이/JKS
있어야	있/VA+어야/EC
처벌할	처벌/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


