# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.351
metadata : {}


# id : NWRW1800000054.351.1.1
[최순실 국정농단 중간 점검] (4·끝) 朴대통령 비선진료 논란

[최순실	[/SS+최순실/NNP
특검은	특검/NNG+은/JX
박	박/NNP
대통령이	대통령/NNG+이/JKS
이것	이것/NP
외에	외/NNB+에/JKB
더	더/MAG
미용	미용/NNG
시술을	시술/NNG+을/JKO
받았는지는	받/VV+았/EP+는지/EF+는/JX
밝히지	밝히/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.351.4.3
또 '박 대통령이 세월호 당일 프로포폴에 취해 자느라 제대로 대응하지 못했다'는 의혹도 조사했으나 사실로 믿을 만한 증거를 찾지 못했다.

또	또/MAG
'박	'/SS+박/NNP
대통령이	대통령/NNG+이/JKS
세월호	세월호/NNP
당일	당일/NNG
프로포폴에	프로포폴/NNG+에/JKB
취해	취하/VV+아/EC
자느라	자/VV+느라/EC
제대로	제대로/MAG
대응하지	대응/NNG+하/XSV+지/EC
못했다'는	못하/VX+았/EP+다/EF+'/SS+는/ETM
의혹도	의혹/NNG+도/JX
조사했으나	조사/NNG+하/XSV+았/EP+으나/EC
사실로	사실/NNG+로/JKB
믿을	믿/VV+을/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
증거를	증거/NNG+를/JKO
찾지	찾/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.351.4.4
특히 특검은 세월호 당일 프로포폴을 사용한 사실이 드러난 김영재 원장에 대해 향정신성의약품 관리대장 허위·부실 기재 혐의로 기소했지만, 특검 관계자는 "김 원장이 세월호 당일 박 대통령에게 프로포폴을 처방한 것인지는 밝히지 못했다"고 했다.

특히	특히/MAG
특검은	특검/NNG+은/JX
세월호	세월호/NNP
당일	당일/NNG
프로포폴을	프로포폴/NNG+을/JKO
사용한	사용/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
드러난	드러나/VV+ㄴ/ETM
김영재	김영재/NNP
원장에	원장/NNG+에/JKB
대해	대하/VV+아/EC
향정신성의약품	향정신/NNG+성/XSN+의약품/NNG
관리대장	관리/NNG+대장/NNG
허위·부실	허위/NNG+·/SP+부실/NNG
기재	기재/NNG
혐의로	혐의/NNG+로/JKB
기소했지만,	기소/NNG+하/XSV+았/EP+지만/EC+,/SP
특검	특검/NNG
관계자는	관계자/NNG+는/JX
"김	"/SS+김/NNP
원장이	원장/NNG+이/JKS
박	박/NNP
대통령에게	대통령/NNG+에게/JKB
처방한	처방/NNG+하/XSV+ㄴ/ETM
것인지는	것/NNB+이/VCP+ㄴ지/EF+는/JX
밝히지	밝히/VV+지/EC
못했다"고	못하/VX+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.351.4.5
이런 의혹에 대해 박 대통령은 지난 27일 헌재에 낸 의견서에서 "전혀 사실이 아니다"고 했다.

이런	이런/MMD
의혹에	의혹/NNG+에/JKB
대해	대하/VV+아/EC
박	박/NNP
대통령은	대통령/NNG+은/JX
지난	지나/VV+ㄴ/ETM
27일	27/SN+일/NNB
헌재에	헌재/NNG+에/JKB
낸	내/VV+ㄴ/ETM
의견서에서	의견서/NNG+에서/JKB
"전혀	"/SS+전혀/MAG
사실이	사실/NNG+이/JKC
아니다"고	아니/VCN+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.351.5.1
◇태반·백옥·마늘 주사 등 논란=박 대통령이 청와대에서 태반·백옥·마늘 주사 등 각종 영양 주사를 맞았다는 의혹은 일부 사실로 드러났다.

◇태반·백옥·마늘	◇/SW+태반/NNG+·/SP+백옥/NNG+·/SP+마늘/NNG
주사	주사/NNG
등	등/NNB
논란=박	논란/NNG+=/SW+박/NNP
대통령이	대통령/NNG+이/JKS
청와대에서	청와대/NNP+에서/JKB
태반·백옥·마늘	태반/NNG+·/SP+백옥/NNG+·/SP+마늘/NNG
각종	각종/NNG
영양	영양/NNG
주사를	주사/NNG+를/JKO
맞았다는	맞/VV+았/EP+다는/ETM
의혹은	의혹/NNG+은/JX
일부	일부/NNG
사실로	사실/NNG+로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.351.5.2
보건복지부는 차움의원 조사 결과 지난 2013년 3월부터 이듬해 3월까지 이 병원 소속 의사였던 김상만씨가 최순득씨 이름으로 처방한 비타민 주사제를 청와대로 가져가 박 대통령에게 직접 또는 간호장교를 통해 놓은 것으로 확인됐다고 밝혔다.

보건복지부는	보건/NNG+복지부/NNG+는/JX
차움의원	차움/NNP+의원/NNG
조사	조사/NNG
결과	결과/NNG
지난	지나/VV+ㄴ/ETM
2013년	2013/SN+년/NNB
3월부터	3/SN+월/NNB+부터/JX
이듬해	이듬해/NNG
3월까지	3/SN+월/NNB+까지/JX
이	이/MMD
병원	병원/NNG
소속	소속/NNG
의사였던	의사/NNG+이/VCP+었/EP+던/ETM
김상만씨가	김상만/NNP+씨/NNB+가/JKS
최순득씨	최순득/NNP+씨/NNB
이름으로	이름/NNG+으로/JKB
처방한	처방/NNG+하/XSV+ㄴ/ETM
비타민	비타민/NNG
주사제를	주사제/NNG+를/JKO
청와대로	청와대/NNP+로/JKB
가져가	가져가/VV+아/EC
박	박/NNP
대통령에게	대통령/NNG+에게/JKB
직접	직접/MAG
또는	또는/MAG
간호장교를	간호/NNG+장교/NNG+를/JKO
통해	통하/VV+아/EC
놓은	놓/VX+은/ETM
것으로	것/NNB+으로/JKB
확인됐다고	확인/NNG+되/XSV+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.351.5.3
이에 대해 박 대통령은 지난 1월 기자 간담회에서 "너무나 피곤하다고 하면 의료진이 (주사제를) 알아서 처방하는 거지 거기에 (태반·백옥 등) 무슨 약(성분)이 들어가는지 알 수는 없지 않으냐"라고 했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
박	박/NNP
대통령은	대통령/NNG+은/JX
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
기자	기자/NNG
간담회에서	간담회/NNG+에서/JKB
"너무나	"/SS+너무나/MAG
피곤하다고	피곤/NNG+하/XSA+다고/EC
하면	하/VV+면/EC
의료진이	의료진/NNG+이/JKS
(주사제를)	(/SS+주사제/NNG+를/JKO+)/SS
알아서	알/VV+아서/EC
처방하는	처방/NNG+하/XSV+는/ETM
거지	거/NNB+이/VCP+지/EC
거기에	거기/NP+에/JKB
(태반·백옥	(/SS+태반/NNG+·/SP+백옥/NNG
등)	등/NNB+)/SS
무슨	무슨/MMD
약(성분)이	약/NNG+(/SS+성분/NNG+)/SS+이/JKS
들어가는지	들어가/VV+는지/EF
알	알/VV+ㄹ/ETM
수는	수/NNB+는/JX
없지	없/VA+지/EC
않으냐"라고	않/VX+으냐/EF+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.351.5.4
특히 박 대통령 측은 "태반 주사 등은 일종의 영양 주사인데 대통령이 마치 미용 주사를 맞은 것처럼 오해를 받았다"고 하고 있다.

특히	특히/MAG
박	박/NNP
대통령	대통령/NNG
측은	측/NNB+은/JX
"태반	"/SS+태반/NNG
주사	주사/NNG
등은	등/NNB+은/JX
일종의	일종/NNG+의/JKG
영양	영양/NNG
주사인데	주사/NNG+이/VCP+ㄴ데/EC
대통령이	대통령/NNG+이/JKS
마치	마치/MAG
미용	미용/NNG
주사를	주사/NNG+를/JKO
맞은	맞/VV+은/ETM
것처럼	것/NNB+처럼/JKB
오해를	오해/NNG+를/JKO
받았다"고	받/VV+았/EP+다/EF+"/SS+고/JKQ
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.351.5.5
여성 대통령이다 보니 과도한 논란에 휘말렸다는 주장이다.

여성	여성/NNG
대통령이다	대통령/NNG+이/VCP+다/EF
보니	보/VX+니/EC
과도한	과도/NNG+하/XSA+ㄴ/ETM
논란에	논란/NNG+에/JKB
휘말렸다는	휘말리/VV+었/EP+다는/ETM
주장이다.	주장/NNG+이/VCP+다/EF+./SF


