# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.400
metadata : {}


# id : NWRW1800000029.400.1.1
뻥 뚫린 軍, 만약 실전에서 이랬다면…

뻥	뻥/MAG
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.400.6.1
같은 시간 합참은 예하 부대에 아무런 사전 예고도 없이 북한군 특수작전부대로 가장한 대항군을 침투시켰다.

같은	같/VA+은/ETM
시간	시간/NNG
합참은	합참/NNG+은/JX
예하	예하/NNG
부대에	부대/NNG+에/JKB
아무런	아무런/MMD
사전	사전/NNG
예고도	예고/NNG+도/JX
없이	없이/MAG
북한군	북한군/NNG
특수작전부대로	특수/NNG+작전/NNG+부대/NNG+로/JKB
가장한	가장/NNG+하/XSV+ㄴ/ETM
대항군을	대항군/NNG+을/JKO
침투시켰다.	침투/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.400.6.2
대항군은 고도의 침투훈련을 받은 최정예 특전사 대원 20명으로 구성됐다.

대항군은	대항군/NNG+은/JX
고도의	고도/NNG+의/JKG
침투훈련을	침투/NNG+훈련/NNG+을/JKO
받은	받/VV+은/ETM
최정예	최/XPN+정예/NNG
특전사	특전사/NNG
대원	대원/NNG
20명으로	20/SN+명/NNB+으로/JKB
구성됐다.	구성/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.400.6.3
이들은 각자 30kg의 폭탄을 휴대하고 지휘소와 격납고, 레이더기지 등 핵심 시설을 파괴하는 가상 임무를 부여받았다.

이들은	이/NP+들/XSN+은/JX
각자	각자/MAG
30kg의	30/SN+kg/SW+의/JKG
폭탄을	폭탄/NNG+을/JKO
휴대하고	휴대/NNG+하/XSV+고/EC
지휘소와	지휘소/NNG+와/JC
격납고,	격납고/NNG+,/SP
레이더기지	레이더/NNG+기지/NNG
등	등/NNB
핵심	핵심/NNG
시설을	시설/NNG+을/JKO
파괴하는	파괴/NNG+하/XSV+는/ETM
가상	가상/NNG
임무를	임무/NNG+를/JKO
부여받았다.	부여/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.400.7.1
대항군은 각자 임무를 수행한 뒤 미니버스로 이동하면서 군 검문소를 거치지 않고 산속으로 신속히 도주한 것으로 알려졌다.

대항군은	대항군/NNG+은/JX
각자	각자/MAG
임무를	임무/NNG+를/JKO
수행한	수행/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
미니버스로	미니버스/NNG+로/JKB
이동하면서	이동/NNG+하/XSV+면서/EC
군	군/NNG
검문소를	검문소/NNG+를/JKO
거치지	거치/VV+지/EC
않고	않/VX+고/EC
산속으로	산속/NNG+으로/JKB
신속히	신속히/MAG
도주한	도주/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.400.7.2
중동부 지역의 모든 부대는 실제 병력과 장비를 동원해 대항군을 쫓고 있지만 이날 저녁까지 대항군을 한 명도 붙잡지 못한 것으로 전해졌다.

중동부	중동부/NNG
지역의	지역/NNG+의/JKG
모든	모든/MMN
부대는	부대/NNG+는/JX
실제	실제/NNG
병력과	병력/NNG+과/JC
장비를	장비/NNG+를/JKO
동원해	동원/NNG+하/XSV+아/EC
대항군을	대항군/NNG+을/JKO
쫓고	쫓/VV+고/EC
있지만	있/VX+지만/EC
이날	이날/NNG
저녁까지	저녁/NNG+까지/JX
한	한/MMN
명도	명/NNB+도/JX
붙잡지	붙잡/VV+지/EC
못한	못하/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.400.8.1
군 관계자는 “강도 높은 침투훈련을 받은 특전사 요원들이 산속으로 들어가 숨어버리면 찾기가 힘들다”며 “대항군을 모두 붙잡을 때까지 수색 작전은 계속될 것”이라고 말했다.

군	군/NNG
관계자는	관계자/NNG+는/JX
“강도	“/SS+강도/NNG
높은	높/VA+은/ETM
침투훈련을	침투/NNG+훈련/NNG+을/JKO
받은	받/VV+은/ETM
특전사	특전사/NNG
요원들이	요원/NNG+들/XSN+이/JKS
산속으로	산속/NNG+으로/JKB
들어가	들어가/VV+아/EC
숨어버리면	숨/VV+어/EC+버리/VX+면/EC
찾기가	찾/VV+기/ETN+가/JKS
힘들다”며	힘들/VA+다/EF+”/SS+며/EC
“대항군을	“/SS+대항군/NNG+을/JKO
모두	모두/MAG
붙잡을	붙잡/VV+을/ETM
때까지	때/NNG+까지/JX
수색	수색/NNG
작전은	작전/NNG+은/JX
계속될	계속/NNG+되/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.400.9.1
하지만 일각에서는 여러 부대가 합동으로 수색에 나서 많은 병력이 동원된 대침투작전에서 대항군을 단 한 명도 잡지 못한 것은 군 당국의 도주로 예측과 수색 작업에서 허점을 드러낸 게 아니냐는 지적이 나온다.

하지만	하지만/MAJ
일각에서는	일각/NNG+에서/JKB+는/JX
여러	여러/MMN
부대가	부대/NNG+가/JKS
합동으로	합동/NNG+으로/JKB
수색에	수색/NNG+에/JKB
나서	나서/VV+어/EC
많은	많/VA+은/ETM
병력이	병력/NNG+이/JKS
동원된	동원/NNG+되/XSV+ㄴ/ETM
대침투작전에서	대침투/NNG+작전/NNG+에서/JKB
대항군을	대항군/NNG+을/JKO
단	단/MMA
한	한/MMN
명도	명/NNB+도/JX
잡지	잡/VV+지/EC
못한	못하/VX+ㄴ/ETM
것은	것/NNB+은/JX
군	군/NNG
당국의	당국/NNG+의/JKG
도주로	도주로/NNG
예측과	예측/NNG+과/JC
수색	수색/NNG
작업에서	작업/NNG+에서/JKB
허점을	허점/NNG+을/JKO
드러낸	드러내/VV+ㄴ/ETM
게	거/NNB+이/JKC
아니냐는	아니/VCN+냐는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.400.9.2
이에 대해 합참 관계자는 “대항군의 도주 경로와 은거지를 파악했지만 훈련 상황이어서 가용한 장비와 병력을 투입하는 데는 제한이 따른다”며 “현재 대항군의 은거지 일대를 봉쇄한 만큼 날이 밝으면 대대적으로 병력을 투입해 본격적인 수색작업에 나설 것“이라고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
합참	합참/NNG
관계자는	관계자/NNG+는/JX
“대항군의	“/SS+대항군/NNG+의/JKG
도주	도주/NNG
경로와	경로/NNG+와/JC
은거지를	은거지/NNG+를/JKO
파악했지만	파악/NNG+하/XSV+았/EP+지만/EC
훈련	훈련/NNG
상황이어서	상황/NNG+이/VCP+어서/EC
가용한	가용/NNG+하/XSV+ㄴ/ETM
장비와	장비/NNG+와/JC
병력을	병력/NNG+을/JKO
투입하는	투입/NNG+하/XSV+는/ETM
데는	데/NNB+는/JX
제한이	제한/NNG+이/JKS
따른다”며	따르/VV+ㄴ다/EF+”/SS+며/EC
“현재	“/SS+현재/MAG
대항군의	대항군/NNG+의/JKG
은거지	은거지/NNG
일대를	일대/NNG+를/JKO
봉쇄한	봉쇄/NNG+하/XSV+ㄴ/ETM
만큼	만큼/NNB
날이	날/NNG+이/JKS
밝으면	밝/VA+으면/EC
대대적으로	대대적/NNG+으로/JKB
투입해	투입/NNG+하/XSV+아/EC
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
수색작업에	수색/NNG+작업/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
것“이라고	것/NNB+“/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


