# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.126
metadata : {}


# id : NWRW1800000053.126.1.1
‘음악 국가대표’ 키운 예원학교, 개교 50주년 기념 음악회 연다

‘음악	‘/SS+음악/NNG
음악가들에게	음악가/NNG+들/XSN+에게/JKB
공통점이	공통점/NNG+이/JKS
하나	하나/NR
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.126.4.3
바로 예원학교 출신이다.

바로	바로/MAG
예원학교	예원학교/NNP
출신이다.	출신/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.126.5.1
국내 최초 예술전문 중학교인 예원학교가 올해 개교 50주년을 맞았다.

국내	국내/NNG
최초	최초/NNG
예술전문	예술/NNG+전문/NNG
중학교인	중학교/NNG+이/VCP+ㄴ/ETM
예원학교가	예원학교/NNP+가/JKS
올해	올해/NNG
개교	개교/NNG
50주년을	50/SN+주년/NNB+을/JKO
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.126.5.2
1967년 개교한 예원학교는 음악과 미술 무용계에서 한국을 대표하는 예술가를 무수히 배출했다.

1967년	1967/SN+년/NNB
개교한	개교/NNG+하/XSV+ㄴ/ETM
예원학교는	예원학교/NNP+는/JX
음악과	음악/NNG+과/JC
미술	미술/NNG
무용계에서	무용/NNG+계/XSN+에서/JKB
한국을	한국/NNP+을/JKO
대표하는	대표/NNG+하/XSV+는/ETM
예술가를	예술가/NNG+를/JKO
무수히	무수히/MAG
배출했다.	배출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.126.5.3
개교 50주년을 맞아 26일 오후 7시 30분 서울 롯데콘서트홀에서 기념음악회가 열린다.

개교	개교/NNG
50주년을	50/SN+주년/NNB+을/JKO
맞아	맞/VV+아/EC
26일	26/SN+일/NNB
오후	오후/NNG
7시	7/SN+시/NNB
30분	30/SN+분/NNB
서울	서울/NNP
롯데콘서트홀에서	롯데콘서트홀/NNP+에서/JKB
기념음악회가	기념/NNG+음악회/NNG+가/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.126.5.4
이번 공연에는 많은 예원학교 출신 음악가들이 무대에 오른다.

이번	이번/NNG
공연에는	공연/NNG+에/JKB+는/JX
많은	많/VA+은/ETM
예원학교	예원학교/NNP
출신	출신/NNG
음악가들이	음악가/NNG+들/XSN+이/JKS
무대에	무대/NNG+에/JKB
오른다.	오르/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.126.6.1
‘예술과 꿈’을 주제로 하는 이번 공연은 국내 대표 연주자들로 구성된 프로젝트 오케스트라인 예원학교 총동문 오케스트라와 함께 국내외에서 활발하게 활동하고 있는 예원학교 출신 연주자들이 무대에 오른다.

‘예술과	‘/SS+예술/NNG+과/JC
꿈’을	꿈/NNG+’/SS+을/JKO
주제로	주제/NNG+로/JKB
하는	하/VV+는/ETM
이번	이번/NNG
공연은	공연/NNG+은/JX
국내	국내/NNG
대표	대표/NNG
연주자들로	연주자/NNG+들/XSN+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
프로젝트	프로젝트/NNG
오케스트라인	오케스트라/NNG+이/VCP+ㄴ/ETM
예원학교	예원학교/NNP
총동문	총동문/NNG
오케스트라와	오케스트라/NNG+와/JKB
함께	함께/MAG
국내외에서	국내외/NNG+에서/JKB
활발하게	활발하/VA+게/EC
활동하고	활동/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
출신	출신/NNG
연주자들이	연주자/NNG+들/XSN+이/JKS
무대에	무대/NNG+에/JKB
오른다.	오르/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.126.6.2
재학생 합창단 110여 명도 참여한다.

재학생	재학/NNG+생/XSN
합창단	합창단/NNG
110여	110/SN+여/XSN
명도	명/NNB+도/JX
참여한다.	참여/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.126.7.1
지휘봉은 예원학교 6회 졸업생인 김대진이 잡는다.

지휘봉은	지휘봉/NNG+은/JX
예원학교	예원학교/NNP
6회	6/SN+회/NNB
졸업생인	졸업/NNG+생/XSN+이/VCP+ㄴ/ETM
김대진이	김대진/NNP+이/JKS
잡는다.	잡/VV+는다/EF+./SF


# id : NWRW1800000053.126.7.2
한국예술종합학교 교수로 재직 중인 김현미, 이재민 교수가 악장을 맡았다.

한국예술종합학교	한국예술종합학교/NNP
교수로	교수/NNG+로/JKB
재직	재직/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
김현미,	김현미/NNP+,/SP
이재민	이재민/NNP
교수가	교수/NNG+가/JKS
악장을	악장/NNG+을/JKO
맡았다.	맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.126.7.3
필라델피아 오케스트라 비올라 수석인 장중진도 오케스트라에 합류했다.

필라델피아	필라델피아/NNP
오케스트라	오케스트라/NNG
비올라	비올라/NNG
수석인	수석/NNG+이/VCP+ㄴ/ETM
장중진도	장중진/NNP+도/JX
오케스트라에	오케스트라/NNG+에/JKB
합류했다.	합류/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.126.8.1
조영창, 백주영, 피아니스트 김규연은 베토벤의 ‘삼중 협주곡 C장조, Op.56’을 협연하고, 최나경과 하피스트 나현선은 작곡가 백영은의 ‘플루트·하프와 관현악을 위한 비상’을 초연한다.

조영창,	조영창/NNP+,/SP
백주영,	백주영/NNP+,/SP
피아니스트	피아니스트/NNG
김규연은	김규연/NNP+은/JX
베토벤의	베토벤/NNP+의/JKG
‘삼중	‘/SS+삼중/NNG
협주곡	협주곡/NNG
C장조,	C/SL+장조/NNG+,/SP
Op.56’을	Op/SL+./SP+56/SN+’/SS+을/JKO
협연하고,	협연/NNG+하/XSV+고/EC+,/SP
최나경과	최나경/NNP+과/JC
하피스트	하피스트/NNG
나현선은	나현선/NNP+은/JX
작곡가	작곡가/NNG
백영은의	백영은/NNP+의/JKG
‘플루트·하프와	‘/SS+플루트/NNG+·/SP+하프/NNG+와/JC
관현악을	관현악/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
비상’을	비상/NNG+’/SS+을/JKO
초연한다.	초연/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.126.8.2
재학생 합창단은 풀랑크의 ‘글로리아 G장조’를 오케스트라와 협연한다.

재학생	재학/NNG+생/XSN
합창단은	합창단/NNG+은/JX
풀랑크의	풀랑크/NNP+의/JKG
‘글로리아	‘/SS+글로리아/NNP
G장조’를	G/SL+장조/NNG+’/SS+를/JKO
오케스트라와	오케스트라/NNG+와/JKB
협연한다.	협연/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.126.8.3
이와 함께 오케스트라는 말러의 ‘교향곡 1번 D장조 거인’을 연주할 예정이다.

이와	이/NP+와/JKB
함께	함께/MAG
오케스트라는	오케스트라/NNG+는/JX
말러의	말러/NNP+의/JKG
‘교향곡	‘/SS+교향곡/NNG
1번	1/SN+번/NNB
D장조	D/SL+장조/NNG
거인’을	거인/NNG+’/SS+을/JKO
연주할	연주/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.126.8.4
2만∼10만 원.

2만∼10만	2/SN+만/NR+∼/SO+10/SN+만/NR
원.	원/NNB+./SF


# id : NWRW1800000053.126.8.5
02-720-3933

02-720-3933	02/SN+-/SO+720/SN+-/SO+3933/SN


