# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.35
metadata : {}


# id : NWRW1800000037.35.1.1
빅2 中의 힘… 서방국 티베트문제 언급 꺼려

빅2	빅/NNG+2/SN
무력으로	무력/NNG+으로/JKB
침공해	침공/NNG+하/XSV+아/EC
이듬해	이듬해/NNG
5월	5/SN+월/NNB
자국령으로	자국령/NNG+으로/JKB
삼았다.	삼/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.35.5.1
티베트인들은 1959년 3월 10일 유혈봉기를 일으키는 등 산발적인 저항을 계속했다.

티베트인들은	티베트인/NNG+들/XSN+은/JX
1959년	1959/SN+년/NNB
3월	3/SN+월/NNB
10일	10/SN+일/NNB
유혈봉기를	유혈/NNG+봉기/NNG+를/JKO
일으키는	일으키/VV+는/ETM
등	등/NNB
산발적인	산발/NNG+적/XSN+이/VCP+ㄴ/ETM
저항을	저항/NNG+을/JKO
계속했다.	계속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.35.5.2
그때만 해도 티베트는 미국의 비공식적인 지원을 받았다.

그때만	그때/NNG+만/JX
해도	하/VV+아도/EC
티베트는	티베트/NNP+는/JX
미국의	미국/NNP+의/JKG
비공식적인	비/XPN+공식/NNG+적/XSN+이/VCP+ㄴ/ETM
지원을	지원/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.35.5.3
그러나 미국이 1972년 소련 견제를 위해 중국과 ‘핑퐁 외교’로 알려진 화해 정책을 추구하면서 티베트에 대한 지원이 사실상 중단됐다.

그러나	그러나/MAJ
미국이	미국/NNP+이/JKS
1972년	1972/SN+년/NNB
소련	소련/NNP
견제를	견제/NNG+를/JKO
위해	위하/VV+아/EC
중국과	중국/NNP+과/JKB
‘핑퐁	‘/SS+핑퐁/NNG
외교’로	외교/NNG+’/SS+로/JKB
알려진	알려지/VV+ㄴ/ETM
화해	화해/NNG
정책을	정책/NNG+을/JKO
추구하면서	추구/NNG+하/XSV+면서/EC
티베트에	티베트/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
지원이	지원/NNG+이/JKS
사실상	사실/NNG+상/XSN
중단됐다.	중단/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.35.5.4
달라이 라마가 1970년대에 독립이 아닌 ‘고도의 자치권’을 요구하는 ‘중도 노선’을 천명하며 투쟁 수위를 낮춘 것도 이 같은 현실적 한계를 고려한 것이다.

달라이	달라이/NNP
라마가	라마/NNP+가/JKS
1970년대에	1970/SN+년대/NNB+에/JKB
독립이	독립/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
‘고도의	‘/SS+고도/NNG+의/JKG
자치권’을	자치/NNG+권/XSN+’/SS+을/JKO
요구하는	요구/NNG+하/XSV+는/ETM
‘중도	‘/SS+중도/NNG
노선’을	노선/NNG+’/SS+을/JKO
천명하며	천명/NNG+하/XSV+며/EC
투쟁	투쟁/NNG
수위를	수위/NNG+를/JKO
낮춘	낮추/VV+ㄴ/ETM
것도	것/NNB+도/JX
이	이/NP
같은	같/VA+은/ETM
현실적	현실/NNG+적/XSN
한계를	한계/NNG+를/JKO
고려한	고려/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.35.5.5
게다가 2008년 유혈사태 이후 중국이 티베트 통치를 강화해 내부 투쟁 조직과 역량이 와해되면서 집단적인 무장 저항 대신 개인적 분신을 선택할 수밖에 없었던 것으로 분석된다.

게다가	게다가/MAG
2008년	2008/SN+년/NNB
유혈사태	유혈/NNG+사태/NNG
이후	이후/NNG
중국이	중국/NNP+이/JKS
티베트	티베트/NNP
통치를	통치/NNG+를/JKO
강화해	강화/NNG+하/XSV+아/EC
내부	내부/NNG
투쟁	투쟁/NNG
조직과	조직/NNG+과/JC
역량이	역량/NNG+이/JKS
와해되면서	와해/NNG+되/XSV+면서/EC
집단적인	집단/NNG+적/XSN+이/VCP+ㄴ/ETM
무장	무장/NNG
저항	저항/NNG
대신	대신/NNG
개인적	개인/NNG+적/XSN
분신을	분신/NNG+을/JKO
선택할	선택/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없었던	없/VA+었/EP+던/ETM
것으로	것/NNB+으로/JKB
분석된다.	분석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.35.6.1
국제사회가 티베트 사태에 적극 개입하지 못하고 분신 사태에도 즉각 호응하지 못하는 것은 이런 국제정치적 역학관계 때문이다.

국제사회가	국제/NNG+사회/NNG+가/JKS
티베트	티베트/NNP
사태에	사태/NNG+에/JKB
적극	적극/NNG
개입하지	개입/NNG+하/XSV+지/EC
못하고	못하/VX+고/EC
분신	분신/NNG
사태에도	사태/NNG+에/JKB+도/JX
즉각	즉각/MAG
호응하지	호응/NNG+하/XSV+지/EC
못하는	못하/VX+는/ETM
것은	것/NNB+은/JX
이런	이런/MMD
국제정치적	국제/NNG+정치/NNG+적/XSN
역학관계	역학/NNG+관계/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.35.6.2
미국은 테러와의 전쟁에서 중국의 지지를 얻기 위해 소수민족 인권 문제에 대한 개입의 정도를 낮췄다.

미국은	미국/NNP+은/JX
테러와의	테러/NNG+와/JKB+의/JKG
전쟁에서	전쟁/NNG+에서/JKB
중국의	중국/NNP+의/JKG
지지를	지지/NNG+를/JKO
얻기	얻/VV+기/ETN
위해	위하/VV+아/EC
소수민족	소수/NNG+민족/NNG
인권	인권/NNG
문제에	문제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
개입의	개입/NNG+의/JKG
정도를	정도/NNG+를/JKO
낮췄다.	낮추/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.35.6.3
2008년 글로벌 금융위기 이후 국제사회에서 중국의 입김이 급격히 커지자 다른 서방 국가들도 티베트 문제에 소극적으로 접근하고 있다는 지적도 나온다.

2008년	2008/SN+년/NNB
글로벌	글로벌/NNG
금융위기	금융/NNG+위기/NNG
이후	이후/NNG
국제사회에서	국제/NNG+사회/NNG+에서/JKB
중국의	중국/NNP+의/JKG
입김이	입김/NNG+이/JKS
급격히	급격히/MAG
커지자	커지/VV+자/EC
다른	다른/MMD
서방	서방/NNG
국가들도	국가/NNG+들/XSN+도/JX
티베트	티베트/NNP
문제에	문제/NNG+에/JKB
소극적으로	소극/NNG+적/XSN+으로/JKB
접근하고	접근/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
지적도	지적/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.35.7.1
분신 사태가 만성화하면서 티베트는 또 다른 한계에 처해 있다.

분신	분신/NNG
사태가	사태/NNG+가/JKS
만성화하면서	만성/NNG+화/XSN+하/XSV+면서/EC
티베트는	티베트/NNP+는/JX
또	또/MAG
다른	다른/MMD
한계에	한계/NNG+에/JKB
처해	처하/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.35.7.2
분신의 실효성 문제가 대두되고 있다고 미국 뉴욕타임스는 3일 분석했다.

분신의	분신/NNG+의/JKG
실효성	실효/NNG+성/XSN
문제가	문제/NNG+가/JKS
대두되고	대두/NNG+되/XSV+고/EC
있다고	있/VX+다고/EC
미국	미국/NNP
뉴욕타임스는	뉴욕타임스/NNP+는/JX
3일	3/SN+일/NNB
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.35.7.3
이 신문은 지금까지 티베트의 대중국 투쟁이 달라이 라마 개인의 카리스마에 의존하고 있다고 지적했다.

이	이/MMD
신문은	신문/NNG+은/JX
지금까지	지금/NNG+까지/JX
티베트의	티베트/NNP+의/JKG
대중국	대중국/NNG
투쟁이	투쟁/NNG+이/JKS
달라이	달라이/NNP
라마	라마/NNP
개인의	개인/NNG+의/JKG
카리스마에	카리스마/NNG+에/JKB
의존하고	의존/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.35.8.1
중국은 분신 항거에 강경 일변도로 대처하고 있다.

중국은	중국/NNP+은/JX
분신	분신/NNG
항거에	항거/NNG+에/JKB
강경	강경/NNG
일변도로	일변도/NNG+로/JKB
대처하고	대처/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.35.8.2
중국 정부는 분신을 사주하거나 방조한 승려까지 ‘살인 교사죄’로 중형에 처하고, 외부와의 정보 차단을 위해 티베트 각 가정의 위성 수신 안테나까지 철거하는 강경책을 내놓고 있다.

중국	중국/NNP
정부는	정부/NNG+는/JX
분신을	분신/NNG+을/JKO
사주하거나	사주/NNG+하/XSV+거나/EC
방조한	방조/NNG+하/XSV+ㄴ/ETM
승려까지	승려/NNG+까지/JX
‘살인	‘/SS+살인/NNG
교사죄’로	교사죄/NNG+’/SS+로/JKB
중형에	중형/NNG+에/JKB
처하고,	처하/VV+고/EC+,/SP
외부와의	외부/NNG+와/JKB+의/JKG
정보	정보/NNG
차단을	차단/NNG+을/JKO
위해	위하/VV+아/EC
티베트	티베트/NNP
각	각/MMD
가정의	가정/NNG+의/JKG
위성	위성/NNG
수신	수신/NNG
안테나까지	안테나/NNG+까지/JX
철거하는	철거/NNG+하/XSV+는/ETM
강경책을	강경책/NNG+을/JKO
내놓고	내놓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.35.9.1
전문가들은 중국이 티베트의 분리 독립을 절대 허용하지 않는 이유로 △중국 내 다른 소수민족의 독립 열망을 부추길 수 있고 △광대한 티베트는 자원의 보고(寶庫)이며 △인도 네팔 미얀마 등과 국경을 맞댄 군사요충지라는 점을 들고 있다.

전문가들은	전문가/NNG+들/XSN+은/JX
중국이	중국/NNP+이/JKS
티베트의	티베트/NNP+의/JKG
분리	분리/NNG
독립을	독립/NNG+을/JKO
절대	절대/MAG
허용하지	허용/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
이유로	이유/NNG+로/JKB
△중국	△/SW+중국/NNP
내	내/NNB
다른	다른/MMD
소수민족의	소수/NNG+민족/NNG+의/JKG
독립	독립/NNG
열망을	열망/NNG+을/JKO
부추길	부추기/VV+ㄹ/ETM
수	수/NNB
있고	있/VA+고/EC
△광대한	△/SW+광대/NNG+하/XSA+ㄴ/ETM
티베트는	티베트/NNP+는/JX
자원의	자원/NNG+의/JKG
보고(寶庫)이며	보고/NNG+(/SS+寶庫/SH+)/SS+이/VCP+며/EC
△인도	△/SW+인도/NNP
네팔	네팔/NNP
미얀마	미얀마/NNP
등과	등/NNB+과/JKB
국경을	국경/NNG+을/JKO
맞댄	맞대/VV+ㄴ/ETM
군사요충지라는	군사/NNG+요충지/NNG+이/VCP+라는/ETM
점을	점/NNG+을/JKO
들고	들/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.35.10.1
이 같은 상황에도 불구하고 분신 항거가 100번째에 육박하자 세계의 눈길은 일시적이나마 다시 티베트로 향하고 있다.

이	이/NP
같은	같/VA+은/ETM
상황에도	상황/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
분신	분신/NNG
항거가	항거/NNG+가/JKS
100번째에	100/SN+번/NNB+째/XSN+에/JKB
육박하자	육박/NNG+하/XSV+자/EC
세계의	세계/NNG+의/JKG
눈길은	눈길/NNG+은/JX
일시적이나마	일시/NNG+적/XSN+이나마/JX
다시	다시/MAG
티베트로	티베트/NNP+로/JKB
향하고	향하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.35.10.2
중동에서 한 발을 뺀 미국은 중국에 대한 외교적 지렛대로 티베트 문제를 거론하고 있다.

중동에서	중동/NNP+에서/JKB
한	한/MMN
발을	발/NNG+을/JKO
뺀	빼/VV+ㄴ/ETM
미국은	미국/NNP+은/JX
중국에	중국/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
외교적	외교/NNG+적/XSN
지렛대로	지렛대/NNG+로/JKB
티베트	티베트/NNP
문제를	문제/NNG+를/JKO
거론하고	거론/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.35.10.3
게리 로크 주중 미국대사가 작년 말 티베트 분신지역을 전격 방문한 것도 이런 맥락이다.

게리	게리/NNP
로크	로크/NNP
주중	주중/NNG
미국대사가	미국/NNP+대사/NNG+가/JKS
작년	작년/NNG
말	말/NNB
티베트	티베트/NNP
분신지역을	분신/NNG+지역/NNG+을/JKO
전격	전격/NNG
방문한	방문/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
이런	이런/MMD
맥락이다.	맥락/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.35.10.4
분신 사태가 장기화하고 세계가 티베트의 인권 문제에 관심을 기울이는 것 자체가 중국에도 부담인 만큼 채찍과 당근을 병행하며 상황을 진정시키려는 시도를 하고 있다.

분신	분신/NNG
사태가	사태/NNG+가/JKS
장기화하고	장기/NNG+화/XSN+하/XSV+고/EC
세계가	세계/NNG+가/JKS
티베트의	티베트/NNP+의/JKG
인권	인권/NNG
문제에	문제/NNG+에/JKB
관심을	관심/NNG+을/JKO
기울이는	기울이/VV+는/ETM
것	것/NNB
자체가	자체/NNG+가/JKS
중국에도	중국/NNP+에/JKB+도/JX
부담인	부담/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
채찍과	채찍/NNG+과/JC
당근을	당근/NNG+을/JKO
병행하며	병행/NNG+하/XSV+며/EC
상황을	상황/NNG+을/JKO
진정시키려는	진정/NNG+시키/XSV+려는/ETM
시도를	시도/NNG+를/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


