# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.424
metadata : {}


# id : NWRW1800000032.424.1.1
‘보좌관 7억’ 옥죄어 오는 수사 이상득 “총선 불출마”

‘보좌관	‘/SS+보좌관/NNG
‘불출마	‘/SS+불/XPN+출마/NNG
도미노’를	도미노/NNG+’/SS+를/JKO
불러올	불러오/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000032.424.3.1
6선인 이 의원은 서울 여의도 당사에서 기자회견을 열어 “우리 당이 매우 힘든 상황에 놓여 있다.

6선인	6/SN+선/NNB+이/VCP+ㄴ/ETM
이	이/NNP
의원은	의원/NNG+은/JX
서울	서울/NNP
여의도	여의도/NNP
당사에서	당사/NNG+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
“우리	“/SS+우리/NP
당이	당/NNG+이/JKS
매우	매우/MAG
힘든	힘들/VA+ㄴ/ETM
상황에	상황/NNG+에/JKB
놓여	놓이/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.424.3.2
이런 때일수록 단합만이 어려움을 극복하는 유일한 길이라고 믿는다”며 “19대 총선에 출마하지 않기로 결심했다”고 밝혔다.

이런	이런/MMD
때일수록	때/NNG+이/VCP+ㄹ수록/EC
단합만이	단합/NNG+만/JX+이/JKS
어려움을	어려움/NNG+을/JKO
극복하는	극복/NNG+하/XSV+는/ETM
유일한	유일/NNG+하/XSA+ㄴ/ETM
길이라고	길/NNG+이/VCP+라고/EC
믿는다”며	믿/VV+는다/EF+”/SS+며/EC
“19대	“/SS+19/SN+대/NNB
총선에	총선/NNG+에/JKB
출마하지	출마/NNG+하/XSV+지/EC
않기로	않/VX+기/ETN+로/JKB
결심했다”고	결심/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.424.3.3
그는 “저의 오늘 결심이 제가 평생을 바쳐온 한나라당이 새롭게 태어나는 데 하나의 밀알이 되길 진심으로 기원한다”고 덧붙였다.

그는	그/NP+는/JX
“저의	“/SS+저/NP+의/JKG
오늘	오늘/NNG
결심이	결심/NNG+이/JKS
제가	제/NP+가/JKS
평생을	평생/NNG+을/JKO
바쳐온	바치/VV+어/EC+오/VX+ㄴ/ETM
한나라당이	한나라당/NNP+이/JKS
새롭게	새롭/VA+게/EC
태어나는	태어나/VV+는/ETM
데	데/NNB
하나의	하나/NR+의/JKG
밀알이	밀알/NNG+이/JKC
되길	되/VV+기/ETN+ㄹ/JKO
진심으로	진심/NNG+으로/JKB
기원한다”고	기원/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.424.4.1
이 의원은 자신의 15년 참모인 박배수(46) 보좌관이 최근 이국철 에스엘에스(SLS)그룹 회장과 제일저축은행으로부터 7억원을 받은 혐의로 구속된 것과 관련해 “다시 한번 제 보좌관의 불미스러운 일로 국민 여러분께 심려를 끼쳐 드린 점 깊이 사과드린다”고 밝혔다.

이	이/NNP
의원은	의원/NNG+은/JX
자신의	자신/NNG+의/JKG
15년	15/SN+년/NNB
참모인	참모/NNG+이/VCP+ㄴ/ETM
박배수(46)	박배수/NNP+(/SS+46/SN+)/SS
보좌관이	보좌관/NNG+이/JKS
최근	최근/MAG
이국철	이국철/NNP
에스엘에스(SLS)그룹	에스엘에스/NNP+(/SS+SLS/SL+)/SS+그룹/NNG
회장과	회장/NNG+과/JC
제일저축은행으로부터	제일저축은행/NNP+으로부터/JKB
7억원을	7/SN+억/NR+원/NNB+을/JKO
받은	받/VV+은/ETM
혐의로	혐의/NNG+로/JKB
구속된	구속/NNG+되/XSV+ㄴ/ETM
것과	것/NNB+과/JKB
관련해	관련/NNG+하/XSV+아/EC
“다시	“/SS+다시/MAG
한번	한/MMN+번/NNB
제	저/NP+의/JKG
보좌관의	보좌관/NNG+의/JKG
불미스러운	불미/NNG+스럽/XSA+ㄴ/ETM
일로	일/NNG+로/JKB
국민	국민/NNG
여러분께	여러분/NP+께/JKB
심려를	심려/NNG+를/JKO
끼쳐	끼치/VV+어/EC
드린	드리/VX+ㄴ/ETM
점	점/NNG
깊이	깊이/MAG
사과드린다”고	사과/NNG+드리/VV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.424.4.2
그는 “대통령의 친인척이라는 이유로 온갖 억측과 비난을 받을 때에는 가슴이 아팠지만 묵묵히 소임을 다하며 올바른 몸가짐을 가지려 최선을 다해왔다”고 말했다.

그는	그/NP+는/JX
“대통령의	“/SS+대통령/NNG+의/JKG
친인척이라는	친인척/NNG+이/VCP+라는/ETM
이유로	이유/NNG+로/JKB
온갖	온갖/MMN
억측과	억측/NNG+과/JC
비난을	비난/NNG+을/JKO
받을	받/VV+을/ETM
때에는	때/NNG+에/JKB+는/JX
가슴이	가슴/NNG+이/JKS
아팠지만	아프/VA+았/EP+지만/EC
묵묵히	묵묵히/MAG
소임을	소임/NNG+을/JKO
다하며	다/MAG+하/XSV+며/EC
올바른	올바르/VA+ㄴ/ETM
몸가짐을	몸가짐/NNG+을/JKO
가지려	가지/VV+려/EC
최선을	최선/NNG+을/JKO
다해왔다”고	다/MAG+하/XSV+아/EC+오/VX+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.424.4.3
그는 ‘불출마 선언의 결정적 계기가 보좌관 구속 때문이냐’는 질문에 “아니다.

그는	그/NP+는/JX
‘불출마	‘/SS+불/XPN+출마/NNG
선언의	선언/NNG+의/JKG
결정적	결정/NNG+적/XSN
계기가	계기/NNG+가/JKS
보좌관	보좌관/NNG
구속	구속/NNG
때문이냐’는	때문/NNB+이/VCP+냐/EF+’/SS+는/ETM
질문에	질문/NNG+에/JKB
“아니다.	“/SS+아니/VCN+다/EF+./SF


# id : NWRW1800000032.424.4.4
오랫동안 고민해왔다”고 말했지만, 검찰 수사의 칼날을 피하기 위한 고육책이란 분석도 정치권에선 나온다.

오랫동안	오랫동안/NNG
고민해왔다”고	고민/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+”/SS+고/JKQ
말했지만,	말/NNG+하/XSV+았/EP+지만/EC+,/SP
검찰	검찰/NNG
수사의	수사/NNG+의/JKG
칼날을	칼날/NNG+을/JKO
피하기	피하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
고육책이란	고육책/NNG+이/VCP+란/ETM
분석도	분석/NNG+도/JX
정치권에선	정치/NNG+권/XSN+에서/JKB+ㄴ/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.424.5.1
또 초선인 홍정욱(41·서울 노원병) 의원도 이날 당사에서 기자회견을 열어 “나 자신의 부족함을 꾸짖으며 18대 국회의원 임기를 끝으로 여의도를 떠나고자 한다”며 총선 불출마를 선언했다.

또	또/MAG
초선인	초선/NNG+이/VCP+ㄴ/ETM
홍정욱(41·서울	홍정욱/NNP+(/SS+41/SN+·/SP+서울/NNP
노원병)	노원병/NNP+)/SS
의원도	의원/NNG+도/JX
이날	이날/NNG
당사에서	당사/NNG+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
“나	“/SS+나/NP
자신의	자신/NNG+의/JKG
부족함을	부족/NNG+하/XSA+ㅁ/ETN+을/JKO
꾸짖으며	꾸짖/VV+으며/EC
18대	18/SN+대/NNB
국회의원	국회/NNG+의원/NNG
임기를	임기/NNG+를/JKO
끝으로	끝/NNG+으로/JKB
여의도를	여의도/NNP+를/JKO
떠나고자	떠나/VV+고자/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
총선	총선/NNG
불출마를	불/XPN+출마/NNG+를/JKO
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.424.5.2
당내 최고령인 이 의원과 소장파인 홍 의원이 불출마를 선언함에 따라, ‘박근혜 체제’로 당을 재편하는 과정에서 불출마 선언이 이어질 것으로 보인다.

당내	당내/NNG
최고령인	최/XPN+고령/NNG+이/VCP+ㄴ/ETM
이	이/NNP
의원과	의원/NNG+과/JC
소장파인	소장파/NNG+이/VCP+ㄴ/ETM
홍	홍/NNP
의원이	의원/NNG+이/JKS
불출마를	불/XPN+출마/NNG+를/JKO
선언함에	선언/NNG+하/XSV+ㅁ/ETN+에/JKB
따라,	따르/VV+아/EC+,/SP
‘박근혜	‘/SS+박근혜/NNP
체제’로	체제/NNG+’/SS+로/JKB
당을	당/NNG+을/JKO
재편하는	재편/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
불출마	불/XPN+출마/NNG
선언이	선언/NNG+이/JKS
이어질	이어지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.424.5.3
한나라당의 한 의원은 “친이·친박을 가리지 않고 당내 적지 않은 중진의원들에게 불출마 압력이 가중될 것으로 보인다”고 말했다.

한나라당의	한나라당/NNP+의/JKG
한	한/NNP
의원은	의원/NNG+은/JX
“친이·친박을	“/SS+친/XPN+이/NNP+·/SP+친/XPN+박/NNP+을/JKO
가리지	가리/VV+지/EC
않고	않/VX+고/EC
당내	당내/NNG
적지	적/VA+지/EC
않은	않/VX+은/ETM
중진의원들에게	중진/NNG+의원/NNG+들/XSN+에게/JKB
불출마	불/XPN+출마/NNG
압력이	압력/NNG+이/JKS
가중될	가중/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


