# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.240
metadata : {}


# id : NWRW1800000025.240.1.1
韓-페루 FTA 타결… 10년내 모든 교역품 관세 철폐

韓-페루	韓/SH+-/SO+페루/NNP
페루와의 이번 FTA 체결로 한국은 자동차 수출을 비롯해 TV 세탁기 냉장고 등 가전제품 수출에서 많은 혜택을 볼 것으로 전망된다.

페루와의	페루/NNP+와/JKB+의/JKG
이번	이번/NNG
FTA	FTA/SL
체결로	체결/NNG+로/JKB
한국은	한국/NNP+은/JX
자동차	자동차/NNG
수출을	수출/NNG+을/JKO
비롯해	비롯하/VV+아/EC
TV	TV/SL
세탁기	세탁기/NNG
냉장고	냉장고/NNG
등	등/NNB
가전제품	가전제품/NNG
수출에서	수출/NNG+에서/JKB
많은	많/VA+은/ETM
혜택을	혜택/NNG+을/JKO
볼	보/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.240.3.2
반면 페루는 한국과의 농수산물 교역에서 이득을 보게 됐다.

반면	반면/NNG
페루는	페루/NNP+는/JX
한국과의	한국/NNP+과/JKB+의/JKG
농수산물	농수산물/NNG
교역에서	교역/NNG+에서/JKB
이득을	이득/NNG+을/JKO
보게	보/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.240.4.1
페루와의 교역 규모는 2009년 기준 15억6000만 달러로 다른 무역상대국에 비해 그리 크진 않다.

페루와의	페루/NNP+와/JKB+의/JKG
교역	교역/NNG
규모는	규모/NNG+는/JX
2009년	2009/SN+년/NNB
기준	기준/NNG
15억6000만	15/SN+억/NR+6000/SN+만/NR
달러로	달러/NNB+로/JKB
다른	다른/MMD
무역상대국에	무역/NNG+상대국/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
그리	그리/MAG
크진	크/VA+지/EC+ㄴ/JX
않다.	않/VX+다/EF+./SF


# id : NWRW1800000025.240.4.2
그러나 페루는 최근 5년간 연평균 경제성장률이 6.8%에 달하는 등 중남미 주요국 가운데 가장 빠르게 성장하고 있어 성장잠재력이 매우 크다는 평가다.

그러나	그러나/MAJ
페루는	페루/NNP+는/JX
최근	최근/NNG
5년간	5/SN+년/NNB+간/XSN
연평균	연평균/NNG
경제성장률이	경제/NNG+성장/NNG+률/XSN+이/JKS
6.8%에	6/SN+./SP+8/SN+%/SW+에/JKB
달하는	달하/VV+는/ETM
등	등/NNB
중남미	중남미/NNP
주요국	주요국/NNG
가운데	가운데/NNG
가장	가장/MAG
빠르게	빠르/VA+게/EC
성장하고	성장/NNG+하/XSV+고/EC
있어	있/VX+어/EC
성장잠재력이	성장/NNG+잠재력/NNG+이/JKS
매우	매우/MAG
크다는	크/VA+다는/ETM
평가다.	평가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.240.4.3
또 페루는 아연, 주석, 납, 금, 은, 동 등 각종 광물자원이 풍부해 향후 우리나라의 전략적 자원협력 파트너로 많은 기대를 받고 있다.

또	또/MAG
페루는	페루/NNP+는/JX
아연,	아연/NNG+,/SP
주석,	주석/NNG+,/SP
납,	납/NNG+,/SP
금,	금/NNG+,/SP
은,	은/NNG+,/SP
동	동/NNG
등	등/NNB
각종	각종/NNG
광물자원이	광물/NNG+자원/NNG+이/JKS
풍부해	풍부하/VA+아/EC
향후	향후/NNG
우리나라의	우리나라/NNG+의/JKG
전략적	전략/NNG+적/XSN
자원협력	자원/NNG+협력/NNG
파트너로	파트너/NNG+로/JKB
많은	많/VA+은/ETM
기대를	기대/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.240.5.1
○ 가장 큰 수혜품목은 자동차와 가전

○	○/SW
가장	가장/MAG
큰	크/VA+ㄴ/ETM
수혜품목은	수혜/NNG+품목/NNG+은/JX
자동차와	자동차/NNG+와/JC
가전	가전/NNG


# id : NWRW1800000025.240.6.1
외교통상부는 지난달 30일 김종훈 통상교섭본부장과 마르틴 페레스 페루 통상관광부 장관이 참석한 가운데 페루 리마에서 열린 한-페루 통상장관회담에서 FTA 협상을 타결하고 공동선언문을 발표했다고 밝혔다.

외교통상부는	외교/NNG+통상부/NNG+는/JX
지난달	지난달/NNG
30일	30/SN+일/NNB
김종훈	김종훈/NNP
통상교섭본부장과	통상/NNG+교섭/NNG+본부장/NNG+과/JC
마르틴	마르틴/NNP
페레스	페레스/NNP
페루	페루/NNP
통상관광부	통상/NNG+관광부/NNG
장관이	장관/NNG+이/JKS
참석한	참석/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
리마에서	리마/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
한-페루	한/NNP+-/SO+페루/NNP
통상장관회담에서	통상/NNG+장관/NNG+회담/NNG+에서/JKB
FTA	FTA/SL
협상을	협상/NNG+을/JKO
타결하고	타결/NNG+하/XSV+고/EC
공동선언문을	공동/NNG+선언문/NNG+을/JKO
발표했다고	발표/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.240.6.2
이번 협상에서 양국은 상품, 위생 및 검역, 원산지, 통관, 서비스, 투자, 통신, 금융, 지적재산권, 전자상거래, 노동, 환경, 경제협력 등 총 25개 챕터에 달하는 광범위한 경제·통상 합의를 이끌어내는 데 성공했다.

이번	이번/NNG
협상에서	협상/NNG+에서/JKB
양국은	양국/NNG+은/JX
상품,	상품/NNG+,/SP
위생	위생/NNG
및	및/MAG
검역,	검역/NNG+,/SP
원산지,	원산지/NNG+,/SP
통관,	통관/NNG+,/SP
서비스,	서비스/NNG+,/SP
투자,	투자/NNG+,/SP
통신,	통신/NNG+,/SP
금융,	금융/NNG+,/SP
지적재산권,	지/NNG+적/XSN+재산/NNG+권/XSN+,/SP
전자상거래,	전자/NNG+상거래/NNG+,/SP
노동,	노동/NNG+,/SP
환경,	환경/NNG+,/SP
경제협력	경제/NNG+협력/NNG
등	등/NNB
총	총/MMA
25개	25/SN+개/NNB
챕터에	챕터/NNG+에/JKB
달하는	달하/VV+는/ETM
광범위한	광범위/NNG+하/XSA+ㄴ/ETM
경제·통상	경제/NNG+·/SP+통상/NNG
합의를	합의/NNG+를/JKO
이끌어내는	이끌/VV+어/EC+내/VX+는/ETM
데	데/NNB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.240.7.1
이번 FTA 체결로 페루 측은 현재 한국산 자동차에 부과되는 9%의 관세를 단계적으로 철폐하기로 했다.

이번	이번/NNG
FTA	FTA/SL
체결로	체결/NNG+로/JKB
페루	페루/NNP
측은	측/NNB+은/JX
현재	현재/MAG
한국산	한국/NNP+산/XSN
자동차에	자동차/NNG+에/JKB
부과되는	부과/NNG+되/XSV+는/ETM
9%의	9/SN+%/SW+의/JKG
관세를	관세/NNG+를/JKO
단계적으로	단계/NNG+적/XSN+으로/JKB
철폐하기로	철폐/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.240.7.2
대형차에 대한 관세는 협정 발효 즉시 철폐되며, 중형차에 대한 관세는 5년 내에 철폐된다.

대형차에	대형차/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관세는	관세/NNG+는/JX
협정	협정/NNG
발효	발효/NNG
즉시	즉시/MAG
철폐되며,	철폐/NNG+되/XSV+며/EC+,/SP
중형차에	중형차/NNG+에/JKB
5년	5/SN+년/NNB
내에	내/NNB+에/JKB
철폐된다.	철폐/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.240.7.3
현지 수요가 많은 소형 승용차에 대한 관세는 10년 안에 철폐하기로 했다.

현지	현지/NNG
수요가	수요/NNG+가/JKS
많은	많/VA+은/ETM
소형	소형/NNG
승용차에	승용차/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관세는	관세/NNG+는/JX
10년	10/SN+년/NNB
안에	안/NNG+에/JKB
철폐하기로	철폐/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.240.7.4
KOTRA는 “이번 FTA 체결로 가장 큰 덕을 본 품목은 자동차”라며 “FTA를 체결하지 않은 일본차에 비해 가격경쟁력이 높아 앞으로 판매를 10% 이상 늘릴 수 있을 것”이라고 기대했다.

KOTRA는	KOTRA/SL+는/JX
“이번	“/SS+이번/NNG
FTA	FTA/SL
체결로	체결/NNG+로/JKB
가장	가장/MAG
큰	크/VA+ㄴ/ETM
덕을	덕/NNG+을/JKO
본	보/VV+ㄴ/ETM
품목은	품목/NNG+은/JX
자동차”라며	자동차/NNG+”/SS+이/VCP+라며/EC
“FTA를	“/SS+FTA/SL+를/JKO
체결하지	체결/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
일본차에	일본/NNP+차/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
가격경쟁력이	가격/NNG+경쟁력/NNG+이/JKS
높아	높/VA+아/EC
앞으로	앞/NNG+으로/JKB
판매를	판매/NNG+를/JKO
10%	10/SN+%/SW
이상	이상/NNG
늘릴	늘리/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
기대했다.	기대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.240.7.5
현재 페루 자동차 시장은 일본차가 절반 이상을 차지하고 있으며 한국차의 점유율은 23%다.

현재	현재/MAG
페루	페루/NNP
자동차	자동차/NNG
시장은	시장/NNG+은/JX
일본차가	일본/NNP+차/NNG+가/JKS
절반	절반/NNG
이상을	이상/NNG+을/JKO
차지하고	차지/NNG+하/XSV+고/EC
있으며	있/VX+으며/EC
한국차의	한국/NNP+차/NNG+의/JKG
점유율은	점유/NNG+율/XSN+은/JX
23%다.	23/SN+%/SW+이/VCP+다/EF+./SF


# id : NWRW1800000025.240.7.6
2004년 한국차 점유율이 7.4%에 그쳤던 것을 고려하면 빠른 성장세다.

2004년	2004/SN+년/NNB
한국차	한국/NNP+차/NNG
점유율이	점유/NNG+율/XSN+이/JKS
7.4%에	7/SN+./SP+4/SN+%/SW+에/JKB
그쳤던	그치/VV+었/EP+던/ETM
것을	것/NNB+을/JKO
고려하면	고려/NNG+하/XSV+면/EC
빠른	빠르/VA+ㄴ/ETM
성장세다.	성장세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.240.7.7
최근 페루에 대한 한국의 연평균 자동차 수출은 9700만 달러 규모로, 전체 페루 수출의 16.2%에 해당한다.

최근	최근/NNG
페루에	페루/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
한국의	한국/NNP+의/JKG
연평균	연평균/NNG
자동차	자동차/NNG
수출은	수출/NNG+은/JX
9700만	9700/SN+만/NR
달러	달러/NNB
규모로,	규모/NNG+로/JKB+,/SP
전체	전체/NNG
페루	페루/NNP
수출의	수출/NNG+의/JKG
16.2%에	16/SN+./SP+2/SN+%/SW+에/JKB
해당한다.	해당/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.240.8.1
한편 한국은 TV 세탁기 냉장고 등 가전제품 수출에서도 탄력을 받을 것으로 보인다.

한편	한편/MAG
한국은	한국/NNP+은/JX
TV	TV/SL
세탁기	세탁기/NNG
냉장고	냉장고/NNG
등	등/NNB
가전제품	가전제품/NNG
수출에서도	수출/NNG+에서/JKB+도/JX
탄력을	탄력/NNG+을/JKO
받을	받/VV+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.240.8.2
페루는 한국산 컬러TV(9%)에 대한 관세를 즉시 철폐하고 세탁기(17%)와 냉장고(17%)에 대한 관세도 각각 4년, 10년 내에 철폐하기로 했기 때문.

페루는	페루/NNP+는/JX
한국산	한국/NNP+산/XSN
컬러TV(9%)에	컬러/NNG+TV/SL+(/SS+9/SN+%/SW+)/SS+에/JKB
대한	대하/VV+ㄴ/ETM
관세를	관세/NNG+를/JKO
즉시	즉시/MAG
철폐하고	철폐/NNG+하/XSV+고/EC
세탁기(17%)와	세탁기/NNG+(/SS+17/SN+%/SW+)/SS+와/JC
냉장고(17%)에	냉장고/NNG+(/SS+17/SN+%/SW+)/SS+에/JKB
관세도	관세/NNG+도/JX
각각	각각/MAG
4년,	4/SN+년/NNB+,/SP
10년	10/SN+년/NNB
내에	내/NNB+에/JKB
철폐하기로	철폐/NNG+하/XSV+기/ETN+로/JKB
했기	하/VV+았/EP+기/ETN
때문.	때문/NNB+./SF


# id : NWRW1800000025.240.8.3
이 밖에도 KOTRA는 관세율이 9∼17%에 이르는 △자동차 배터리 △중장비부품 △컴퓨터 △철강판 △섬유직물·염료 △플라스틱 제품 △농약 및 의약품 등이 이번 FTA 체결의 수혜를 볼 것으로 분석했다.

이	이/NP
밖에도	밖/NNG+에/JKB+도/JX
KOTRA는	KOTRA/SL+는/JX
관세율이	관세/NNG+율/XSN+이/JKS
9∼17%에	9/SN+∼/SO+17/SN+%/SW+에/JKB
이르는	이르/VV+는/ETM
△자동차	△/SW+자동차/NNG
배터리	배터리/NNG
△중장비부품	△/SW+중장비/NNG+부품/NNG
△컴퓨터	△/SW+컴퓨터/NNG
△철강판	△/SW+철/NNG+강판/NNG
△섬유직물·염료	△/SW+섬유/NNG+직물/NNG+·/SP+염료/NNG
△플라스틱	△/SW+플라스틱/NNG
제품	제품/NNG
△농약	△/SW+농약/NNG
및	및/MAG
의약품	의약품/NNG
등이	등/NNB+이/JKS
이번	이번/NNG
FTA	FTA/SL
체결의	체결/NNG+의/JKG
수혜를	수혜/NNG+를/JKO
볼	보/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.240.9.1
○ 일부 농수산물 관세 철폐…쌀 등 민감 품목은 시장 개방서 제외

○	○/SW
일부	일부/NNG
농수산물	농수산물/NNG
관세	관세/NNG
철폐…쌀	철폐/NNG+…/SE+쌀/NNG
등	등/NNB
민감	민감/NNG
품목은	품목/NNG+은/JX
시장	시장/NNG
개방서	개방/NNG+서/JKB
제외	제외/NNG


# id : NWRW1800000025.240.10.1
그 대신 한국은 농수산물시장에서 페루산에 대한 관세를 단계적으로 철폐하기로 했다.

그	그/MMD
대신	대신/NNG
한국은	한국/NNP+은/JX
농수산물시장에서	농수산물/NNG+시장/NNG+에서/JKB
페루산에	페루/NNP+산/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
관세를	관세/NNG+를/JKO
단계적으로	단계/NNG+적/XSN+으로/JKB
철폐하기로	철폐/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.240.10.2
커피(2%)는 협정 발효 즉시 철폐하고 아스파라거스(20∼27%)는 3년 내에 철폐하기로 했다.

커피(2%)는	커피/NNG+(/SS+2/SN+%/SW+)/SS+는/JX
협정	협정/NNG
발효	발효/NNG
즉시	즉시/MAG
철폐하고	철폐/NNG+하/XSV+고/EC
아스파라거스(20∼27%)는	아스파라거스/NNG+(/SS+20/SN+∼/SO+27/SN+%/SW+)/SS+는/JX
3년	3/SN+년/NNB
내에	내/NNB+에/JKB
철폐하기로	철폐/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.240.10.3
바나나(30%)에 대한 관세는 5년 내에 철폐한다.

바나나(30%)에	바나나/NNG+(/SS+30/SN+%/SW+)/SS+에/JKB
대한	대하/VV+ㄴ/ETM
관세는	관세/NNG+는/JX
5년	5/SN+년/NNB
내에	내/NNB+에/JKB
철폐한다.	철폐/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.240.10.4
커피처럼 수입이 불가피하거나 국내에 미치는 영향이 적어 ‘즉시 철폐’에 합의한 농산물과 수산물은 각각 386개, 43개로 집계됐다.

커피처럼	커피/NNG+처럼/JKB
수입이	수입/NNG+이/JKS
불가피하거나	불가피하/VA+거나/EC
국내에	국내/NNG+에/JKB
미치는	미치/VV+는/ETM
영향이	영향/NNG+이/JKS
적어	적/VA+어/EC
‘즉시	‘/SS+즉시/NNG
철폐’에	철폐/NNG+’/SS+에/JKB
합의한	합의/NNG+하/XSV+ㄴ/ETM
농산물과	농산물/NNG+과/JC
수산물은	수산물/NNG+은/JX
각각	각각/MAG
386개,	386/SN+개/NNB+,/SP
43개로	43/SN+개/NNB+로/JKB
집계됐다.	집계/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.240.10.5
이는 전체 농산물과 수산물의 25.6%와 9.7%에 해당한다.

이는	이/NP+는/JX
전체	전체/NNG
농산물과	농산물/NNG+과/JC
수산물의	수산물/NNG+의/JKG
25.6%와	25/SN+./SP+6/SN+%/SW+와/JC
9.7%에	9/SN+./SP+7/SN+%/SW+에/JKB
해당한다.	해당/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.240.11.1
한편 이번 FTA 협상에서 페루 측의 관심이 가장 높았던 오징어(10∼22%)에 대한 관세는 5∼10년에 걸쳐 단계적으로 철폐하기로 했다.

한편	한편/MAG
이번	이번/NNG
FTA	FTA/SL
협상에서	협상/NNG+에서/JKB
페루	페루/NNP
측의	측/NNB+의/JKG
관심이	관심/NNG+이/JKS
가장	가장/MAG
높았던	높/VA+았/EP+던/ETM
오징어(10∼22%)에	오징어/NNG+(/SS+10/SN+∼/SO+22/SN+%/SW+)/SS+에/JKB
대한	대하/VV+ㄴ/ETM
관세는	관세/NNG+는/JX
5∼10년에	5/SN+∼/SO+10/SN+년/NNB+에/JKB
걸쳐	걸치/VV+어/EC
단계적으로	단계/NNG+적/XSN+으로/JKB
철폐하기로	철폐/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.240.11.2
수입액이 큰 냉동, 조미, 자숙(삶은) 오징어는 10년 내에, 기타 오징어는 5∼7년 내에 철폐한다.

수입액이	수입액/NNG+이/JKS
큰	크/VA+ㄴ/ETM
냉동,	냉동/NNG+,/SP
조미,	조미/NNG+,/SP
자숙(삶은)	자숙/NNG+(/SS+삶/VV+은/ETM+)/SS
오징어는	오징어/NNG+는/JX
10년	10/SN+년/NNB
내에,	내/NNB+에/JKB+,/SP
기타	기타/NNG
5∼7년	5/SN+∼/SO+7/SN+년/NNB
내에	내/NNB+에/JKB
철폐한다.	철폐/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.240.12.1
농림수산식품부는 “우리 측은 농수산업의 민감성을 고려해 양허(시장개방) 제외, 농산물 세이프가드, 계절관세, 장기 관세철폐기간 설정 등 다양한 예외적 수단을 확보하려 했다”며 “쌀 쇠고기 고추 마늘 양파 인삼류 명태 등 107개 품목은 아예 양허 대상에서 제외했다”고 설명했다.

농림수산식품부는	농림/NNG+수산/NNG+식품부/NNG+는/JX
“우리	“/SS+우리/NP
측은	측/NNB+은/JX
농수산업의	농수산업/NNG+의/JKG
민감성을	민감/NNG+성/XSN+을/JKO
고려해	고려/NNG+하/XSV+아/EC
양허(시장개방)	양허/NNG+(/SS+시장/NNG+개방/NNG+)/SS
제외,	제외/NNG+,/SP
농산물	농산물/NNG
세이프가드,	세이프가드/NNG+,/SP
계절관세,	계절/NNG+관세/NNG+,/SP
장기	장기/NNG
관세철폐기간	관세/NNG+철폐/NNG+기간/NNG
설정	설정/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
예외적	예외/NNG+적/XSN
수단을	수단/NNG+을/JKO
확보하려	확보/NNG+하/XSV+려/EC
했다”며	하/VX+았/EP+다/EF+”/SS+며/EC
“쌀	“/SS+쌀/NNG
쇠고기	쇠고기/NNG
고추	고추/NNG
마늘	마늘/NNG
양파	양파/NNG
인삼류	인삼/NNG+류/XSN
명태	명태/NNG
107개	107/SN+개/NNB
품목은	품목/NNG+은/JX
아예	아예/MAG
양허	양허/NNG
대상에서	대상/NNG+에서/JKB
제외했다”고	제외/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.240.13.1
이와 별도로 닭고기 무당연유 치즈 천연꿀 녹두 팥 등 민감 농산물에 대해서는 농산물 세이프가드를 도입하기로 했다.

이와	이/NP+와/JKB
별도로	별도/NNG+로/JKB
닭고기	닭고기/NNG
무당연유	무당연유/NNG
치즈	치즈/NNG
천연꿀	천연/NNG+꿀/NNG
녹두	녹두/NNG
팥	팥/NNG
등	등/NNB
민감	민감/NNG
농산물에	농산물/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
농산물	농산물/NNG
세이프가드를	세이프가드/NNG+를/JKO
도입하기로	도입/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.240.13.2
한국무역협회 무역통상실 송송이 수석연구원은 “금융위기 직후인 2009년을 제외하면 최근 5년간 한국의 대(對)페루 수출은 매년 두 자릿수로 증가했다”며 “이번 FTA 체결은 한국보다 페루에 더 효과가 클 것”이라고 말했다.

한국무역협회	한국무역협회/NNP
무역통상실	무역/NNG+통상실/NNG
송송이	송송이/NNP
수석연구원은	수석/NNG+연구원/NNG+은/JX
“금융위기	“/SS+금융/NNG+위기/NNG
직후인	직후/NNG+이/VCP+ㄴ/ETM
2009년을	2009/SN+년/NNB+을/JKO
제외하면	제외/NNG+하/XSV+면/EC
최근	최근/NNG
5년간	5/SN+년/NNB+간/XSN
한국의	한국/NNP+의/JKG
대(對)페루	대/NA+(/SS+對/SH+)/SS+페루/NNP
수출은	수출/NNG+은/JX
매년	매년/MAG
두	두/MMN
자릿수로	자릿수/NNG+로/JKB
증가했다”며	증가/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“이번	“/SS+이번/NNG
FTA	FTA/SL
체결은	체결/NNG+은/JX
한국보다	한국/NNP+보다/JKB
페루에	페루/NNP+에/JKB
더	더/MAG
효과가	효과/NNG+가/JKS
클	크/VA+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


