# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.363
metadata : {}


# id : NWRW1800000054.363.1.1
"지금도 국가빚 年 30조 느는데… 나라살림 악화될 것"

"지금도	"/SS+지금/NNG+도/JX
늘리겠다고	늘리/VV+겠/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.363.4.2
연평균 3.5%씩 늘리겠다는 정부의 예산 편성 기조보다 비율로 두 배씩 확장한다는 것이다.

연평균	연평균/NNG
3.5%씩	3/SN+./SP+5/SN+%/SW+씩/XSN
늘리겠다는	늘리/VV+겠/EP+다는/ETM
정부의	정부/NNG+의/JKG
예산	예산/NNG
편성	편성/NNG
기조보다	기조/NNG+보다/JKB
비율로	비율/NNG+로/JKB
두	두/MMN
배씩	배/NNG+씩/XSN
확장한다는	확장/NNG+하/XSV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.363.5.1
올해 예산 400조7000억원을 시작점으로 볼 때 정부 방안을 따르면 2018~2021년 4년간 414조원→428조원→443조원→458조원(2021년·추산) 순으로 늘어난다.

올해	올해/NNG
예산	예산/NNG
400조7000억원을	400/SN+조/NR+7000/SN+억/NR+원/NNB+을/JKO
시작점으로	시작점/NNG+으로/JKB
볼	보/VV+ㄹ/ETM
때	때/NNG
정부	정부/NNG
방안을	방안/NNG+을/JKO
따르면	따르/VV+면/EC
2018~2021년	2018/SN+~/SO+2021/SN+년/NNB
4년간	4/SN+년/NNB+간/XSN
414조원→428조원→443조원→458조원(2021년·추산)	414/SN+조/NR+원/NNB+→/SW+428/SN+조/NR+원/NNB+→/SW+443/SN+조/NR+원/NNB+→/SW+458/SN+조/NR+원/NNB+(/SS+2021/SN+년/NNB+·/SP+추산/NNG+)/SS
순으로	순/NNB+으로/JKB
늘어난다.	늘어나/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.363.6.1
하지만 문 후보 구상대로라면 같은 기간 428조원→458조원→490조원→524조원으로 증가가 예상된다.

하지만	하지만/MAJ
문	문/NNP
후보	후보/NNG
구상대로라면	구상/NNG+대로/JX+이/VCP+라면/EC
같은	같/VA+은/ETM
기간	기간/NNG
428조원→458조원→490조원→524조원으로	428/SN+조/NR+원/NNB+→/SW+458/SN+조/NR+원/NNB+→/SW+490/SN+조/NR+원/NNB+→/SW+524/SN+조/NR+원/NNB+으로/JKB
증가가	증가/NNG+가/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.363.6.2
이 때문에 매년 차이 나는 돈을 합산하면 4년간 150조원가량 더 지출하는 결과다.

이	이/MMD
때문에	때문/NNB+에/JKB
매년	매년/MAG
차이	차이/NNG
나는	나/VV+는/ETM
돈을	돈/NNG+을/JKO
합산하면	합산/NNG+하/XSV+면/EC
4년간	4/SN+년/NNB+간/XSN
150조원가량	150/SN+조/NR+원/NNB+가량/XSN
더	더/MAG
지출하는	지출/NNG+하/XSV+는/ETM
결과다.	결과/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.363.6.3
재정 운용 특성상 다시 긴축하는 것은 간단치 않게 된다.

재정	재정/NNG
운용	운용/NNG
특성상	특성/NNG+상/XSN
다시	다시/MAG
긴축하는	긴축/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
간단치	간단하/VA+지/EC
않게	않/VX+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.363.7.1
재정 전문가들은 2%대 저성장이 계속되고 있는 가운데 예산을 7%씩 늘리는 것은 국민 부담을 가중시킬 수밖에 없다고 말한다.

재정	재정/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
2%대	2/SN+%/SW+대/XSN
저성장이	저/XPN+성장/NNG+이/JKS
계속되고	계속/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
가운데	가운데/NNG
예산을	예산/NNG+을/JKO
7%씩	7/SN+%/SW+씩/XSN
늘리는	늘리/VV+는/ETM
것은	것/NNB+은/JX
국민	국민/NNG
부담을	부담/NNG+을/JKO
가중시킬	가중/NNG+시키/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다고	없/VA+다고/EC
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.363.7.2
박형수 한국조세재정연구원장은 "결국 증세(增稅)하든지, 아니면 국가 채무가 늘어나는 것을 용인하든지 둘 중 하나를 선택할 수밖에 없을 것"이라며 "문 후보 방안대로 하자면 역대 정부 중 가장 세금 부담이 커지는 정부가 될 것"이라고 했다.

박형수	박형수/NNP
한국조세재정연구원장은	한국조세재정연구원장/NNG+은/JX
"결국	"/SS+결국/NNG
증세(增稅)하든지,	증세/NNG+(/SS+增稅/SH+)/SS+하/XSV+든지/EC+,/SP
아니면	아니/VCN+면/EC
국가	국가/NNG
채무가	채무/NNG+가/JKS
늘어나는	늘어나/VV+는/ETM
것을	것/NNB+을/JKO
용인하든지	용인/NNG+하/XSV+든지/EC
둘	둘/NR
중	중/NNB
하나를	하나/NR+를/JKO
선택할	선택/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없을	없/VA+을/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"문	"/SS+문/NNP
후보	후보/NNG
방안대로	방안/NNG+대로/JX
하자면	하/VV+자면/EC
역대	역대/NNG
정부	정부/NNG
가장	가장/MAG
세금	세금/NNG
부담이	부담/NNG+이/JKS
커지는	커지/VV+는/ETM
정부가	정부/NNG+가/JKC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.363.8.1
상세한 재원 조달 방법을 이야기하지 않은 점도 우려가 있다.

상세한	상세하/VA+ㄴ/ETM
재원	재원/NNG
조달	조달/NNG
방법을	방법/NNG+을/JKO
이야기하지	이야기/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
점도	점/NNG+도/JX
우려가	우려/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.363.8.2
근년에 연평균 3.5% 안팎의 예산 증가율을 유지하는 동안에도 재정 적자를 끊어내지 못해 매년 30조원 안팎 국채를 찍어 국가 채무를 늘리는 중이기 때문이다.

근년에	근년/NNG+에/JKB
연평균	연평균/NNG
3.5%	3/SN+./SP+5/SN+%/SW
안팎의	안팎/NNG+의/JKG
예산	예산/NNG
증가율을	증가/NNG+율/XSN+을/JKO
유지하는	유지/NNG+하/XSV+는/ETM
동안에도	동안/NNG+에/JKB+도/JX
재정	재정/NNG
적자를	적자/NNG+를/JKO
끊어내지	끊/VV+어/EC+내/VX+지/EC
못해	못하/VX+아/EC
매년	매년/MAG
30조원	30/SN+조/NR+원/NNB
안팎	안팎/NNG
국채를	국채/NNG+를/JKO
찍어	찍/VV+어/EC
국가	국가/NNG
채무를	채무/NNG+를/JKO
늘리는	늘리/VV+는/ETM
중이기	중/NNB+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.363.8.3
최병호 부산대 교수는 "법인세 실효세율을 올리고 비과세 감면을 줄이는 정도로는 연간 2조~3조원 추가하는 정도에 그칠 수 있다"고 했다.

최병호	최병호/NNP
부산대	부산대/NNP
교수는	교수/NNG+는/JX
"법인세	"/SS+법인세/NNG
실효세율을	실효/NNG+세율/NNG+을/JKO
올리고	올리/VV+고/EC
비과세	비/XPN+과세/NNG
감면을	감면/NNG+을/JKO
줄이는	줄이/VV+는/ETM
정도로는	정도/NNG+로/JKB+는/JX
연간	연간/NNG
2조~3조원	2/SN+조/NR+~/SO+3/SN+조/NR+원/NNB
추가하는	추가/NNG+하/XSV+는/ETM
정도에	정도/NNG+에/JKB
그칠	그치/VV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.363.9.1
문 후보 측은 지난해 당초 예상보다 세수가 9조8000억원 더 들어온 기반을 토대로 향후 5년간 자연 증가분만 50조원 이상 더해지기 때문에 감당 가능하다는 입장이다.

문	문/NNP
후보	후보/NNG
측은	측/NNB+은/JX
지난해	지난해/NNG
당초	당초/NNG
예상보다	예상/NNG+보다/JKB
세수가	세수/NNG+가/JKS
9조8000억원	9/SN+조/NR+8000/SN+억/NR+원/NNB
더	더/MAG
들어온	들어오/VV+ㄴ/ETM
기반을	기반/NNG+을/JKO
토대로	토대/NNG+로/JKB
향후	향후/NNG
5년간	5/SN+년/NNB+간/XSN
자연	자연/NNG
증가분만	증가/NNG+분/XSN+만/JX
50조원	50/SN+조/NR+원/NNB
이상	이상/NNG
더해지기	더/MAG+하/XSV+아/EC+지/VX+기/ETN
때문에	때문/NNB+에/JKB
감당	감당/NNG
가능하다는	가능/NNG+하/XSA+다는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.363.9.2
이에 대해 국세청 고위 관계자는 "작년과 올해는 세수가 좋은 편이지만 당장 내년부터는 세수 증가세를 이어갈 수 있을지 불확실하다"고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
국세청	국세청/NNG
고위	고위/NNG
관계자는	관계자/NNG+는/JX
"작년과	"/SS+작년/NNG+과/JC
올해는	올해/NNG+는/JX
세수가	세수/NNG+가/JKS
좋은	좋/VA+은/ETM
편이지만	편/NNB+이/VCP+지만/EC
당장	당장/NNG
내년부터는	내년/NNG+부터/JX+는/JX
세수	세수/NNG
증가세를	증가세/NNG+를/JKO
이어갈	잇/VV+어/EC+가/VX+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EF
불확실하다"고	불확실/NNG+하/XSA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.363.9.3
기획재정부의 한 간부는 "문 후보가 얘기한 만큼 엄청난 액수를 늘릴지에 대해서는 선뜻 동의 못 하겠지만, 재정이 보다 큰 역할을 해서 저성장 시대를 극복하는 원동력이 돼야 한다는 방향에는 동의한다"고 말했다.

기획재정부의	기획/NNG+재정부/NNG+의/JKG
한	한/MMN
간부는	간부/NNG+는/JX
"문	"/SS+문/NNP
후보가	후보/NNG+가/JKS
얘기한	얘기/NNG+하/XSV+ㄴ/ETM
만큼	만큼/NNB
엄청난	엄청나/VA+ㄴ/ETM
액수를	액수/NNG+를/JKO
늘릴지에	늘리/VV+ㄹ지/EF+에/JKB
대해서는	대하/VV+아서/EC+는/JX
선뜻	선뜻/MAG
동의	동의/NNG
못	못/MAG
하겠지만,	하/VV+겠/EP+지만/EC+,/SP
재정이	재정/NNG+이/JKS
보다	보다/MAG
큰	크/VA+ㄴ/ETM
역할을	역할/NNG+을/JKO
해서	하/VV+아서/EC
저성장	저/XPN+성장/NNG
시대를	시대/NNG+를/JKO
극복하는	극복/NNG+하/XSV+는/ETM
원동력이	원동력/NNG+이/JKC
돼야	되/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
방향에는	방향/NNG+에/JKB+는/JX
동의한다"고	동의/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.363.10.1
한편 국민의당 안철수 후보는 이날 "만약 재정을 쏟아부어서 경제를 살릴 수 있으면 일본같이 엄청난 재정을 쏟아붓고도 왜 경제를 살리지 못했느냐"며 "경제 살리기와 일자리를 만드는 것은 민간과 기업의 몫이고 정부는 튼튼한 기반을 만들어주는 것이 역할"이라고 했다.

한편	한편/MAG
국민의당	국민의당/NNP
안철수	안철수/NNP
후보는	후보/NNG+는/JX
이날	이날/NNG
"만약	"/SS+만약/MAG
재정을	재정/NNG+을/JKO
쏟아부어서	쏟아붓/VV+어서/EC
경제를	경제/NNG+를/JKO
살릴	살리/VV+ㄹ/ETM
수	수/NNB
있으면	있/VA+으면/EC
일본같이	일본/NNP+같이/JKB
엄청난	엄청나/VA+ㄴ/ETM
쏟아붓고도	쏟아붓/VV+고도/EC
왜	왜/MAG
살리지	살리/VV+지/EC
못했느냐"며	못하/VX+았/EP+느냐/EF+"/SS+며/EC
"경제	"/SS+경제/NNG
살리기와	살리/VV+기/ETN+와/JC
일자리를	일자리/NNG+를/JKO
만드는	만들/VV+는/ETM
것은	것/NNB+은/JX
민간과	민간/NNG+과/JC
기업의	기업/NNG+의/JKG
몫이고	몫/NNG+이/VCP+고/EC
정부는	정부/NNG+는/JX
튼튼한	튼튼하/VA+ㄴ/ETM
기반을	기반/NNG+을/JKO
만들어주는	만들/VV+어/EC+주/VX+는/ETM
것이	것/NNB+이/JKS
역할"이라고	역할/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.363.10.2
김관영 선대위 정책본부장도 "전체적으로 굉장히 급격한 재정 확대 정책을 꾀하는 것인데 재원 확보 대책에 구체성이 떨어진다"며 "국가 부채만 늘리는 결과를 가져올 가능성이 크다"고 했다.

김관영	김관영/NNP
선대위	선대위/NNG
정책본부장도	정책/NNG+본부장/NNG+도/JX
"전체적으로	"/SS+전체/NNG+적/XSN+으로/JKB
굉장히	굉장히/MAG
급격한	급격하/VA+ㄴ/ETM
재정	재정/NNG
확대	확대/NNG
정책을	정책/NNG+을/JKO
꾀하는	꾀하/VV+는/ETM
것인데	것/NNB+이/VCP+ㄴ데/EC
재원	재원/NNG
확보	확보/NNG
대책에	대책/NNG+에/JKB
구체성이	구체/NNG+성/XSN+이/JKS
떨어진다"며	떨어지/VV+ㄴ다/EF+"/SS+며/EC
"국가	"/SS+국가/NNG
부채만	부채/NNG+만/JX
늘리는	늘리/VV+는/ETM
결과를	결과/NNG+를/JKO
가져올	가져오/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다"고	크/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


