# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.92
metadata : {}


# id : NWRW1800000040.92.1.1
중, 반독점법으로 다국적기업 압박

중,	중/NNP+,/SP
영국계	영국/NNP+계/XSN
다국적	다국적/NNG
제약회사인	제약/NNG+회사/NNG+이/VCP+ㄴ/ETM
글락소스미스클라인과	글락소스미스클라인/NNP+과/JC
아스트라제네카의	아스트라제네카/NNP+의/JKG
간부들이	간부/NNG+들/XSN+이/JKS
정부	정부/NNG
관료와	관료/NNG+와/JC
의사들에게	의사/NNG+들/XSN+에게/JKB
뇌물을	뇌물/NNG+을/JKO
주고	주/VV+고/EC
약값을	약값/NNG+을/JKO
올려	올리/VV+어/EC
받은	받/VV+은/ETM
혐의로	혐의/NNG+로/JKB
이들을	이/NP+들/XSN+을/JKO
체포·조사하고	체포/NNG+·/SP+조사/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.92.6.3
다국적 포장기업인 테트라팩도 중국 상무부가 끼워팔기 등 반독점법 위반 혐의로 조사를 벌이고 있다.

다국적	다국적/NNG
포장기업인	포장/NNG+기업/NNG+이/VCP+ㄴ/ETM
테트라팩도	테트라팩/NNP+도/JX
중국	중국/NNP
상무부가	상무부/NNG+가/JKS
끼워팔기	끼워팔기/NNG
등	등/NNB
반독점법	반/XPN+독점법/NNG
위반	위반/NNG
혐의로	혐의/NNG+로/JKB
조사를	조사/NNG+를/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.92.7.1
서방 언론들은 중국이 외국계 기업을 겨냥한 조사를 벌이고 있다며 의혹의 눈길을 보냈다.

서방	서방/NNG
언론들은	언론/NNG+들/XSN+은/JX
중국이	중국/NNP+이/JKS
외국계	외국/NNG+계/XSN
기업을	기업/NNG+을/JKO
겨냥한	겨냥/NNG+하/XSV+ㄴ/ETM
조사를	조사/NNG+를/JKO
벌이고	벌이/VV+고/EC
있다며	있/VX+다며/EC
의혹의	의혹/NNG+의/JKG
눈길을	눈길/NNG+을/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.92.7.2
<파이낸셜타임스>는 7일 “올해 들어 분유나 제약 업체 등을 비롯한 외국계 기업들이 중국 규제 당국의 주목을 받고 있다”고 보도했다.

<파이낸셜타임스>는	</SS+파이낸셜타임스/NNP+>/SS+는/JX
7일	7/SN+일/NNB
“올해	“/SS+올해/NNG
들어	들/VV+어/EC
분유나	분유/NNG+나/JC
제약	제약/NNG
업체	업체/NNG
등을	등/NNB+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
외국계	외국/NNG+계/XSN
기업들이	기업/NNG+들/XSN+이/JKS
중국	중국/NNP
규제	규제/NNG
당국의	당국/NNG+의/JKG
주목을	주목/NNG+을/JKO
받고	받/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.92.7.3
<뉴욕타임스>도 “중국 정부가 다국적 기업 전체에 경고 메시지를 주고 있다”고 지적했다.

<뉴욕타임스>도	</SS+뉴욕타임스/NNP+>/SS+도/JX
“중국	“/SS+중국/NNP
정부가	정부/NNG+가/JKS
다국적	다국적/NNG
기업	기업/NNG
전체에	전체/NNG+에/JKB
경고	경고/NNG
메시지를	메시지/NNG+를/JKO
주고	주/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.92.7.4
일부에선 중국이 자국 산업 보호·활성화 차원에서 조사를 벌이고 있다는 평도 나왔다.

일부에선	일부/NNG+에서/JKB+ㄴ/JX
중국이	중국/NNP+이/JKS
자국	자국/NNG
산업	산업/NNG
보호·활성화	보호/NNG+·/SP+활성/NNG+화/XSN
차원에서	차원/NNG+에서/JKB
조사를	조사/NNG+를/JKO
벌이고	벌이/VV+고/EC
있다는	있/VX+다는/ETM
평도	평/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.92.7.5
하지만 중국 상무부의 선단양 대변인은 7일 <신화통신> 인터뷰에서 “중국 당국의 조사가 외국 기업에 초점을 맞춘 것이라는 말은 전혀 근거가 없는 이야기”라며 “위법 행위를 한 기업에 상응하는 처벌을 하는 것은 다국적기업의 투자 환경을 개선하고 공평한 기회를 보장해 기업 활동에 더욱 도움이 될 것”이라고 말했다.

하지만	하지만/MAJ
중국	중국/NNP
상무부의	상무부/NNG+의/JKG
선단양	선단양/NNP
대변인은	대변인/NNG+은/JX
7일	7/SN+일/NNB
<신화통신>	</SS+신화통신/NNP+>/SS
인터뷰에서	인터뷰/NNG+에서/JKB
“중국	“/SS+중국/NNP
당국의	당국/NNG+의/JKG
조사가	조사/NNG+가/JKS
외국	외국/NNG
기업에	기업/NNG+에/JKB
초점을	초점/NNG+을/JKO
맞춘	맞추/VV+ㄴ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
말은	말/NNG+은/JX
전혀	전혀/MAG
근거가	근거/NNG+가/JKS
없는	없/VA+는/ETM
이야기”라며	이야기/NNG+”/SS+이/VCP+라며/EC
“위법	“/SS+위법/NNG
행위를	행위/NNG+를/JKO
한	하/VV+ㄴ/ETM
상응하는	상응/NNG+하/XSV+는/ETM
처벌을	처벌/NNG+을/JKO
하는	하/VV+는/ETM
것은	것/NNB+은/JX
다국적기업의	다국적/NNG+기업/NNG+의/JKG
투자	투자/NNG
환경을	환경/NNG+을/JKO
개선하고	개선/NNG+하/XSV+고/EC
공평한	공평/NNG+하/XSA+ㄴ/ETM
기회를	기회/NNG+를/JKO
보장해	보장/NNG+하/XSV+아/EC
기업	기업/NNG
활동에	활동/NNG+에/JKB
더욱	더욱/MAG
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.92.7.6
한 중국 경제 전문가는 “중국 당국이 지난 2008년 제정된 반독점법을 5년 만에 강도 높게 적용하는 것은 리커창 총리가 주창하는 경제 구조개혁이나 물가 안정과 연관이 있는 것 같다”고 말했다.

한	한/MMN
중국	중국/NNP
경제	경제/NNG
전문가는	전문가/NNG+는/JX
“중국	“/SS+중국/NNP
당국이	당국/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
2008년	2008/SN+년/NNB
제정된	제정/NNG+되/XSV+ㄴ/ETM
반독점법을	반/XPN+독점법/NNG+을/JKO
5년	5/SN+년/NNB
만에	만/NNB+에/JKB
강도	강도/NNG
높게	높/VA+게/EC
적용하는	적용/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
리커창	리커창/NNP
총리가	총리/NNG+가/JKS
주창하는	주창/NNG+하/XSV+는/ETM
구조개혁이나	구조/NNG+개혁/NNG+이나/JC
물가	물가/NNG
안정과	안정/NNG+과/JKB
연관이	연관/NNG+이/JKS
있는	있/VA+는/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


