# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.225
metadata : {}


# id : NWRW1800000049.225.1.1
‘대타’ 대호, 또 대포

‘대타’	‘/SS+대타/NNG+’/SS
3루에	3루/NNG+에/JKB
대타로	대타/NNG+로/JKB
나와	나오/VV+아/EC
왼쪽	왼쪽/NNG
담장을	담장/NNG+을/JKO
넘기는	넘기/VV+는/ETM
3점	3/SN+점/NNB
홈런(시즌	홈런/NNG+(/SS+시즌/NNG
8호)을	8/SN+호/NNB+)/SS+을/JKO
터뜨렸다.	터뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.225.4.2
지난달 14일 끝내기 홈런 이후 두 번째 대타 홈런이다.

지난달	지난달/NNG
14일	14/SN+일/NNB
끝내기	끝내기/NNG
홈런	홈런/NNG
이후	이후/NNG
두	두/MMN
번째	번/NNB+째/XSN
대타	대타/NNG
홈런이다.	홈런/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.225.5.1
이대호는 이후에도 안타 두 개를 추가하며 3타수 3안타 4타점으로 경기를 마쳤다.

이대호는	이대호/NNP+는/JX
이후에도	이후/NNG+에/JKB+도/JX
안타	안타/NNG
두	두/MMN
개를	개/NNB+를/JKO
추가하며	추가/NNG+하/XSV+며/EC
3타수	3/SN+타수/NNG
3안타	3/SN+안타/NNG
4타점으로	4/SN+타점/NNG+으로/JKB
경기를	경기/NNG+를/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.225.5.2
시즌 타율은 0.301(83타수 25안타)로 올랐다.

시즌	시즌/NNG
타율은	타율/NNG+은/JX
0.301(83타수	0/SN+./SP+301/SN+(/SS+83/SN+타수/NNG
25안타)로	25/SN+안타/NNG+)/SS+로/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.225.5.3
이대호는 주자로서도 7회 동점 득점에 성공했다.

이대호는	이대호/NNP+는/JX
주자로서도	주자/NNG+로서/JKB+도/JX
7회	7/SN+회/NNB
동점	동점/NNG
득점에	득점/NNG+에/JKB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.225.5.4
경기에서는 초반 2-12로 뒤지던 시애틀이 7회에만 10점을 뽑으면서 16-13 역전승을 거뒀다.

경기에서는	경기/NNG+에서/JKB+는/JX
초반	초반/NNG
2-12로	2/SN+-/SO+12/SN+로/JKB
뒤지던	뒤지/VV+던/ETM
시애틀이	시애틀/NNP+이/JKS
7회에만	7/SN+회/NNB+에/JKB+만/JX
10점을	10/SN+점/NNB+을/JKO
뽑으면서	뽑/VV+으면서/EC
16-13	16/SN+-/SO+13/SN
역전승을	역전승/NNG+을/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.225.6.1
슬럼프에 빠졌던 박병호(30·미네소타)도 이날 3안타 경기를 선보였다.

슬럼프에	슬럼프/NNG+에/JKB
빠졌던	빠지/VV+었/EP+던/ETM
박병호(30·미네소타)도	박병호/NNP+(/SS+30/SN+·/SP+미네소타/NNP+)/SS+도/JX
이날	이날/NNG
3안타	3/SN+안타/NNG
경기를	경기/NNG+를/JKO
선보였다.	선보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.225.6.2
박병호는 탬파베이를 불러들여 치른 안방경기에 6번 지명타자로 선발 출전해 3타수 3안타 1볼넷 2득점을 기록했다.

박병호는	박병호/NNP+는/JX
탬파베이를	탬파베이/NNP+를/JKO
불러들여	불러들이/VV+어/EC
치른	치르/VV+ㄴ/ETM
안방경기에	안방/NNG+경기/NNG+에/JKB
6번	6/SN+번/NNB
지명타자로	지명/NNG+타자/NNG+로/JKB
선발	선발/NNG
출전해	출전/NNG+하/XSV+아/EC
3타수	3/SN+타수/NNG
3안타	3/SN+안타/NNG
1볼넷	1/SN+볼넷/NNG
2득점을	2/SN+득점/NNG+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.225.6.3
박병호가 한 경기에 안타를 3개 때려낸 건 메이저리그 데뷔 후 45경기 만에 처음이다.

박병호가	박병호/NNP+가/JKS
한	한/MMN
경기에	경기/NNG+에/JKB
안타를	안타/NNG+를/JKO
3개	3/SN+개/NNB
때려낸	때리/VV+어/EC+내/VX+ㄴ/ETM
건	거/NNB+ㄴ/JX
메이저리그	메이저리그/NNG
데뷔	데뷔/NNG
후	후/NNG
45경기	45/SN+경기/NNG
만에	만/NNB+에/JKB
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.225.6.4
미네소타가 6-4로 승리하며 3연패에서 벗어났다.

미네소타가	미네소타/NNP+가/JKS
6-4로	6/SN+-/SO+4/SN+로/JKB
승리하며	승리/NNG+하/XSV+며/EC
3연패에서	3/SN+연패/NNG+에서/JKB
벗어났다.	벗어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.225.7.1
강정호(29·피츠버그)는 대만 출신 왼손 투수 천웨이인(31)의 노히트 노런을 무너뜨렸다.

강정호(29·피츠버그)는	강정호/NNP+(/SS+29/SN+·/SP+피츠버그/NNP+)/SS+는/JX
대만	대만/NNP
출신	출신/NNG
왼손	왼손/NNG
투수	투수/NNG
천웨이인(31)의	천웨이인/NNP+(/SS+31/SN+)/SS+의/JKG
노히트	노히트/NNG
노런을	노런/NNG+을/JKO
무너뜨렸다.	무너뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.225.7.2
강정호는 이날 마이애미 방문경기에서 7회 선두 타자로 나와 좌익수 오른쪽에 떨어지는 2루타로 이날 팀의 첫 안타를 뽑아냈다.

강정호는	강정호/NNP+는/JX
이날	이날/NNG
마이애미	마이애미/NNP
방문경기에서	방문/NNG+경기/NNG+에서/JKB
7회	7/SN+회/NNB
선두	선두/NNG
타자로	타자/NNG+로/JKB
나와	나오/VV+아/EC
좌익수	좌익수/NNG
오른쪽에	오른쪽/NNG+에/JKB
떨어지는	떨어지/VV+는/ETM
2루타로	2루타/NNG+로/JKB
팀의	팀/NNG+의/JKG
첫	첫/MMN
안타를	안타/NNG+를/JKO
뽑아냈다.	뽑아내/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.225.8.1
김현수(28·볼티모어)는 보스턴을 상대로 선발 출전해 5타수 1안타를 기록하며 9경기 연속 출루 기록을 이어 갔다.

김현수(28·볼티모어)는	김현수/NNP+(/SS+28/SN+·/SP+볼티모어/NNP+)/SS+는/JX
보스턴을	보스턴/NNP+을/JKO
상대로	상대/NNG+로/JKB
선발	선발/NNG
출전해	출전/NNG+하/XSV+아/EC
5타수	5/SN+타수/NNG
1안타를	1/SN+안타/NNG+를/JKO
기록하며	기록/NNG+하/XSV+며/EC
9경기	9/SN+경기/NNG
연속	연속/NNG
출루	출루/NNG
기록을	기록/NNG+을/JKO
이어	잇/VV+어/EC
갔다.	가/VX+았/EP+다/EF+./SF


