# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.278
metadata : {}


# id : NWRW1800000030.278.1.1
[태평로] 우리를 가두는 '열린 인터넷'

[태평로]	[/SS+태평로/NNP+]/SS
포털 사이트 네이버와 다음은 가수 '김건모'를 입력하면 자사 보유 음원(音源)만 소개하고 경쟁사인 '소리바다' '멜론' '벅스뮤직'은 소개조차 안 한다.

포털	포털/NNG
사이트	사이트/NNG
네이버와	네이버/NNP+와/JC
다음은	다음/NNP+은/JX
가수	가수/NNG
'김건모'를	'/SS+김건모/NNP+'/SS+를/JKO
입력하면	입력/NNG+하/XSV+면/EC
자사	자사/NNG
보유	보유/NNG
음원(音源)만	음원/NNG+(/SS+音源/SH+)/SS+만/JX
소개하고	소개/NNG+하/XSV+고/EC
경쟁사인	경쟁사/NNG+이/VCP+ㄴ/ETM
'소리바다'	'/SS+소리바다/NNG+'/SS
'멜론'	'/SS+멜론/NNG+'/SS
'벅스뮤직'은	'/SS+벅스뮤직/NNG+'/SS+은/JX
소개조차	소개/NNG+조차/JX
안	안/MAG
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.278.3.5
하지만 국내에선 이런 관행이 검색시장의 독점적 지위를 남용한 것인지에 대한 논의조차 없다.

하지만	하지만/MAJ
국내에선	국내/NNG+에서/JKB+ㄴ/JX
이런	이런/MMD
관행이	관행/NNG+이/JKS
검색시장의	검색/NNG+시장/NNG+의/JKG
독점적	독점/NNG+적/XSN
지위를	지위/NNG+를/JKO
남용한	남용/NNG+하/XSV+ㄴ/ETM
것인지에	것/NNB+이/VCP+ㄴ지/EF+에/JKB
대한	대하/VV+ㄴ/ETM
논의조차	논의/NNG+조차/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000030.278.4.1
공룡 포털·친목 웹사이트들은 이용자들의 인터넷 경험도 제한한다.

공룡	공룡/NNG
포털·친목	포털/NNG+·/SP+친목/NNG
웹사이트들은	웹/NNG+사이트/NNG+들/XSN+은/JX
이용자들의	이용자/NNG+들/XSN+의/JKG
인터넷	인터넷/NNG
경험도	경험/NNG+도/JX
제한한다.	제한/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.278.4.2
네이버 검색창에서 '로또'를 입력할 때에 창(窓) 하단에 미리 제시되는 '예시어'는 로또 검색을 이전에 해 본 사람과 한 번도 안 한 사람 사이에 큰 차이가 있다.

네이버	네이버/NNP
검색창에서	검색창/NNG+에서/JKB
'로또'를	'/SS+로또/NNG+'/SS+를/JKO
입력할	입력/NNG+하/XSV+ㄹ/ETM
때에	때/NNG+에/JKB
창(窓)	창/NNG+(/SS+窓/SH+)/SS
하단에	하단/NNG+에/JKB
미리	미리/MAG
제시되는	제시/NNG+되/XSV+는/ETM
'예시어'는	'/SS+예시어/NNG+'/SS+는/JX
로또	로또/NNG
검색을	검색/NNG+을/JKO
이전에	이전/NNG+에/JKB
해	하/VV+아/EC
본	보/VX+ㄴ/ETM
사람과	사람/NNG+과/JC
한	하/VV+ㄴ/ETM
번도	번/NNB+도/JX
안	안/MAG
사람	사람/NNG
사이에	사이/NNG+에/JKB
큰	크/VA+ㄴ/ETM
차이가	차이/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.278.4.3
로또 당첨번호를 검색해 본 사람의 모니터에는 횟수별 당첨번호 위주로 예시어가 뜬다.

로또	로또/NNG
당첨번호를	당첨/NNG+번호/NNG+를/JKO
검색해	검색/NNG+하/XSV+아/EC
본	보/VX+ㄴ/ETM
사람의	사람/NNG+의/JKG
모니터에는	모니터/NNG+에/JKB+는/JX
횟수별	횟수/NNG+별/XSN
당첨번호	당첨/NNG+번호/NNG
위주로	위주/NNG+로/JKB
예시어가	예시어/NNG+가/JKS
뜬다.	뜨/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.278.4.4
웹사이트가 이용자의 평소 인터넷 서핑 동향을 쿠키 등을 통해 관찰했다가 '맞춤형 검색'을 제공하기 때문이다.

웹사이트가	웹/NNG+사이트/NNG+가/JKS
이용자의	이용자/NNG+의/JKG
평소	평소/NNG
인터넷	인터넷/NNG
서핑	서핑/NNG
동향을	동향/NNG+을/JKO
쿠키	쿠키/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
관찰했다가	관찰/NNG+하/XSV+았/EP+다가/EC
'맞춤형	'/SS+맞춤/NNG+형/XSN
검색'을	검색/NNG+'/SS+을/JKO
제공하기	제공/NNG+하/XSV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.278.4.5
미국의 진보적 시민단체 무브온(moveon.org)의 대표 일라이 패리저는 "이런 맞춤형 서비스는 정말 중요하지만 예상과 다르거나 이용자의 견해에 안 맞는 것은 보여주지 않아 이용자는 결국 편협한 판단을 하게 된다"고 경고한다.

미국의	미국/NNP+의/JKG
진보적	진보/NNG+적/XSN
시민단체	시민/NNG+단체/NNG
무브온(moveon.org)의	무브온/NNP+(/SS+moveon/SL+./SP+org/SL+)/SS+의/JKG
대표	대표/NNG
일라이	일라이/NNP
패리저는	패리저/NNP+는/JX
"이런	"/SS+이런/MMD
맞춤형	맞춤/NNG+형/XSN
서비스는	서비스/NNG+는/JX
정말	정말/MAG
중요하지만	중요/NNG+하/XSA+지만/EC
예상과	예상/NNG+과/JKB
다르거나	다르/VA+거나/EC
이용자의	이용자/NNG+의/JKG
견해에	견해/NNG+에/JKB
안	안/MAG
맞는	맞/VV+는/ETM
것은	것/NNB+은/JX
보여주지	보이/VV+어/EC+주/VX+지/EC
않아	않/VX+아/EC
이용자는	이용자/NNG+는/JX
결국	결국/MAG
편협한	편협/NNG+하/XSA+ㄴ/ETM
판단을	판단/NNG+을/JKO
하게	하/VV+게/EC
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
경고한다.	경고/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.278.4.6
이용자는 자기 견해에 맞는 검색결과만 되풀이해 얻는 '필터 버블(filter bubble)'에 갇힌다는 것이다.

이용자는	이용자/NNG+는/JX
자기	자기/NP
견해에	견해/NNG+에/JKB
맞는	맞/VV+는/ETM
검색결과만	검색/NNG+결과/NNG+만/JX
되풀이해	되풀이/NNG+하/XSV+아/EC
얻는	얻/VV+는/ETM
'필터	'/SS+필터/NNG
버블(filter	버블/NNG+(/SS+filter/SL
bubble)'에	bubble/SL+)/SS+'/SS+에/JKB
갇힌다는	갇히/VV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.278.5.1
기자의 스마트폰 알림창에는 얼마 전부터 페이스북 친구들의 최신 활동을 알리는 메시지가 뜨지 않는다.

기자의	기자/NNG+의/JKG
스마트폰	스마트폰/NNG
알림창에는	알림/NNG+창/NNG+에/JKB+는/JX
얼마	얼마/NNG
전부터	전/NNG+부터/JX
페이스북	페이스북/NNP
친구들의	친구/NNG+들/XSN+의/JKG
최신	최신/NNG
활동을	활동/NNG+을/JKO
알리는	알리/VV+는/ETM
메시지가	메시지/NNG+가/JKS
뜨지	뜨/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000030.278.5.2
페이스북을 안 찾은 지 꽤 되자, 페이스북은 기자가 그들이 게재한 글·사진·동영상에 관심이 없다는 것을 알고 알림 메시지를 보내지 않는 것이다.

페이스북을	페이스북/NNP+을/JKO
안	안/MAG
찾은	찾/VV+은/ETM
지	지/NNB
꽤	꽤/MAG
되자,	되/VV+자/EC+,/SP
페이스북은	페이스북/NNP+은/JX
기자가	기자/NNG+가/JKS
그들이	그/NP+들/XSN+이/JKS
게재한	게재/NNG+하/XSV+ㄴ/ETM
글·사진·동영상에	글/NNG+·/SP+사진/NNG+·/SP+동영상/NNG+에/JKB
관심이	관심/NNG+이/JKS
없다는	없/VA+다는/ETM
것을	것/NNB+을/JKO
알고	알/VV+고/EC
알림	알림/NNG
메시지를	메시지/NNG+를/JKO
보내지	보내/VV+지/EC
않는	않/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.278.5.3
페이스북은 그 대신 기자의 컴퓨터에 심어놓은 쿠키 3개를 통해, 기자가 어떤 웹사이트를 방문하는지 다 알고 있다.

페이스북은	페이스북/NNP+은/JX
그	그/MMD
대신	대신/NNG
기자의	기자/NNG+의/JKG
컴퓨터에	컴퓨터/NNG+에/JKB
심어놓은	심/VV+어/EC+놓/VX+은/ETM
쿠키	쿠키/NNG
3개를	3/SN+개/NNB+를/JKO
통해,	통하/VV+아/EC+,/SP
기자가	기자/NNG+가/JKS
어떤	어떤/MMD
웹사이트를	웹/NNG+사이트/NNG+를/JKO
방문하는지	방문/NNG+하/XSV+는지/EF
다	다/MAG
알고	알/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.278.6.1
허무맹랑한 쓰레기 정보가 난무하는 인터넷에서 신뢰할 만한 길 안내는 필요하다.

허무맹랑한	허무맹랑하/VA+ㄴ/ETM
쓰레기	쓰레기/NNG
정보가	정보/NNG+가/JKS
난무하는	난무/NNG+하/XSV+는/ETM
인터넷에서	인터넷/NNG+에서/JKB
신뢰할	신뢰/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
길	길/NNG
안내는	안내/NNG+는/JX
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000030.278.6.2
문제는 대형 포털 사이트들의 '안내'와 '정보 독점' '정보 왜곡'의 한계가 불분명하다는 것이다.

문제는	문제/NNG+는/JX
대형	대형/NNG
포털	포털/NNG
사이트들의	사이트/NNG+들/XSN+의/JKG
'안내'와	'/SS+안내/NNG+'/SS+와/JC
'정보	'/SS+정보/NNG
독점'	독점/NNG+'/SS
왜곡'의	왜곡/NNG+'/SS+의/JKG
한계가	한계/NNG+가/JKS
불분명하다는	불분명하/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.278.6.3
그리고 우리 대부분은 자신의 사적(私的) 활동이 인터넷에서 어떻게 관찰되고 수집돼 우리에게 다시 제공되는지도 모른 채 그 편리한 정보에 취하지만, 열린 인터넷에서 사실은 갈수록 갇히게 된다.

그리고	그리고/MAJ
우리	우리/NP
대부분은	대/XPN+부분/NNG+은/JX
자신의	자신/NNG+의/JKG
사적(私的)	사/NNG+적/XSN+(/SS+私的/SH+)/SS
활동이	활동/NNG+이/JKS
인터넷에서	인터넷/NNG+에서/JKB
어떻게	어떻/VA+게/EC
관찰되고	관찰/NNG+되/XSV+고/EC
수집돼	수집/NNG+되/XSV+어/EC
우리에게	우리/NP+에게/JKB
다시	다시/MAG
제공되는지도	제공/NNG+되/XSV+는지/EF+도/JX
모른	모르/VV+ㄴ/ETM
채	채/NNB
그	그/MMD
편리한	편리/NNG+하/XSA+ㄴ/ETM
정보에	정보/NNG+에/JKB
취하지만,	취하/VV+지만/EC+,/SP
열린	열리/VV+ㄴ/ETM
사실은	사실/NNG+은/JX
갈수록	갈수록/MAG
갇히게	갇히/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.278.6.4
구글의 슈미트는 "여러분은 타이프할 필요도 없다. 우리는 당신이 누구인지, 어디 있었는지 알며, 무슨 생각을 하는지도 어느 정도 안다"고 말해 곤욕을 치렀다.

구글의	구글/NNP+의/JKG
슈미트는	슈미트/NNP+는/JX
"여러분은	"/SS+여러분/NP+은/JX
타이프할	타이프/NNG+하/XSV+ㄹ/ETM
필요도	필요/NNG+도/JX
없다.	없/VA+다/EF+./SF
우리는	우리/NP+는/JX
당신이	당신/NP+이/JKS
누구인지,	누구/NP+이/VCP+ㄴ지/EF+,/SP
어디	어디/NP
있었는지	있/VA+었/EP+는지/EF
알며,	알/VV+며/EC+,/SP
무슨	무슨/MMD
생각을	생각/NNG+을/JKO
하는지도	하/VV+는지/EF+도/JX
어느	어느/MMD
정도	정도/NNG
안다"고	알/VV+ㄴ다/EF+"/SS+고/JKQ
말해	말/NNG+하/XSV+아/EC
곤욕을	곤욕/NNG+을/JKO
치렀다.	치르/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.278.6.5
우리는 진정 그런 인터넷을 원하는가.

우리는	우리/NP+는/JX
진정	진정/MAG
그런	그런/MMD
인터넷을	인터넷/NNG+을/JKO
원하는가.	원/NNG+하/XSV+는가/EF+./SF


