# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.269
metadata : {}


# id : NWRW1800000030.269.1.1
[조선데스크] '국회 4.0'은 언제

[조선데스크]	[/SS+조선/NNP+데스크/NNG+]/SS
# id : NWRW1800000030.269.4.1
17일 국회에서 열린 '대기업의 사회적 책임 강화에 대한 공청회' 얘기다.

17일	17/SN+일/NNB
국회에서	국회/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
'대기업의	'/SS+대/XPN+기업/NNG+의/JKG
사회적	사회/NNG+적/XSN
책임	책임/NNG
강화에	강화/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
공청회'	공청회/NNG+'/SS
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.269.4.2
국회 지식경제위원회 위원들은 허창수 전국경제인연합회장 등 경제단체장들을 불러다 놓고 거의 화풀이를 했다.

국회	국회/NNG
지식경제위원회	지식/NNG+경제/NNG+위원회/NNG
위원들은	위원/NNG+들/XSN+은/JX
허창수	허창수/NNP
전국경제인연합회장	전국경제인연합회장/NNG
등	등/NNB
경제단체장들을	경제/NNG+단체장/NNG+들/XSN+을/JKO
불러다	부르/VV+어다/EC
놓고	놓/VX+고/EC
거의	거의/MAG
화풀이를	화풀이/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.269.4.3
"전경련을 발전적으로 해체하라" "전경련은 '전국경제인로비연합회'로 전락했다"고 험한 말을 쏟아냈고, 심지어 '야수' '악질'이라고도 했다.

"전경련을	"/SS+전경련/NNP+을/JKO
발전적으로	발전/NNG+적/XSN+으로/JKB
해체하라"	해체/NNG+하/XSV+라/EF+"/SS
"전경련은	"/SS+전경련/NNP+은/JX
'전국경제인로비연합회'로	'/SS+전국경제인로비연합회/NNP+'/SS+로/JKB
전락했다"고	전락/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
험한	험하/VA+ㄴ/ETM
말을	말/NNG+을/JKO
쏟아냈고,	쏟/VV+아/EC+내/VX+었/EP+고/EC+,/SP
심지어	심지어/MAG
'야수'	'/SS+야수/NNG+'/SS
'악질'이라고도	'/SS+악질/NNG+'/SS+이/VCP+라고/EC+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.269.4.4
이런 질문 아닌 질문에 어떤 답을 할지는 뻔하다.

이런	이런/MMD
질문	질문/NNG
아닌	아니/VCN+ㄴ/ETM
질문에	질문/NNG+에/JKB
어떤	어떤/MMD
답을	답/NNG+을/JKO
할지는	하/VV+ㄹ지/EF+는/JX
뻔하다.	뻔하/VA+다/EF+./SF


# id : NWRW1800000030.269.4.5
얻을 것도 별로 없다.

얻을	얻/VV+을/ETM
것도	것/NNB+도/JX
별로	별로/MAG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000030.269.4.6
그나마 보는 사람들의 속이라도 시원해졌다면 다행이겠지만 속 시원하지도 않다.

그나마	그나마/MAG
보는	보/VV+는/ETM
사람들의	사람/NNG+들/XSN+의/JKG
속이라도	속/NNG+이/VCP+라도/EC
시원해졌다면	시원하/VA+아/EC+지/VX+었/EP+다면/EC
다행이겠지만	다행/NNG+이/VCP+겠/EP+지만/EC
속	속/NNG
시원하지도	시원하/VA+지/EC+도/JX
않다.	않/VX+다/EF+./SF


# id : NWRW1800000030.269.5.1
국민이 정말 궁금해하는 건 매년 천문학적 배당금을 가져가는 대기업 오너들이 그 돈을 어디에 쓸지, 그리고 어느 대기업 오너가 선물(先物)투자에서 수천억원을 날렸다는 게 어떻게 가능한지, 대기업 오너들이 개인 자금을 생산적인 곳에 재투자하도록 하려면 어떻게 해야 하는지 같은 것들이다.

국민이	국민/NNG+이/JKS
정말	정말/MAG
궁금해하는	궁금하/VA+아/EC+하/VX+는/ETM
건	거/NNB+ㄴ/JX
매년	매년/MAG
천문학적	천문학/NNG+적/XSN
배당금을	배당금/NNG+을/JKO
가져가는	가져가/VV+는/ETM
대기업	대/XPN+기업/NNG
오너들이	오너/NNG+들/XSN+이/JKS
그	그/MMD
돈을	돈/NNG+을/JKO
어디에	어디/NP+에/JKB
쓸지,	쓰/VV+ㄹ지/EC+,/SP
그리고	그리고/MAJ
어느	어느/MMD
오너가	오너/NNG+가/JKS
선물(先物)투자에서	선물/NNG+(/SS+先物/SH+)/SS+투자/NNG+에서/JKB
수천억원을	수천억/NR+원/NNB+을/JKO
날렸다는	날리/VV+었/EP+다는/ETM
게	거/NNB+이/JKS
어떻게	어떻/VA+게/EC
가능한지,	가능/NNG+하/XSA+ㄴ지/EC+,/SP
개인	개인/NNG
자금을	자금/NNG+을/JKO
생산적인	생산/NNG+적/XSN+이/VCP+ㄴ/ETM
곳에	곳/NNG+에/JKB
재투자하도록	재/XPN+투자/NNG+하/XSV+도록/EC
하려면	하/VX+려면/EC
해야	하/VV+아야/EC
하는지	하/VX+는지/EC
같은	같/VA+은/ETM
것들이다.	것/NNB+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000030.269.6.1
비정규직 문제도 그렇다.

비정규직	비/XPN+정규직/NNG
문제도	문제/NNG+도/JX
그렇다.	그렇/VA+다/EF+./SF


# id : NWRW1800000030.269.6.2
800만 명에 이르는 비정규직 근로자들과 가족들은 대기업에서조차 자꾸 비정규직 비율이 높아지고 있는 이유를 궁금해한다.

800만	800/SN+만/NR
명에	명/NNB+에/JKB
이르는	이르/VV+는/ETM
비정규직	비/XPN+정규직/NNG
근로자들과	근로자/NNG+들/XSN+과/JC
가족들은	가족/NNG+들/XSN+은/JX
대기업에서조차	대/XPN+기업/NNG+에서/JKB+조차/JX
자꾸	자꾸/MAG
비율이	비율/NNG+이/JKS
높아지고	높아지/VV+고/EC
있는	있/VX+는/ETM
이유를	이유/NNG+를/JKO
궁금해한다.	궁금하/VA+아/EC+하/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.269.6.3
'무늬만 정규직'인 사내 하도급 근로자를 늘려 비정규직 관련법을 편법으로 피해가고 있다는 것도 불만사항이다.

'무늬만	'/SS+무늬/NNG+만/JX
정규직'인	정규직/NNG+'/SS+이/VCP+ㄴ/ETM
사내	사내/NNG
하도급	하도급/NNG
근로자를	근로자/NNG+를/JKO
늘려	늘리/VV+어/EC
비정규직	비/XPN+정규직/NNG
관련법을	관련/NNG+법/NNG+을/JKO
편법으로	편법/NNG+으로/JKB
피해가고	피하/VV+아/EC+가/VX+고/EC
있다는	있/VX+다는/ETM
것도	것/NNB+도/JX
불만사항이다.	불만/NNG+사항/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.269.7.1
이날 공청회가 비정규직 문제를 해결하기 위해 국회가 도와줘야 할 것이 무엇인지를 물어봤다면 더 생산적인 토론이 됐을 것이다.

이날	이날/NNG
공청회가	공청회/NNG+가/JKS
비정규직	비/XPN+정규직/NNG
문제를	문제/NNG+를/JKO
해결하기	해결/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
국회가	국회/NNG+가/JKS
도와줘야	도와주/VV+어야/EC
할	하/VX+ㄹ/ETM
것이	것/NNB+이/JKS
무엇인지를	무엇/NP+이/VCP+ㄴ지/EC+를/JKO
물어봤다면	물어보/VV+았/EP+다면/EC
더	더/MAG
생산적인	생산/NNG+적/XSN+이/VCP+ㄴ/ETM
토론이	토론/NNG+이/JKC
됐을	되/VV+었/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.269.7.2
같은 직장에서 비정규직으로 2년을 일하면 정규직으로 채용해야 한다는 법 규정은 비정규직 근로자들을 정규직으로 전환시키기는커녕 2년에 한 번씩 해고되는 신세로 전락시켰다.

같은	같/VA+은/ETM
직장에서	직장/NNG+에서/JKB
비정규직으로	비/XPN+정규직/NNG+으로/JKB
2년을	2/SN+년/NNB+을/JKO
일하면	일/NNG+하/XSV+면/EC
정규직으로	정규직/NNG+으로/JKB
채용해야	채용/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
법	법/NNG
규정은	규정/NNG+은/JX
비정규직	비/XPN+정규직/NNG
근로자들을	근로자/NNG+들/XSN+을/JKO
전환시키기는커녕	전환/NNG+시키/XSV+기/ETN+는커녕/JX
2년에	2/SN+년/NNB+에/JKB
한	한/MMN
번씩	번/NNB+씩/XSN
해고되는	해고/NNG+되/XSV+는/ETM
신세로	신세/NNG+로/JKB
전락시켰다.	전락/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.269.7.3
왜 이런 부작용이 생겼는지, 이를 해결하기 위해서는 어떻게 해야 하는지 고민하는 의원들은 찾아보기 힘들다.

왜	왜/MAG
이런	이런/MMD
부작용이	부작용/NNG+이/JKS
생겼는지,	생기/VV+었/EP+는지/EC+,/SP
이를	이/NP+를/JKO
해결하기	해결/NNG+하/XSV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
어떻게	어떻/VA+게/EC
해야	하/VV+아야/EC
하는지	하/VX+는지/EC
고민하는	고민/NNG+하/XSV+는/ETM
의원들은	의원/NNG+들/XSN+은/JX
찾아보기	찾아보/VV+기/ETN
힘들다.	힘들/VA+다/EF+./SF


# id : NWRW1800000030.269.8.1
만약 어느 국회의원이 "비정규직 문제를 해결하기 위해 어떤 제도적 뒷받침이 필요한가"라고 묻고, 허 회장이 "노동시장의 유연성을 확보할 수 있는 법적인 뒷받침이 필요하다"고 말했다면 많은 사람이 청문회가 유익하다고 생각했을 것이다.

만약	만약/MAG
어느	어느/MMD
국회의원이	국회/NNG+의원/NNG+이/JKS
"비정규직	"/SS+비/XPN+정규직/NNG
문제를	문제/NNG+를/JKO
해결하기	해결/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
어떤	어떤/MMD
제도적	제도/NNG+적/XSN
뒷받침이	뒷받침/NNG+이/JKS
필요한가"라고	필요/NNG+하/XSA+ㄴ가/EF+"/SS+라고/JKQ
묻고,	묻/VV+고/EC+,/SP
허	허/NNP
회장이	회장/NNG+이/JKS
"노동시장의	"/SS+노동/NNG+시장/NNG+의/JKG
유연성을	유연성/NNG+을/JKO
확보할	확보/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
법적인	법/NNG+적/XSN+이/VCP+ㄴ/ETM
필요하다"고	필요/NNG+하/XSA+다/EF+"/SS+고/JKQ
말했다면	말/NNG+하/XSV+았/EP+다면/EC
많은	많/VA+은/ETM
사람이	사람/NNG+이/JKS
청문회가	청문회/NNG+가/JKS
유익하다고	유익/NNG+하/XSA+다고/EC
생각했을	생각/NNG+하/XSV+았/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.269.8.2
그러나 지금 국회의원들은 자신의 표가 떨어질 것을 감수하면서 누구에게든 양보하라고 말할 용기와 신념을 가진 사람은 별로 없다.

그러나	그러나/MAJ
지금	지금/MAG
국회의원들은	국회/NNG+의원/NNG+들/XSN+은/JX
자신의	자신/NNG+의/JKG
표가	표/NNG+가/JKS
떨어질	떨어지/VV+ㄹ/ETM
것을	것/NNB+을/JKO
감수하면서	감수/NNG+하/XSV+면서/EC
누구에게든	누구/NP+에게/JKB+든/JX
양보하라고	양보/NNG+하/XSV+라고/EC
말할	말/NNG+하/XSV+ㄹ/ETM
용기와	용기/NNG+와/JC
신념을	신념/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
사람은	사람/NNG+은/JX
별로	별로/MAG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000030.269.9.1
국민의 세금을 쓰지 않고 세금을 내기만 하는 대기업 오너를 국회에 불러 욕하고, 화풀이하고, '쇼'를 통해 자기 표만 올리려 한다면 재계는 정치권에 반감을 가질 수밖에 없다.

국민의	국민/NNG+의/JKG
세금을	세금/NNG+을/JKO
쓰지	쓰/VV+지/EC
않고	않/VX+고/EC
내기만	내/VV+기/ETN+만/JX
하는	하/VX+는/ETM
대기업	대/XPN+기업/NNG
오너를	오너/NNG+를/JKO
국회에	국회/NNG+에/JKB
불러	부르/VV+어/EC
욕하고,	욕/NNG+하/XSV+고/EC+,/SP
화풀이하고,	화풀이/NNG+하/XSV+고/EC+,/SP
'쇼'를	'/SS+쇼/NNG+'/SS+를/JKO
통해	통하/VV+아/EC
자기	자기/NP
표만	표/NNG+만/JX
올리려	올리/VV+려/EC
한다면	하/VX+ㄴ다면/EC
재계는	재계/NNG+는/JX
정치권에	정치/NNG+권/XSN+에/JKB
반감을	반감/NNG+을/JKO
가질	가지/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000030.269.9.2
대기업 오너들은 국회 얘기만 나오면 고개를 절레절레 흔들고 웬만하면 피하려 한다.

대기업	대/XPN+기업/NNG
오너들은	오너/NNG+들/XSN+은/JX
국회	국회/NNG
얘기만	얘기/NNG+만/JX
나오면	나오/VV+면/EC
고개를	고개/NNG+를/JKO
절레절레	절레절레/MAG
흔들고	흔들/VV+고/EC
웬만하면	웬만하/VA+면/EC
피하려	피하/VV+려/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.269.9.3
그들도 비겁하지만 국회는 더 비겁하다.

그들도	그/NP+들/XSN+도/JX
비겁하지만	비겁하/VA+지만/EC
국회는	국회/NNG+는/JX
더	더/MAG
비겁하다.	비겁하/VA+다/EF+./SF


# id : NWRW1800000030.269.9.4
그들을 손가락질할 만큼 당당함과 실력을 갖췄는지 의심스럽다.

그들을	그/NP+들/XSN+을/JKO
손가락질할	손가락/NNG+질/XSN+하/XSV+ㄹ/ETM
만큼	만큼/NNB
당당함과	당당/MAG+하/XSA+ㅁ/ETN+과/JC
실력을	실력/NNG+을/JKO
갖췄는지	갖추/VV+었/EP+는지/EC
의심스럽다.	의심/NNG+스럽/XSA+다/EF+./SF


# id : NWRW1800000030.269.10.1
'자본주의 4.0'은 잘하고 있는 사람은 더 잘할 수 있도록 돕고 소외된 사람들은 어떻게 하면 함께 갈 수 있게 할지를 고민하는 시스템이다.

'자본주의	'/SS+자본주의/NNG
4.0'은	4/SN+./SP+0/SN+'/SS+은/JX
잘하고	잘/MAG+하/XSV+고/EC
있는	있/VX+는/ETM
사람은	사람/NNG+은/JX
더	더/MAG
잘할	잘/MAG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
돕고	돕/VV+고/EC
소외된	소외/NNG+되/XSV+ㄴ/ETM
사람들은	사람/NNG+들/XSN+은/JX
어떻게	어떻/VA+게/EC
하면	하/VV+면/EC
함께	함께/MAG
갈	가/VV+ㄹ/ETM
있게	있/VA+게/EC
할지를	하/VX+ㄹ지/EF+를/JKO
고민하는	고민/NNG+하/XSV+는/ETM
시스템이다.	시스템/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.269.10.2
정부와 정치권은 크고 강한 게 아니라 작고 스마트해야 한다.

정부와	정부/NNG+와/JC
정치권은	정치/NNG+권/XSN+은/JX
크고	크/VA+고/EC
강한	강하/VA+ㄴ/ETM
게	거/NNB+이/JKC
아니라	아니/VCN+라/EC
작고	작/VA+고/EC
스마트해야	스마트/NNG+하/XSA+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.269.10.3
자본주의 4.0 시대에 국회가 1.0, 2.0 수준에 머문다면 사회와 경제에 짐이 될 뿐이다.

자본주의	자본주의/NNG
4.0	4/SN+./SP+0/SN
시대에	시대/NNG+에/JKB
국회가	국회/NNG+가/JKS
1.0,	1/SN+./SP+0/SN+,/SP
2.0	2/SN+./SP+0/SN
수준에	수준/NNG+에/JKB
머문다면	머물/VV+ㄴ다면/EC
사회와	사회/NNG+와/JC
경제에	경제/NNG+에/JKB
짐이	짐/NNG+이/JKC
될	되/VV+ㄹ/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


