# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.317
metadata : {}


# id : NWRW1800000053.317.1.1
安 약진에 긴장한 文측… ‘양자대결 여론조사’에 반발

安	安/SH
보고하지	보고/NNG+하/XSV+지/EC
않고	않/VX+고/EC
사안을	사안/NNG+을/JKO
종결했다”고	종결/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
선을	선/NNG+을/JKO
그었다.	긋/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.317.7.4
이 사건의 피해자인 임모 경위는 기자들과 만나 “사고 직후 배 씨와 합의를 못하자 청와대 민정수석실 행정관이 찾아와 합의를 종용했다”고 주장했다.

이	이/MMD
사건의	사건/NNG+의/JKG
피해자인	피해자/NNG+이/VCP+ㄴ/ETM
임모	임/NNP+모/NP
경위는	경위/NNG+는/JX
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
“사고	“/SS+사고/NNG
직후	직후/NNG
배	배/NNP
씨와	씨/NNB+와/JKB
합의를	합의/NNG+를/JKO
못하자	못/MAG+하/VV+자/EC
청와대	청와대/NNP
민정수석실	민정/NNG+수석실/NNG
행정관이	행정관/NNG+이/JKS
찾아와	찾아오/VV+아/EC
종용했다”고	종용/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.317.8.1
문 후보는 이날 ‘숨고르기’를 갖고 본선 전략 구상에 몰두했다.

문	문/NNP
후보는	후보/NNG+는/JX
이날	이날/NNG
‘숨고르기’를	‘/SS+숨/NNG+고르/VV+기/ETN+’/SS+를/JKO
갖고	갖/VV+고/EC
본선	본선/NNG
전략	전략/NNG
구상에	구상/NNG+에/JKB
몰두했다.	몰두/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.317.8.2
당 선거대책위원회 구성에도 속도를 내고 있다.

당	당/NNG
선거대책위원회	선거/NNG+대책/NNG+위원회/NNG
구성에도	구성/NNG+에/JKB+도/JX
속도를	속도/NNG+를/JKO
내고	내/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.317.8.3
문 후보 측은 공보단장에 윤관석 박광온 의원을 임명했다.

문	문/NNP
후보	후보/NNG
측은	측/NNB+은/JX
공보단장에	공보단장/NNG+에/JKB
윤관석	윤관석/NNP
박광온	박광온/NNP
의원을	의원/NNG+을/JKO
임명했다.	임명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.317.8.4
수석 대변인에는 유은혜 홍익표 의원이 임명됐다.

수석	수석/NNG
대변인에는	대변인/NNG+에/JKB+는/JX
유은혜	유은혜/NNP
홍익표	홍익표/NNP
의원이	의원/NNG+이/JKS
임명됐다.	임명/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.317.8.5
대변인은 김경수 강훈식 의원과 박수현 전 의원, 고민정 전 KBS 아나운서가 맡는다.

대변인은	대변인/NNG+은/JX
김경수	김경수/NNP
강훈식	강훈식/NNP
의원과	의원/NNG+과/JC
박수현	박수현/NNP
전	전/MMD
의원,	의원/NNG+,/SP
고민정	고민정/NNP
KBS	KBS/SL
아나운서가	아나운서/NNG+가/JKS
맡는다.	맡/VV+는다/EF+./SF


# id : NWRW1800000053.317.8.6
강 의원과 박 전 의원은 경선에서 안희정 충남도지사 캠프에서 활동했다.

강	강/NNP
의원과	의원/NNG+과/JC
박	박/NNP
전	전/MMD
의원은	의원/NNG+은/JX
경선에서	경선/NNG+에서/JKB
안희정	안희정/NNP
충남도지사	충남/NNP+도지사/NNG
캠프에서	캠프/NNG+에서/JKB
활동했다.	활동/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.317.8.7
수석부대변인은 권혁기 문 후보 캠프 부대변인이 임명됐다.

수석부대변인은	수석/NNG+부대변인/NNG+은/JX
권혁기	권혁기/NNP
문	문/NNP
후보	후보/NNG
캠프	캠프/NNG
부대변인이	부대변인/NNG+이/JKS
임명됐다.	임명/NNG+되/XSV+었/EP+다/EF+./SF


