# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.128
metadata : {}


# id : NWRW1800000040.128.1.1
<font color=#C21A1A>단독</font> “불상 돌려줘”…일 쓰시마, 조선통신사 행사 33년 만에 중단

<font	</SS+font/SL
# id : NWRW1800000040.128.4.1
24일 부산문화재단과 쓰시마시 부산사무소 등의 말을 종합하면, 쓰시마시 조선통신사행렬진흥회는 최근 회의를 열어 해마다 8월 초 여는 ‘쓰시마시 이즈하라항 축제-아리랑축제’의 주요 행사인 조선통신사 행렬 재현을 취소했다.

24일	24/SN+일/NNB
부산문화재단과	부산문화재단/NNP+과/JC
쓰시마시	쓰시마시/NNP
부산사무소	부산/NNP+사무소/NNG
등의	등/NNB+의/JKG
말을	말/NNG+을/JKO
종합하면,	종합/NNG+하/XSV+면/EC+,/SP
조선통신사행렬진흥회는	조선/NNP+통신사/NNG+행렬/NNG+진흥회/NNG+는/JX
최근	최근/MAG
회의를	회의/NNG+를/JKO
열어	열/VV+어/EC
해마다	해마다/MAG
8월	8/SN+월/NNB
초	초/NNB
여는	열/VV+는/ETM
‘쓰시마시	‘/SS+쓰시마시/NNP
이즈하라항	이즈하라항/NNP
축제-아리랑축제’의	축제/NNG+-/SO+아리랑/NNG+축제/NNG+’/SS+의/JKG
주요	주요/NNG
행사인	행사/NNG+이/VCP+ㄴ/ETM
조선통신사	조선/NNP+통신사/NNG
행렬	행렬/NNG
재현을	재현/NNG+을/JKO
취소했다.	취소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.128.4.2
진흥회 산하 쓰시마시상공회 청년부 이즈하라지부는 지난 17일 아리랑축제라는 이름을 빼기로 결정했으며, 새 이름을 짓는 것을 검토하고 있다.

진흥회	진흥회/NNG
산하	산하/NNG
쓰시마시상공회	쓰시마시상공회/NNP
청년부	청년부/NNG
이즈하라지부는	이즈하라/NNP+지부/NNG+는/JX
지난	지나/VV+ㄴ/ETM
17일	17/SN+일/NNB
아리랑축제라는	아리랑/NNG+축제/NNG+이/VCP+라는/ETM
이름을	이름/NNG+을/JKO
빼기로	빼/VV+기/ETN+로/JKB
결정했으며,	결정/NNG+하/XSV+았/EP+으며/EC+,/SP
새	새/MMA
짓는	짓/VV+는/ETM
것을	것/NNB+을/JKO
검토하고	검토/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.128.5.1
쓰시마시는 1964년부터 민간단체와 함께 이즈하라항 축제를 열었다.

쓰시마시는	쓰시마시/NNP+는/JX
1964년부터	1964/SN+년/NNB+부터/JX
민간단체와	민간단체/NNG+와/JKB
함께	함께/MAG
이즈하라항	이즈하라항/NNP
축제를	축제/NNG+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.128.5.2
80년부터는 한국 관광객 유치와 한-일 우호관계 증진을 내세워, 1607~1811년 조선시대 국왕이 파견한 외교사절인 조선통신사가 대마도(쓰시마)를 거쳐 도쿠가와막부가 있던 에도(지금의 도쿄)까지 갔던 행렬을 재현하는 행사를 열어왔다.

80년부터는	80/SN+년/NNB+부터/JX+는/JX
한국	한국/NNP
관광객	관광객/NNG
유치와	유치/NNG+와/JC
한-일	한-일/NNP
우호관계	우호/NNG+관계/NNG
증진을	증진/NNG+을/JKO
내세워,	내세우/VV+어/EC+,/SP
1607~1811년	1607/SN+~/SO+1811/SN+년/NNB
조선시대	조선시대/NNG
국왕이	국왕/NNG+이/JKS
파견한	파견/NNG+하/XSV+ㄴ/ETM
외교사절인	외교/NNG+사절/NNG+이/VCP+ㄴ/ETM
조선통신사가	조선/NNP+통신사/NNG+가/JKS
대마도(쓰시마)를	대마도/NNP+(/SS+쓰시마/NNP+)/SS+를/JKO
거쳐	거치/VV+어/EC
도쿠가와막부가	도쿠가와/NNP+막부/NNG+가/JKS
있던	있/VA+던/ETM
에도(지금의	에도/NNP+(/SS+지금/NNG+의/JKG
도쿄)까지	도쿄/NNP+)/SS+까지/JX
갔던	가/VV+았/EP+던/ETM
행렬을	행렬/NNG+을/JKO
재현하는	재현/NNG+하/XSV+는/ETM
행사를	행사/NNG+를/JKO
열어왔다.	열/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.128.5.3
88년부터는 축제 이름에 ‘아리랑축제’를 추가했다.

88년부터는	88/SN+년/NNB+부터/JX+는/JX
축제	축제/NNG
이름에	이름/NNG+에/JKB
‘아리랑축제’를	‘/SS+아리랑/NNG+축제/NNG+’/SS+를/JKO
추가했다.	추가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.128.5.4
행렬 재현은 부산문화재단과 쓰시마시 부산사무소가 초청한 인물 등 80여명과 쓰시마시 주민 320여명 등이 조선시대 옷차림을 하고서 이즈하라 시내 약 1㎞를 1시간 남짓 행진하는 것이다.

행렬	행렬/NNG
재현은	재현/NNG+은/JX
부산문화재단과	부산문화재단/NNP+과/JC
쓰시마시	쓰시마시/NNP
부산사무소가	부산/NNP+사무소/NNG+가/JKS
초청한	초청/NNG+하/XSV+ㄴ/ETM
인물	인물/NNG
등	등/NNB
80여명과	80/SN+여/XSN+명/NNB+과/JC
주민	주민/NNG
320여명	320/SN+여/XSN+명/NNB
등이	등/NNB+이/JKS
조선시대	조선시대/NNG
옷차림을	옷차림/NNG+을/JKO
하고서	하/VV+고서/EC
이즈하라	이즈하라/NNP
시내	시내/NNG
약	약/MMA
1㎞를	1/SN+㎞/SW+를/JKO
1시간	1/SN+시간/NNB
남짓	남짓/NNB
행진하는	행진/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.128.6.1
쓰시마시가 반환을 요구하는 불상은 나가사키현 유형문화재로 지정된 금동관음보살좌상이다.

쓰시마시가	쓰시마시/NNP+가/JKS
반환을	반환/NNG+을/JKO
요구하는	요구/NNG+하/XSV+는/ETM
불상은	불상/NNG+은/JX
나가사키현	나가사키현/NNP
유형문화재로	유형/NNG+문화재/NNG+로/JKB
지정된	지정/NNG+되/XSV+ㄴ/ETM
금동관음보살좌상이다.	금동관음보살좌상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.128.6.2
지난해 10월 한국 절도단이 쓰시마시 관음사에서 훔쳤다.

지난해	지난해/NNG
10월	10/SN+월/NNB
한국	한국/NNP
절도단이	절도단/NNG+이/JKS
쓰시마시	쓰시마시/NNP
관음사에서	관음사/NNP+에서/JKB
훔쳤다.	훔치/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.128.6.3
일본 정부는 장물이므로 즉각 돌려줄 것을 요구하고 있으나, 대전지법은 충남 서산의 부석사가 우리 정부를 상대로 낸 불상 점유 이전 금지 가처분 신청을 받아들였다.

일본	일본/NNP
정부는	정부/NNG+는/JX
장물이므로	장물/NNG+이/VCP+므로/EC
즉각	즉각/MAG
돌려줄	돌려주/VV+ㄹ/ETM
것을	것/NNB+을/JKO
요구하고	요구/NNG+하/XSV+고/EC
있으나,	있/VX+으나/EC+,/SP
대전지법은	대전지법/NNP+은/JX
충남	충남/NNP
서산의	서산/NNP+의/JKG
부석사가	부석사/NNP+가/JKS
우리	우리/NP
정부를	정부/NNG+를/JKO
상대로	상대/NNG+로/JKB
낸	내/VV+ㄴ/ETM
불상	불상/NNG
점유	점유/NNG
이전	이전/NNG
금지	금지/NNG
가처분	가/XPN+처분/NNG
신청을	신청/NNG+을/JKO
받아들였다.	받아들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.128.6.4
부석사에 있던 불상을 일본 관음사가 정당하게 취득했다는 점이 확인되기 전까지는 일본 반환을 금지하도록 결정한 것이다.

부석사에	부석사/NNP+에/JKB
있던	있/VA+던/ETM
불상을	불상/NNG+을/JKO
일본	일본/NNP
관음사가	관음사/NNP+가/JKS
정당하게	정당하/VA+게/EC
취득했다는	취득/NNG+하/XSV+았/EP+다는/ETM
점이	점/NNG+이/JKS
확인되기	확인/NNG+되/XSV+기/ETN
전까지는	전/NNG+까지/JX+는/JX
반환을	반환/NNG+을/JKO
금지하도록	금지/NNG+하/XSV+도록/EC
결정한	결정/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


