# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.390
metadata : {}


# id : NWRW1800000036.390.1.1
박영준, 또 다른 업체서도 ‘1억 용돈’

박영준,	박영준/NNP+,/SP
머물고	머물/VV+고/EC
있는	있/VX+는/ETM
이	이/MMD
회장이	회장/NNG+이/JKS
귀국하는	귀국/NNG+하/XSV+는/ETM
대로	대로/NNB
돈의	돈/NNG+의/JKG
출처와	출처/NNG+와/JC
대가성	대가/NNG+성/XSN
여부를	여부/NNG+를/JKO
확인해	확인/NNG+하/XSV+아/EC
박	박/NNP
전	전/MMD
차장의	차장/NNG+의/JKG
혐의에	혐의/NNG+에/JKB
추가할지	추가/NNG+하/XSV+ㄹ지/EF
검토중이다.	검토/NNG+중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.390.7.2
검찰은 박 전 차장이 업체들로부터 사업 관련 청탁과 함께 돈을 받았다면 특가법의 알선수재 혐의를, 정치활동 명목으로 받았다면 정치자금법 위반 혐의를 적용할 방침이다.

검찰은	검찰/NNG+은/JX
박	박/NNP
전	전/MMD
차장이	차장/NNG+이/JKS
업체들로부터	업체/NNG+들/XSN+로부터/JKB
사업	사업/NNG
관련	관련/NNG
청탁과	청탁/NNG+과/JKB
함께	함께/MAG
돈을	돈/NNG+을/JKO
받았다면	받/VV+았/EP+다면/EC
특가법의	특가법/NNG+의/JKG
알선수재	알선/NNG+수재/NNG
혐의를,	혐의/NNG+를/JKO+,/SP
정치활동	정치/NNG+활동/NNG
명목으로	명목/NNG+으로/JKB
정치자금법	정치/NNG+자금법/NNG
위반	위반/NNG
혐의를	혐의/NNG+를/JKO
적용할	적용/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


