# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.267
metadata : {}


# id : NWRW1800000037.267.1.1
[횡설수설/민동용]만원사례 극장의 추억

[횡설수설/민동용]만원사례	[/SS+횡설수설/NNG+//SP+민동용/NNP+]/SS+만원사례/NNG
개봉일에	개봉일/NNG+에/JKB
극장	극장/NNG
앞이	앞/NNG+이/JKS
사람으로	사람/NNG+으로/JKB
가득하길	가득/MAG+하/XSA+기/ETN+ㄹ/JKO
바랐다.	바라/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.267.2.6
극장 앞 장사진(長蛇陣)을 봐야 제작자, 감독, 극장주는 마음을 놓을 수 있었다.

극장	극장/NNG
앞	앞/NNG
장사진(長蛇陣)을	장사진/NNG+(/SS+長蛇陣/SH+)/SS+을/JKO
봐야	보/VV+아야/EC
제작자,	제작자/NNG+,/SP
감독,	감독/NNG+,/SP
극장주는	극장주/NNG+는/JX
마음을	마음/NNG+을/JKO
놓을	놓/VV+을/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000037.267.2.7
전화예매도 흔치 않던 1990년대 후반까지 관객의 행렬은 입소문의 주요 수단이자 흥행의 척도였기 때문이다.

전화예매도	전화/NNG+예매/NNG+도/JX
흔치	흔하/VA+지/EC
않던	않/VX+던/ETM
1990년대	1990/SN+년대/NNB
후반까지	후반/NNG+까지/JX
관객의	관객/NNG+의/JKG
행렬은	행렬/NNG+은/JX
입소문의	입소문/NNG+의/JKG
주요	주요/NNG
수단이자	수단/NNG+이/VCP+자/EC
흥행의	흥행/NNG+의/JKG
척도였기	척도/NNG+이/VCP+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.267.3.1
▷서울 충무로의 대한극장은 지금처럼 한 영화관에 스크린이 여러 개인 멀티플렉스가 생기기 전까지 서울에서 가장 객석이 많은 극장이었다.

▷서울	▷/SW+서울/NNP
충무로의	충무로/NNP+의/JKG
대한극장은	대한극장/NNP+은/JX
지금처럼	지금/NNG+처럼/JKB
한	한/MMN
영화관에	영화관/NNG+에/JKB
스크린이	스크린/NNG+이/JKS
여러	여러/MMN
개인	개인/NNG
멀티플렉스가	멀티플렉스/NNG+가/JKS
생기기	생기/VV+기/ETN
전까지	전/NNG+까지/JX
서울에서	서울/NNP+에서/JKB
가장	가장/MAG
객석이	객석/NNG+이/JKS
많은	많/VA+은/ETM
극장이었다.	극장/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.267.3.2
이곳에서 히트작이 상영될 때는 매표소부터 시작된 줄이 극장 뒤편으로 돌아 필동 ‘한국의 집’까지 늘어서거나, 극장 앞 지하도 입구로 내려가 왕복 8차로 건너편 극동빌딩 앞 지하도 출구로 나오기도 했다.

이곳에서	이곳/NP+에서/JKB
히트작이	히트작/NNG+이/JKS
상영될	상영/NNG+되/XSV+ㄹ/ETM
때는	때/NNG+는/JX
매표소부터	매표소/NNG+부터/JX
시작된	시작/NNG+되/XSV+ㄴ/ETM
줄이	줄/NNG+이/JKS
극장	극장/NNG
뒤편으로	뒤편/NNG+으로/JKB
돌아	돌/VV+아/EC
필동	필동/NNP
‘한국의	‘/SS+한국/NNP+의/JKG
집’까지	집/NNG+’/SS+까지/JX
늘어서거나,	늘어서/VV+거나/EC+,/SP
앞	앞/NNG
지하도	지하도/NNG
입구로	입구/NNG+로/JKB
내려가	내려가/VV+아/EC
왕복	왕복/NNG
8차로	8/SN+차로/NNG
건너편	건너편/NNG
극동빌딩	극동빌딩/NNP
출구로	출구/NNG+로/JKB
나오기도	나오/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.267.3.3
종로3가의 피카디리나 단성사는 주로 극장 앞 작은 광장에 똬리를 튼 줄이 몇 겹이냐로 흥행 여부를 판가름할 수 있었다.

종로3가의	종로3가/NNP+의/JKG
피카디리나	피카디리/NNP+나/JX
단성사는	단성사/NNP+는/JX
주로	주로/MAG
극장	극장/NNG
앞	앞/NNG
작은	작/VA+은/ETM
광장에	광장/NNG+에/JKB
똬리를	똬리/NNG+를/JKO
튼	틀/VV+ㄴ/ETM
줄이	줄/NNG+이/JKS
몇	몇/NR
겹이냐로	겹/NNG+이/VCP+냐/EF+로/JKB
흥행	흥행/NNG
여부를	여부/NNG+를/JKO
판가름할	판가름/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000037.267.3.4
개봉관이나 제작사는 이렇게 사람들이 들어찬 광경을 사진으로 찍어 신문에 광고를 냈다.

개봉관이나	개봉관/NNG+이나/JC
제작사는	제작사/NNG+는/JX
이렇게	이렇/VA+게/EC
사람들이	사람/NNG+들/XSN+이/JKS
들어찬	들어차/VV+ㄴ/ETM
광경을	광경/NNG+을/JKO
사진으로	사진/NNG+으로/JKB
찍어	찍/VV+어/EC
신문에	신문/NNG+에/JKB
광고를	광고/NNG+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.267.4.1
▷장사진과 더불어 영화가 요샛말로 대박이 터졌음을 알리던 말이 ‘만원사례(滿員謝禮)’였다.

▷장사진과	▷/SW+장사진/NNG+과/JKB
더불어	더불/VV+어/EC
영화가	영화/NNG+가/JKS
요샛말로	요샛말/NNG+로/JKB
대박이	대/XPN+박/NNG+이/JKS
터졌음을	터지/VV+었/EP+음/ETN+을/JKO
알리던	알리/VV+던/ETM
말이	말/NNG+이/JKS
‘만원사례(滿員謝禮)’였다.	‘/SS+만원사례/NNG+(/SS+滿員謝禮/SH+)/SS+’/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.267.4.2
1933년 2월 미국 감독 조지 힐의 작품 ‘태평양 폭격대’를 상영하던 단성사가 동아일보에 ‘연일 만원사례 흥행’이라는 1단 광고를 실을 정도로 역사가 길다.

1933년	1933/SN+년/NNB
2월	2/SN+월/NNB
미국	미국/NNP
감독	감독/NNG
조지	조지/NNP
힐의	힐/NNP+의/JKG
작품	작품/NNG
‘태평양	‘/SS+태평양/NNP
폭격대’를	폭격대/NNG+’/SS+를/JKO
상영하던	상영/NNG+하/XSV+던/ETM
단성사가	단성사/NNP+가/JKS
동아일보에	동아일보/NNP+에/JKB
‘연일	‘/SS+연일/NNG
만원사례	만원사례/NNG
흥행’이라는	흥행/NNG+’/SS+이/VCP+라는/ETM
1단	1/SN+단/NNG
광고를	광고/NNG+를/JKO
실을	싣/VV+을/ETM
정도로	정도/NNG+로/JKB
역사가	역사/NNG+가/JKS
길다.	길/VA+다/EF+./SF


# id : NWRW1800000037.267.4.3
한국영화로는 처음으로 서울 개봉관에서 100만 관객을 돌파한 ‘서편제’를 상영했던 단성사 문에는 100일 넘게 만원사례가 붙어 있었다.

한국영화로는	한국/NNP+영화/NNG+로/JKB+는/JX
처음으로	처음/NNG+으로/JKB
서울	서울/NNP
개봉관에서	개봉관/NNG+에서/JKB
100만	100/SN+만/NR
관객을	관객/NNG+을/JKO
돌파한	돌파/NNG+하/XSV+ㄴ/ETM
‘서편제’를	‘/SS+서편제/NNP+’/SS+를/JKO
상영했던	상영/NNG+하/XSV+았/EP+던/ETM
단성사	단성사/NNP
문에는	문/NNG+에/JKB+는/JX
100일	100/SN+일/NNB
넘게	넘/VV+게/EC
만원사례가	만원사례/NNG+가/JKS
붙어	붙/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.267.4.4
1970, 80년대만 해도 개봉 첫날 전 회가 매진되면 제작사는 커피 한잔 값의 돈을 넣은 만원사례 봉투를 감독, 배우, 제작진에게 돌리는 것이 미덕이었다고 한다.

1970,	1970/SN+,/SP
80년대만	80/SN+년대/NNB+만/JX
해도	하/VV+아도/EC
개봉	개봉/NNG
첫날	첫날/NNG
전	전/MMN
회가	회/NNB+가/JKS
매진되면	매진/NNG+되/XSV+면/EC
제작사는	제작사/NNG+는/JX
커피	커피/NNG
한잔	한/MMN+잔/NNG
값의	값/NNG+의/JKG
돈을	돈/NNG+을/JKO
넣은	넣/VV+은/ETM
만원사례	만원사례/NNG
봉투를	봉투/NNG+를/JKO
감독,	감독/NNG+,/SP
배우,	배우/NNG+,/SP
제작진에게	제작진/NNG+에게/JKB
돌리는	돌리/VV+는/ETM
것이	것/NNB+이/JKS
미덕이었다고	미덕/NNG+이/VCP+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.267.5.1
▷영화진흥위원회가 집계한 ‘1월 입장권 통계’에 따르면 지난 한 달간 한국영화를 본 관객이 1198만4471명으로 역대 최다를 기록했다.

▷영화진흥위원회가	▷/SW+영화/NNG+진흥/NNG+위원회/NNG+가/JKS
집계한	집계/NNG+하/XSV+ㄴ/ETM
‘1월	‘/SS+1/SN+월/NNB
입장권	입장/NNG+권/XSN
통계’에	통계/NNG+’/SS+에/JKB
따르면	따르/VV+면/EC
지난	지나/VV+ㄴ/ETM
한	한/MMN
달간	달/NNB+간/XSN
한국영화를	한국/NNP+영화/NNG+를/JKO
본	보/VV+ㄴ/ETM
관객이	관객/NNG+이/JKS
1198만4471명으로	1198/SN+만/NR+4471/SN+명/NNB+으로/JKB
역대	역대/NNG
최다를	최다/NNG+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.267.5.2
이제까지 최고였던 지난해 같은 달의 824만2562명을 훨씬 뛰어넘는 수치다.

이제까지	이제/NNG+까지/JX
최고였던	최고/NNG+이/VCP+었/EP+던/ETM
지난해	지난해/NNG
같은	같/VA+은/ETM
달의	달/NNG+의/JKG
824만2562명을	824/SN+만/NR+2562/SN+명/NNB+을/JKO
훨씬	훨씬/MAG
뛰어넘는	뛰어넘/VV+는/ETM
수치다.	수치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.267.5.3
외국영화를 포함한 관객 수도 역대 최다인 2036만1298명이었다.

외국영화를	외국/NNG+영화/NNG+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
관객	관객/NNG
수도	수/NNG+도/JX
역대	역대/NNG
최다인	최다/NNG+이/VCP+ㄴ/ETM
2036만1298명이었다.	2036/SN+만/NR+1298/SN+명/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.267.5.4
지난해 한국영화 관객이 처음으로 1억 명을 넘고 총 관객도 사상 최다를 기록한 여세를 이어가는 셈이다.

지난해	지난해/NNG
한국영화	한국/NNP+영화/NNG
관객이	관객/NNG+이/JKS
처음으로	처음/NNG+으로/JKB
1억	1/SN+억/NR
명을	명/NNB+을/JKO
넘고	넘/VV+고/EC
총	총/MMA
관객도	관객/NNG+도/JX
사상	사상/NNG
최다를	최다/NNG+를/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
여세를	여세/NNG+를/JKO
이어가는	잇/VV+어/EC+가/VX+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.267.5.5
하지만 많게는 1000개가 넘는 스크린에서 동시에 상영하고 인터넷 예매가 주를 이루는 요즘 극장가에서 장사진이나 만원사례 문구는 찾아볼 수 없다.

하지만	하지만/MAJ
많게는	많/VA+게/EC+는/JX
1000개가	1000/SN+개/NNB+가/JKS
넘는	넘/VV+는/ETM
스크린에서	스크린/NNG+에서/JKB
동시에	동시/NNG+에/JKB
상영하고	상영/NNG+하/XSV+고/EC
인터넷	인터넷/NNG
예매가	예매/NNG+가/JKS
주를	주/NNG+를/JKO
이루는	이루/VV+는/ETM
요즘	요즘/NNG
극장가에서	극장가/NNG+에서/JKB
장사진이나	장사진/NNG+이나/JC
만원사례	만원사례/NNG
문구는	문구/NNG+는/JX
찾아볼	찾/VV+아/EC+보/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000037.267.5.6
고구마튀김을 씹으며 언제 앞의 줄이 줄어드나 초조해하던 그 시절은 추억의 앨범이 됐다.

고구마튀김을	고구마튀김/NNG+을/JKO
씹으며	씹/VV+으며/EC
언제	언제/MAG
앞의	앞/NNG+의/JKG
줄이	줄/NNG+이/JKS
줄어드나	줄어들/VV+나/EF
초조해하던	초조/NNG+하/XSA+아/EC+하/VX+던/ETM
그	그/MMD
시절은	시절/NNG+은/JX
추억의	추억/NNG+의/JKG
앨범이	앨범/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


