# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.114
metadata : {}


# id : NWRW1800000053.114.1.1
첫 사랑의 추억, 맑은 수채화처럼 풀어내

첫	첫/MMN
마음으로	마음/NNG+으로/JKB
가만가만	가만가만/MAG
이어가는	잇/VV+어/EC+가/VX+는/ETM
대화는	대화/NNG+는/JX
처음	처음/NNG
사랑을	사랑/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
이들이	이/NNB+들/XSN+이/JKS
나누는	나누/VV+는/ETM
이야기와	이야기/NNG+와/JKB
별반	별반/MAG
다르지	다르/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000053.114.5.3
귀에 쏙 들어오는 참신한 대사는 없지만 그래서 친근하게 느껴지기도 한다.

귀에	귀/NNG+에/JKB
쏙	쏙/MAG
들어오는	들어오/VV+는/ETM
참신한	참신하/VA+ㄴ/ETM
대사는	대사/NNG+는/JX
없지만	없/VA+지만/EC
그래서	그래서/MAJ
친근하게	친근하/VA+게/EC
느껴지기도	느끼/VV+어/EC+지/VX+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.114.6.1
작품을 은은하게 채색하는 건 음악이다.

작품을	작품/NNG+을/JKO
은은하게	은은하/VA+게/EC
채색하는	채색/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
음악이다.	음악/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.114.6.2
‘마이 걸’을 포함한 주요 넘버는 아무 계산 없이 사랑했던 푸르른 시절을 떠올리게 만든다.

‘마이	‘/SS+마이/NNP
걸’을	걸/NNP+’/SS+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
주요	주요/NNG
넘버는	넘버/NNG+는/JX
아무	아무/MMD
계산	계산/NNG
없이	없이/MAG
사랑했던	사랑/NNG+하/XSV+았/EP+던/ETM
푸르른	푸르르/VA+ㄴ/ETM
시절을	시절/NNG+을/JKO
떠올리게	떠올리/VV+게/EC
만든다.	만들/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.114.6.3
잭과 줄리가 함께 부르는 풋풋하고 보드라운 멜로디는 한동안 귓가에 맴돈다.

잭과	잭/NNP+과/JKB
줄리가	줄리/NNP+가/JKS
함께	함께/MAG
부르는	부르/VV+는/ETM
풋풋하고	풋풋하/VA+고/EC
보드라운	보드랍/VA+ㄴ/ETM
멜로디는	멜로디/NNG+는/JX
한동안	한/XPN+동안/NNG
귓가에	귓가/NNG+에/JKB
맴돈다.	맴돌/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.114.6.4
배우들의 편안한 연기는 관객을 작은 콘서트장으로 자연스럽게 이끈다.

배우들의	배우/NNG+들/XSN+의/JKG
편안한	편안/NNG+하/XSA+ㄴ/ETM
연기는	연기/NNG+는/JX
관객을	관객/NNG+을/JKO
작은	작/VA+은/ETM
콘서트장으로	콘서트장/NNG+으로/JKB
자연스럽게	자연/NNG+스럽/XSA+게/EC
이끈다.	이끌/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.114.6.5
여름날 소나기처럼 싱그러움을 선사하는 작품이다.

여름날	여름날/NNG
소나기처럼	소나기/NNG+처럼/JKB
싱그러움을	싱그럽/VA+ㅁ/ETN+을/JKO
선사하는	선사/NNG+하/XSV+는/ETM
작품이다.	작품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.114.7.1
정민 김경수 유승현 김지철 등 출연.

정민	정민/NNP
김경수	김경수/NNP
유승현	유승현/NNP
김지철	김지철/NNP
등	등/NNB
출연.	출연/NNG+./SF


# id : NWRW1800000053.114.7.2
8월 20일까지.

8월	8/SN+월/NNB
20일까지.	20/SN+일/NNB+까지/JX+./SF


