# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.48
metadata : {}


# id : NWRW1800000029.48.1.1
넌 PC 쓰니?

넌	너/NP+ㄴ/JX
19일	19/SN+일/NNB
‘가상	‘/SS+가상/NNG
데스크톱’	데스크톱/NNG+’/SS
시스템을	시스템/NNG+을/JKO
탑재한	탑재/NNG+하/XSV+ㄴ/ETM
‘클라우드	‘/SS+클라우드/NNG
모니터’	모니터/NNG+’/SS
NC220을	NC/SL+220/SN+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.48.5.2
PC 없이 모니터를 네트워크에 접속하면 서버에 바로 연결돼 데스크톱 업무를 처리할 수 있는 모니터다.

PC	PC/SL
없이	없이/MAG
모니터를	모니터/NNG+를/JKO
네트워크에	네트워크/NNG+에/JKB
접속하면	접속/NNG+하/XSV+면/EC
서버에	서버/NNG+에/JKB
바로	바로/MAG
연결돼	연결/NNG+되/XSV+어/EC
데스크톱	데스크톱/NNG
업무를	업무/NNG+를/JKO
처리할	처리/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
모니터다.	모니터/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.48.5.3
실제 모든 정보처리는 서버에서 이뤄지며 모니터는 화상정보만 받아 보여준다.

실제	실제/NNG
모든	모든/MMN
정보처리는	정보/NNG+처리/NNG+는/JX
서버에서	서버/NNG+에서/JKB
이뤄지며	이뤄지/VV+며/EC
모니터는	모니터/NNG+는/JX
화상정보만	화상/NNG+정보/NNG+만/JX
받아	받/VV+아/EC
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.48.5.4
단말기 역할을 하는 모니터에는 중앙처리장치(CPU) 메모리 하드디스크 등이 없어 ‘제로 클라이언트’라 불리기도 한다.

단말기	단말기/NNG
역할을	역할/NNG+을/JKO
하는	하/VV+는/ETM
모니터에는	모니터/NNG+에/JKB+는/JX
중앙처리장치(CPU)	중앙/NNG+처리/NNG+장치/NNG+(/SS+CPU/SL+)/SS
메모리	메모리/NNG
하드디스크	하드/NNG+디스크/NNG
등이	등/NNB+이/JKS
없어	없/VA+어/EC
‘제로	‘/SS+제로/NNG
클라이언트’라	클라이언트/NNG+’/SS+이/VCP+라/EC
불리기도	불리/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.48.5.5
또한 이 제품은 시스코시스템스의 UPOE(Universal Power Over Ethernet)라는 기술을 도입해 따로 전원을 연결하지 않아도 ‘이서넷’ 랜 케이블을 통해 전원 공급이 가능하다.

또한	또한/MAG
이	이/MMD
제품은	제품/NNG+은/JX
시스코시스템스의	시스코시스템스/NNP+의/JKG
UPOE(Universal	UPOE/SL+(/SS+Universal/SL
Power	Power/SL
Over	Over/SL
Ethernet)라는	Ethernet/SL+)/SS+이/VCP+라는/ETM
기술을	기술/NNG+을/JKO
도입해	도입/NNG+하/XSV+아/EC
따로	따로/MAG
전원을	전원/NNG+을/JKO
연결하지	연결/NNG+하/XSV+지/EC
않아도	않/VX+아도/EC
‘이서넷’	‘/SS+이서넷/NNG+’/SS
랜	랜/NNG
케이블을	케이블/NNG+을/JKO
통해	통하/VV+아/EC
전원	전원/NNG
공급이	공급/NNG+이/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000029.48.5.6
무거운 PC 및 사무실을 번잡하게 했던 각종 전원 케이블도 필요 없어진 것이다.

무거운	무겁/VA+ㄴ/ETM
PC	PC/SL
및	및/MAG
사무실을	사무실/NNG+을/JKO
번잡하게	번잡/NNG+하/XSA+게/EC
했던	하/VX+았/EP+던/ETM
각종	각종/NNG
전원	전원/NNG
케이블도	케이블/NNG+도/JX
필요	필요/NNG
없어진	없어지/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.48.6.1
삼성은 ‘클라우드 노트북 PC’인 크롬북도 8월 초 국내에 출시할 방침이다.

삼성은	삼성/NNP+은/JX
‘클라우드	‘/SS+클라우드/NNG
노트북	노트북/NNG
PC’인	PC/SL+’/SS+이/VCP+ㄴ/ETM
크롬북도	크롬북/NNG+도/JX
8월	8/SN+월/NNB
초	초/NNB
국내에	국내/NNG+에/JKB
출시할	출시/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.48.6.2
크롬북은 구글이 클라우드 서비스용으로 개발한 크롬 운영체제(OS)를 기반으로 삼성이 생산한 제품.

크롬북은	크롬북/NNG+은/JX
구글이	구글/NNP+이/JKS
클라우드	클라우드/NNG
서비스용으로	서비스/NNG+용/XSN+으로/JKB
개발한	개발/NNG+하/XSV+ㄴ/ETM
크롬	크롬/NNG
운영체제(OS)를	운영/NNG+체제/NNG+(/SS+OS/SL+)/SS+를/JKO
기반으로	기반/NNG+으로/JKB
삼성이	삼성/NNP+이/JKS
생산한	생산/NNG+하/XSV+ㄴ/ETM
제품.	제품/NNG+./SF


# id : NWRW1800000029.48.6.3
5월 구글 개발자 대회에서 첫선을 보였으며 지난달 중순부터 미국에서 판매를 시작했다.

5월	5/SN+월/NNB
구글	구글/NNP
개발자	개발자/NNG
대회에서	대회/NNG+에서/JKB
첫선을	첫선/NNG+을/JKO
보였으며	보이/VV+었/EP+으며/EC
지난달	지난달/NNG
중순부터	중순/NNG+부터/JX
미국에서	미국/NNP+에서/JKB
판매를	판매/NNG+를/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.48.6.4
하드디스크를 최소화해 무게는 1.3kg으로 가볍고 일반 노트북에서 30초가량 걸리던 부팅시간을 8초 정도로 획기적으로 단축했다.

하드디스크를	하드/NNG+디스크/NNG+를/JKO
최소화해	최소/NNG+화/XSN+하/XSV+아/EC
무게는	무게/NNG+는/JX
1.3kg으로	1/SN+./SP+3/SN+kg/SW+으로/JKB
가볍고	가볍/VA+고/EC
일반	일반/NNG
노트북에서	노트북/NNG+에서/JKB
30초가량	30/SN+초/NNB+가량/XSN
걸리던	걸리/VV+던/ETM
부팅시간을	부팅/NNG+시간/NNG+을/JKO
8초	8/SN+초/NNB
정도로	정도/NNG+로/JKB
획기적으로	획기적/NNG+으로/JKB
단축했다.	단축/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.48.7.1
LG전자는 클라우드 서비스 기반의 ‘N스크린 환경’을 구현하는 스마트 넷하드를 선보였다.

LG전자는	LG전자/NNP+는/JX
클라우드	클라우드/NNG
서비스	서비스/NNG
기반의	기반/NNG+의/JKG
‘N스크린	‘/SS+N/SL+스크린/NNG
환경’을	환경/NNG+’/SS+을/JKO
구현하는	구현/NNG+하/XSV+는/ETM
스마트	스마트/NNG
넷하드를	넷/NNG+하드/NNG+를/JKO
선보였다.	선보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.48.7.2
PC를 비롯해 스마트폰, 태블릿PC, 스마트TV 등 다양한 기기로 넷하드 전용 애플리케이션 및 홈페이지에 접속해 데이터를 올리고 받도록 했다.

PC를	PC/SL+를/JKO
비롯해	비롯하/VV+아/EC
스마트폰,	스마트폰/NNG+,/SP
태블릿PC,	태블릿/NNG+PC/SL+,/SP
스마트TV	스마트/NNG+TV/SL
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
기기로	기기/NNG+로/JKB
넷하드	넷/NNG+하드/NNG
전용	전용/NNG
애플리케이션	애플리케이션/NNG
및	및/MAG
홈페이지에	홈페이지/NNG+에/JKB
접속해	접속/NNG+하/XSV+아/EC
데이터를	데이터/NNG+를/JKO
올리고	올리/VV+고/EC
받도록	받/VV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.48.8.1
클라우드 서비스 경쟁도 치열하다.

클라우드	클라우드/NNG
서비스	서비스/NNG
경쟁도	경쟁/NNG+도/JX
치열하다.	치열/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000029.48.8.2
국내에서 가장 적극적인 KT는 지난해 4월 회장 직속으로 ‘클라우드 추진본부’를 신설하고 클라우드 스토리지 서비스를 내놓은 데 이어 최근에는 기업형 퍼블릭 클라우드 서비스를 출시했다.

국내에서	국내/NNG+에서/JKB
가장	가장/MAG
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
KT는	KT/SL+는/JX
지난해	지난해/NNG
4월	4/SN+월/NNB
회장	회장/NNG
직속으로	직속/NNG+으로/JKB
‘클라우드	‘/SS+클라우드/NNG
추진본부’를	추진/NNG+본부/NNG+’/SS+를/JKO
신설하고	신설/NNG+하/XSV+고/EC
클라우드	클라우드/NNG
스토리지	스토리지/NNG
서비스를	서비스/NNG+를/JKO
내놓은	내놓/VV+은/ETM
데	데/NNB
이어	잇/VV+어/EC
최근에는	최근/NNG+에/JKB+는/JX
기업형	기업/NNG+형/XSN
퍼블릭	퍼블릭/NNG
출시했다.	출시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.48.9.1
KT는 올해를 클라우드 서비스가 본격화하는 시장 원년으로 보고 있다.

KT는	KT/SL+는/JX
올해를	올해/NNG+를/JKO
클라우드	클라우드/NNG
서비스가	서비스/NNG+가/JKS
본격화하는	본격/NNG+화/XSN+하/XSV+는/ETM
시장	시장/NNG
원년으로	원년/NNG+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.48.9.2
2000억 원 수준의 투자비를 들여 현재의 천안 클라우드데이터센터(CDC)를 확충할 계획이다.

2000억	2000/SN+억/NR
원	원/NNB
수준의	수준/NNG+의/JKG
투자비를	투자비/NNG+를/JKO
들여	들이/VV+어/EC
현재의	현재/NNG+의/JKG
천안	천안/NNP
클라우드데이터센터(CDC)를	클라우드/NNG+데이터/NNG+센터/NNG+(/SS+CDC/SL+)/SS+를/JKO
확충할	확충/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.48.9.3
또한 클라우드 서비스를 먼저 내부에 적용하기 위해 전체 IT 장비 중 80% 정도를 2012년 말까지 3단계에 걸쳐 클라우드 서비스로 전환할 계획이다.

또한	또한/MAG
클라우드	클라우드/NNG
서비스를	서비스/NNG+를/JKO
먼저	먼저/MAG
내부에	내부/NNG+에/JKB
적용하기	적용/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
전체	전체/NNG
IT	IT/SL
장비	장비/NNG
중	중/NNB
80%	80/SN+%/SW
정도를	정도/NNG+를/JKO
2012년	2012/SN+년/NNB
말까지	말/NNB+까지/JX
3단계에	3/SN+단계/NNG+에/JKB
걸쳐	걸치/VV+어/EC
서비스로	서비스/NNG+로/JKB
전환할	전환/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.48.9.4
아마존이나 세일즈포스닷컴과 같은 세계적 클라우드 기업과 경쟁할 수 있는 비즈니스 모델로 글로벌 시장까지 진출할 계획을 세우고 있다.

아마존이나	아마존/NNP+이나/JC
세일즈포스닷컴과	세일즈포스닷컴/NNP+과/JKB
같은	같/VA+은/ETM
세계적	세계/NNG+적/XSN
클라우드	클라우드/NNG
기업과	기업/NNG+과/JKB
경쟁할	경쟁/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
비즈니스	비즈니스/NNG
모델로	모델/NNG+로/JKB
글로벌	글로벌/NNG
시장까지	시장/NNG+까지/JX
진출할	진출/NNG+하/XSV+ㄹ/ETM
계획을	계획/NNG+을/JKO
세우고	세우/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.48.10.1
삼성전자도 ‘S클라우드’(가칭)라 불리는 모바일 클라우드 서비스를 연내 출시를 목표로 준비 작업이 한창이다.

삼성전자도	삼성전자/NNP+도/JX
‘S클라우드’(가칭)라	‘/SS+S/SL+클라우드/NNG+’/SS+(/SS+가칭/NNG+)/SS+이/VCP+라/EC
불리는	불리/VV+는/ETM
모바일	모바일/NNG
클라우드	클라우드/NNG
서비스를	서비스/NNG+를/JKO
연내	연내/NNG
출시를	출시/NNG+를/JKO
목표로	목표/NNG+로/JKB
준비	준비/NNG
작업이	작업/NNG+이/JKS
한창이다.	한창/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.48.10.2
삼성전자의 모바일 기기 사용자가 언제 어디서나 웹에 접속해 각종 콘텐츠를 저장하고 이용할 수 있게 한 서비스로 하나의 기기에서 사용하던 콘텐츠를 다른 디바이스에서도 이어 즐길 수 있는 것이 특징이다.

삼성전자의	삼성전자/NNP+의/JKG
모바일	모바일/NNG
기기	기기/NNG
사용자가	사용자/NNG+가/JKS
언제	언제/NP
어디서나	어디/NP+서/JKB+나/JX
웹에	웹/NNG+에/JKB
접속해	접속/NNG+하/XSV+아/EC
각종	각종/NNG
콘텐츠를	콘텐츠/NNG+를/JKO
저장하고	저장/NNG+하/XSV+고/EC
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
한	하/VX+ㄴ/ETM
서비스로	서비스/NNG+로/JKB
하나의	하나/NR+의/JKG
기기에서	기기/NNG+에서/JKB
사용하던	사용/NNG+하/XSV+던/ETM
다른	다른/MMD
디바이스에서도	디바이스/NNG+에서/JKB+도/JX
이어	잇/VV+어/EC
즐길	즐기/VV+ㄹ/ETM
있는	있/VA+는/ETM
것이	것/NNB+이/JKS
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.48.11.1
삼성이 이처럼 출시를 서두르는 것은 애플에 뒤처져서는 안 된다는 절박감 때문이다.

삼성이	삼성/NNP+이/JKS
이처럼	이/NP+처럼/JKB
출시를	출시/NNG+를/JKO
서두르는	서두르/VV+는/ETM
것은	것/NNB+은/JX
애플에	애플/NNP+에/JKB
뒤처져서는	뒤처지/VV+어서/EC+는/JX
안	안/MAG
된다는	되/VV+ㄴ다는/ETM
절박감	절박감/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.48.11.2
애플은 5월 애플 세계개발자회의(WWDC)에서 아이폰, 아이패드 등을 통해 디지털 콘텐츠를 사거나 작업한 것이 클라우드에 자동 저장돼 다른 기기에서도 언제든 불러 쓸 수 있는 ‘아이클라우드’를 공개했다.

애플은	애플/NNP+은/JX
5월	5/SN+월/NNB
애플	애플/NNP
세계개발자회의(WWDC)에서	세계/NNG+개발자/NNG+회의/NNG+(/SS+WWDC/SL+)/SS+에서/JKB
아이폰,	아이폰/NNP+,/SP
아이패드	아이패드/NNP
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
디지털	디지털/NNG
콘텐츠를	콘텐츠/NNG+를/JKO
사거나	사/VV+거나/EC
작업한	작업/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
클라우드에	클라우드/NNG+에/JKB
자동	자동/NNG
저장돼	저장/NNG+되/XSV+어/EC
다른	다른/MMD
기기에서도	기기/NNG+에서/JKB+도/JX
언제든	언제/NP+든/JX
불러	부르/VV+어/EC
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
‘아이클라우드’를	‘/SS+아이클라우드/NNG+’/SS+를/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.48.11.3
아이클라우드는 애플의 새 OS인 ‘iOS5’부터 기본 탑재되며 아이폰 차기 모델의 핵심 서비스가 될 것으로 전망된다.

아이클라우드는	아이클라우드/NNG+는/JX
애플의	애플/NNP+의/JKG
새	새/MMA
OS인	OS/SL+이/VCP+ㄴ/ETM
‘iOS5’부터	‘/SS+iOS/SL+5/SN+’/SS+부터/JX
기본	기본/NNG
탑재되며	탑재/NNG+되/XSV+며/EC
아이폰	아이폰/NNP
차기	차기/NNG
모델의	모델/NNG+의/JKG
핵심	핵심/NNG
서비스가	서비스/NNG+가/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


