# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.33
metadata : {}


# id : NWRW1800000037.33.1.1
오바마, 니코틴 껌 씹다 걸리고… 비욘세, 립싱크로 美 국가 불러

오바마,	오바마/NNP+,/SP
않다는	않/VX+다는/ETM
결론을	결론/NNG+을/JKO
내렸다”고	내리/VV+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.33.7.2
취임식에서 노래를 부르는 가수들은 만약의 사고에 대비해 모두 사전에 노래를 녹음해 놓는다.

취임식에서	취임식/NNG+에서/JKB
노래를	노래/NNG+를/JKO
부르는	부르/VV+는/ETM
가수들은	가수/NNG+들/XSN+은/JX
만약의	만약/NNG+의/JKG
사고에	사고/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
모두	모두/MAG
사전에	사전/NNG+에/JKB
녹음해	녹음/NNG+하/XSV+아/EC
놓는다.	놓/VX+는다/EF+./SF


# id : NWRW1800000037.33.7.3
비욘세와는 달리 취임식에서 축가를 부른 제임스 테일러와 켈리 클라크슨은 현장에서 직접 노래를 부른 것으로 밝혀졌다.

비욘세와는	비욘세/NNP+와/JKB+는/JX
달리	달리/MAG
취임식에서	취임식/NNG+에서/JKB
축가를	축가/NNG+를/JKO
부른	부르/VV+ㄴ/ETM
제임스	제임스/NNP
테일러와	테일러/NNP+와/JC
켈리	켈리/NNP
클라크슨은	클라크슨/NNP+은/JX
현장에서	현장/NNG+에서/JKB
직접	직접/MAG
노래를	노래/NNG+를/JKO
것으로	것/NNB+으로/JKB
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.33.7.4
립싱크 논란에 대해 비욘세 측은 아무런 답변도 내놓지 않고 있다.

립싱크	립싱크/NNG
논란에	논란/NNG+에/JKB
대해	대하/VV+아/EC
비욘세	비욘세/NNP
측은	측/NNB+은/JX
아무런	아무런/MMD
답변도	답변/NNG+도/JX
내놓지	내놓/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.33.8.1
2009년 오바마 1기 취임식 때는 유명 첼리스트 요요마가 추운 날씨 때문에 첼로 소리가 잘 나지 않는다며 연주를 미리 녹음하고 행사장에서는 첼로에 손만 대고 움직인 ‘핸드싱크’를 해서 논란이 된 바 있다.

2009년	2009/SN+년/NNB
오바마	오바마/NNP
1기	1/SN+기/NNG
취임식	취임식/NNG
때는	때/NNG+는/JX
유명	유명/NNG
첼리스트	첼리스트/NNG
요요마가	요요마/NNP+가/JKS
추운	춥/VA+ㄴ/ETM
날씨	날씨/NNG
때문에	때문/NNB+에/JKB
첼로	첼로/NNG
소리가	소리/NNG+가/JKS
잘	잘/MAG
나지	나/VV+지/EC
않는다며	않/VX+는다며/EC
연주를	연주/NNG+를/JKO
미리	미리/MAG
녹음하고	녹음/NNG+하/XSV+고/EC
행사장에서는	행사장/NNG+에서/JKB+는/JX
첼로에	첼로/NNG+에/JKB
손만	손/NNG+만/JX
대고	대/VV+고/EC
움직인	움직이/VV+ㄴ/ETM
‘핸드싱크’를	‘/SS+핸드싱크/NNG+’/SS+를/JKO
해서	하/VV+아서/EC
논란이	논란/NNG+이/JKC
된	되/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


