# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.406
metadata : {}


# id : NWRW1800000032.406.1.1
‘조선대 교수 해킹’ 기무사, 이미 2년전부터 뒷조사

‘조선대	‘/SS+조선대/NNP
기 교수 사찰 사건을 수사중인 국방부 조사본부는 기무사가 지난 2009년 경찰을 통해 기 교수의 범죄경력을 조회한 사실을 최근 확인한 것으로 30일 알려졌다.

기	기/NNP
교수	교수/NNG
사찰	사찰/NNG
사건을	사건/NNG+을/JKO
수사중인	수사/NNG+중/NNB+이/VCP+ㄴ/ETM
국방부	국방부/NNG
조사본부는	조사/NNG+본부/NNG+는/JX
기무사가	기무사/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
2009년	2009/SN+년/NNB
경찰을	경찰/NNG+을/JKO
통해	통하/VV+아/EC
교수의	교수/NNG+의/JKG
범죄경력을	범죄/NNG+경력/NNG+을/JKO
조회한	조회/NNG+하/XSV+ㄴ/ETM
사실을	사실/NNG+을/JKO
최근	최근/MAG
확인한	확인/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
30일	30/SN+일/NNB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.406.4.2
조사본부는 기무사를 상대로 구체적인 경위를 파악중이다.

조사본부는	조사/NNG+본부/NNG+는/JX
기무사를	기무사/NNG+를/JKO
상대로	상대/NNG+로/JKB
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
경위를	경위/NNG+를/JKO
파악중이다.	파악/NNG+중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.406.4.3
이는 지난 8월 말과 9월 초 기무사 요원들이 개인적으로 기 교수의 전자우편 등을 해킹했을 뿐이라는 기무사 쪽 주장과 달리, 기무사가 오래전부터 기 교수 사찰에 조직적으로 개입했을 가능성을 제기한다.

이는	이/NP+는/JX
지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
말과	말/NNB+과/JC
9월	9/SN+월/NNB
초	초/NNB
기무사	기무사/NNG
요원들이	요원/NNG+들/XSN+이/JKS
개인적으로	개인/NNG+적/XSN+으로/JKB
기	기/NNP
교수의	교수/NNG+의/JKG
전자우편	전자/NNG+우편/NNG
등을	등/NNB+을/JKO
해킹했을	해킹/NNG+하/XSV+았/EP+을/ETM
뿐이라는	뿐/NNB+이/VCP+라는/ETM
쪽	쪽/NNB
주장과	주장/NNG+과/JKB
달리,	달리/MAG+,/SP
기무사가	기무사/NNG+가/JKS
오래전부터	오래전/NNG+부터/JX
교수	교수/NNG
사찰에	사찰/NNG+에/JKB
조직적으로	조직/NNG+적/XSN+으로/JKB
개입했을	개입/NNG+하/XSV+았/EP+을/ETM
가능성을	가능/NNG+성/XSN+을/JKO
제기한다.	제기/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.406.5.1
군의 한 소식통은 “(사건의 몸통으로 지목됐던) 서울 송파지역에 위치한 방첩부대인 210기무부대가 2~3년 전부터 기 교수를 주목해왔다고 한다”며 “기 교수를 엮어 뭔가 ‘작업’을 해보려던 것 아니겠느냐”고 말했다.

군의	군/NNG+의/JKG
한	한/MMN
소식통은	소식통/NNG+은/JX
“(사건의	“/SS+(/SS+사건/NNG+의/JKG
몸통으로	몸통/NNG+으로/JKB
지목됐던)	지목/NNG+되/XSV+었/EP+던/ETM+)/SS
서울	서울/NNP
송파지역에	송파/NNP+지역/NNG+에/JKB
위치한	위치/NNG+하/XSV+ㄴ/ETM
방첩부대인	방첩/NNG+부대/NNG+이/VCP+ㄴ/ETM
210기무부대가	210/SN+기무/NNG+부대/NNG+가/JKS
2~3년	2/SN+~/SO+3/SN+년/NNB
전부터	전/NNG+부터/JX
기	기/NNG
교수를	교수/NNG+를/JKO
주목해왔다고	주목/NNG+하/XSV+아/EC+오/VX+았/EP+다고/EC
한다”며	하/VV+ㄴ다/EF+”/SS+며/EC
“기	“/SS+기/NNP
엮어	엮/VV+어/EC
뭔가	뭐/NP+이/VCP+ㄴ가/EF
‘작업’을	‘/SS+작업/NNG+’/SS+을/JKO
해보려던	하/VV+아/EC+보/VX+려던/ETM
것	것/NNB
아니겠느냐”고	아니/VCN+겠/EP+느냐/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.406.6.1
익명을 요청한 또다른 군 관계자는 “2년 전 쌍용차 사찰 논란을 불러일으켰던 이들이 이번 사건에도 관여한 것으로 안다”며 “당시 관련자들이 처벌은커녕 대부분 승진에 성공했다”고 말했다.

익명을	익명/NNG+을/JKO
요청한	요청/NNG+하/XSV+ㄴ/ETM
또다른	또/MAG+다른/MMD
군	군/NNG
관계자는	관계자/NNG+는/JX
“2년	“/SS+2/SN+년/NNB
전	전/NNG
쌍용차	쌍용차/NNP
사찰	사찰/NNG
논란을	논란/NNG+을/JKO
불러일으켰던	불러일으키/VV+었/EP+던/ETM
이들이	이/NNB+들/XSN+이/JKS
이번	이번/NNG
사건에도	사건/NNG+에/JKB+도/JX
관여한	관여/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
안다”며	알/VV+ㄴ다/EF+”/SS+며/EC
“당시	“/SS+당시/NNG
관련자들이	관련자/NNG+들/XSN+이/JKS
처벌은커녕	처벌/NNG+은커녕/JX
대부분	대/XPN+부분/NNG
승진에	승진/NNG+에/JKB
성공했다”고	성공/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.406.6.2
2009년 8월 쌍용차 관련 집회를 캠코더로 촬영하던 기무사 신아무개 대위가 집회 참가자들에게 붙잡혀 민주노동당 관계자 등을 오랫동안 탐문·추적해온 사실이 드러났는데, 이 사건 관련자들이 기 교수 사찰에도 깊숙이 관여돼 있다는 것이다.

2009년	2009/SN+년/NNB
8월	8/SN+월/NNB
쌍용차	쌍용차/NNP
관련	관련/NNG
집회를	집회/NNG+를/JKO
캠코더로	캠코더/NNG+로/JKB
촬영하던	촬영/NNG+하/XSV+던/ETM
기무사	기무사/NNG
신아무개	신/NNP+아무개/NP
대위가	대위/NNG+가/JKS
집회	집회/NNG
참가자들에게	참가자/NNG+들/XSN+에게/JKB
붙잡혀	붙잡히/VV+어/EC
민주노동당	민주노동당/NNP
관계자	관계자/NNG
등을	등/NNB+을/JKO
오랫동안	오랫동안/NNG
탐문·추적해온	탐문/NNG+·/SP+추적/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
사실이	사실/NNG+이/JKS
드러났는데,	드러나/VV+았/EP+는데/EC+,/SP
이	이/MMD
사건	사건/NNG
관련자들이	관련자/NNG+들/XSN+이/JKS
기	기/NNP
교수	교수/NNG
사찰에도	사찰/NNG+에/JKB+도/JX
깊숙이	깊숙이/MAG
관여돼	관여/NNG+되/XSV+어/EC
있다는	있/VX+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.406.6.3
쌍용차 사찰 사건 이후, 사찰 주무부서장인 이봉엽 기무사 방첩처장(대령)은 진급해, 현재 육군 소장으로 복무중이다.

쌍용차	쌍용차/NNP
사찰	사찰/NNG
사건	사건/NNG
이후,	이후/NNG+,/SP
주무부서장인	주무/NNG+부서장/NNG+이/VCP+ㄴ/ETM
이봉엽	이봉엽/NNP
기무사	기무사/NNG
방첩처장(대령)은	방첩처장/NNG+(/SS+대령/NNG+)/SS+은/JX
진급해,	진급/NNG+하/XSV+아/EC+,/SP
현재	현재/MAG
육군	육군/NNG
소장으로	소장/NNG+으로/JKB
복무중이다.	복무/NNG+중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.406.6.4
실제 사찰을 진행했던 신 대위도 소령으로 진급했다.

실제	실제/NNG
사찰을	사찰/NNG+을/JKO
진행했던	진행/NNG+하/XSV+았/EP+던/ETM
신	신/NNP
대위도	대위/NNG+도/JX
소령으로	소령/NNG+으로/JKB
진급했다.	진급/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.406.7.1
국방부 조사본부는 31일 오후 기 교수 사찰 의혹에 대한 수사 결과를 발표할 예정이다.

국방부	국방부/NNG
조사본부는	조사/NNG+본부/NNG+는/JX
31일	31/SN+일/NNB
오후	오후/NNG
기	기/NNP
교수	교수/NNG
사찰	사찰/NNG
의혹에	의혹/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
수사	수사/NNG
결과를	결과/NNG+를/JKO
발표할	발표/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


