# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.36
metadata : {}


# id : NWRW1800000037.36.1.1
日기자 ‘中 해양강국 전략’ 문제삼자 中 “외국도발엔 더 강경대응”

日기자	日/SH+기자/NNG
푸	푸/NNP
부부장은	부부장/NNG+은/JX
“당신이	“/SS+당신/NP+이/JKS
방금	방금/MAG
질문할	질문/NNG+하/XSV+ㄹ/ETM
때	때/NNG
중국	중국/NNP
기자들이	기자/NNG+들/XSN+이/JKS
모두	모두/MAG
웃는	웃/VV+는/ETM
것을	것/NNB+을/JKO
봤을	보/VV+았/EP+을/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“언론매체를	“/SS+언론/NNG+매체/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
많은	많/VA+은/ETM
중국인은	중국인/NNG+은/JX
정부가	정부/NNG+가/JKS
외국의	외국/NNG+의/JKG
도발에	도발/NNG+에/JKB
더욱	더욱/MAG
강경해지길	강경/NNG+하/XSA+아/EC+지/VX+기/ETN+ㄹ/JKO
원한다”고	원/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.36.6.1
이어 그는 “우리는 일본 국민과 지도자가 중국 인민의 이런 생각을 이해하는지, (일본과 갈등을 빚는) 댜오위다오(釣魚島)의 역사적 사실을 알고 있는지 알고 싶다”며 “나는 당신이 오늘 일본 사회에 이런 내용을 충분히 사실대로 전하길 바란다”고 지적했다.

이어	이어/MAG
그는	그/NP+는/JX
“우리는	“/SS+우리/NP+는/JX
일본	일본/NNP
국민과	국민/NNG+과/JC
지도자가	지도자/NNG+가/JKS
중국	중국/NNP
인민의	인민/NNG+의/JKG
이런	이런/MMD
생각을	생각/NNG+을/JKO
이해하는지,	이해/NNG+하/XSV+는지/EF+,/SP
(일본과	(/SS+일본/NNP+과/JKB
갈등을	갈등/NNG+을/JKO
빚는)	빚/VV+는/ETM+)/SS
댜오위다오(釣魚島)의	댜오위다오/NNP+(/SS+釣魚島/SH+)/SS+의/JKG
역사적	역사/NNG+적/XSN
사실을	사실/NNG+을/JKO
알고	알/VV+고/EC
있는지	있/VX+는지/EF
싶다”며	싶/VX+다/EF+”/SS+며/EC
“나는	“/SS+나/NP+는/JX
당신이	당신/NP+이/JKS
오늘	오늘/NNG
사회에	사회/NNG+에/JKB
내용을	내용/NNG+을/JKO
충분히	충분히/MAG
사실대로	사실/NNG+대로/JX
전하길	전하/VV+기/ETN+ㄹ/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.36.7.1
중국은 시진핑(習近平) 총서기 체제 등장 이후 처음 열린 올해 양회에서 주변국과의 영토분쟁에 더 적극적으로 대응하기 위해 국가해양국을 확대 개편한다.

중국은	중국/NNP+은/JX
시진핑(習近平)	시진핑/NNP+(/SS+習近平/SH+)/SS
총서기	총서기/NNG
체제	체제/NNG
등장	등장/NNG
이후	이후/NNG
처음	처음/NNG
열린	열리/VV+ㄴ/ETM
올해	올해/NNG
양회에서	양회/NNG+에서/JKB
주변국과의	주변국/NNG+과/JKB+의/JKG
영토분쟁에	영토/NNG+분쟁/NNG+에/JKB
더	더/MAG
적극적으로	적극/NNG+적/XSN+으로/JKB
대응하기	대응/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
국가해양국을	국가/NNG+해양국/NNG+을/JKO
확대	확대/NNG
개편한다.	개편/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.36.7.2
푸 부부장의 이날 발언도 이 같은 ‘해양강국’ 추진의 내부 강경 기류를 여과 없이 표출한 것으로 풀이된다.

푸	푸/NNP
부부장의	부부장/NNG+의/JKG
이날	이날/NNG
발언도	발언/NNG+도/JX
이	이/NP
같은	같/VA+은/ETM
‘해양강국’	‘/SS+해양/NNG+강국/NNG+’/SS
추진의	추진/NNG+의/JKG
내부	내부/NNG
강경	강경/NNG
기류를	기류/NNG+를/JKO
여과	여과/NNG
없이	없이/MAG
표출한	표출/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.36.8.1
3일 개막된 정협에서는 식품 안전과 대기오염 등 환경 문제가 핫이슈로 부상했다.

3일	3/SN+일/NNB
개막된	개막/NNG+되/XSV+ㄴ/ETM
정협에서는	정협/NNP+에서/JKB+는/JX
식품	식품/NNG
안전과	안전/NNG+과/JC
대기오염	대기/NNG+오염/NNG
등	등/NNB
환경	환경/NNG
문제가	문제/NNG+가/JKS
핫이슈로	핫이슈/NNG+로/JKB
부상했다.	부상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.36.8.2
정협 위원들은 철저한 위해식품 감독을 주문했다.

정협	정협/NNP
위원들은	위원/NNG+들/XSN+은/JX
철저한	철저/NNG+하/XSA+ㄴ/ETM
위해식품	위해/NNG+식품/NNG
감독을	감독/NNG+을/JKO
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.36.8.3
중국은 위생부와 상무부 등에 분산돼 있는 식품업무를 통폐합해 미국 식품의약국(FDA) 같은 조직을 만드는 방안을 추진 중이다.

중국은	중국/NNP+은/JX
위생부와	위생부/NNG+와/JC
상무부	상무부/NNG
등에	등/NNB+에/JKB
분산돼	분산/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
식품업무를	식품/NNG+업무/NNG+를/JKO
통폐합해	통폐합/NNG+하/XSV+아/EC
미국	미국/NNP
식품의약국(FDA)	식품/NNG+의약국/NNG+(/SS+FDA/SL+)/SS
같은	같/VA+은/ETM
조직을	조직/NNG+을/JKO
만드는	만들/VV+는/ETM
방안을	방안/NNG+을/JKO
추진	추진/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.36.8.4
환경 문제와 관련해 푸 부부장도 “날마다 일어나서 처음 하는 일이 스모그가 있는지 확인하는 것이다.

환경	환경/NNG
문제와	문제/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
푸	푸/NNP
부부장도	부부장/NNG+도/JX
“날마다	“/SS+날/NNG+마다/JX
일어나서	일어나/VV+아서/EC
처음	처음/NNG
하는	하/VV+는/ETM
일이	일/NNG+이/JKS
스모그가	스모그/NNG+가/JKS
있는지	있/VA+는지/EF
확인하는	확인/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.36.8.5
우리 집에도 마스크가 두 개 있는데 내 것과 딸 아이 것”이라며 “기자들에게 사진 찍힐까 봐 아직 착용한 적은 없다”고 말했다.

우리	우리/NP
집에도	집/NNG+에/JKB+도/JX
마스크가	마스크/NNG+가/JKS
두	두/MMN
개	개/NNB
있는데	있/VA+는데/EC
내	나/NP+의/JKG
것과	것/NNB+과/JC
딸	딸/NNG
아이	아이/NNG
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“기자들에게	“/SS+기자/NNG+들/XSN+에게/JKB
사진	사진/NNG
찍힐까	찍히/VV+ㄹ까/EF
봐	보/VX+아/EC
아직	아직/MAG
착용한	착용/NNG+하/XSV+ㄴ/ETM
적은	적/NNB+은/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.36.9.1
한편 이번 양회가 과거보다 개방적인 방식으로 운영되고 있는 데 반해 반체제 인사들에 대한 통제는 전보다 더욱 강경해졌다는 지적도 나오고 있다.

한편	한편/MAG
이번	이번/NNG
양회가	양회/NNG+가/JKS
과거보다	과거/NNG+보다/JKB
개방적인	개방/NNG+적/XSN+이/VCP+ㄴ/ETM
방식으로	방식/NNG+으로/JKB
운영되고	운영/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
데	데/NNB
반해	반하/VV+아/EC
반체제	반/XPN+체제/NNG
인사들에	인사/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
통제는	통제/NNG+는/JX
전보다	전/NNG+보다/JKB
더욱	더욱/MAG
강경해졌다는	강경/NNG+하/XSA+아/EC+지/VX+었/EP+다는/ETM
지적도	지적/NNG+도/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.36.9.2
미국의 소리(VOA) 방송은 4일 인권운동가 후자(胡佳) 씨 등이 가택연금 상태이며 일부 민주인사는 파출소에서 구타를 당했다고 전했다.

미국의	미국/NNP+의/JKG
소리(VOA)	소리/NNG+(/SS+VOA/SL+)/SS
방송은	방송/NNG+은/JX
4일	4/SN+일/NNB
인권운동가	인권/NNG+운동가/NNG
후자(胡佳)	후자/NNP+(/SS+胡佳/SH+)/SS
씨	씨/NNB
등이	등/NNB+이/JKS
가택연금	가택/NNG+연금/NNG
상태이며	상태/NNG+이/VCP+며/EC
일부	일부/NNG
민주인사는	민주/NNG+인사/NNG+는/JX
파출소에서	파출소/NNG+에서/JKB
구타를	구타/NNG+를/JKO
당했다고	당하/VV+았/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


