# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.12
metadata : {}


# id : NWRW1800000030.12.1.1
[기로에 선 이집트] 무바라크, TV 출연(지난달 30일)… 카이로에 있는지는 불투명

[기로에	[/SS+기로/NNG+에/JKB
지시했다.	지시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.12.4.4
신임 총리의 최우선 과제로 실업 억제와 일자리 창출, 물가상승 억제책 마련을 촉구했다.

신임	신임/NNG
총리의	총리/NNG+의/JKG
최우선	최/XPN+우선/NNG
과제로	과제/NNG+로/JKB
실업	실업/NNG
억제와	억제/NNG+와/JC
일자리	일자리/NNG
창출,	창출/NNG+,/SP
물가상승	물가/NNG+상승/NNG
억제책	억제책/NNG
마련을	마련/NNG+을/JKO
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.12.5.1
무바라크는 "각 정당과의 광범위한 대화를 통해 그들의 폭넓은 참여를 허용하면서 더 많은 정치 개혁을 추진할 필요성이 있다"고 강조했다.

무바라크는	무바라크/NNP+는/JX
"각	"/SS+각/MMD
정당과의	정당/NNG+과/JKB+의/JKG
광범위한	광범위/NNG+하/XSA+ㄴ/ETM
대화를	대화/NNG+를/JKO
통해	통하/VV+아/EC
그들의	그/NP+들/XSN+의/JKG
폭넓은	폭넓/VA+은/ETM
참여를	참여/NNG+를/JKO
허용하면서	허용/NNG+하/XSV+면서/EC
더	더/MAG
많은	많/VA+은/ETM
정치	정치/NNG
개혁을	개혁/NNG+을/JKO
추진할	추진/NNG+하/XSV+ㄹ/ETM
필요성이	필요/NNG+성/XSN+이/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.12.5.2
이집트 관영 메나 통신도 이날 밤 "무바라크 대통령이 오바마 대통령과 전화통화를 통해 이집트 정치 개혁에 대해 논의했다"고 보도했지만 통화 시점은 밝히지 않았다.

이집트	이집트/NNP
관영	관영/NNG
메나	메나/NNP
통신도	통신/NNG+도/JX
이날	이날/NNG
밤	밤/NNG
"무바라크	"/SS+무바라크/NNP
대통령이	대통령/NNG+이/JKS
오바마	오바마/NNP
대통령과	대통령/NNG+과/JKB
전화통화를	전화/NNG+통화/NNG+를/JKO
통해	통하/VV+아/EC
정치	정치/NNG
개혁에	개혁/NNG+에/JKB
대해	대하/VV+아/EC
논의했다"고	논의/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
보도했지만	보도/NNG+하/XSV+았/EP+지만/EC
통화	통화/NNG
시점은	시점/NNG+은/JX
밝히지	밝히/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.12.6.1
무바라크가 정치적으로 궁지에 몰리고 있지만, 하야(下野)를 고려하고 있는지는 알 수 없다.

무바라크가	무바라크/NNP+가/JKS
정치적으로	정치/NNG+적/XSN+으로/JKB
궁지에	궁지/NNG+에/JKB
몰리고	몰리/VV+고/EC
있지만,	있/VX+지만/EC+,/SP
하야(下野)를	하야/NNG+(/SS+下野/SH+)/SS+를/JKO
고려하고	고려/NNG+하/XSV+고/EC
있는지는	있/VX+는지/EF+는/JX
알	알/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000030.12.6.2
반정부 시위대에 이어 군부, 내각까지 무바라크 퇴진을 요구하고 있어 국내 상황은 악화되고 있다.

반정부	반/XPN+정부/NNG
시위대에	시위대/NNG+에/JKB
이어	잇/VV+어/EC
군부,	군부/NNG+,/SP
내각까지	내각/NNG+까지/JX
무바라크	무바라크/NNP
퇴진을	퇴진/NNG+을/JKO
요구하고	요구/NNG+하/XSV+고/EC
있어	있/VX+어/EC
국내	국내/NNG
상황은	상황/NNG+은/JX
악화되고	악화/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.12.6.3
그럼에도 불구하고 국제사회가 여전히 그의 하야를 직접 압박하지 않은 것이 그가 존재할 수 있는 가장 큰 이유다.

그럼에도	그렇/VA+ㅁ/ETN+에/JKB+도/JX
불구하고	불구하/VV+고/EC
국제사회가	국제/NNG+사회/NNG+가/JKS
여전히	여전히/MAG
그의	그/NP+의/JKG
하야를	하야/NNG+를/JKO
직접	직접/MAG
압박하지	압박/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
것이	것/NNB+이/JKS
그가	그/NP+가/JKS
존재할	존재/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
가장	가장/MAG
큰	크/VA+ㄴ/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.12.6.4
이 상황에서 자신의 권좌를 지켜줄 능력이 있는 군 지휘관들과의 회동 소식도 전해진다.

이	이/MMD
상황에서	상황/NNG+에서/JKB
자신의	자신/NNG+의/JKG
권좌를	권좌/NNG+를/JKO
지켜줄	지키/VV+어/EC+주/VX+ㄹ/ETM
능력이	능력/NNG+이/JKS
있는	있/VA+는/ETM
군	군/NNG
지휘관들과의	지휘관/NNG+들/XSN+과/JKB+의/JKG
회동	회동/NNG
소식도	소식/NNG+도/JX
전해진다.	전하/VV+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.12.6.5
난국에서도 무바라크가 여전히 권력에 대한 강한 집착을 버리지 못하고 있다는 것을 의미하는 것이다.

난국에서도	난국/NNG+에서/JKB+도/JX
무바라크가	무바라크/NNP+가/JKS
여전히	여전히/MAG
권력에	권력/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
강한	강하/VA+ㄴ/ETM
집착을	집착/NNG+을/JKO
버리지	버리/VV+지/EC
못하고	못하/VX+고/EC
있다는	있/VX+다는/ETM
것을	것/NNB+을/JKO
의미하는	의미/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.12.7.1
BBC는 "튀니지의 벤 알리 전 대통령이 반정부 시위로 사우디아라비아로 도주했던 것과 같은 일은 무바라크에게 발생하지 않을 것"이라며 "미국도 갑작스러운 권력 공백이 생길 경우 더 심각한 혼란이 발생할 것을 우려해 그 같은 선택에 반대하고 있다"고 전했다.

BBC는	BBC/SL+는/JX
"튀니지의	"/SS+튀니지/NNP+의/JKG
벤	벤/NNP
알리	알리/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
반정부	반/XPN+정부/NNG
시위로	시위/NNG+로/JKB
사우디아라비아로	사우디아라비아/NNP+로/JKB
도주했던	도주/NNG+하/XSV+았/EP+던/ETM
것과	것/NNB+과/JKB
같은	같/VA+은/ETM
일은	일/NNG+은/JX
무바라크에게	무바라크/NNP+에게/JKB
발생하지	발생/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"미국도	"/SS+미국/NNP+도/JX
갑작스러운	갑작스럽/VA+ㄴ/ETM
권력	권력/NNG
공백이	공백/NNG+이/JKS
생길	생기/VV+ㄹ/ETM
경우	경우/NNG
더	더/MAG
심각한	심각하/VA+ㄴ/ETM
혼란이	혼란/NNG+이/JKS
발생할	발생/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
우려해	우려/NNG+하/XSV+아/EC
그	그/MMD
선택에	선택/NNG+에/JKB
반대하고	반대/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.12.8.1
무바라크는 작년 독일에서 담낭 수술을 받았고, 암 투병설까지 나도는 등 건강도 좋지 않은 것으로 알려졌다.

무바라크는	무바라크/NNP+는/JX
작년	작년/NNG
독일에서	독일/NNP+에서/JKB
담낭	담낭/NNG
수술을	수술/NNG+을/JKO
받았고,	받/VV+았/EP+고/EC+,/SP
암	암/NNG
투병설까지	투병설/NNG+까지/JX
나도는	나돌/VV+는/ETM
등	등/NNB
건강도	건강/NNG+도/JX
좋지	좋/VA+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.12.8.2
이 때문에 9월로 예정된 대선 출마를 포기하고 일찌감치 둘째아들 가말을 후계자로 낙점했다.

이	이/MMD
때문에	때문/NNB+에/JKB
9월로	9/SN+월/NNB+로/JKB
예정된	예정/NNG+되/XSV+ㄴ/ETM
대선	대선/NNG
출마를	출마/NNG+를/JKO
포기하고	포기/NNG+하/XSV+고/EC
일찌감치	일찌감치/MAG
둘째아들	둘째/NR+아들/NNG
가말을	가말/NNP+을/JKO
후계자로	후계자/NNG+로/JKB
낙점했다.	낙점/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.12.8.3
그는 이 결정을 '신의 가호'라고 말했지만, 국민들에게는 분노의 대상으로 전락했다.

그는	그/NP+는/JX
이	이/MMD
결정을	결정/NNG+을/JKO
'신의	'/SS+신/NNG+의/JKG
가호'라고	가호/NNG+'/SS+라고/JKQ
말했지만,	말/NNG+하/XSV+았/EP+지만/EC+,/SP
국민들에게는	국민/NNG+들/XSN+에게/JKB+는/JX
분노의	분노/NNG+의/JKG
대상으로	대상/NNG+으로/JKB
전락했다.	전락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.12.8.4
또 작년 연말 실시된 총선에서 집권 국민민주당이 전체 508석 중 420석을 확보한 데 이어 무소속 당선자 70명 중 상당수를 입당시키면서 집권당의 의석 점유율이 96%에 이르자 국민들은 더욱 분개했다.

또	또/MAG
작년	작년/NNG
연말	연말/NNG
실시된	실시/NNG+되/XSV+ㄴ/ETM
총선에서	총선/NNG+에서/JKB
집권	집권/NNG
국민민주당이	국민민주당/NNP+이/JKS
전체	전체/NNG
508석	508/SN+석/NNB
중	중/NNB
420석을	420/SN+석/NNB+을/JKO
확보한	확보/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
무소속	무/XPN+소속/NNG
당선자	당선자/NNG
70명	70/SN+명/NNB
상당수를	상당수/NNG+를/JKO
입당시키면서	입당/NNG+시키/XSV+면서/EC
집권당의	집권당/NNG+의/JKG
의석	의석/NNG
점유율이	점유/NNG+율/XSN+이/JKS
96%에	96/SN+%/SW+에/JKB
이르자	이르/VV+자/EC
국민들은	국민/NNG+들/XSN+은/JX
더욱	더욱/MAG
분개했다.	분개/NNG+하/XSV+았/EP+다/EF+./SF


