# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.259
metadata : {}


# id : NWRW1800000041.259.1.1
[인천아시아경기]한국 우먼파워, 이번에도 거셌네

[인천아시아경기]한국	[/SS+인천/NNP+아시아/NNP+경기/NNG+]/SS+한국/NNP
오진혁이 리커브 남자 개인전에서 금메달을 따지 못했다면 이번 대회 양궁은 여자 선수들만의 잔치가 될 뻔했다.

오진혁이	오진혁/NNP+이/JKS
리커브	리커브/NNG
남자	남자/NNG
개인전에서	개인전/NNG+에서/JKB
금메달을	금메달/NNG+을/JKO
따지	따/VV+지/EC
못했다면	못하/VX+았/EP+다면/EC
이번	이번/NNG
대회	대회/NNG
양궁은	양궁/NNG+은/JX
여자	여자/NNG
선수들만의	선수/NNG+들/XSN+만/JX+의/JKG
잔치가	잔치/NNG+가/JKC
될	되/VV+ㄹ/ETM
뻔했다.	뻔/NNB+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000041.259.6.3
협회 관계자는 “한국 여자 선수들에게는 뭔가 특별한 게 있는 것 같다”고 말했다.

협회	협회/NNG
관계자는	관계자/NNG+는/JX
“한국	“/SS+한국/NNP
여자	여자/NNG
선수들에게는	선수/NNG+들/XSN+에게/JKB+는/JX
뭔가	뭐/NP+이/VCP+ㄴ가/EF
특별한	특별/NNG+하/XSA+ㄴ/ETM
게	거/NNB+이/JKS
있는	있/VA+는/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.259.7.1
양궁뿐 아니다.

양궁뿐	양궁/NNG+뿐/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000041.259.7.2
이번 대회에서는 거의 전 종목에 걸쳐 한국 여자 선수들의 파워가 빛을 발했다.

이번	이번/NNG
대회에서는	대회/NNG+에서/JKB+는/JX
거의	거의/MAG
전	전/MMN
종목에	종목/NNG+에/JKB
걸쳐	걸치/VV+어/EC
한국	한국/NNP
여자	여자/NNG
선수들의	선수/NNG+들/XSN+의/JKG
파워가	파워/NNG+가/JKS
빛을	빛/NNG+을/JKO
발했다.	발하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.259.7.3
역시 전 종목 석권을 목표로 했던 골프에서 나온 유일한 금메달은 여자 개인전의 박결뿐이었다.

역시	역시/MAG
전	전/MMN
종목	종목/NNG
석권을	석권/NNG+을/JKO
목표로	목표/NNG+로/JKB
했던	하/VV+았/EP+던/ETM
골프에서	골프/NNG+에서/JKB
나온	나오/VV+ㄴ/ETM
유일한	유일/NNG+하/XSA+ㄴ/ETM
금메달은	금메달/NNG+은/JX
여자	여자/NNG
개인전의	개인전/NNG+의/JKG
박결뿐이었다.	박결/NNP+뿐/JX+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.259.7.4
한국 여자 농구 대표팀은 2일 중국을 넘어 20년 만에 아시아경기 금메달을 차지했다.

한국	한국/NNP
여자	여자/NNG
농구	농구/NNG
대표팀은	대표/NNG+팀/NNG+은/JX
2일	2/SN+일/NNB
중국을	중국/NNP+을/JKO
넘어	넘/VV+어/EC
20년	20/SN+년/NNB
만에	만/NNB+에/JKB
아시아경기	아시아/NNP+경기/NNG
금메달을	금메달/NNG+을/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.259.7.5
여자 배구 대표팀 역시 같은 날 중국을 세트 스코어 3-0으로 완파하며 20년 만에 금메달을 가져왔다.

여자	여자/NNG
배구	배구/NNG
대표팀	대표/NNG+팀/NNG
역시	역시/MAG
같은	같/VA+은/ETM
날	날/NNG
중국을	중국/NNP+을/JKO
세트	세트/NNG
스코어	스코어/NNG
3-0으로	3/SN+-/SO+0/SN+으로/JKB
완파하며	완파/NNG+하/XSV+며/EC
20년	20/SN+년/NNB
만에	만/NNB+에/JKB
금메달을	금메달/NNG+을/JKO
가져왔다.	가져오/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.259.7.6
여자 핸드볼과 여자 하키 역시 금메달의 주인공이었다.

여자	여자/NNG
핸드볼과	핸드볼/NNG+과/JC
하키	하키/NNG
역시	역시/MAG
금메달의	금메달/NNG+의/JKG
주인공이었다.	주인공/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.259.8.1
그나마 한국 남자들의 자존심을 살려준 것은 축구와 농구다.

그나마	그나마/MAG
한국	한국/NNP
남자들의	남자/NNG+들/XSN+의/JKG
자존심을	자존심/NNG+을/JKO
살려준	살리/VV+어/EC+주/VX+ㄴ/ETM
것은	것/NNB+은/JX
축구와	축구/NNG+와/JC
농구다.	농구/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.259.8.2
남자 축구 대표팀은 당초 약체로 평가됐고, 예선전에서도 기대 이하의 경기력을 보였다.

남자	남자/NNG
축구	축구/NNG
대표팀은	대표/NNG+팀/NNG+은/JX
당초	당초/NNG
약체로	약체/NNG+로/JKB
평가됐고,	평가/NNG+되/XSV+었/EP+고/EC+,/SP
예선전에서도	예선전/NNG+에서/JKB+도/JX
기대	기대/NNG
이하의	이하/NNG+의/JKG
경기력을	경기력/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.259.8.3
하지만 북한과의 결승전에서 연장 후반 종료 직전 터진 임창우의 결승골로 극적인 금메달을 차지했다.

하지만	하지만/MAJ
북한과의	북한/NNP+과/JKB+의/JKG
결승전에서	결승전/NNG+에서/JKB
연장	연장/NNG
후반	후반/NNG
종료	종료/NNG
직전	직전/NNG
터진	터지/VV+ㄴ/ETM
임창우의	임창우/NNP+의/JKG
결승골로	결승/NNG+골/NNG+로/JKB
극적인	극/NNG+적/XSN+이/VCP+ㄴ/ETM
금메달을	금메달/NNG+을/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.259.8.4
남자 농구도 아시아 최강 이란을 두 점 차로 꺾고 우승했다.

남자	남자/NNG
농구도	농구/NNG+도/JX
아시아	아시아/NNP
최강	최강/NNG
이란을	이란/NNP+을/JKO
두	두/MMN
점	점/NNB
차로	차/NNG+로/JKB
꺾고	꺾/VV+고/EC
우승했다.	우승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.259.9.1
한편 각각 8개의 금메달을 따내며 이번 대회 한국 선수단의 ‘효자’ 노릇을 톡톡히 한 사격과 펜싱에서는 남녀 모두 사이좋게 4개씩의 금메달을 따냈다.

한편	한편/MAG
각각	각각/MAG
8개의	8/SN+개/NNB+의/JKG
금메달을	금메달/NNG+을/JKO
따내며	따내/VV+며/EC
이번	이번/NNG
대회	대회/NNG
한국	한국/NNP
선수단의	선수단/NNG+의/JKG
‘효자’	‘/SS+효자/NNG+’/SS
노릇을	노릇/NNG+을/JKO
톡톡히	톡톡히/MAG
한	하/VV+ㄴ/ETM
사격과	사격/NNG+과/JC
펜싱에서는	펜싱/NNG+에서/JKB+는/JX
남녀	남녀/NNG
모두	모두/MAG
사이좋게	사이좋/VA+게/EC
4개씩의	4/SN+개/NNB+씩/XSN+의/JKG
따냈다.	따내/VV+었/EP+다/EF+./SF


