# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.425
metadata : {}


# id : NWRW1800000038.425.1.1
[한·러 정상회담] [뉴스 인사이드] 교황도 기다리게 했던… 정상회담 상습 지각 대장 푸틴

[한·러	[/SS+한·러/NNP
않았다고	않/VX+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.425.5.2
푸틴 대통령은 13일 새벽 2시 50분 인천공항에 도착해 시내 호텔에 묵었다.

푸틴	푸틴/NNP
대통령은	대통령/NNG+은/JX
13일	13/SN+일/NNB
새벽	새벽/NNG
2시	2/SN+시/NNB
50분	50/SN+분/NNB
인천공항에	인천공항/NNP+에/JKB
도착해	도착/NNG+하/XSV+아/EC
시내	시내/NNG
호텔에	호텔/NNG+에/JKB
묵었다.	묵/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.425.5.3
러시아 정부 관계자들은 한·러 경제인 모임에서 "태풍 때문에 늦게 도착했다"고 말한 것으로 알려졌다.

러시아	러시아/NNP
정부	정부/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
한·러	한·러/NNP
경제인	경제인/NNG
모임에서	모임/NNG+에서/JKB
"태풍	"/SS+태풍/NNG
때문에	때문/NNB+에/JKB
늦게	늦/VA+게/EC
도착했다"고	도착/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.425.5.4
그러나 주(駐)베트남 한국대사관 측은 "태풍은 이미 11일 베트남을 지나갔기 때문에 비행 일정에 영향을 미치진 않았을 것"이라며 "베트남 순방 하루 동안 응우옌 떤 중 국가주석을 비롯한 정부 요인 4명을 잇달아 만나는 빡빡한 일정 때문에 출발이 늦어진 것 같다"고 했다.

그러나	그러나/MAJ
주(駐)베트남	주/NA+(/SS+駐/SH+)/SS+베트남/NNP
한국대사관	한국대사관/NNP
측은	측/NNB+은/JX
"태풍은	"/SS+태풍/NNG+은/JX
이미	이미/MAG
11일	11/SN+일/NNB
베트남을	베트남/NNP+을/JKO
지나갔기	지나가/VV+았/EP+기/ETN
때문에	때문/NNB+에/JKB
비행	비행/NNG
일정에	일정/NNG+에/JKB
영향을	영향/NNG+을/JKO
미치진	미치/VV+지/EC+ㄴ/JX
않았을	않/VX+았/EP+을/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"베트남	"/SS+베트남/NNP
순방	순방/NNG
하루	하루/NNG
동안	동안/NNG
응우옌	응우옌/NNP
떤	떤/NNP
중	중/NNP
국가주석을	국가주석/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
정부	정부/NNG
요인	요인/NNG
4명을	4/SN+명/NNB+을/JKO
잇달아	잇달/VV+아/EC
만나는	만나/VV+는/ETM
빡빡한	빡빡하/VA+ㄴ/ETM
일정	일정/NNG
출발이	출발/NNG+이/JKS
늦어진	늦어지/VV+ㄴ/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.425.6.1
푸틴 대통령은 이날 오후 1시 청와대에서 열리기로 돼 있던 정상회담에 30분 늦었다.

푸틴	푸틴/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
오후	오후/NNG
1시	1/SN+시/NNB
청와대에서	청와대/NNP+에서/JKB
열리기로	열리/VV+기/ETN+로/JKB
돼	되/VV+어/EC
있던	있/VX+던/ETM
정상회담에	정상/NNG+회담/NNG+에/JKB
30분	30/SN+분/NNB
늦었다.	늦/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.425.6.2
큰 외교적 결례다.

큰	크/VA+ㄴ/ETM
외교적	외교/NNG+적/XSN
결례다.	결례/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.425.6.3
더구나 이날 지각한 것은 공식 일정에 없었던 '대한삼보연맹' 환영 행사 때문이었다고 한다.

더구나	더구나/MAG
이날	이날/NNG
지각한	지각/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
공식	공식/NNG
일정에	일정/NNG+에/JKB
없었던	없/VA+었/EP+던/ETM
'대한삼보연맹'	'/SS+대한삼보연맹/NNP+'/SS
환영	환영/NNG
행사	행사/NNG
때문이었다고	때문/NNB+이/VCP+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.425.6.4
삼보(SAMBO)는 러시아의 국기(國技)인 맨손 격투기로 푸틴 대통령이 국제삼보연맹 명예회장을 맡고 있다.

삼보(SAMBO)는	삼보/NNG+(/SS+SAMBO/SL+)/SS+는/JX
러시아의	러시아/NNP+의/JKG
국기(國技)인	국기/NNG+(/SS+國技/SH+)/SS+이/VCP+ㄴ/ETM
맨손	맨/XPN+손/NNG
격투기로	격투기/NNG+로/JKB
푸틴	푸틴/NNP
대통령이	대통령/NNG+이/JKS
국제삼보연맹	국제삼보연맹/NNP
명예회장을	명예/NNG+회장/NNG+을/JKO
맡고	맡/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.425.7.1
푸틴 대통령은 정상회담 예정 시각이 10분여 지난 오후 1시 10분쯤 롯데호텔에서 차를 타고 나가다가 환영 플래카드를 든 대한삼보연맹 임원과 선수들을 보자 차에서 내린 뒤 10여분간 일일이 악수·격려하며 기념사진까지 찍었다.

푸틴	푸틴/NNP
대통령은	대통령/NNG+은/JX
정상회담	정상/NNG+회담/NNG
예정	예정/NNG
시각이	시각/NNG+이/JKS
10분여	10/SN+분/NNB+여/XSN
지난	지나/VV+ㄴ/ETM
오후	오후/NNG
1시	1/SN+시/NNB
10분쯤	10/SN+분/NNB+쯤/XSN
롯데호텔에서	롯데호텔/NNP+에서/JKB
차를	차/NNG+를/JKO
타고	타/VV+고/EC
나가다가	나가/VV+다가/EC
환영	환영/NNG
플래카드를	플래카드/NNG+를/JKO
든	들/VV+ㄴ/ETM
대한삼보연맹	대한삼보연맹/NNP
임원과	임원/NNG+과/JC
선수들을	선수/NNG+들/XSN+을/JKO
보자	보/VV+자/EC
차에서	차/NNG+에서/JKB
내린	내리/VV+ㄴ/ETM
뒤	뒤/NNG
10여분간	10/SN+여/XSN+분/NNB+간/XSN
일일이	일일이/MAG
악수·격려하며	악수/NNG+·/SP+격려/NNG+하/XSV+며/EC
기념사진까지	기념사진/NNG+까지/JX
찍었다.	찍/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.425.7.2
우리 경호실은 이를 사전에 통보받지 못해 당황했던 것으로 알려졌다.

우리	우리/NP
경호실은	경호실/NNG+은/JX
이를	이/NP+를/JKO
사전에	사전/NNG+에/JKB
통보받지	통보/NNG+받/XSV+지/EC
못해	못하/VX+아/EC
당황했던	당황/NNG+하/XSV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.425.8.1
푸틴 대통령은 이에 앞서 '한·러 비즈니스 다이얼로그' 행사에도 깜짝 참석했다.

푸틴	푸틴/NNP
대통령은	대통령/NNG+은/JX
이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
'한·러	'/SS+한·러/NNP
비즈니스	비즈니스/NNG
다이얼로그'	다이얼로그/NNG+'/SS
행사에도	행사/NNG+에/JKB+도/JX
깜짝	깜짝/MAG
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.425.8.2
한·러 경제인들과 대화를 나누고 연설을 하고 싶다는 푸틴 대통령의 요청에 따라 급하게 잡힌 일정이었다.

한·러	한·러/NNP
경제인들과	경제인/NNG+들/XSN+과/JKB
대화를	대화/NNG+를/JKO
나누고	나누/VV+고/EC
연설을	연설/NNG+을/JKO
하고	하/VV+고/EC
싶다는	싶/VX+다는/ETM
푸틴	푸틴/NNP
대통령의	대통령/NNG+의/JKG
요청에	요청/NNG+에/JKB
따라	따르/VV+아/EC
급하게	급하/VA+게/EC
잡힌	잡히/VV+ㄴ/ETM
일정이었다.	일정/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.425.9.1
푸틴 대통령의 정상회담 지각은 이번이 처음이 아니다.

푸틴	푸틴/NNP
대통령의	대통령/NNG+의/JKG
정상회담	정상/NNG+회담/NNG
지각은	지각/NNG+은/JX
이번이	이번/NNG+이/JKS
처음이	처음/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000038.425.9.2
2000년 김대중 전 대통령은 30분, 2008년 이명박 전 대통령은 40분을 기다렸다.

2000년	2000/SN+년/NNB
김대중	김대중/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
30분,	30/SN+분/NNB+,/SP
2008년	2008/SN+년/NNB
이명박	이명박/NNP
40분을	40/SN+분/NNB+을/JKO
기다렸다.	기다리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.425.9.3
작년 버락 오바마 미국 대통령과 앙겔라 메르켈 독일 총리도 40분을 기다렸다.

작년	작년/NNG
버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령과	대통령/NNG+과/JC
앙겔라	앙겔라/NNP
메르켈	메르켈/NNP
독일	독일/NNP
총리도	총리/NNG+도/JX
40분을	40/SN+분/NNB+을/JKO
기다렸다.	기다리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.425.9.4
2000년 교황 요한 바오로 2세와 만남 때도 15분 지각했다.

2000년	2000/SN+년/NNB
교황	교황/NNG
요한	요한/NNP
바오로	바오로/NNP
2세와	2/SN+세/NNB+와/JKB
만남	만남/NNG
때도	때/NNG+도/JX
15분	15/SN+분/NNB
지각했다.	지각/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.425.10.1
정상회담이 지연되면서 두 정상의 공동 기자회견도 오후 4시 5분에야 시작됐다.

정상회담이	정상/NNG+회담/NNG+이/JKS
지연되면서	지연/NNG+되/XSV+면서/EC
두	두/MMN
정상의	정상/NNG+의/JKG
공동	공동/NNG
기자회견도	기자/NNG+회견/NNG+도/JX
오후	오후/NNG
4시	4/SN+시/NNB
5분에야	5/SN+분/NNB+에/JKB+야/JX
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.425.10.2
그것도 앞서 박 대통령이 "오찬시간이 많이 늦어져 시장하실 텐데…"라며 확대정상회담 시간을 30분에서 10분으로 줄인 결과였다.

그것도	그것/NP+도/JX
앞서	앞서/MAG
박	박/NNP
대통령이	대통령/NNG+이/JKS
"오찬시간이	"/SS+오찬/NNG+시간/NNG+이/JKS
많이	많이/MAG
늦어져	늦어지/VV+어/EC
시장하실	시장/NNG+하/XSA+시/EP+ㄹ/ETM
텐데…"라며	터/NNB+이/VCP+ㄴ데/EC+…/SE+"/SS+이/VCP+라며/EC
확대정상회담	확대/NNG+정상/NNG+회담/NNG
시간을	시간/NNG+을/JKO
30분에서	30/SN+분/NNB+에서/JKB
10분으로	10/SN+분/NNB+으로/JKB
줄인	줄이/VV+ㄴ/ETM
결과였다.	결과/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.425.10.3
이어진 공식 환영오찬도 당초 예정보다 1시간 30분 늦은 오후 4시 45분에 시작돼 오후 6시에 끝났다.

이어진	이어지/VV+ㄴ/ETM
공식	공식/NNG
환영오찬도	환영/NNG+오찬/NNG+도/JX
당초	당초/NNG
예정보다	예정/NNG+보다/JKB
1시간	1/SN+시간/NNB
30분	30/SN+분/NNB
늦은	늦/VA+은/ETM
오후	오후/NNG
4시	4/SN+시/NNB
45분에	45/SN+분/NNB+에/JKB
시작돼	시작/NNG+되/XSV+어/EC
6시에	6/SN+시/NNB+에/JKB
끝났다.	끝나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.425.11.1
만찬 같은 오찬이 돼 버린 것이다.

만찬	만찬/NNG
같은	같/VA+은/ETM
오찬이	오찬/NNG+이/JKC
돼	되/VV+어/EC
버린	버리/VX+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.425.11.2
이후 일정인 한·러 다이얼로그 행사와 러시아 문호인 푸시킨 동상 제막식 등도 줄줄이 연기됐다.

이후	이후/NNG
일정인	일정/NNG+이/VCP+ㄴ/ETM
한·러	한·러/NNP
다이얼로그	다이얼로그/NNG
행사와	행사/NNG+와/JC
러시아	러시아/NNP
문호인	문호/NNG+이/VCP+ㄴ/ETM
푸시킨	푸시킨/NNP
동상	동상/NNG
제막식	제막식/NNG
등도	등/NNB+도/JX
줄줄이	줄줄이/MAG
연기됐다.	연기/NNG+되/XSV+었/EP+다/EF+./SF


