# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.13
metadata : {}


# id : NWRW1800000022.13.1.1
[펀드 따라잡기] 게걸음 증시 속 '큰손'들이 찾는 '오토시스템매매펀드'

[펀드	[/SS+펀드/NNG
나쁘지	나쁘/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.13.4.1
펀드평가사 제로인에 따르면 오토시스템매매펀드의 최근 3개월 평균 수익률은 1.47%로 국내주식형 평균(-4.58%)보다 월등히 뛰어났다.

펀드평가사	펀드/NNG+평가사/NNG
제로인에	제로인/NNP+에/JKB
따르면	따르/VV+면/EC
오토시스템매매펀드의	오토/NNG+시스템/NNG+매매/NNG+펀드/NNG+의/JKG
최근	최근/MAG
3개월	3/SN+개월/NNB
평균	평균/NNG
수익률은	수익/NNG+률/XSN+은/JX
1.47%로	1/SN+./SP+47/SN+%/SW+로/JKB
국내주식형	국내/NNG+주식/NNG+형/XSN
평균(-4.58%)보다	평균/NNG+(/SS+-/SO+4/SN+./SP+58/SN+%/SW+)/SS+보다/JKB
월등히	월등히/MAG
뛰어났다.	뛰어나/VA+았/EP+다/EF+./SF


# id : NWRW1800000022.13.4.2
한국투자밸류자산운용의 '10년투자퇴직연금채권혼합1'(5.42%), 동양운용의 '하이플러스오토시스템안정혼합회사3'(4.25%), 신한BNP파리바운용의 'Tops Easy Trading시스템혼합1'(3.64%) 등 수익률이 우수했다.

한국투자밸류자산운용의	한국투자밸류자산운용/NNP+의/JKG
'10년투자퇴직연금채권혼합1'(5.42%),	'/SS+10/SN+년/NNB+투자/NNG+퇴직/NNG+연금/NNG+채권/NNG+혼합/NNG+1/SN+'/SS+(/SS+5/SN+./SP+42/SN+%/SW+)/SS+,/SP
동양운용의	동양운용/NNP+의/JKG
'하이플러스오토시스템안정혼합회사3'(4.25%),	'/SS+하이플러스오토시스템안정혼합회사3/NNP+'/SS+(/SS+4/SN+./SP+25/SN+%/SW+)/SS+,/SP
신한BNP파리바운용의	신한BNP파리바운용/NNP+의/JKG
'Tops	'/SS+Tops/SL
Easy	Easy/SL
Trading시스템혼합1'(3.64%)	Trading/SL+시스템/NNG+혼합/NNG+1/SN+'/SS+(/SS+3/SN+./SP+64/SN+%/SW+)/SS
등	등/NNB
수익률이	수익/NNG+률/XSN+이/JKS
우수했다.	우수/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000022.13.5.1
향후 기업실적 악화·수요침체 등 악재로 증시 불확실성이 지속된다면 오토시스템매매펀드가 더 주목받을 수 있다는 분석이다.

향후	향후/NNG
기업실적	기업/NNG+실적/NNG
악화·수요침체	악화/NNG+·/SP+수요/NNG+침체/NNG
등	등/NNB
악재로	악재/NNG+로/JKB
증시	증시/NNG
불확실성이	불확실/NNG+성/XSN+이/JKS
지속된다면	지속/NNG+되/XSV+ㄴ다면/EC
오토시스템매매펀드가	오토/NNG+시스템/NNG+매매/NNG+펀드/NNG+가/JKS
더	더/MAG
주목받을	주목/NNG+받/XSV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
분석이다.	분석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.13.5.2
김대열 하나대투증권 펀드리서치팀장은 "올 상반기는 증시 변동성이 크게 확대될 것으로 보인다"며 "하락장에서 방어적인 오토시스템매매펀드의 장점이 부각될 수 있는 시점"이라고 말했다.

김대열	김대열/NNP
하나대투증권	하나대투증권/NNP
펀드리서치팀장은	펀드/NNG+리서치/NNG+팀장/NNG+은/JX
"올	"/SS+올/NNG
상반기는	상반기/NNG+는/JX
증시	증시/NNG
변동성이	변동/NNG+성/XSN+이/JKS
크게	크/VA+게/EC
확대될	확대/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다"며	보이/VV+ㄴ다/EF+"/SS+며/EC
"하락장에서	"/SS+하락장/NNG+에서/JKB
방어적인	방어/NNG+적/XSN+이/VCP+ㄴ/ETM
오토시스템매매펀드의	오토/NNG+시스템/NNG+매매/NNG+펀드/NNG+의/JKG
장점이	장점/NNG+이/JKS
부각될	부각/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
시점"이라고	시점/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.13.6.1
현재 국내에 설정된 오토시스템매매펀드는 80여개, 총 설정액은 6500억원 수준이다.

현재	현재/MAG
국내에	국내/NNG+에/JKB
설정된	설정/NNG+되/XSV+ㄴ/ETM
오토시스템매매펀드는	오토/NNG+시스템/NNG+매매/NNG+펀드/NNG+는/JX
80여개,	80/SN+여/XSN+개/NNB+,/SP
총	총/MMA
설정액은	설정액/NNG+은/JX
6500억원	6500/SN+억/NR+원/NNB
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.13.6.2
주식혼합형·채권혼합형이 76%로 대다수를 차지하고 있다.

주식혼합형·채권혼합형이	주식/NNG+혼합/NNG+형/XSN+·/SP+채권/NNG+혼합/NNG+형/XSN+이/JKS
76%로	76/SN+%/SW+로/JKB
대다수를	대/XPN+다수/NNG+를/JKO
차지하고	차지/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.13.6.3
현재 국내에서 판매되는 오토시스템매매펀드는 펀드별로 설정규모가 크지 않고, 종류도 다양하지 않기 때문에 투자를 고려하는 투자자라면 개별 펀드를 선택하는 데 신중해야 한다는 지적이다.

현재	현재/MAG
국내에서	국내/NNG+에서/JKB
판매되는	판매/NNG+되/XSV+는/ETM
오토시스템매매펀드는	오토/NNG+시스템/NNG+매매/NNG+펀드/NNG+는/JX
펀드별로	펀드/NNG+별/XSN+로/JKB
설정규모가	설정/NNG+규모/NNG+가/JKS
크지	크/VA+지/EC
않고,	않/VX+고/EC+,/SP
종류도	종류/NNG+도/JX
다양하지	다양/NNG+하/XSA+지/EC
않기	않/VX+기/ETN
때문에	때문/NNB+에/JKB
투자를	투자/NNG+를/JKO
고려하는	고려/NNG+하/XSV+는/ETM
투자자라면	투자자/NNG+이/VCP+라면/EC
개별	개별/NNG
펀드를	펀드/NNG+를/JKO
선택하는	선택/NNG+하/XSV+는/ETM
데	데/NNB
신중해야	신중/NNG+하/XSA+아야/EC
한다는	하/VX+ㄴ다는/ETM
지적이다.	지적/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.13.6.4
또 증시가 상승 추세로 돌아선다면 다른 펀드에 비해서 상대적인 수익률이 낮아질 수도 있다는 점을 염두에 둬야 한다고 전문가들은 조언한다.

또	또/MAG
증시가	증시/NNG+가/JKS
상승	상승/NNG
추세로	추세/NNG+로/JKB
돌아선다면	돌아서/VV+ㄴ다면/EC
다른	다른/MMD
펀드에	펀드/NNG+에/JKB
비해서	비/NNG+하/XSV+아서/EC
상대적인	상대/NNG+적/XSN+이/VCP+ㄴ/ETM
수익률이	수익/NNG+률/XSN+이/JKS
낮아질	낮/VA+아/EC+지/VX+ㄹ/ETM
수도	수/NNB+도/JX
있다는	있/VA+다는/ETM
점을	점/NNG+을/JKO
염두에	염두/NNG+에/JKB
둬야	두/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
전문가들은	전문가/NNG+들/XSN+은/JX
조언한다.	조언/NNG+하/XSV+ㄴ다/EF+./SF


