# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.51
metadata : {}


# id : NWRW1800000054.51.1.1
90년 전 일본 학자가 찍은 경주 발굴 사진 700장 공개

90년	90/SN+년/NNB
공간일	공간/NNG+이/VCP+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
있다"며	있/VA+다/EF+"/SS+며/EC
"향후	"/SS+향후/NNG
연구를	연구/NNG+를/JKO
통해	통하/VV+아/EC
밝혀야	밝히/VV+어야/EC
할	하/VX+ㄹ/ETM
부분"이라고	부분/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.51.9.1
◇"십이지상 가치 처음 알아본 연구자"

◇"십이지상	◇/SW+"/SS+십이지상/NNG
가치	가치/NNG
처음	처음/NNG
알아본	알아보/VV+ㄴ/ETM
연구자"	연구자/NNG+"/SS


# id : NWRW1800000054.51.10.1
1928~1931년 원원사터에 완전히 붕괴된 채 방치돼 있던 삼층석탑을 발굴 조사하고 이를 바탕으로 복원하는 과정도 파노라마처럼 담겼다.

1928~1931년	1928/SN+~/SO+1931/SN+년/NNB
원원사터에	원원사/NNP+터/NNG+에/JKB
완전히	완전히/MAG
붕괴된	붕괴/NNG+되/XSV+ㄴ/ETM
채	채/NNB
방치돼	방치/NNG+되/XSV+어/EC
있던	있/VX+던/ETM
삼층석탑을	삼/NR+층/NNG+석탑/NNG+을/JKO
발굴	발굴/NNG
조사하고	조사/NNG+하/XSV+고/EC
이를	이/NP+를/JKO
바탕으로	바탕/NNG+으로/JKB
복원하는	복원/NNG+하/XSV+는/ETM
과정도	과정/NNG+도/JX
파노라마처럼	파노라마/NNG+처럼/JKB
담겼다.	담기/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.51.10.2
석탑 터를 실측하고 발굴한 각종 부재를 모아 놓은 사진, 석탑을 복원하기 위해 가조립한 장면, 노세가 직접 그린 평면도와 석탑 모형도까지 원원사터 관련 사진만 300여장에 달한다.

석탑	석탑/NNG
터를	터/NNG+를/JKO
실측하고	실측/NNG+하/XSV+고/EC
발굴한	발굴/NNG+하/XSV+ㄴ/ETM
각종	각종/NNG
부재를	부재/NNG+를/JKO
모아	모으/VV+아/EC
놓은	놓/VX+은/ETM
사진,	사진/NNG+,/SP
석탑을	석탑/NNG+을/JKO
복원하기	복원/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
가조립한	가/XPN+조립/NNG+하/XSV+ㄴ/ETM
장면,	장면/NNG+,/SP
노세가	노세/NNP+가/JKS
직접	직접/MAG
그린	그리/VV+ㄴ/ETM
평면도와	평면도/NNG+와/JC
모형도까지	모형도/NNG+까지/JX
원원사터	원원사/NNP+터/NNG
관련	관련/NNG
사진만	사진/NNG+만/JX
300여장에	300/SN+여/XSN+장/NNB+에/JKB
달한다.	달하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.51.10.3
헌덕왕릉과 구정동 방형분도 발굴했고, 진평왕릉·흥덕왕릉·경덕왕릉·성덕왕릉 등 신라 왕릉을 비롯해 개성 고려왕릉에 대한 조사도 병행했다.

헌덕왕릉과	헌덕왕릉/NNG+과/JKB
구정동	구정동/NNP
방형분도	방형분/NNG+도/JX
발굴했고,	발굴/NNG+하/XSV+았/EP+고/EC+,/SP
진평왕릉·흥덕왕릉·경덕왕릉·성덕왕릉	진평왕릉/NNG+·/SP+흥덕왕릉/NNG+·/SP+경덕왕릉/NNG+·/SP+성덕왕릉/NNG
등	등/NNB
신라	신라/NNP
왕릉을	왕릉/NNG+을/JKO
비롯해	비롯하/VV+아/EC
개성	개성/NNP
고려왕릉에	고려/NNP+왕릉/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
조사도	조사/NNG+도/JX
병행했다.	병행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.51.10.4
예천 개심사지 석탑, 구례 화엄사 석탑 등의 십이지상을 최초로 주목한 것도 노세였다.

예천	예천/NNP
개심사지	개심사지/NNP
석탑,	석탑/NNG+,/SP
구례	구례/NNP
화엄사	화엄사/NNP
석탑	석탑/NNG
등의	등/NNB+의/JKG
십이지상을	십이지상/NNG+을/JKO
최초로	최초/NNG+로/JKB
주목한	주목/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
노세였다.	노세/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.51.10.5
박임관 원장은 "노세는 한국 십이지상의 중요성을 가장 먼저 파악하고 그와 관련한 선구적 업적을 남긴 연구자"라며 "지금처럼 정비·복원되기 이전의 신라 왕릉 옛 모습을 보여주는 귀한 자료다.

박임관	박임관/NNP
원장은	원장/NNG+은/JX
"노세는	"/SS+노세/NNP+는/JX
한국	한국/NNP
십이지상의	십이지상/NNG+의/JKG
중요성을	중요/NNG+성/XSN+을/JKO
가장	가장/MAG
먼저	먼저/MAG
파악하고	파악/NNG+하/XSV+고/EC
그와	그/NP+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
선구적	선구/NNG+적/XSN
업적을	업적/NNG+을/JKO
남긴	남기/VV+ㄴ/ETM
연구자"라며	연구자/NNG+"/SS+이/VCP+라며/EC
"지금처럼	"/SS+지금/NNG+처럼/JKB
정비·복원되기	정비/NNG+·/SP+복원/NNG+되/XSV+기/ETN
이전의	이전/NNG+의/JKG
신라	신라/NNP
왕릉	왕릉/NNG
옛	옛/MMA
모습을	모습/NNG+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
귀한	귀하/VA+ㄴ/ETM
자료다.	자료/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.51.10.6
1920년대 말~1930년대 초 경주 유적 현황을 입증하는 기록이기 때문에 향후 연구가 진행되면 잘못된 복원·정비에 대한 오류를 바로잡을 계기가 될 것"이라고 했다.

1920년대	1920/SN+년대/NNB
말~1930년대	말/NNB+~/SO+1930/SN+년대/NNB
초	초/NNB
경주	경주/NNP
유적	유적/NNG
현황을	현황/NNG+을/JKO
입증하는	입증/NNG+하/XSV+는/ETM
기록이기	기록/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
향후	향후/NNG
연구가	연구/NNG+가/JKS
진행되면	진행/NNG+되/XSV+면/EC
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
복원·정비에	복원/NNG+·/SP+정비/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
오류를	오류/NNG+를/JKO
바로잡을	바로잡/VV+을/ETM
계기가	계기/NNG+가/JKC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.51.10.7
연구원은 상반기 중 보고서를 내고 사진 전시회를 열 계획이다.

연구원은	연구원/NNG+은/JX
상반기	상반기/NNG
중	중/NNB
보고서를	보고서/NNG+를/JKO
내고	내/VV+고/EC
사진	사진/NNG
전시회를	전시회/NNG+를/JKO
열	열/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


