# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.51
metadata : {}


# id : NWRW1800000022.51.1.1
"용산사태 확산 막는 데 군포살인 활용" 이메일 경찰청 보낸 청와대 행정관 경고

"용산사태	"/SS+용산/NNP+사태/NNG
만전을	만전/NNG+을/JKO
기해달라'는	기하/VV+아/EC+달/VX+라/EF+'/SS+는/ETM
내용이	내용/NNG+이/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
주장했었다.	주장/NNG+하/XSV+았었/EP+다/EF+./SF


# id : NWRW1800000022.51.3.1
청와대 관계자는 이날 "조사 결과 국민소통비서관실 행정관이 개인 아이디어를 전달하는 과정에서 빚어진 일"이라며 "비록 사신(私信)이었지만, 청와대 근무자로서 부적절한 행위였다"고 말했다.

청와대	청와대/NNP
관계자는	관계자/NNG+는/JX
이날	이날/NNG
"조사	"/SS+조사/NNG
결과	결과/NNG
국민소통비서관실	국민/NNG+소통/NNG+비서관실/NNG
행정관이	행정관/NNG+이/JKS
개인	개인/NNG
아이디어를	아이디어/NNG+를/JKO
전달하는	전달/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
빚어진	빚어지/VV+ㄴ/ETM
일"이라며	일/NNG+"/SS+이/VCP+라며/EC
"비록	"/SS+비록/MAG
사신(私信)이었지만,	사신/NNG+(/SS+私信/SH+)/SS+이/VCP+었/EP+지만/EC+,/SP
근무자로서	근무자/NNG+로서/JKB
부적절한	부적절하/VA+ㄴ/ETM
행위였다"고	행위/NNG+이/VCP+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.51.3.2
이 관계자는 "이메일은 개인 차원의 것이며, 야당이 주장하는 청와대의 지침은 아니었다"고 말했다.

이	이/MMD
관계자는	관계자/NNG+는/JX
"이메일은	"/SS+이메일/NNG+은/JX
개인	개인/NNG
차원의	차원/NNG+의/JKG
것이며,	것/NNB+이/VCP+며/EC+,/SP
야당이	야당/NNG+이/JKS
주장하는	주장/NNG+하/XSV+는/ETM
청와대의	청와대/NNP+의/JKG
지침은	지침/NNG+은/JX
아니었다"고	아니/VCN+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.51.4.1
한편 민주당 이석현 의원은 이날 국회 대정부 질문에서 "용산 진압에서의 용역 참여 문제를 은폐하기 위해 경찰 간부가 지난 5일 현장 투입 요원들을 소집해 '용역을 본적이 없다고 검찰에서 진술하라'는 지시를 했다"고 말했다.

한편	한편/MAG
민주당	민주당/NNP
이석현	이석현/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
국회	국회/NNG
대정부	대정부/NNG
질문에서	질문/NNG+에서/JKB
"용산	"/SS+용산/NNP
진압에서의	진압/NNG+에서/JKB+의/JKG
용역	용역/NNG
참여	참여/NNG
문제를	문제/NNG+를/JKO
은폐하기	은폐/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
경찰	경찰/NNG
간부가	간부/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
5일	5/SN+일/NNB
현장	현장/NNG
투입	투입/NNG
요원들을	요원/NNG+들/XSN+을/JKO
소집해	소집/NNG+하/XSV+아/EC
'용역을	'/SS+용역/NNG+을/JKO
본적이	보/VV+ㄴ/ETM+적/NNB+이/JKS
없다고	없/VA+다고/EC
검찰에서	검찰/NNG+에서/JKB
진술하라'는	진술/NNG+하/XSV+라/EF+'/SS+는/ETM
지시를	지시/NNG+를/JKO
했다"고	하/VV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.51.4.2
김경한 법무장관은 "처음 듣는다. 진상을 조사해보겠다"고 답했다.

김경한	김경한/NNP
법무장관은	법무/NNG+장관/NNG+은/JX
"처음	"/SS+처음/NNG
듣는다.	듣/VV+는다/EF+./SF
진상을	진상/NNG+을/JKO
조사해보겠다"고	조사/NNG+하/XSV+아/EC+보/VX+겠/EP+다/EF+"/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


