# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.298
metadata : {}


# id : NWRW1800000049.298.1.1
[손진호 어문기자의 말글 나들이]젠장!

[손진호	[/SS+손진호/NNP
멀어진	멀어지/VV+ㄴ/ETM
‘난장칠’만	‘/SS+난장칠/IC+’/SS+만/JX
고집할	고집/NNG+하/XSV+ㄹ/ETM
게	거/NNB+이/JKC
아니라	아니/VCN+라/EC
‘젠장할’을	‘/SS+젠장할/IC+’/SS+을/JKO
표제어로	표제어/NNG+로/JKB
삼는	삼/VV+는/ETM
걸	거/NNB+ㄹ/JKO
검토할	검토/NNG+하/XSV+ㄹ/ETM
때가	때/NNG+가/JKS
왔다.	오/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.298.5.1
일이 뜻대로 되지 않아 속이 상할 때 하는 ‘빌어먹을!’이란 욕도 있다.

일이	일/NNG+이/JKS
뜻대로	뜻대로/MAG
되지	되/VV+지/EC
않아	않/VX+아/EC
속이	속/NNG+이/JKS
상할	상하/VV+ㄹ/ETM
때	때/NNG
하는	하/VV+는/ETM
‘빌어먹을!’이란	‘/SS+빌어먹을/IC+!/SF+’/SS+이/VCP+란/ETM
욕도	욕/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.298.5.2
많은 이가 ‘빌어먹다’는 구걸의 뜻으로, ‘비러먹다’는 욕으로 알고 쓰지만 우리 사전은 ‘빌어먹다’만을 인정한다.

많은	많/VA+은/ETM
이가	이/NNB+가/JKS
‘빌어먹다’는	‘/SS+빌어먹/VV+다/EF+’/SS+는/JX
구걸의	구걸/NNG+의/JKG
뜻으로,	뜻/NNG+으로/JKB+,/SP
‘비러먹다’는	‘/SS+비러먹/VV+다/EF+’/SS+는/JX
욕으로	욕/NNG+으로/JKB
알고	알/VV+고/EC
쓰지만	쓰/VV+지만/EC
우리	우리/NP
사전은	사전/NNG+은/JX
‘빌어먹다’만을	‘/SS+빌어먹/VV+다/EF+’/SS+만/JX+을/JKO
인정한다.	인정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.298.5.3
그래 놓고선 ‘빌어먹다’엔 ‘남에게 구걸하여 거저 얻어먹다’라는 뜻풀이뿐이다.

그래	그러/VV+어/EC
놓고선	놓/VV+고서/EC+ㄴ/JX
‘빌어먹다’엔	‘/SS+빌어먹/VV+다/EF+’/SS+에/JKB+ㄴ/JX
‘남에게	‘/SS+남/NNG+에게/JKB
구걸하여	구걸/NNG+하/XSV+아/EC
거저	거저/MAG
얻어먹다’라는	얻어먹/VV+다/EF+’/SS+이/VCP+라는/ETM
뜻풀이뿐이다.	뜻풀이/NNG+뿐/JX+이/VCP+다/EF+./SF


# id : NWRW1800000049.298.5.4
‘빌어먹다’에 ‘화가 나서 혼자서, 또는 어떤 대상을 욕할 때 쓴다’는 뜻풀이를 추가해야 한다.

‘빌어먹다’에	‘/SS+빌어먹/VV+다/EF+’/SS+에/JKB
‘화가	‘/SS+화/NNG+가/JKS
나서	나/VV+아서/EC
혼자서,	혼자/NNG+서/JKS+,/SP
또는	또는/MAG
어떤	어떤/MMD
대상을	대상/NNG+을/JKO
욕할	욕/NNG+하/VV+ㄹ/ETM
때	때/NNG
쓴다’는	쓰/VV+ㄴ다/EF+’/SS+는/ETM
뜻풀이를	뜻풀이/NNG+를/JKO
추가해야	추가/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.298.5.5
‘배라먹다’도 있는데, ‘빌어먹다’와 뜻이 같다.

‘배라먹다’도	‘/SS+배라먹/VV+다/EF+’/SS+도/JX
있는데,	있/VA+는데/EC+,/SP
‘빌어먹다’와	‘/SS+빌어먹/VV+다/EF+’/SS+와/JKB
뜻이	뜻/NNG+이/JKS
같다.	같/VA+다/EF+./SF


# id : NWRW1800000049.298.5.6
‘비럭질’은 구걸을 낮잡아 이르는 말이다.

‘비럭질’은	‘/SS+비럭질/NNG+’/SS+은/JX
구걸을	구걸/NNG+을/JKO
낮잡아	낮잡/VV+아/EC
이르는	이르/VV+는/ETM
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.298.6.1
‘인마’도 흔하게 들을 수 있는 욕이다.

‘인마’도	‘/SS+인마/IC+’/SS+도/JX
흔하게	흔하/VA+게/EC
들을	듣/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
욕이다.	욕/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.298.6.2
친한 사이엔 친근감마저 준다.

친한	친하/VA+ㄴ/ETM
사이엔	사이/NNG+에/JKB+ㄴ/JX
친근감마저	친근감/NNG+마저/JX
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.298.6.3
‘임마’라고 하는 이도 있지만 인마가 옳다.

‘임마’라고	‘/SS+임마/IC+’/SS+라고/JKQ
하는	하/VV+는/ETM
이도	이/NNB+도/JX
있지만	있/VA+지만/EC
인마가	인마/IC+가/JKS
옳다.	옳/VA+다/EF+./SF


# id : NWRW1800000049.298.6.4
‘이놈아’의 준말이기 때문.

‘이놈아’의	‘/SS+이놈/NP+아/JKV+’/SS+의/JKG
준말이기	준말/NNG+이/VCP+기/ETN
때문.	때문/NNB+./SF


# id : NWRW1800000049.298.6.5
우리말에서 한 낱말이 줄어들 때는 사라지는 말의 첫소리가 앞말의 받침으로 들어가고, 끝소리는 뒷말의 첫소리가 된다.

우리말에서	우리말/NNG+에서/JKB
한	한/MMN
낱말이	낱말/NNG+이/JKS
줄어들	줄어들/VV+ㄹ/ETM
때는	때/NNG+는/JX
사라지는	사라지/VV+는/ETM
말의	말/NNG+의/JKG
첫소리가	첫소리/NNG+가/JKC
앞말의	앞말/NNG+의/JKG
받침으로	받침/NNG+으로/JKB
들어가고,	들어가/VV+고/EC+,/SP
끝소리는	끝소리/NNG+는/JX
뒷말의	뒷말/NNG+의/JKG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.298.6.6
‘이놈아’에서 ‘놈’의 첫소리 ‘ㄴ’은 ‘이’의 받침으로 들어가고, ‘놈’의 끝소리 ‘ㅁ’은 뒷말의 첫소리로 넘어가 ‘마’로 바뀌었다.

‘이놈아’에서	‘/SS+이놈/NP+아/JKV+’/SS+에서/JKB
‘놈’의	‘/SS+놈/NNB+’/SS+의/JKG
첫소리	첫소리/NNG
‘ㄴ’은	‘/SS+ㄴ/NNG+’/SS+은/JX
‘이’의	‘/SS+이/MMD+’/SS+의/JKG
받침으로	받침/NNG+으로/JKB
들어가고,	들어가/VV+고/EC+,/SP
끝소리	끝소리/NNG
‘ㅁ’은	‘/SS+ㅁ/NNG+’/SS+은/JX
뒷말의	뒷말/NNG+의/JKG
첫소리로	첫소리/NNG+로/JKB
넘어가	넘어가/VV+아/EC
‘마’로	‘/SS+마/NA+’/SS+로/JKB
바뀌었다.	바뀌/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.298.6.7
그렇다면 ‘야 이놈아’의 준말은?

그렇다면	그렇/VA+다면/EC
‘야	‘/SS+야/IC
이놈아’의	이놈/NP+아/JKV+’/SS+의/JKG
준말은?	준말/NNG+은/JX+?/SF


# id : NWRW1800000049.298.6.8
얌마가 아닌 ‘얀마’다.

얌마가	얌마/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
‘얀마’다.	‘/SS+얀마/IC+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000049.298.7.1
말 같지 않은 말이 어지럽게 춤추던 한 해가 저물어간다.

말	말/NNG
같지	같/VA+지/EC
않은	않/VX+은/ETM
말이	말/NNG+이/JKS
어지럽게	어지럽/VA+게/EC
춤추던	춤추/VV+던/ETM
한	한/MMN
해가	해/NNG+가/JKS
저물어간다.	저물/VV+어/EC+가/VX+ㄴ다/EF+./SF


