# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.268
metadata : {}


# id : NWRW1800000049.268.1.1
[횡설수설/허문명]미스 사이공이 오바마를 만난다면

[횡설수설/허문명]미스	[/SS+횡설수설/NNG+//SP+허문명/NNP+]/SS+미스/NNG
아들을 미국의 아빠에게 보낸 뒤 자살로 생을 마감했던 미스 사이공.

아들을	아들/NNG+을/JKO
미국의	미국/NNP+의/JKG
아빠에게	아빠/NNG+에게/JKB
보낸	보내/VV+ㄴ/ETM
뒤	뒤/NNG
자살로	자살/NNG+로/JKB
생을	생/NNG+을/JKO
마감했던	마감/NNG+하/XSV+았/EP+던/ETM
미스	미스/NNG
사이공.	사이공/NNP+./SF


# id : NWRW1800000049.268.5.5
만일 오바마를 만난다면 이것도 기적이라 말하지 않을까.

만일	만일/MAG
오바마를	오바마/NNP+를/JKO
만난다면	만나/VV+ㄴ다면/EC
이것도	이것/NP+도/JX
기적이라	기적/NNG+이/VCP+라/EC
말하지	말/NNG+하/XSV+지/EC
않을까.	않/VX+을까/EF+./SF


