# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.173
metadata : {}


# id : NWRW1800000053.173.1.1
[단독]서울대, 기회균형 신입생에 ‘맞춤형 과외’

[단독]서울대,	[/SS+단독/NNG+]/SS+서울대/NNP+,/SP
458명에	458/SN+명/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.173.5.5
한 해 기회균형전형으로 선발되는 학생이 170여 명이고 자발적 참가인 걸 감안하면 상당히 많은 수다.

한	한/MMN
해	해/NNB
기회균형전형으로	기회/NNG+균형/NNG+전형/NNG+으로/JKB
선발되는	선발/NNG+되/XSV+는/ETM
학생이	학생/NNG+이/JKS
170여	170/SN+여/XSN
명이고	명/NNB+이/VCP+고/EC
자발적	자발/NNG+적/XSN
참가인	참가/NNG+이/VCP+ㄴ/ETM
걸	거/NNB+ㄹ/JKO
감안하면	감안/NNG+하/XSV+면/EC
상당히	상당히/MAG
많은	많/VA+은/ETM
수다.	수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.173.6.1
올 하반기부터 진행될 개인 과외 프로그램은 주로 수학과 영어 등 기초 교육에 초점을 맞출 예정이다.

올	올/NNG
하반기부터	하반기/NNG+부터/JX
진행될	진행/NNG+되/XSV+ㄹ/ETM
개인	개인/NNG
과외	과외/NNG
프로그램은	프로그램/NNG+은/JX
주로	주로/MAG
수학과	수학/NNG+과/JC
영어	영어/NNP
등	등/NNB
기초	기초/NNG
교육에	교육/NNG+에/JKB
초점을	초점/NNG+을/JKO
맞출	맞추/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.173.6.2
30명의 학생을 선발해 ‘영어 글쓰기’ ‘생명과학을 위한 수학’ ‘통계학’ 등을 가르친다.

30명의	30/SN+명/NNB+의/JKG
학생을	학생/NNG+을/JKO
선발해	선발/NNG+하/XSV+아/EC
‘영어	‘/SS+영어/NNP
글쓰기’	글쓰기/NNG+’/SS
‘생명과학을	‘/SS+생명/NNG+과학/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
수학’	수학/NNG+’/SS
‘통계학’	‘/SS+통계학/NNG+’/SS
등을	등/NNB+을/JKO
가르친다.	가르치/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.173.6.3
사교육 없이 대학에 진학했을 때 주로 어려움을 겪는 과목들이다.

사교육	사교육/NNG
없이	없이/MAG
대학에	대학/NNG+에/JKB
진학했을	진학/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
주로	주로/MAG
어려움을	어려움/NNG+을/JKO
겪는	겪/VV+는/ETM
과목들이다.	과목/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000053.173.6.4
주 1회 2시간씩 8차례 진행되는 수업은 선생과 학생 간 일대일 지도로 이뤄지며 해당 전공 석박사 과정의 대학원생들이 지도를 맡는다.

주	주/NNG
1회	1/SN+회/NNB
2시간씩	2/SN+시간/NNB+씩/XSN
8차례	8/SN+차례/NNG
진행되는	진행/NNG+되/XSV+는/ETM
수업은	수업/NNG+은/JX
선생과	선생/NNG+과/JC
학생	학생/NNG
간	간/NNB
일대일	일대일/NNG
지도로	지도/NNG+로/JKB
이뤄지며	이뤄지/VV+며/EC
해당	해당/NNG
전공	전공/NNG
석박사	석박사/NNG
과정의	과정/NNG+의/JKG
대학원생들이	대학원/NNG+생/XSN+들/XSN+이/JKS
지도를	지도/NNG+를/JKO
맡는다.	맡/VV+는다/EF+./SF


# id : NWRW1800000053.173.6.5
이희원 교수학습개발센터 연구부교수는 “이공계 학생들이 인문계 학생들에 비해 학업에 어려움을 호소하는 경우가 많다.

이희원	이희원/NNP
교수학습개발센터	교수/NNG+학습/NNG+개발/NNG+센터/NNG
연구부교수는	연구/NNG+부교수/NNG+는/JX
“이공계	“/SS+이공/NNG+계/XSN
학생들이	학생/NNG+들/XSN+이/JKS
인문계	인문/NNG+계/XSN
학생들에	학생/NNG+들/XSN+에/JKB
비해	비/NNG+하/XSV+아/EC
학업에	학업/NNG+에/JKB
어려움을	어려움/NNG+을/JKO
호소하는	호소/NNG+하/XSV+는/ETM
경우가	경우/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000053.173.6.6
과학 과목에 대해서도 확대 실시할 계획”이라고 말했다.

과학	과학/NNG
과목에	과목/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
확대	확대/NNG
실시할	실시/NNG+하/XSV+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.173.7.1
이러한 변화의 배경에는 학내에 자리 잡고 있는 기회균형전형 입학생들에 대한 차별인식 철폐도 깔려 있다.

이러한	이러하/VA+ㄴ/ETM
변화의	변화/NNG+의/JKG
배경에는	배경/NNG+에/JKB+는/JX
학내에	학내/NNG+에/JKB
자리	자리/NNG
잡고	잡/VV+고/EC
있는	있/VX+는/ETM
기회균형전형	기회/NNG+균형/NNG+전형/NNG
입학생들에	입학/NNG+생/XSN+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
차별인식	차별/NNG+인식/NNG
철폐도	철폐/NNG+도/JX
깔려	깔리/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.173.7.2
학생들 사이에는 이 전형 출신 입학생을 비하하는 단어가 나돌 정도로 선 긋기와 낙인찍기가 팽배해 있기도 하다.

학생들	학생/NNG+들/XSN
사이에는	사이/NNG+에/JKB+는/JX
이	이/MMD
전형	전형/NNG
출신	출신/NNG
입학생을	입학/NNG+생/XSN+을/JKO
비하하는	비하/NNG+하/XSV+는/ETM
단어가	단어/NNG+가/JKS
나돌	나돌/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
선	선/NNG
긋기와	긋/VV+기/ETN+와/JC
낙인찍기가	낙인찍/VV+기/ETN+가/JKS
팽배해	팽배/NNG+하/XSV+아/EC
있기도	있/VX+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000053.173.8.1
이에 따라 서울대는 교무처와 교수학습개발센터, 대학생활문화원이 하나가 돼 교육과 학습, 정서적 지원 등 포괄적인 방안을 구상 중이다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
서울대는	서울대/NNP+는/JX
교무처와	교무처/NNG+와/JC
교수학습개발센터,	교수/NNG+학습/NNG+개발/NNG+센터/NNG+,/SP
대학생활문화원이	대학/NNG+생활/NNG+문화원/NNG+이/JKS
하나가	하나/NR+가/JKC
돼	되/VV+어/EC
교육과	교육/NNG+과/JC
학습,	학습/NNG+,/SP
정서적	정서/NNG+적/XSN
지원	지원/NNG
등	등/NNB
포괄적인	포괄/NNG+적/XSN+이/VCP+ㄴ/ETM
방안을	방안/NNG+을/JKO
구상	구상/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.173.8.2
김기현 서울대 교무처장은 “입학생들이 느끼는 박탈감과 실제 학습에서의 어려움 등 종합적 해결 방안을 마련하기 위한 태스크포스(TF)를 구성 중”이라며 “전문 요원 인선 후 구체적 방안을 마련해 학내 차별을 없애 나갈 것”이라고 밝혔다.

김기현	김기현/NNP
서울대	서울대/NNP
교무처장은	교무처장/NNG+은/JX
“입학생들이	“/SS+입학/NNG+생/XSN+들/XSN+이/JKS
느끼는	느끼/VV+는/ETM
박탈감과	박탈감/NNG+과/JC
실제	실제/NNG
학습에서의	학습/NNG+에서/JKB+의/JKG
어려움	어려움/NNG
등	등/NNB
종합적	종합/NNG+적/XSN
해결	해결/NNG
방안을	방안/NNG+을/JKO
마련하기	마련/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
태스크포스(TF)를	태스크포스/NNG+(/SS+TF/SL+)/SS+를/JKO
구성	구성/NNG
중”이라며	중/NNB+”/SS+이/VCP+라며/EC
“전문	“/SS+전문/NNG
요원	요원/NNG
인선	인선/NNG
후	후/NNG
구체적	구체/NNG+적/XSN
마련해	마련/NNG+하/XSV+아/EC
학내	학내/NNG
차별을	차별/NNG+을/JKO
없애	없애/VV+어/EC
나갈	나가/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


