# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.388
metadata : {}


# id : NWRW1800000024.388.1.1
이란, 핵협상 초안 거부

이란,	이란/NNP+,/SP
농축우라늄만으로	농축/NNG+우라늄/NNG+만/JX+으로/JKB
핵무기를	핵무기/NNG+를/JKO
제조하긴	제조/NNG+하/XSV+기/ETN+ㄴ/JX
어려워	어렵/VA+어/EC
서방의	서방/NNG+의/JKG
우려도	우려/NNG+도/JX
줄어들게	줄어들/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.388.4.4
이란 대표팀과 가까운 한 소식통은 “초안을 받아들이기보다 이란은 연구용 원자로에 필요한 우라늄을 사길 원한다”고 말해 대부분의 농축 우라늄이 서방의 관리 아래 들어가는 것을 꺼리는 이란의 분위기를 전했다.

이란	이란/NNP
대표팀과	대표/NNG+팀/NNG+과/JKB
가까운	가깝/VA+ㄴ/ETM
한	한/MMN
소식통은	소식통/NNG+은/JX
“초안을	“/SS+초안/NNG+을/JKO
받아들이기보다	받아들이/VV+기/ETN+보다/JKB
이란은	이란/NNP+은/JX
연구용	연구/NNG+용/XSN
원자로에	원자로/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
우라늄을	우라늄/NNG+을/JKO
사길	사/VV+기/ETN+ㄹ/JKO
원한다”고	원/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말해	말/NNG+하/XSV+아/EC
대부분의	대/XPN+부분/NNG+의/JKG
농축	농축/NNG
우라늄이	우라늄/NNG+이/JKS
서방의	서방/NNG+의/JKG
관리	관리/NNG
아래	아래/NNG
들어가는	들어가/VV+는/ETM
것을	것/NNB+을/JKO
꺼리는	꺼리/VV+는/ETM
이란의	이란/NNP+의/JKG
분위기를	분위기/NNG+를/JKO
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.388.5.1
하지만 이날 이란의 협상 초안 거부가 곧장 핵협상 파기로 치닫거나 국제사회의 이란 제재 강화로 이어지지는 않을 것으로 보인다.

하지만	하지만/MAJ
이날	이날/NNG
이란의	이란/NNP+의/JKG
협상	협상/NNG
초안	초안/NNG
거부가	거부/NNG+가/JKS
곧장	곧장/MAG
핵협상	핵/NNG+협상/NNG
파기로	파기/NNG+로/JKB
치닫거나	치닫/VV+거나/EC
국제사회의	국제/NNG+사회/NNG+의/JKG
이란	이란/NNP
제재	제재/NNG
강화로	강화/NNG+로/JKB
이어지지는	이어지/VV+지/EC+는/JX
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


