# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.161
metadata : {}


# id : NWRW1800000044.161.1.1
학생·학부모 ‘역사왜곡 교과서’를 거부하다

학생·학부모	학생/NNG+·/SP+학부모/NNG
교과서	교과서/NNG
채택을	채택/NNG+을/JKO
취소하는	취소/NNG+하/XSV+는/ETM
학교가	학교/NNG+가/JKS
잇따라	잇따르/VV+아/EC
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.161.6.1
경기도 파주의 운정고는 2일 역사 교사 등으로 이뤄진 역사교과협의회를 열어 교학사 교과서 선정을 취소하고 다른 출판사의 교과서로 바꾸기로 했다고 밝혔다.

경기도	경기도/NNP
파주의	파주/NNP+의/JKG
운정고는	운정고/NNP+는/JX
2일	2/SN+일/NNB
역사	역사/NNG
교사	교사/NNG
등으로	등/NNB+으로/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
역사교과협의회를	역사/NNG+교과/NNG+협의회/NNG+를/JKO
열어	열/VV+어/EC
교학사	교학사/NNP
교과서	교과서/NNG
선정을	선정/NNG+을/JKO
취소하고	취소/NNG+하/XSV+고/EC
다른	다른/MMD
출판사의	출판사/NNG+의/JKG
교과서로	교과서/NNG+로/JKB
바꾸기로	바꾸/VV+기/ETN+로/JKB
했다고	하/VV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.161.6.2
이 학교의 이순덕 교감은 “학생과 학부모, 지역사회로부터 ‘1%도 선택받지 못한 교과서를 왜 선정했느냐’며 많은 항의와 우려가 제기됐다”고 배경을 설명했다.

이	이/MMD
학교의	학교/NNG+의/JKG
이순덕	이순덕/NNP
교감은	교감/NNG+은/JX
“학생과	“/SS+학생/NNG+과/JC
학부모,	학부모/NNG+,/SP
지역사회로부터	지역/NNG+사회/NNG+로부터/JKB
‘1%도	‘/SS+1/SN+%/SW+도/JX
선택받지	선택/NNG+받/XSV+지/EC
못한	못하/VX+ㄴ/ETM
교과서를	교과서/NNG+를/JKO
왜	왜/MAG
선정했느냐’며	선정/NNG+하/XSV+았/EP+느냐/EF+’/SS+며/EC
많은	많/VA+은/ETM
항의와	항의/NNG+와/JC
우려가	우려/NNG+가/JKS
제기됐다”고	제기/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
배경을	배경/NNG+을/JKO
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.161.7.1
이밖에 이미 교학사 교과서를 채택한 경북 성주고도 이날 다른 교과서로 바꾸기로 했고, 경기도 분당영덕여고·여주제일고 등도 재검토에 들어간 것으로 확인됐다.

이밖에	이/NP+밖/NNG+에/JKB
이미	이미/MAG
교학사	교학사/NNP
교과서를	교과서/NNG+를/JKO
채택한	채택/NNG+하/XSV+ㄴ/ETM
경북	경북/NNP
성주고도	성주고/NNP+도/JX
이날	이날/NNG
다른	다른/MMD
교과서로	교과서/NNG+로/JKB
바꾸기로	바꾸/VV+기/ETN+로/JKB
했고,	하/VV+았/EP+고/EC+,/SP
경기도	경기도/NNP
분당영덕여고·여주제일고	분당영덕여고/NNP+·/SP+여주제일고/NNP
등도	등/NNB+도/JX
재검토에	재/XPN+검토/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.161.8.1
교학사 교과서 선정 과정에서의 외압 의혹도 제기되고 있다.

교학사	교학사/NNP
교과서	교과서/NNG
선정	선정/NNG
과정에서의	과정/NNG+에서/JKB+의/JKG
외압	외압/NNG
의혹도	의혹/NNG+도/JX
제기되고	제기/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.161.8.2
경기도 수원 동우여고 공기택(54) 역사교사는 <한겨레>에 “교장실에 불려가 ‘교학사 교과서를 추천해달라’는 간절한 부탁을 받고 어쩔 수 없이 이 교과서를 (선정 한도인) 3위에 올렸는데 어찌된 일인지 3위가 (최종) 선정됐다”고 말했다.

경기도	경기도/NNP
수원	수원/NNP
동우여고	동우여고/NNP
공기택(54)	공기택/NNP+(/SS+54/SN+)/SS
역사교사는	역사/NNG+교사/NNG+는/JX
<한겨레>에	</SS+한겨레/NNP+>/SS+에/JKB
“교장실에	“/SS+교장실/NNG+에/JKB
불려가	불려가/VV+아/EC
‘교학사	‘/SS+교학사/NNP
교과서를	교과서/NNG+를/JKO
추천해달라’는	추천/NNG+하/XSV+아/EC+달/VX+라/EF+’/SS+는/ETM
간절한	간절하/VA+ㄴ/ETM
부탁을	부탁/NNG+을/JKO
받고	받/VV+고/EC
어쩔	어쩌/VV+ㄹ/ETM
수	수/NNB
없이	없이/MAG
이	이/MMD
(선정	(/SS+선정/NNG
한도인)	한도/NNG+이/VCP+ㄴ/ETM+)/SS
3위에	3/SN+위/NNB+에/JKB
올렸는데	올리/VV+었/EP+는데/EC
어찌된	어찌/MAG+되/XSV+ㄴ/ETM
일인지	일/NNG+이/VCP+ㄴ지/EC
3위가	3/SN+위/NNB+가/JKS
(최종)	(/SS+최종/NNG+)/SS
선정됐다”고	선정/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.161.8.3
동우여고 한 학생은 이에 항의하는 대자보를 이날 붙였다.

동우여고	동우여고/NNP
한	한/MMN
학생은	학생/NNG+은/JX
이에	이/NP+에/JKB
항의하는	항의/NNG+하/XSV+는/ETM
대자보를	대자보/NNG+를/JKO
이날	이날/NNG
붙였다.	붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.161.9.1
이런 현상을 두고 교육계에서는 ‘비상식적’인 학교의 결정에 대한 ‘상식’의 저항이라는 분석이 나온다.

이런	이런/MMD
현상을	현상/NNG+을/JKO
두고	두/VV+고/EC
교육계에서는	교육/NNG+계/XSN+에서/JKB+는/JX
‘비상식적’인	‘/SS+비/XPN+상식/NNG+적/XSN+’/SS+이/VCP+ㄴ/ETM
학교의	학교/NNG+의/JKG
결정에	결정/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
‘상식’의	‘/SS+상식/NNG+’/SS+의/JKG
저항이라는	저항/NNG+이/VCP+라는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.161.9.2
친일·독재 미화 논란에 오류투성이로 밝혀진 교학사 교과서를 교재로 선택한 학교의 비합리적 의사결정에 대한 반발이라는 것이다.

친일·독재	친일/NNG+·/SP+독재/NNG
미화	미화/NNG
논란에	논란/NNG+에/JKB
오류투성이로	오류투성이/NNG+로/JKB
밝혀진	밝히/VV+어/EC+지/VX+ㄴ/ETM
교학사	교학사/NNP
교과서를	교과서/NNG+를/JKO
교재로	교재/NNG+로/JKB
선택한	선택/NNG+하/XSV+ㄴ/ETM
학교의	학교/NNG+의/JKG
비합리적	비/XPN+합리/NNG+적/XSN
의사결정에	의사/NNG+결정/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
반발이라는	반발/NNG+이/VCP+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.161.9.3
재단이나 학교장 중심의 권위적인 학교 분위기가 교과서 선정 작업 때도 반영되면서 교육 수요자인 학생·학부모의 생각과는 완전히 다른 선택이 이뤄진 데 따른 결과다.

재단이나	재단/NNG+이나/JC
학교장	학교장/NNG
중심의	중심/NNG+의/JKG
권위적인	권위/NNG+적/XSN+이/VCP+ㄴ/ETM
학교	학교/NNG
분위기가	분위기/NNG+가/JKS
교과서	교과서/NNG
선정	선정/NNG
작업	작업/NNG
때도	때/NNG+도/JX
반영되면서	반영/NNG+되/XSV+면서/EC
교육	교육/NNG
수요자인	수요자/NNG+이/VCP+ㄴ/ETM
학생·학부모의	학생/NNG+·/SP+학부모/NNG+의/JKG
생각과는	생각/NNG+과/JKB+는/JX
완전히	완전히/MAG
다른	다른/MMD
선택이	선택/NNG+이/JKS
이뤄진	이뤄지/VV+ㄴ/ETM
데	데/NNB
따른	따르/VV+ㄴ/ETM
결과다.	결과/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.161.10.1
박범이 참교육학부모회 회장은 “‘불량 교과서’로 수업을 받아야 하는 학생 당사자나, 자기 자녀의 문제인 학부모 입장에서는 학교의 비합리적 결정을 받아들일 수 없는 것은 당연하다”며 “보통 학부모들은 학교 문제에 대해 자녀 걱정 때문에 문제제기하기 쉽지 않은데, 이번에는 강하게 반발하는 모습이 여느 때와 다르다”고 말했다.

박범이	박범이/NNP
참교육학부모회	참교육학부모회/NNP
회장은	회장/NNG+은/JX
“‘불량	“/SS+‘/SS+불량/NNG
교과서’로	교과서/NNG+’/SS+로/JKB
수업을	수업/NNG+을/JKO
받아야	받/VV+아야/EC
하는	하/VX+는/ETM
학생	학생/NNG
당사자나,	당사자/NNG+나/JC+,/SP
자기	자기/NNG
자녀의	자녀/NNG+의/JKG
문제인	문제/NNG+이/VCP+ㄴ/ETM
학부모	학부모/NNG
입장에서는	입장/NNG+에서/JKB+는/JX
학교의	학교/NNG+의/JKG
비합리적	비/XPN+합리/NNG+적/XSN
결정을	결정/NNG+을/JKO
받아들일	받아들이/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
것은	것/NNB+은/JX
당연하다”며	당연/NNG+하/XSA+다/EF+”/SS+며/EC
“보통	“/SS+보통/MAG
학부모들은	학부모/NNG+들/XSN+은/JX
학교	학교/NNG
문제에	문제/NNG+에/JKB
대해	대하/VV+아/EC
자녀	자녀/NNG
걱정	걱정/NNG
때문에	때문/NNB+에/JKB
문제제기하기	문제/NNG+제기/NNG+하/XSV+기/ETN
쉽지	쉽/VA+지/EC
않은데,	않/VX+은데/EC+,/SP
이번에는	이번/NNG+에/JKB+는/JX
강하게	강하/VA+게/EC
반발하는	반발/NNG+하/XSV+는/ETM
모습이	모습/NNG+이/JKS
여느	여느/MMA
때와	때/NNG+와/JKB
다르다”고	다르/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.161.11.1
교학사 교과서 채택을 둘러싸고 교육 주체들이 집단적인 저항을 하는 현재의 모습은 2000년대 중반 일본에서 극우파가 만든 후소사판 교과서에 대해 교사, 역사학자, 시민들이 불채택운동에 나섰던 것과 닮은꼴이다.

교학사	교학사/NNP
교과서	교과서/NNG
채택을	채택/NNG+을/JKO
둘러싸고	둘러싸/VV+고/EC
교육	교육/NNG
주체들이	주체/NNG+들/XSN+이/JKS
집단적인	집단/NNG+적/XSN+이/VCP+ㄴ/ETM
저항을	저항/NNG+을/JKO
하는	하/VV+는/ETM
현재의	현재/NNG+의/JKG
모습은	모습/NNG+은/JX
2000년대	2000/SN+년대/NNB
중반	중반/NNG
일본에서	일본/NNP+에서/JKB
극우파가	극우파/NNG+가/JKS
만든	만들/VV+ㄴ/ETM
후소사판	후소사판/NNP
교과서에	교과서/NNG+에/JKB
대해	대하/VV+아/EC
교사,	교사/NNG+,/SP
역사학자,	역사학자/NNG+,/SP
시민들이	시민/NNG+들/XSN+이/JKS
불채택운동에	불/XPN+채택/NNG+운동/NNG+에/JKB
나섰던	나서/VV+었/EP+던/ETM
것과	것/NNB+과/JKB
닮은꼴이다.	닮/VV+은/ETM+꼴/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.161.12.1
결국 애초부터 수많은 문제제기에도 불구하고 ‘교학사 교과서 지키기’식 검정과정을 운영해 온 교육부가 자초한 일이라는 비판이 인다.

결국	결국/NNG
애초부터	애초/NNG+부터/JX
수많은	수많/VA+은/ETM
문제제기에도	문제/NNG+제기/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
‘교학사	‘/SS+교학사/NNP
교과서	교과서/NNG
지키기’식	지키/VV+기/ETN+’/SS+식/NNB
검정과정을	검정/NNG+과정/NNG+을/JKO
운영해	운영/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
교육부가	교육부/NNG+가/JKS
자초한	자초/NNG+하/XSV+ㄴ/ETM
일이라는	일/NNG+이/VCP+라는/ETM
비판이	비판/NNG+이/JKS
인다.	일/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.161.12.2
한국역사연구회 하일식 회장(연세대 교수)은 “이념 논쟁 이전에 교학사 교과서에 오류가 가득 차 있다는 것을 학계에서 분석해 알렸는데도, 이런 교과서를 선택한 교장이나 재단은 도저히 교육자라고 볼 수가 없다.

한국역사연구회	한국역사연구회/NNP
하일식	하일식/NNP
회장(연세대	회장/NNG+(/SS+연세대/NNP
교수)은	교수/NNG+)/SS+은/JX
“이념	“/SS+이념/NNG
논쟁	논쟁/NNG
이전에	이전/NNG+에/JKB
교학사	교학사/NNP
교과서에	교과서/NNG+에/JKB
오류가	오류/NNG+가/JKS
가득	가득/MAG
차	차/VV+아/EC
있다는	있/VX+다는/ETM
것을	것/NNB+을/JKO
학계에서	학계/NNG+에서/JKB
분석해	분석/NNG+하/XSV+아/EC
알렸는데도,	알리/VV+었/EP+는데/EC+도/JX+,/SP
이런	이런/MMD
교과서를	교과서/NNG+를/JKO
선택한	선택/NNG+하/XSV+ㄴ/ETM
교장이나	교장/NNG+이나/JC
재단은	재단/NNG+은/JX
도저히	도저히/MAG
교육자라고	교육자/NNG+이/VCP+라고/EC
볼	보/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000044.161.12.3
특히 이런 교과서를 최종 승인한 교육부의 책임이 크다”고 말했다.

특히	특히/MAG
이런	이런/MMD
교과서를	교과서/NNG+를/JKO
최종	최종/NNG
승인한	승인/NNG+하/XSV+ㄴ/ETM
교육부의	교육부/NNG+의/JKG
책임이	책임/NNG+이/JKS
크다”고	크/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


