# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.132
metadata : {}


# id : NWRW1800000049.132.1.1
‘수포자’ 없는 교실 위해… 교사 외 강사 한명 더 둔다

‘수포자’	‘/SS+수포자/NNG+’/SS
과정을	과정/NNG+을/JKO
따라가기	따라가/VV+기/ETN
위한	위하/VV+ㄴ/ETM
기초	기초/NNG
학습	학습/NNG
능력이	능력/NNG+이/JKS
부족하거나,	부족/NNG+하/XSA+거나/EC+,/SP
속도가	속도/NNG+가/JKS
느린	느리/VA+ㄴ/ETM
학생들이	학생/NNG+들/XSN+이/JKS
수학	수학/NNG
영어	영어/NNP
등	등/NNB
주요	주요/NNG
교과목	교과목/NNG
수업에서	수업/NNG+에서/JKB
소외되지	소외/NNG+되/XSV+지/EC
않도록	않/VX+도록/EC
하기	하/VX+기/ETN
맞춤형	맞춤/NNG+형/XSN
프로그램이다.	프로그램/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.132.4.3
협력강사는 대학에서 해당 교과목을 전공하고, 교사 자격증을 취득한 사람으로 정규 교과 수업 시간에 학습 부진 진단을 받은 학생의 멘토 역할을 하고, 방과후 특별 프로그램을 통해 학생들을 개별 지도한다.

협력강사는	협력/NNG+강사/NNG+는/JX
대학에서	대학/NNG+에서/JKB
해당	해당/NNG
교과목을	교과목/NNG+을/JKO
전공하고,	전공/NNG+하/XSV+고/EC+,/SP
교사	교사/NNG
자격증을	자격증/NNG+을/JKO
취득한	취득/NNG+하/XSV+ㄴ/ETM
사람으로	사람/NNG+으로/JKB
정규	정규/NNG
교과	교과/NNG
수업	수업/NNG
시간에	시간/NNG+에/JKB
학습	학습/NNG
부진	부진/NNG
진단을	진단/NNG+을/JKO
받은	받/VV+은/ETM
학생의	학생/NNG+의/JKG
멘토	멘토/NNG
역할을	역할/NNG+을/JKO
하고,	하/VV+고/EC+,/SP
방과후	방과/NNG+후/NNG
특별	특별/NNG
프로그램을	프로그램/NNG+을/JKO
통해	통하/VV+아/EC
학생들을	학생/NNG+들/XSN+을/JKO
개별	개별/NNG
지도한다.	지도/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.132.5.1
서울시교육청은 3월부터 20개 중고교를 대상으로 협력강사제를 시범 운영했고 내년부터 33개 신청 학교(중학교 22곳, 고교 11곳)의 중학교 1학년, 고교 1학년 학생을 대상으로 확대 운영할 방침이다.

서울시교육청은	서울시교육청/NNP+은/JX
3월부터	3/SN+월/NNB+부터/JX
20개	20/SN+개/NNB
중고교를	중고교/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
협력강사제를	협력/NNG+강사/NNG+제/XSN+를/JKO
시범	시범/NNG
운영했고	운영/NNG+하/XSV+았/EP+고/EC
내년부터	내년/NNG+부터/JX
33개	33/SN+개/NNB
신청	신청/NNG
학교(중학교	학교/NNG+(/SS+중학교/NNG
22곳,	22/SN+곳/NNG+,/SP
고교	고교/NNG
11곳)의	11/SN+곳/NNG+)/SS+의/JKG
중학교	중학교/NNG
1학년,	1/SN+학년/NNG+,/SP
1학년	1/SN+학년/NNG
학생을	학생/NNG+을/JKO
확대	확대/NNG
운영할	운영/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.132.6.1
올해 시범사업이 진행된 한 고교 1학년 A 양은 “그동안 이해가 안 돼서 수학 진도를 못 쫓아갔는데, 지금은 혼자 할 수 있다는 생각이 든다”며 “더이상 학원에 다니지 않는다”고 했다.

올해	올해/NNG
시범사업이	시범/NNG+사업/NNG+이/JKS
진행된	진행/NNG+되/XSV+ㄴ/ETM
한	한/MMN
고교	고교/NNG
1학년	1/SN+학년/NNG
A	A/SL
양은	양/NNB+은/JX
“그동안	“/SS+그동안/NNG
이해가	이해/NNG+가/JKS
안	안/MAG
돼서	되/VV+어서/EC
수학	수학/NNG
진도를	진도/NNG+를/JKO
못	못/MAG
쫓아갔는데,	쫓아가/VV+았/EP+는데/EC+,/SP
지금은	지금/NNG+은/JX
혼자	혼자/MAG
할	하/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
생각이	생각/NNG+이/JKS
든다”며	들/VV+ㄴ다/EF+”/SS+며/EC
“더이상	“/SS+더/MAG+이상/NNG
학원에	학원/NNG+에/JKB
다니지	다니/VV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.132.7.1
이 제도가 학교 현장에 제대로 안착하기 위해 해결돼야 할 과제도 있다.

이	이/MMD
제도가	제도/NNG+가/JKS
학교	학교/NNG
현장에	현장/NNG+에/JKB
제대로	제대로/MAG
안착하기	안착/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
해결돼야	해결/NNG+되/XSV+어야/EC
할	하/VX+ㄹ/ETM
과제도	과제/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.132.7.2
예산 문제다.

예산	예산/NNG
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.132.7.3
현재 협력강사는 매주 15시간 정도 수업에 참여하는데, 학교에 지원되는 연간 1000만 원의 예산으로는 우수 강사를 지속적으로 유치하기가 어렵다.

현재	현재/MAG
협력강사는	협력/NNG+강사/NNG+는/JX
매주	매주/MAG
15시간	15/SN+시간/NNB
정도	정도/NNG
수업에	수업/NNG+에/JKB
참여하는데,	참여/NNG+하/XSV+는데/EC+,/SP
학교에	학교/NNG+에/JKB
지원되는	지원/NNG+되/XSV+는/ETM
연간	연간/NNG
1000만	1000/SN+만/NR
원의	원/NNB+의/JKG
예산으로는	예산/NNG+으로/JKB+는/JX
우수	우수/NNG
강사를	강사/NNG+를/JKO
지속적으로	지속/NNG+적/XSN+으로/JKB
유치하기가	유치/NNG+하/XSV+기/ETN+가/JKS
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000049.132.7.4
해당 사업 시범학교의 한 수학 교사는 “협력강사의 수당이 너무 적어 모집이 어렵다”며 “우리 학교는 운이 좋아 좋은 분이 왔지만 현재 예산은 비현실적”이라고 말했다.

해당	해당/NNG
사업	사업/NNG
시범학교의	시범/NNG+학교/NNG+의/JKG
한	한/MMN
수학	수학/NNG
교사는	교사/NNG+는/JX
“협력강사의	“/SS+협력/NNG+강사/NNG+의/JKG
수당이	수당/NNG+이/JKS
너무	너무/MAG
적어	적/VA+어/EC
모집이	모집/NNG+이/JKS
어렵다”며	어렵/VA+다/EF+”/SS+며/EC
“우리	“/SS+우리/NP
학교는	학교/NNG+는/JX
운이	운/NNG+이/JKS
좋아	좋/VA+아/EC
좋은	좋/VA+은/ETM
분이	분/NNB+이/JKS
왔지만	오/VV+았/EP+지만/EC
현재	현재/MAG
예산은	예산/NNG+은/JX
비현실적”이라고	비/XPN+현실/NNG+적/XSN+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


