# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.196
metadata : {}


# id : NWRW1800000038.196.1.1
아시아나, 중국內 영업에 일부 타격

아시아나,	아시아나/NNP+,/SP
아시아나항공 중국 법인 관계자는 "당장의 영업 손실보다 조종사 과실로 몰아가는 미국 언론 보도가 중국 내에 그대로 확산되는 것이 더 큰 문제"라고 말했다.

아시아나항공	아시아나항공/NNP
중국	중국/NNP
법인	법인/NNG
관계자는	관계자/NNG+는/JX
"당장의	"/SS+당장/NNG+의/JKG
영업	영업/NNG
손실보다	손실/NNG+보다/JKB
조종사	조종사/NNG
과실로	과실/NNG+로/JKB
몰아가는	몰아가/VV+는/ETM
미국	미국/NNP
언론	언론/NNG
보도가	보도/NNG+가/JKS
내에	내/NNB+에/JKB
그대로	그대로/MAG
확산되는	확산/NNG+되/XSV+는/ETM
것이	것/NNB+이/JKS
더	더/MAG
큰	크/VA+ㄴ/ETM
문제"라고	문제/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


