# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.378
metadata : {}


# id : NWRW1800000053.378.1.1
정상 대하듯… 이방카 극진히 대접한 아베

정상	정상/NNG
이방카는 아시아 5개국을 순방하는 트럼프 대통령과 달리 일본만 방문하며 일본 정부로부터 극진한 대접을 받고 있다.

이방카는	이방카/NNP+는/JX
아시아	아시아/NNP
5개국을	5/SN+개국/NNB+을/JKO
순방하는	순방/NNG+하/XSV+는/ETM
트럼프	트럼프/NNP
대통령과	대통령/NNG+과/JKB
달리	달리/MAG
일본만	일본/NNP+만/JX
방문하며	방문/NNG+하/XSV+며/EC
일본	일본/NNP
정부로부터	정부/NNG+로부터/JKB
극진한	극진하/VA+ㄴ/ETM
대접을	대접/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.378.6.2
이날 밤 아베 총리는 직접 일본식 료칸(旅館)에서 이방카에게 만찬을 대접했다.

이날	이날/NNG
밤	밤/NNG
아베	아베/NNP
총리는	총리/NNG+는/JX
직접	직접/MAG
일본식	일본식/NNG
료칸(旅館)에서	료칸/NNG+(/SS+旅館/SH+)/SS+에서/JKB
이방카에게	이방카/NNP+에게/JKB
만찬을	만찬/NNG+을/JKO
대접했다.	대접/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.378.6.3
전날 저녁 이방카는 윌리엄 해거티 주일 미대사와 만찬을 한 뒤 인스타그램에 일본식 코스 요리인 가이세키(懷石) 요리를 먹었다는 글을 사진과 함께 올렸다.

전날	전날/NNG
저녁	저녁/NNG
이방카는	이방카/NNP+는/JX
윌리엄	윌리엄/NNP
해거티	해거티/NNP
주일	주일/NNG
미대사와	미/NNP+대사/NNG+와/JKB
만찬을	만찬/NNG+을/JKO
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
인스타그램에	인스타그램/NNP+에/JKB
일본식	일본식/NNG
코스	코스/NNG
요리인	요리/NNG+이/VCP+ㄴ/ETM
가이세키(懷石)	가이세키/NNG+(/SS+懷石/SH+)/SS
요리를	요리/NNG+를/JKO
먹었다는	먹/VV+었/EP+다는/ETM
글을	글/NNG+을/JKO
사진과	사진/NNG+과/JKB
함께	함께/MAG
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.378.7.1
이처럼 일본 정부가 이방카에게 정성을 기울이는 것은 그가 미일관계에 큰 도움이 된다는 판단 때문이다.

이처럼	이/NP+처럼/JKB
일본	일본/NNP
정부가	정부/NNG+가/JKS
이방카에게	이방카/NNP+에게/JKB
정성을	정성/NNG+을/JKO
기울이는	기울이/VV+는/ETM
것은	것/NNB+은/JX
그가	그/NP+가/JKS
미일관계에	미일/NNP+관계/NNG+에/JKB
큰	크/VA+ㄴ/ETM
도움이	도움/NNG+이/JKC
된다는	되/VV+ㄴ다는/ETM
판단	판단/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.378.7.2
일본 정부는 아베 총리가 트럼프 대통령의 당선 직후 회담을 할 수 있게 해준 공로자로 이방카 인맥을 들고 있다.

일본	일본/NNP
정부는	정부/NNG+는/JX
아베	아베/NNP
총리가	총리/NNG+가/JKS
트럼프	트럼프/NNP
대통령의	대통령/NNG+의/JKG
당선	당선/NNG
직후	직후/NNG
회담을	회담/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
해준	하/VX+아/EC+주/VX+ㄴ/ETM
공로자로	공로자/NNG+로/JKB
이방카	이방카/NNP
인맥을	인맥/NNG+을/JKO
들고	들/VV+고/EC
있다.	있/VX+다/EF+./SF


