# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.124
metadata : {}


# id : NWRW1800000045.124.1.1
“낭비벽 심해” “내 돈 틀어쥐고 구박만” 총각 처녀 티격태격

“낭비벽	“/SS+낭비벽/NNG
‘꽃보다	‘/SS+꽃/NNG+보다/JKB
할배-그리스편’이	할배/NNG+-/SO+그리스/NNP+편/NNB+’/SS+이/JKS
27일	27/SN+일/NNB
오후	오후/NNG
9시	9/SN+시/NNB
45분	45/SN+분/NNB
처음	처음/NNG
방영된다.	방영/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.124.4.2
이번엔 ‘할배’ 이순재 신구 박근형 백일섭과 ‘짐꾼’ 이서진 등 고정 출연자 외에 또 다른 ‘짐꾼’으로 최지우가 출연했다.

이번엔	이번/NNG+에/JKB+ㄴ/JX
‘할배’	‘/SS+할배/NNG+’/SS
이순재	이순재/NNP
신구	신구/NNP
박근형	박근형/NNP
백일섭과	백일섭/NNP+과/JC
‘짐꾼’	‘/SS+짐/NNG+꾼/XSN+’/SS
이서진	이서진/NNP
등	등/NNB
고정	고정/NNG
출연자	출연자/NNG
외에	외/NNB+에/JKB
또	또/MAG
다른	다른/MMD
‘짐꾼’으로	‘/SS+짐/NNG+꾼/XSN+’/SS+으로/JKB
최지우가	최지우/NNP+가/JKS
출연했다.	출연/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.124.5.1
24일 서울 영등포구 여의도 63빌딩에서 열린 제작발표회에서 최지우는 “이미 여행을 세 번이나 함께 다녀온 네 선생님들과 오빠 사이에 새롭게 투입돼 저를 불편해할까 봐 걱정을 많이 했는데, 금방 친해져서 재미있었다”고 말했다.

24일	24/SN+일/NNB
서울	서울/NNP
영등포구	영등포구/NNP
여의도	여의도/NNP
63빌딩에서	63빌딩/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
제작발표회에서	제작/NNG+발표회/NNG+에서/JKB
최지우는	최지우/NNP+는/JX
“이미	“/SS+이미/MAG
여행을	여행/NNG+을/JKO
세	세/MMN
번이나	번/NNB+이나/JX
함께	함께/MAG
다녀온	다녀오/VV+ㄴ/ETM
네	네/MMN
선생님들과	선생/NNG+님/XSN+들/XSN+과/JKB
오빠	오빠/NNG
사이에	사이/NNG+에/JKB
새롭게	새롭/VA+게/EC
투입돼	투입/NNG+되/XSV+어/EC
저를	저/NP+를/JKO
불편해할까	불편/NNG+하/XSA+아/EC+하/VX+ㄹ까/EF
봐	보/VX+아/EC
걱정을	걱정/NNG+을/JKO
많이	많이/MAG
했는데,	하/VV+았/EP+는데/EC+,/SP
금방	금방/MAG
친해져서	친하/VA+아/EC+지/VX+어서/EC
재미있었다”고	재미있/VA+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.124.6.1
이서진은 “그동안 남자 5명이 여행하는 게 뭐가 그렇게 재미가 있었겠나”라며 “두바이의 사막에 들렀을 때 전 같으면 내내 아무 말 없이 석양만 보다가 왔을 텐데 최지우가 분위기를 띄웠다”라고 말했다.

이서진은	이서진/NNP+은/JX
“그동안	“/SS+그동안/NNG
남자	남자/NNG
5명이	5/SN+명/NNB+이/JKS
여행하는	여행/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
뭐가	뭐/NP+가/JKS
그렇게	그렇/VA+게/EC
재미가	재미/NNG+가/JKS
있었겠나”라며	있/VA+었/EP+겠/EP+나/EF+”/SS+라며/EC
“두바이의	“/SS+두바이/NNP+의/JKG
사막에	사막/NNG+에/JKB
들렀을	들르/VV+었/EP+을/ETM
때	때/NNG
전	전/NNG
같으면	같/VA+으면/EC
내내	내내/MAG
아무	아무/MMD
말	말/NNG
없이	없이/MAG
석양만	석양/NNG+만/JX
보다가	보/VV+다가/EC
왔을	오/VV+았/EP+을/ETM
텐데	터/NNB+이/VCP+ㄴ데/EC
최지우가	최지우/NNP+가/JKS
분위기를	분위기/NNG+를/JKO
띄웠다”라고	띄우/VV+었/EP+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.124.7.1
총각 처녀(이서진 최지우)가 여행을 함께했지만 ‘정분’이 나지는 않았다고 한다.

총각	총각/NNG
처녀(이서진	처녀/NNG+(/SS+이서진/NNP
최지우)가	최지우/NNP+)/SS+가/JKS
여행을	여행/NNG+을/JKO
함께했지만	함께/MAG+하/XSV+았/EP+지만/EC
‘정분’이	‘/SS+정분/NNG+’/SS+이/JKS
나지는	나/VV+지/EC+는/JX
않았다고	않/VX+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.124.7.2
둘이 산토리니의 언덕에 연인처럼 나란히 앉아 찍은 사진이 공개됐는데 당시 나눈 얘기는 “여행 경비가 얼마나 남았나”였다고.

둘이	둘/NR+이/JKS
산토리니의	산토리니/NNP+의/JKG
언덕에	언덕/NNG+에/JKB
연인처럼	연인/NNG+처럼/JKB
나란히	나란히/MAG
앉아	앉/VV+아/EC
찍은	찍/VV+은/ETM
사진이	사진/NNG+이/JKS
공개됐는데	공개/NNG+되/XSV+었/EP+는데/EC
당시	당시/NNG
나눈	나누/VV+ㄴ/ETM
얘기는	얘기/NNG+는/JX
“여행	“/SS+여행/NNG
경비가	경비/NNG+가/JKS
얼마나	얼마나/MAG
남았나”였다고.	남/VV+았/EP+나/EF+”/SS+이/VCP+었/EP+다고/EC+./SF


# id : NWRW1800000045.124.7.3
이서진은 “예산이 빠듯한데 최지우가 비싼 숙소를 고집하는 등 과소비와 낭비벽을 보였다”고 폭로하자 최지우는 “이서진이 내 몫의 경비까지 갖고 있으면서 돈을 안주고 과소비를 한다고 구박을 해 서러웠다”고 반박했다.

이서진은	이서진/NNP+은/JX
“예산이	“/SS+예산/NNG+이/JKS
빠듯한데	빠듯하/VA+ㄴ데/EC
최지우가	최지우/NNP+가/JKS
비싼	비싸/VA+ㄴ/ETM
숙소를	숙소/NNG+를/JKO
고집하는	고집/NNG+하/XSV+는/ETM
등	등/NNB
과소비와	과/XPN+소비/NNG+와/JC
낭비벽을	낭비벽/NNG+을/JKO
보였다”고	보이/VV+었/EP+다/EF+”/SS+고/JKQ
폭로하자	폭로/NNG+하/XSV+자/EC
최지우는	최지우/NNP+는/JX
“이서진이	“/SS+이서진/NNP+이/JKS
내	나/NP+의/JKG
몫의	몫/NNG+의/JKG
경비까지	경비/NNG+까지/JX
갖고	갖/VV+고/EC
있으면서	있/VX+으면서/EC
돈을	돈/NNG+을/JKO
안주고	안/MAG+주/VV+고/EC
과소비를	과/XPN+소비/NNG+를/JKO
한다고	하/VV+ㄴ다고/EC
구박을	구박/NNG+을/JKO
해	하/VV+아/EC
서러웠다”고	서럽/VA+었/EP+다/EF+”/SS+고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.124.8.1
‘할배’들은 전과 다름없이 씩씩하게 여행을 다녀왔다.

‘할배’들은	‘/SS+할배/NNG+’/SS+들/XSN+은/JX
전과	전/NNG+과/JKB
다름없이	다름없이/MAG
씩씩하게	씩씩하/VA+게/EC
여행을	여행/NNG+을/JKO
다녀왔다.	다녀오/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.124.8.2
‘직진본능’ 이순재는 여행 중 희귀 물고기를 모아놓은 수족관을 보고 “횟감 많네”라고 농담을 했다.

‘직진본능’	‘/SS+직진/NNG+본능/NNG+’/SS
이순재는	이순재/NNP+는/JX
여행	여행/NNG
중	중/NNB
희귀	희귀/NNG
물고기를	물고기/NNG+를/JKO
모아놓은	모으/VV+아/EC+놓/VX+은/ETM
수족관을	수족관/NNG+을/JKO
보고	보/VV+고/EC
“횟감	“/SS+횟감/NNG
많네”라고	많/VA+네/EF+”/SS+라고/JKQ
농담을	농담/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.124.8.3
걷는 것을 싫어하는 백일섭은 밥 한끼를 먹기 위해 전철 한 구간을 걸어갔다.

걷는	걷/VV+는/ETM
것을	것/NNB+을/JKO
싫어하는	싫어하/VV+는/ETM
백일섭은	백일섭/NNP+은/JX
밥	밥/NNG
한끼를	한/MMN+끼/NNG+를/JKO
먹기	먹/VV+기/ETN
위해	위하/VV+아/EC
전철	전철/NNG
한	한/MMN
구간을	구간/NNG+을/JKO
걸어갔다.	걸어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.124.9.1
나영석 PD는 “이번 시즌도 네 분이 여행 다니면서 밥 먹고, 좋은 풍경 보고, 자고, 짐꾼들과 티격태격하는 내용이 전부”라며 “매년 나오는 특집극처럼 시청자가 편안하게 볼 수 있는 프로그램”이라고 말했다.

나영석	나영석/NNP
PD는	PD/SL+는/JX
“이번	“/SS+이번/NNG
시즌도	시즌/NNG+도/JX
네	네/MMN
분이	분/NNB+이/JKS
여행	여행/NNG
다니면서	다니/VV+면서/EC
밥	밥/NNG
먹고,	먹/VV+고/EC+,/SP
좋은	좋/VA+은/ETM
풍경	풍경/NNG
보고,	보/VV+고/EC+,/SP
자고,	자/VV+고/EC+,/SP
짐꾼들과	짐/NNG+꾼/XSN+들/XSN+과/JKB
티격태격하는	티격태격/MAG+하/XSV+는/ETM
내용이	내용/NNG+이/JKS
전부”라며	전부/NNG+”/SS+이/VCP+라며/EC
“매년	“/SS+매년/MAG
나오는	나오/VV+는/ETM
특집극처럼	특집극/NNG+처럼/JKB
시청자가	시청자/NNG+가/JKS
편안하게	편안/NNG+하/XSA+게/EC
볼	보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
프로그램”이라고	프로그램/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


