# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.19
metadata : {}


# id : NWRW1800000048.19.1.1
무서운 중국산…IT제품이 음식료품 수입 비중 제쳤다

무서운	무섭/VA+ㄴ/ETM
1831억달러로	1831/SN+억/NR+달러/NNB+로/JKB
늘었지만	늘/VV+었/EP+지만/EC
침투율은	침투/NNG+율/XSN+은/JX
2.5%에서	2/SN+./SP+5/SN+%/SW+에서/JKB
1.4%로	1/SN+./SP+4/SN+%/SW+로/JKB
줄어	줄/VV+어/EC
하락세에	하락세/NNG+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.19.9.1
수입침투율은 내수시장에서 수입제품이 차지하는 시장점유율을 말한다.

수입침투율은	수입/NNG+침투/NNG+율/XSN+은/JX
내수시장에서	내수/NNG+시장/NNG+에서/JKB
수입제품이	수입/NNG+제품/NNG+이/JKS
차지하는	차지/NNG+하/XSV+는/ETM
시장점유율을	시장/NNG+점유/NNG+율/XSN+을/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.19.9.2
이 선임연구원은 두 나라의 제조업 생산액과 무역 통계를 활용해 계산했다고 설명했다.

이	이/NNP
선임연구원은	선임/NNG+연구원/NNG+은/JX
두	두/MMN
나라의	나라/NNG+의/JKG
제조업	제조업/NNG
생산액과	생산액/NNG+과/JC
무역	무역/NNG
통계를	통계/NNG+를/JKO
활용해	활용/NNG+하/XSV+아/EC
계산했다고	계산/NNG+하/XSV+았/EP+다고/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.19.9.3
다만 특정 품목의 수입침투율은 100%를 넘어설 수 있다.

다만	다만/MAG
특정	특정/NNG
품목의	품목/NNG+의/JKG
수입침투율은	수입/NNG+침투/NNG+율/XSN+은/JX
100%를	100/SN+%/SW+를/JKO
넘어설	넘어서/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.19.9.4
자료선별의 한계로 내수용으로 들여오는 수입품뿐 아니라 재수출용으로 들여오는 수입품 액수까지 수입침투율 계산에 포괄적으로 반영되는 탓이다.

자료선별의	자료/NNG+선별/NNG+의/JKG
한계로	한계/NNG+로/JKB
내수용으로	내수/NNG+용/XSN+으로/JKB
들여오는	들여오/VV+는/ETM
수입품뿐	수입품/NNG+뿐/JX
아니라	아니/VCN+라/EC
재수출용으로	재/XPN+수출/NNG+용/XSN+으로/JKB
수입품	수입품/NNG
액수까지	액수/NNG+까지/JX
수입침투율	수입/NNG+침투/NNG+율/XSN
계산에	계산/NNG+에/JKB
포괄적으로	포괄/NNG+적/XSN+으로/JKB
반영되는	반영/NNG+되/XSV+는/ETM
탓이다.	탓/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.19.9.5
예컨대 중국산 특정 품목의 수입침투율은 해당 품목의 국내 생산총액과 수입총액의 합에서 수출총액을 뺀 수치에서 중국산 수입액이 차지하는 비중으로 계산된다.

예컨대	예컨대/MAG
중국산	중국/NNP+산/XSN
특정	특정/NNG
품목의	품목/NNG+의/JKG
수입침투율은	수입/NNG+침투/NNG+율/XSN+은/JX
해당	해당/NNG
국내	국내/NNG
생산총액과	생산/NNG+총액/NNG+과/JC
수입총액의	수입/NNG+총액/NNG+의/JKG
합에서	합/NNG+에서/JKB
수출총액을	수출/NNG+총액/NNG+을/JKO
뺀	빼/VV+ㄴ/ETM
수치에서	수치/NNG+에서/JKB
수입액이	수입액/NNG+이/JKS
차지하는	차지/NNG+하/XSV+는/ETM
비중으로	비중/NNG+으로/JKB
계산된다.	계산/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.19.10.1
2000년 이후 한중 교역 규모는 연평균 20%가량 늘고있는데, 특히 한국의 중국 교역 의존도가 높아지고 있다.

2000년	2000/SN+년/NNB
이후	이후/NNG
한중	한중/NNP
교역	교역/NNG
규모는	규모/NNG+는/JX
연평균	연평균/NNG
20%가량	20/SN+%/SW+가량/XSN
늘고있는데,	늘/VV+고/EC+있/VX+는데/EC+,/SP
특히	특히/MAG
한국의	한국/NNP+의/JKG
중국	중국/NNP
의존도가	의존도/NNG+가/JKS
높아지고	높아지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.19.10.2
2013년 이후에는 중국 제품의 수입증가율이 한국산의 중국 수출증가율을 넘어서면서 무역수지 흑자 규모가 2013년 628억달러에서 2014년 553억달러로 100억달러 가까이 줄어든 바 있다.

2013년	2013/SN+년/NNB
이후에는	이후/NNG+에/JKB+는/JX
중국	중국/NNP
제품의	제품/NNG+의/JKG
수입증가율이	수입/NNG+증가/NNG+율/XSN+이/JKS
한국산의	한국/NNP+산/XSN+의/JKG
수출증가율을	수출/NNG+증가/NNG+율/XSN+을/JKO
넘어서면서	넘어서/VV+면서/EC
무역수지	무역/NNG+수지/NNG
흑자	흑자/NNG
규모가	규모/NNG+가/JKS
628억달러에서	628/SN+억/NR+달러/NNB+에서/JKB
2014년	2014/SN+년/NNB
553억달러로	553/SN+억/NR+달러/NNB+로/JKB
100억달러	100/SN+억/NR+달러/NNB
가까이	가까이/MAG
줄어든	줄어들/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.19.10.3
향후 한-중 자유무역협정이 발효되면 중국산 수입 구조가 더 빨리 변하면서 무역수지 흑자폭이 더 감소할 가능성이 크다는 게 이 선임연구원의 전망이다.

향후	향후/NNG
한-중	한-중/NNP
자유무역협정이	자유/NNG+무역/NNG+협정/NNG+이/JKS
발효되면	발효/NNG+되/XSV+면/EC
중국산	중국/NNP+산/XSN
수입	수입/NNG
구조가	구조/NNG+가/JKS
더	더/MAG
빨리	빨리/MAG
변하면서	변하/VV+면서/EC
무역수지	무역/NNG+수지/NNG
흑자폭이	흑자/NNG+폭/NNG+이/JKS
감소할	감소/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다는	크/VA+다는/ETM
게	거/NNB+이/JKS
이	이/NNP
선임연구원의	선임/NNG+연구원/NNG+의/JKG
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.19.10.4
지난달 25일 협정문 국문본 초안을 공개한 정부는 13일까지 국민의견을 접수한 뒤 이르면 이달 말이나 5월 초 정식 서명할 계획이다.

지난달	지난달/NNG
25일	25/SN+일/NNB
협정문	협정문/NNG
국문본	국문본/NNG
초안을	초안/NNG+을/JKO
공개한	공개/NNG+하/XSV+ㄴ/ETM
정부는	정부/NNG+는/JX
13일까지	13/SN+일/NNB+까지/JX
국민의견을	국민/NNG+의견/NNG+을/JKO
접수한	접수/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
이르면	이르/VA+면/EC
이달	이달/NNG
말이나	말/NNB+이나/JC
5월	5/SN+월/NNB
초	초/NNB
정식	정식/NNG
서명할	서명/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.19.11.1
침투율 추이를 산업별로 살펴보면, 한국 시장에서 중국산 제품의 침투율은 음식료 제품을 제외하곤 대부분 상승세였다.

침투율	침투/NNG+율/XSN
추이를	추이/NNG+를/JKO
산업별로	산업/NNG+별/XSN+로/JKB
살펴보면,	살펴보/VV+면/EC+,/SP
한국	한국/NNP
시장에서	시장/NNG+에서/JKB
중국산	중국/NNP+산/XSN
제품의	제품/NNG+의/JKG
침투율은	침투/NNG+율/XSN+은/JX
음식료	음식료/NNG
제품을	제품/NNG+을/JKO
제외하곤	제외/NNG+하/XSV+곤/EC
대부분	대/XPN+부분/NNG
상승세였다.	상승세/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.19.11.2
특히 컴퓨터, 반도체 등 아이티(IT) 산업은 2000년 3.9%에 불과했지만 2013년 15.5%로 4배가량 늘었다.

특히	특히/MAG
컴퓨터,	컴퓨터/NNG+,/SP
반도체	반도체/NNG
등	등/NNB
아이티(IT)	아이티/NNG+(/SS+IT/SL+)/SS
산업은	산업/NNG+은/JX
2000년	2000/SN+년/NNB
3.9%에	3/SN+./SP+9/SN+%/SW+에/JKB
불과했지만	불과/MAG+하/XSA+았/EP+지만/EC
2013년	2013/SN+년/NNB
15.5%로	15/SN+./SP+5/SN+%/SW+로/JKB
4배가량	4/SN+배/NNG+가량/XSN
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.19.11.3
반면 한국산의 중국 시장 침투율은 전반적 하락세가 지속되고 있다.

반면	반면/NNG
한국산의	한국/NNP+산/XSN+의/JKG
중국	중국/NNP
시장	시장/NNG
침투율은	침투/NNG+율/XSN+은/JX
전반적	전반/NNG+적/XSN
하락세가	하락세/NNG+가/JKS
지속되고	지속/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.19.12.1
세부 품목별로는 전체 23개 품목 가운데 20개 품목에서 한국시장 내 중국산 침투율이 상승했다.

세부	세부/NNG
품목별로는	품목/NNG+별/XSN+로/JKB+는/JX
전체	전체/NNG
23개	23/SN+개/NNB
품목	품목/NNG
가운데	가운데/NNG
20개	20/SN+개/NNB
품목에서	품목/NNG+에서/JKB
한국시장	한국/NNP+시장/NNG
내	내/NNB
중국산	중국/NNP+산/XSN
침투율이	침투/NNG+율/XSN+이/JKS
상승했다.	상승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.19.12.2
특히 컴퓨터의 침투율은 2000년 8.5%에서 2013년 386.4%로 크게 늘었다.

특히	특히/MAG
컴퓨터의	컴퓨터/NNG+의/JKG
침투율은	침투/NNG+율/XSN+은/JX
2000년	2000/SN+년/NNB
8.5%에서	8/SN+./SP+5/SN+%/SW+에서/JKB
2013년	2013/SN+년/NNB
386.4%로	386/SN+./SP+4/SN+%/SW+로/JKB
크게	크/VA+게/EC
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.19.12.3
기술수준별로 보면 아이티 등 첨단기술 품목의 침투율이 같은 기간 3.9%에서 15.5%로 늘었다.

기술수준별로	기술/NNG+수준/NNG+별/XSN+로/JKB
보면	보/VV+면/EC
아이티	아이티/NNG
등	등/NNB
첨단기술	첨단/NNG+기술/NNG
품목의	품목/NNG+의/JKG
침투율이	침투/NNG+율/XSN+이/JKS
같은	같/VA+은/ETM
기간	기간/NNG
3.9%에서	3/SN+./SP+9/SN+%/SW+에서/JKB
15.5%로	15/SN+./SP+5/SN+%/SW+로/JKB
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.19.12.4
2000년에는 중국산 음식료품의 수입 비중(12.6%)이 가장 커 1위였지만 2013년에는 반도체(19.3%)가 1위였다.

2000년에는	2000/SN+년/NNB+에/JKB+는/JX
중국산	중국/NNP+산/XSN
음식료품의	음식료품/NNG+의/JKG
수입	수입/NNG
비중(12.6%)이	비중/NNG+(/SS+12/SN+./SP+6/SN+%/SW+)/SS+이/JKS
가장	가장/MAG
커	크/VA+어/EC
1위였지만	1/SN+위/NNB+이/VCP+었/EP+지만/EC
2013년에는	2013/SN+년/NNB+에/JKB+는/JX
반도체(19.3%)가	반도체/NNG+(/SS+19/SN+./SP+3/SN+%/SW+)/SS+가/JKS
1위였다.	1/SN+위/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.19.12.5
2013년에는 반도체뿐만 아니라 중국산 컴퓨터(4위), 영상·음향·통신 품목(5위) 등 첨단기술 제품이 상위권에 진입했다.

2013년에는	2013/SN+년/NNB+에/JKB+는/JX
반도체뿐만	반도체/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
중국산	중국/NNP+산/XSN
컴퓨터(4위),	컴퓨터/NNG+(/SS+4/SN+위/NNB+)/SS+,/SP
영상·음향·통신	영상/NNG+·/SP+음향/NNG+·/SP+통신/NNG
품목(5위)	품목/NNG+(/SS+5/SN+위/NNB+)/SS
등	등/NNB
첨단기술	첨단/NNG+기술/NNG
제품이	제품/NNG+이/JKS
상위권에	상위/NNG+권/XSN+에/JKB
진입했다.	진입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.19.12.6
한국산 제품의 중국 침투율은 첨단기술 품목을 중심으로 높게 나타나고 있으나 전반적으로는 하락하는 추세라고 이 선임연구원은 덧붙였다.

한국산	한국/NNP+산/XSN
제품의	제품/NNG+의/JKG
중국	중국/NNP
침투율은	침투/NNG+율/XSN+은/JX
첨단기술	첨단/NNG+기술/NNG
품목을	품목/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
높게	높/VA+게/EC
나타나고	나타나/VV+고/EC
있으나	있/VX+으나/EC
전반적으로는	전반/NNG+적/XSN+으로/JKB+는/JX
하락하는	하락/NNG+하/XSV+는/ETM
추세라고	추세/NNG+이/VCP+라고/EC
이	이/NNP
선임연구원은	선임/NNG+연구원/NNG+은/JX
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.19.13.1
이 선임연구원은 “최근 중국은 독일의 ‘인더스트리 4.0’을 벤치마킹해 ‘중국제조 2025’ 전략을 강화하는 등 미래형 산업 발굴에 박차를 가하고 있다.

이	이/NNP
선임연구원은	선임/NNG+연구원/NNG+은/JX
“최근	“/SS+최근/NNG
중국은	중국/NNP+은/JX
독일의	독일/NNP+의/JKG
‘인더스트리	‘/SS+인더스트리/NNG
4.0’을	4/SN+./SP+0/SN+’/SS+을/JKO
벤치마킹해	벤치마킹/NNG+하/XSV+아/EC
‘중국제조	‘/SS+중국/NNP+제조/NNG
2025’	2025/SN+’/SS
전략을	전략/NNG+을/JKO
강화하는	강화/NNG+하/XSV+는/ETM
등	등/NNB
미래형	미래/NNG+형/XSN
산업	산업/NNG
발굴에	발굴/NNG+에/JKB
박차를	박차/NNG+를/JKO
가하고	가하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.19.13.2
한국 시장에 침투하는 중국제품의 질적 변화가 가속화할 것으로 예상되는 만큼 고부가 혁신형 미래산업 발굴을 위한 제도적 장치를 강화하는 게 시급하다”고 강조했다.

한국	한국/NNP
시장에	시장/NNG+에/JKB
침투하는	침투/NNG+하/XSV+는/ETM
중국제품의	중국/NNP+제품/NNG+의/JKG
질적	질/NNG+적/XSN
변화가	변화/NNG+가/JKS
가속화할	가속/NNG+화/XSN+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상되는	예상/NNG+되/XSV+는/ETM
만큼	만큼/NNB
고부가	고/XPN+부가/NNG
혁신형	혁신/NNG+형/XSN
미래산업	미래/NNG+산업/NNG
발굴을	발굴/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
제도적	제도/NNG+적/XSN
장치를	장치/NNG+를/JKO
강화하는	강화/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
시급하다”고	시급하/VA+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


