# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.387
metadata : {}


# id : NWRW1800000022.387.1.1
갈수록 멀어지는 美·日 관계;양국 외무장관 회담 발표했다 채 하루도 지나기전 취소

갈수록	갈수록/MAG
12일로 예정된 버락 오바마(Obama) 미 대통령의 일본 방문 이전에 오키나와(沖繩) 후텐마 소재 미 해병대 비행장 이전 문제를 한 번 더 논의하고 싶다는 것이 일본 외무성측 요청이었다.

12일로	12/SN+일/NNB+로/JKB
예정된	예정/NNG+되/XSV+ㄴ/ETM
버락	버락/NNP
오바마(Obama)	오바마/NNP+(/SS+Obama/SL+)/SS
미	미/NNP
대통령의	대통령/NNG+의/JKG
일본	일본/NNP
방문	방문/NNG
이전에	이전/NNG+에/JKB
오키나와(沖繩)	오키나와/NNP+(/SS+沖繩/SH+)/SS
후텐마	후텐마/NNP
소재	소재/NNG
해병대	해병대/NNG
비행장	비행장/NNG
이전	이전/NNG
문제를	문제/NNG+를/JKO
한	한/MMN
번	번/NNB
더	더/MAG
논의하고	논의/NNG+하/XSV+고/EC
싶다는	싶/VX+다는/ETM
것이	것/NNB+이/JKS
외무성측	외무성/NNG+측/NNB
요청이었다.	요청/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.387.6.1
그러나 미국이 회담 일로 발표한 날짜와 겹치는 7일 일본에선 전체 각료가 참석해야 하는 중요한 국회 일정이 예정돼 있다.

그러나	그러나/MAJ
미국이	미국/NNP+이/JKS
회담	회담/NNG
일로	일/NNG+로/JKB
발표한	발표/NNG+하/XSV+ㄴ/ETM
날짜와	날짜/NNG+와/JKB
겹치는	겹치/VV+는/ETM
7일	7/SN+일/NNB
일본에선	일본/NNP+에서/JKB+ㄴ/JX
전체	전체/NNG
각료가	각료/NNG+가/JKS
참석해야	참석/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
중요한	중요/NNG+하/XSA+ㄴ/ETM
국회	국회/NNG
일정이	일정/NNG+이/JKS
예정돼	예정/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.387.6.2
일본 외무성측은 "우리 쪽 일정 협의가 덜 끝났는데도 미국측이 잘못 알고 발표한 것"이라고 말한다.

일본	일본/NNP
외무성측은	외무성/NNG+측/NNB+은/JX
"우리	"/SS+우리/NP
쪽	쪽/NNB
일정	일정/NNG
협의가	협의/NNG+가/JKS
덜	덜/MAG
끝났는데도	끝나/VV+았/EP+는데/EC+도/JX
미국측이	미국/NNP+측/NNB+이/JKS
잘못	잘못/MAG
알고	알/VV+고/EC
발표한	발표/NNG+하/XSV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.387.6.3
요미우리(讀賣)신문은 "(비행장 이전 문제를 둘러싼) 정부·여당 내의 조정 부족이 표면화한 사건"이라고 보도했다.

요미우리(讀賣)신문은	요미우리/NNP+(/SS+讀賣/SH+)/SS+신문/NNG+은/JX
"(비행장	"/SS+(/SS+비행장/NNG
이전	이전/NNG
문제를	문제/NNG+를/JKO
둘러싼)	둘러싸/VV+ㄴ/ETM+)/SS
정부·여당	정부/NNG+·/SP+여당/NNG
내의	내/NNB+의/JKG
조정	조정/NNG
부족이	부족/NNG+이/JKS
표면화한	표면/NNG+화/XSN+하/XSV+ㄴ/ETM
사건"이라고	사건/NNG+"/SS+이라고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.387.7.1
현재 하토야마 정권에선 후텐마 비행장 이전 문제를 놓고, 총리와 외상, 방위상이 서로 다른 얘기를 하는 난맥상을 보이고 있다.

현재	현재/MAG
하토야마	하토야마/NNP
정권에선	정권/NNG+에서/JKB+ㄴ/JX
후텐마	후텐마/NNP
비행장	비행장/NNG
이전	이전/NNG
문제를	문제/NNG+를/JKO
놓고,	놓/VV+고/EC+,/SP
총리와	총리/NNG+와/JC
외상,	외상/NNG+,/SP
방위상이	방위상/NNG+이/JKS
서로	서로/MAG
다른	다르/VA+ㄴ/ETM
얘기를	얘기/NNG+를/JKO
하는	하/VV+는/ETM
난맥상을	난맥상/NNG+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.387.7.2
로버트 게이츠(Gates) 미 국방장관은 지난달 20일 "오바마 대통령의 방일 전에 결론을 내리라"고 압박했지만, 12일 이전에 하토야마 정권의 입장이 정리될 가능성은 거의 없다고, 정권의 핵심 인사들은 말한다.

로버트	로버트/NNP
게이츠(Gates)	게이츠/NNP+(/SS+Gates/SL+)/SS
미	미/NNP
국방장관은	국방/NNG+장관/NNG+은/JX
지난달	지난달/NNG
20일	20/SN+일/NNB
"오바마	"/SS+오바마/NNP
대통령의	대통령/NNG+의/JKG
방일	방일/NNG
전에	전/NNG+에/JKB
결론을	결론/NNG+을/JKO
내리라"고	내리/VV+라/EF+"/SS+고/JKQ
압박했지만,	압박/NNG+하/XSV+았/EP+지만/EC+,/SP
12일	12/SN+일/NNB
이전에	이전/NNG+에/JKB
하토야마	하토야마/NNP
정권의	정권/NNG+의/JKG
입장이	입장/NNG+이/JKS
정리될	정리/NNG+되/XSV+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
거의	거의/MAG
없다고,	없/VA+다고/EC+,/SP
핵심	핵심/NNG
인사들은	인사/NNG+들/XSN+은/JX
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.387.8.1
오바마 행정부는 하토야마 정권 출범 이래 계속 양국 관계가 삐걱거리는 데 대해 내심 불쾌하게 생각한다.

오바마	오바마/NNP
행정부는	행정부/NNG+는/JX
하토야마	하토야마/NNP
정권	정권/NNG
출범	출범/NNG
이래	이래/NNB
계속	계속/MAG
양국	양국/NNG
관계가	관계/NNG+가/JKS
삐걱거리는	삐걱거리/VV+는/ETM
데	데/NNB
대해	대하/VV+아/EC
내심	내심/NNG
불쾌하게	불쾌/NNG+하/XSA+게/EC
생각한다.	생각/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.387.8.2
오바마 대통령의 도쿄 방문을 열흘 남짓 앞두고도 양국 외무장관 회담이 '취소'되는 상황에 당혹스러워한다.

오바마	오바마/NNP
대통령의	대통령/NNG+의/JKG
도쿄	도쿄/NNP
방문을	방문/NNG+을/JKO
열흘	열흘/NNG
남짓	남짓/NNB
앞두고도	앞두/VV+고/EC+도/JX
양국	양국/NNG
외무장관	외무/NNG+장관/NNG
회담이	회담/NNG+이/JKS
'취소'되는	'/SS+취소/NNG+'/SS+되/XSV+는/ETM
상황에	상황/NNG+에/JKB
당혹스러워한다.	당혹/NNG+스럽/XSA+어/EC+하/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.387.9.1
미국 국무부와 국방부에선 이미 "미국과의 대등한 관계"를 공언하는 "하토야마 유키오(鳩山由紀夫) 총리는 일본의 노무현"이라는 말이 돌고 있다.

미국	미국/NNP
국무부와	국무부/NNG+와/JKB
국방부에선	국방부/NNG+에서/JKB+ㄴ/JX
이미	이미/MAG
"미국과의	"/SS+미국/NNP+과/JKB+의/JKG
대등한	대등/NNG+하/XSA+ㄴ/ETM
관계"를	관계/NNG+"/SS+를/JKO
공언하는	공언/NNG+하/XSV+는/ETM
"하토야마	"/SS+하토야마/NNP
유키오(鳩山由紀夫)	유키오/NNP+(/SS+鳩山由紀夫/SH+)/SS
총리는	총리/NNG+는/JX
일본의	일본/NNP+의/JKG
노무현"이라는	노무현/NNP+"/SS+이/VCP+라는/ETM
말이	말/NNG+이/JKS
돌고	돌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.387.9.2
워싱턴 DC의 소식통은 "민감한 동맹 현안에 대해 자국민을 설득하기보다는 미국에 책임을 돌리는 하토야마 정권의 스타일이 한국의 노무현 전(前) 정권을 닮았다"고 말했다.

워싱턴	워싱턴/NNP
DC의	DC/SL+의/JKG
소식통은	소식통/NNG+은/JX
"민감한	"/SS+민감/NNG+하/XSA+ㄴ/ETM
동맹	동맹/NNG
현안에	현안/NNG+에/JKB
대해	대하/VV+아/EC
자국민을	자국민/NNG+을/JKO
설득하기보다는	설득/NNG+하/XSV+기/ETN+보다/JKB+는/JX
미국에	미국/NNP+에/JKB
책임을	책임/NNG+을/JKO
돌리는	돌리/VV+는/ETM
하토야마	하토야마/NNP
정권의	정권/NNG+의/JKG
스타일이	스타일/NNG+이/JKS
한국의	한국/NNP+의/JKG
노무현	노무현/NNP
전(前)	전/MMD+(/SS+前/SH+)/SS
정권을	정권/NNG+을/JKO
닮았다"고	닮/VV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.387.10.1
일각에서는 미·일 관계가 당분간 후텐마 비행장의 이전 문제로 긴장돼 있을 때에, 한국이 실리(實利)를 찾아야 한다는 제언도 한다.

일각에서는	일각/NNG+에서/JKB+는/JX
미·일	미/NNP+·/SP+일/NNP
관계가	관계/NNG+가/JKS
당분간	당분간/MAG
후텐마	후텐마/NNP
비행장의	비행장/NNG+의/JKG
이전	이전/NNG
문제로	문제/NNG+로/JKB
긴장돼	긴장/NNG+되/XSV+어/EC
있을	있/VX+을/ETM
때에,	때/NNG+에/JKB+,/SP
한국이	한국/NNP+이/JKS
실리(實利)를	실리/NNG+(/SS+實利/SH+)/SS+를/JKO
찾아야	찾/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
제언도	제언/NNG+도/JX
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.387.10.2
워싱턴 DC의 또 다른 외교소식통은 "고이즈미 준이치로(小泉純一) 전 일본 총리는 노무현 정권 당시 한·미 관계가 최악인 상황을 잘 파악해서 미국과 긴밀한 관계를 만든 측면이 있다"며 "한국은 한미 자유무역협정(FTA)의 발효를 비롯한 여러 현안에서 미묘한 한·미·일 3각 관계를 잘 활용할 수도 있을 것"이라고 말했다.

워싱턴	워싱턴/NNP
DC의	DC/SL+의/JKG
또	또/MAG
다른	다른/MMD
외교소식통은	외교/NNG+소식통/NNG+은/JX
"고이즈미	"/SS+고이즈미/NNP
준이치로(小泉純一)	준이치로/NNP+(/SS+小泉純一/SH+)/SS
전	전/MMD
일본	일본/NNP
총리는	총리/NNG+는/JX
노무현	노무현/NNP
정권	정권/NNG
당시	당시/NNG
한·미	한·미/NNP
관계가	관계/NNG+가/JKS
최악인	최악/NNG+이/VCP+ㄴ/ETM
상황을	상황/NNG+을/JKO
잘	잘/MAG
파악해서	파악/NNG+하/XSV+아서/EC
미국과	미국/NNP+과/JKB
긴밀한	긴밀하/VA+ㄴ/ETM
관계를	관계/NNG+를/JKO
만든	만들/VV+ㄴ/ETM
측면이	측면/NNG+이/JKS
있다"며	있/VA+다/EF+"/SS+며/EC
"한국은	"/SS+한국/NNP+은/JX
한미	한미/NNP
자유무역협정(FTA)의	자유/NNG+무역/NNG+협정/NNG+(/SS+FTA/SL+)/SS+의/JKG
발효를	발효/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
여러	여러/MMN
현안에서	현안/NNG+에서/JKB
미묘한	미묘하/VA+ㄴ/ETM
한·미·일	한·미·일/NNP
3각	3/SN+각/NNG
활용할	활용/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있을	있/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


