# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.36
metadata : {}


# id : NWRW1800000045.36.1.1
한국임업진흥원, ‘1사 1촌’ 산촌마을 살리기 다양한 지원

한국임업진흥원,	한국임업진흥원/NNP+,/SP
마을인	마을/NNG+이/VCP+ㄴ/ETM
경기	경기/NNP
남양주시	남양주시/NNP
조안면	조안면/NNP
시우리마을에서	시우리/NNP+마을/NNG+에서/JKB
직접	직접/MAG
재배한	재배/NNG+하/XSV+ㄴ/ETM
농산물을	농산물/NNG+을/JKO
사용하고	사용/NNG+하/XSV+고/EC
잣,	잣/NNG+,/SP
밤	밤/NNG
등이	등/NNB+이/JKS
들어간	들어가/VV+ㄴ/ETM
김장	김장/NNG
담그기를	담그/VV+기/ETN+를/JKO
통해	통하/VV+아/EC
마을의	마을/NNG+의/JKG
소득을	소득/NNG+을/JKO
올려주는	올리/VV+어/EC+주/VX+는/ETM
한편	한편/NNG
산촌지역의	산촌/NNG+지역/NNG+의/JKG
주민들과	주민/NNG+들/XSN+과/JKB
소통하는	소통/NNG+하/XSV+는/ETM
뜻깊은	뜻깊/VA+은/ETM
자리였다.	자리/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.36.4.3
또 진흥원 직원뿐 아니라 직원 가족들까지 참여해 김장을 담그는 자리를 마련했다.

또	또/MAG
진흥원	진흥원/NNG
직원뿐	직원/NNG+뿐/JX
아니라	아니/VCN+라/EC
직원	직원/NNG
가족들까지	가족/NNG+들/XSN+까지/JX
참여해	참여/NNG+하/XSV+아/EC
김장을	김장/NNG+을/JKO
담그는	담그/VV+는/ETM
자리를	자리/NNG+를/JKO
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.36.4.4
진흥원 관계자는 “이번 행사로 인해 가족친화적 분위기가 조성됐으며 이러한 직장문화 조성을 위해 지속적으로 힘쓴 덕분에 여성가족부가 주관한 2015년 가족친화 우수기관 인증을 받았다”고 설명했다.

진흥원	진흥원/NNG
관계자는	관계자/NNG+는/JX
“이번	“/SS+이번/NNG
행사로	행사/NNG+로/JKB
인해	인/NNG+하/XSV+아/EC
가족친화적	가족/NNG+친화/NNG+적/XSN
분위기가	분위기/NNG+가/JKS
조성됐으며	조성/NNG+되/XSV+었/EP+으며/EC
이러한	이러하/VA+ㄴ/ETM
직장문화	직장/NNG+문화/NNG
조성을	조성/NNG+을/JKO
위해	위하/VV+아/EC
지속적으로	지속/NNG+적/XSN+으로/JKB
힘쓴	힘쓰/VV+ㄴ/ETM
덕분에	덕분/NNG+에/JKB
여성가족부가	여성/NNG+가족부/NNG+가/JKS
주관한	주관/NNG+하/XSV+ㄴ/ETM
2015년	2015/SN+년/NNB
가족친화	가족/NNG+친화/NNG
우수기관	우수/NNG+기관/NNG
인증을	인증/NNG+을/JKO
받았다”고	받/VV+았/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.36.4.5
이와 함께 진흥원은 지역사회(서울 강서구 등촌동)의 소외된 계층(30여 가구)에게 김장김치를 직접 전달하기도 했다.

이와	이/NP+와/JKB
함께	함께/MAG
진흥원은	진흥원/NNG+은/JX
지역사회(서울	지역/NNG+사회/NNG+(/SS+서울/NNP
강서구	강서구/NNP
등촌동)의	등촌동/NNP+)/SS+의/JKG
소외된	소외/NNG+되/XSV+ㄴ/ETM
계층(30여	계층/NNG+(/SS+30/SN+여/XSN
가구)에게	가구/NNG+)/SS+에게/JKB
김장김치를	김장/NNG+김치/NNG+를/JKO
직접	직접/MAG
전달하기도	전달/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.36.5.1
한국임업진흥원은 임업인의 소득 증대와 임업 및 임산업의 고부가가치 창출을 목적으로 설립된 준정부기관으로 산촌마을과 동반성장을 하기 위한 사회공헌활동을 지속적으로 펼치고 있다.

한국임업진흥원은	한국임업진흥원/NNP+은/JX
임업인의	임업인/NNG+의/JKG
소득	소득/NNG
증대와	증대/NNG+와/JC
임업	임업/NNG
및	및/MAG
임산업의	임산업/NNG+의/JKG
고부가가치	고/XPN+부가/NNG+가치/NNG
창출을	창출/NNG+을/JKO
목적으로	목적/NNG+으로/JKB
설립된	설립/NNG+되/XSV+ㄴ/ETM
준정부기관으로	준/XPN+정부/NNG+기관/NNG+으로/JKB
산촌마을과	산촌/NNG+마을/NNG+과/JKB
동반성장을	동반/NNG+성장/NNG+을/JKO
하기	하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
사회공헌활동을	사회/NNG+공헌/NNG+활동/NNG+을/JKO
지속적으로	지속/NNG+적/XSN+으로/JKB
펼치고	펼치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.36.5.2
지난해 11월에는 ‘서비스 정부’의 취지에 부합하기 위해 시우리마을과 1사 1촌 자매결연을 맺고 산촌의 소득 향상과 지속가능한 발전을 위한 다양한 활동을 추진하고 있다.

지난해	지난해/NNG
11월에는	11/SN+월/NNB+에/JKB+는/JX
‘서비스	‘/SS+서비스/NNG
정부’의	정부/NNG+’/SS+의/JKG
취지에	취지/NNG+에/JKB
부합하기	부합/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
시우리마을과	시우리/NNP+마을/NNG+과/JKB
1사	1/SN+사/NNG
1촌	1/SN+촌/NNG
자매결연을	자매결연/NNG+을/JKO
맺고	맺/VV+고/EC
산촌의	산촌/NNG+의/JKG
소득	소득/NNG
향상과	향상/NNG+과/JC
지속가능한	지속/NNG+가능/NNG+하/XSA+ㄴ/ETM
발전을	발전/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
활동을	활동/NNG+을/JKO
추진하고	추진/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.36.5.3
좋은 자연환경을 보존하고 있으나 개발제한구역으로 사실상 낙후된 산촌마을에 단기소득 임산물(두릅나무, 엄나무, 호두나무 등) 600주를 식재하는 나무 심기 캠페인과 기관의 자원을 활용한 반딧불이 축제 참여를 통해 마을 소득 증진 및 마을축제의 활성화를 적극 지원했다.

좋은	좋/VA+은/ETM
자연환경을	자연환경/NNG+을/JKO
보존하고	보존/NNG+하/XSV+고/EC
있으나	있/VX+으나/EC
개발제한구역으로	개발/NNG+제한/NNG+구역/NNG+으로/JKB
사실상	사실/NNG+상/XSN
낙후된	낙후/NNG+되/XSV+ㄴ/ETM
산촌마을에	산촌/NNG+마을/NNG+에/JKB
단기소득	단기/NNG+소득/NNG
임산물(두릅나무,	임산물/NNG+(/SS+두릅나무/NNG+,/SP
엄나무,	엄나무/NNG+,/SP
호두나무	호두나무/NNG
등)	등/NNB+)/SS
600주를	600/SN+주/NNB+를/JKO
식재하는	식재/NNG+하/XSV+는/ETM
나무	나무/NNG
심기	심/VV+기/ETN
캠페인과	캠페인/NNG+과/JC
기관의	기관/NNG+의/JKG
자원을	자원/NNG+을/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
반딧불이	반딧불이/NNG
축제	축제/NNG
참여를	참여/NNG+를/JKO
통해	통하/VV+아/EC
마을	마을/NNG
소득	소득/NNG
증진	증진/NNG
및	및/MAG
마을축제의	마을/NNG+축제/NNG+의/JKG
활성화를	활성/NNG+화/XSN+를/JKO
적극	적극/NNG
지원했다.	지원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.36.6.1
또 진흥원은 공공기관으로서의 사회적 책임을 이행하기 위해 지난해부터 사랑의 헌혈운동과 해피트리 일일찻집, 사랑의 밥차 배식 및 임산물 차(茶) 제공 등 연이은 사회봉사활동을 하고 있다.

또	또/MAG
진흥원은	진흥원/NNG+은/JX
공공기관으로서의	공공/NNG+기관/NNG+으로서/JKB+의/JKG
사회적	사회/NNG+적/XSN
책임을	책임/NNG+을/JKO
이행하기	이행/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
지난해부터	지난해/NNG+부터/JX
사랑의	사랑/NNG+의/JKG
헌혈운동과	헌혈/NNG+운동/NNG+과/JC
해피트리	해피트리/NNG
일일찻집,	일일/NNG+찻집/NNG+,/SP
밥차	밥차/NNG
배식	배식/NNG
및	및/MAG
임산물	임산물/NNG
차(茶)	차/NNG+(/SS+茶/SH+)/SS
제공	제공/NNG
등	등/NNB
연이은	연잇/VV+은/ETM
사회봉사활동을	사회봉사/NNG+활동/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.36.6.2
특히 임업 서비스 기관의 특성을 살려 지역 소외계층 및 노숙인들에게 임산물 차를 제공하는 방식으로 건강과 사랑의 온기를 나누기도 했다.

특히	특히/MAG
임업	임업/NNG
서비스	서비스/NNG
기관의	기관/NNG+의/JKG
특성을	특성/NNG+을/JKO
살려	살리/VV+어/EC
지역	지역/NNG
소외계층	소외/NNG+계층/NNG
및	및/MAG
노숙인들에게	노숙인/NNG+들/XSN+에게/JKB
임산물	임산물/NNG
차를	차/NNG+를/JKO
제공하는	제공/NNG+하/XSV+는/ETM
방식으로	방식/NNG+으로/JKB
건강과	건강/NNG+과/JC
사랑의	사랑/NNG+의/JKG
온기를	온기/NNG+를/JKO
나누기도	나누/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.36.7.1
김남균 한국임업진흥원장은 “임직원 모두와 함께 침체되어 가고 있는 산촌마을과 어려운 환경에서 지내고 있는 소외계층에 진정한 사회공헌 활동을 통해서 사랑 나눔을 적극적으로 실천할 것을 결정했다”며 “앞으로 산촌마을 및 지역사회, 민간단체 등과 협력하여 지속적으로 이웃사랑 실천 캠페인을 전개해 나가겠다”고 밝혔다.

김남균	김남균/NNP
한국임업진흥원장은	한국임업진흥원장/NNP+은/JX
“임직원	“/SS+임직원/NNG
모두와	모두/NNG+와/JKB
함께	함께/MAG
침체되어	침체/NNG+되/XSV+어/EC
가고	가/VX+고/EC
있는	있/VX+는/ETM
산촌마을과	산촌/NNG+마을/NNG+과/JC
어려운	어렵/VA+ㄴ/ETM
환경에서	환경/NNG+에서/JKB
지내고	지내/VV+고/EC
소외계층에	소외/NNG+계층/NNG+에/JKB
진정한	진정하/VA+ㄴ/ETM
사회공헌	사회/NNG+공헌/NNG
활동을	활동/NNG+을/JKO
통해서	통하/VV+아서/EC
사랑	사랑/NNG
나눔을	나눔/NNG+을/JKO
적극적으로	적극/NNG+적/XSN+으로/JKB
실천할	실천/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
결정했다”며	결정/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“앞으로	“/SS+앞/NNG+으로/JKB
산촌마을	산촌/NNG+마을/NNG
및	및/MAG
지역사회,	지역/NNG+사회/NNG+,/SP
민간단체	민간단체/NNG
등과	등/NNB+과/JKB
협력하여	협력/NNG+하/XSV+아/EC
지속적으로	지속/NNG+적/XSN+으로/JKB
이웃사랑	이웃/NNG+사랑/NNG
실천	실천/NNG
캠페인을	캠페인/NNG+을/JKO
전개해	전개/NNG+하/XSV+아/EC
나가겠다”고	나가/VX+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


