# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.52
metadata : {}


# id : NWRW1800000040.52.1.1
‘상속보다 증여’ 고액증여 증가세

‘상속보다	‘/SS+상속/NNG+보다/JKB
1인당 증여액은 2억914만원으로 전년 1억8231만원보다 14.7% 증가했다.

1인당	1/SN+인/NNG+당/XSN
증여액은	증여액/NNG+은/JX
2억914만원으로	2/SN+억/NR+914/SN+만/NR+원/NNB+으로/JKB
전년	전년/NNG
1억8231만원보다	1/SN+억/NR+8231/SN+만/NR+원/NNB+보다/JKB
14.7%	14/SN+./SP+7/SN+%/SW
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.52.7.2
전체 증여재산가액 감소에도 불구하고 지난해 1인당 증여액이 늘어난 것은 고액 증여가 늘었기 때문으로 분석된다.

전체	전체/NNG
증여재산가액	증여/NNG+재산/NNG+가액/NNG
감소에도	감소/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
지난해	지난해/NNG
1인당	1/SN+인/NNG+당/XSN
증여액이	증여액/NNG+이/JKS
늘어난	늘어나/VV+ㄴ/ETM
것은	것/NNB+은/JX
고액	고액/NNG
증여가	증여/NNG+가/JKS
늘었기	늘/VV+었/EP+기/ETN
때문으로	때문/NNB+으로/JKB
분석된다.	분석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.52.7.3
실제 2012년 상위 1%의 1인당 증여재산가액은 52억3702만원으로 2011년 상위 1%의 1인당 증여재산가액인 46억4478만원보다 많았다.

실제	실제/NNG
2012년	2012/SN+년/NNB
상위	상위/NNG
1%의	1/SN+%/SW+의/JKG
1인당	1/SN+인/NNG+당/XSN
증여재산가액은	증여/NNG+재산/NNG+가액/NNG+은/JX
52억3702만원으로	52/SN+억/NR+3702/SN+만/NR+원/NNB+으로/JKB
2011년	2011/SN+년/NNB
증여재산가액인	증여/NNG+재산/NNG+가액/NNG+이/VCP+ㄴ/ETM
46억4478만원보다	46/SN+억/NR+4478/SN+만/NR+원/NNB+보다/JKB
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000040.52.8.1
증여재산 가액은 해마다 변동이 크다.

증여재산	증여/NNG+재산/NNG
가액은	가액/NNG+은/JX
해마다	해마다/MAG
변동이	변동/NNG+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000040.52.8.2
2008년 22조원이 넘었던 증여재산 가액은 2009년 15조원대로 급감한 뒤 2010년 21조4987억원으로 반등했지만 지난해 19조원으로 다시 줄었다.

2008년	2008/SN+년/NNB
22조원이	22/SN+조/NR+원/NNB+이/JKS
넘었던	넘/VV+었/EP+던/ETM
증여재산	증여/NNG+재산/NNG
가액은	가액/NNG+은/JX
2009년	2009/SN+년/NNB
15조원대로	15/SN+조/NR+원/NNB+대/XSN+로/JKB
급감한	급감/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
2010년	2010/SN+년/NNB
21조4987억원으로	21/SN+조/NR+4987/SN+억/NR+원/NNB+으로/JKB
반등했지만	반등/NNG+하/XSV+았/EP+지만/EC
지난해	지난해/NNG
19조원으로	19/SN+조/NR+원/NNB+으로/JKB
다시	다시/MAG
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.52.8.3
규모의 변동은 경기 탓도 있지만 세법 개정 움직임에 따라 영향을 받았다는 게 국세청의 설명이다.

규모의	규모/NNG+의/JKG
변동은	변동/NNG+은/JX
경기	경기/NNG
탓도	탓/NNG+도/JX
있지만	있/VA+지만/EC
세법	세법/NNG
개정	개정/NNG
움직임에	움직임/NNG+에/JKB
따라	따르/VV+아/EC
영향을	영향/NNG+을/JKO
받았다는	받/VV+았/EP+다는/ETM
게	거/NNB+이/JKS
국세청의	국세청/NNG+의/JKG
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.52.8.4
국세청 자산과세국 관계자는 “2009년 증여가 급감한 것은 2008년 글로벌 금융위기 영향보다 이명박 정부가 출범하면서 증여세율이 인하될 수 있다는 기대감 때문에 자산가들이 증여를 미루었기 때문이다”라고 분석했다.

국세청	국세청/NNG
자산과세국	자산/NNG+과세국/NNG
관계자는	관계자/NNG+는/JX
“2009년	“/SS+2009/SN+년/NNB
증여가	증여/NNG+가/JKS
급감한	급감/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
2008년	2008/SN+년/NNB
글로벌	글로벌/NNG
금융위기	금융/NNG+위기/NNG
영향보다	영향/NNG+보다/JKB
이명박	이명박/NNP
정부가	정부/NNG+가/JKS
출범하면서	출범/NNG+하/XSV+면서/EC
증여세율이	증여세/NNG+율/XSN+이/JKS
인하될	인하/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
기대감	기대감/NNG
때문에	때문/NNB+에/JKB
자산가들이	자산가/NNG+들/XSN+이/JKS
증여를	증여/NNG+를/JKO
미루었기	미루/VV+었/EP+기/ETN
때문이다”라고	때문/NNB+이/VCP+다/EF+”/SS+라고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.52.9.1
증여 규모와 상관없이 증여세 결정인원 1인당 부담액은 매년 꾸준히 증가하고 있다.

증여	증여/NNG
규모와	규모/NNG+와/JKB
상관없이	상관없이/MAG
증여세	증여세/NNG
결정인원	결정/NNG+인원/NNG
1인당	1/SN+인/NNG+당/XSN
부담액은	부담액/NNG+은/JX
매년	매년/MAG
꾸준히	꾸준히/MAG
증가하고	증가/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.52.9.2
누진 세율이 높은 고액증여가 늘고 있기 때문이다.

누진	누진/NNG
세율이	세율/NNG+이/JKS
높은	높/VA+은/ETM
고액증여가	고액/NNG+증여/NNG+가/JKS
늘고	늘/VV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.52.9.3
1억원 이하 증여의 세율은 과세표준의 10%에 불과하지만 액수가 늘어남에 따라 초과금액의 세율이 최대 50%(30억원 초과의 경우)까지 누진된다.

1억원	1/SN+억/NR+원/NNB
이하	이하/NNG
증여의	증여/NNG+의/JKG
세율은	세율/NNG+은/JX
과세표준의	과세/NNG+표준/NNG+의/JKG
10%에	10/SN+%/SW+에/JKB
불과하지만	불과/MAG+하/XSA+지만/EC
액수가	액수/NNG+가/JKS
늘어남에	늘어나/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
초과금액의	초과/NNG+금액/NNG+의/JKG
세율이	세율/NNG+이/JKS
최대	최대/NNG
50%(30억원	50/SN+%/SW+(/SS+30/SN+억/NR+원/NNB
초과의	초과/NNG+의/JKG
경우)까지	경우/NNG+)/SS+까지/JX
누진된다.	누진/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.52.10.1
증여가 한 번이 아니라 여러 차례 이루어지는 재차증여가산액의 비중도 2007년 24.3%에서 2010년 39.2%까지 늘어났다.

증여가	증여/NNG+가/JKS
한	한/MMN
번이	번/NNB+이/JKC
아니라	아니/VCN+라/EC
여러	여러/MMN
차례	차례/NNG
이루어지는	이루어지/VV+는/ETM
재차증여가산액의	재차/MAG+증여/NNG+가산액/NNG+의/JKG
비중도	비중/NNG+도/JX
2007년	2007/SN+년/NNB
24.3%에서	24/SN+./SP+3/SN+%/SW+에서/JKB
2010년	2010/SN+년/NNB
39.2%까지	39/SN+./SP+2/SN+%/SW+까지/JX
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.52.10.2
증여세는 여러 차례 걸쳐 이뤄진 증여액을 모두 더한 증여액을 과세표준으로 삼기 때문에 재차 증여액이 커질수록 증여세 부담은 증가한다.

증여세는	증여세/NNG+는/JX
여러	여러/MMN
차례	차례/NNG
걸쳐	걸치/VV+어/EC
이뤄진	이뤄지/VV+ㄴ/ETM
증여액을	증여액/NNG+을/JKO
모두	모두/MAG
더한	더/MAG+하/XSV+ㄴ/ETM
과세표준으로	과세/NNG+표준/NNG+으로/JKB
삼기	삼/VV+기/ETN
때문에	때문/NNB+에/JKB
재차	재차/MAG
증여액이	증여액/NNG+이/JKS
커질수록	커지/VV+ㄹ수록/EC
증여세	증여세/NNG
부담은	부담/NNG+은/JX
증가한다.	증가/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.52.10.3
증여재산 공제 총액은 10년간 3000만원 한도에 그치기 때문에 고액 증여에는 공제혜택이 거의 없다.

증여재산	증여/NNG+재산/NNG
공제	공제/NNG
총액은	총액/NNG+은/JX
10년간	10/SN+년/NNB+간/XSN
3000만원	3000/SN+만/NR+원/NNB
한도에	한도/NNG+에/JKB
그치기	그치/VV+기/ETN
때문에	때문/NNB+에/JKB
고액	고액/NNG
증여에는	증여/NNG+에/JKB+는/JX
공제혜택이	공제/NNG+혜택/NNG+이/JKS
거의	거의/MAG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000040.52.10.4
국세청 관계자는 “고액증여가 해마다 느는 것은 세테크 차원보다는 자산가들이 죽어서 재산을 물려주는 상속보다는 세금을 내더라도 생존해 있을 때 가족들에게 미리 일정 재산을 나눠주려는 새로운 트렌드(흐름)로 볼 수 있다”고 말했다.

국세청	국세청/NNG
관계자는	관계자/NNG+는/JX
“고액증여가	“/SS+고액/NNG+증여/NNG+가/JKS
해마다	해마다/MAG
느는	늘/VV+는/ETM
것은	것/NNB+은/JX
세테크	세/NNG+테크/NNG
차원보다는	차원/NNG+보다/JKB+는/JX
자산가들이	자산가/NNG+들/XSN+이/JKS
죽어서	죽/VV+어서/EC
재산을	재산/NNG+을/JKO
물려주는	물려주/VV+는/ETM
상속보다는	상속/NNG+보다/JKB+는/JX
세금을	세금/NNG+을/JKO
내더라도	내/VV+더라도/EC
생존해	생존/NNG+하/XSV+아/EC
있을	있/VX+을/ETM
때	때/NNG
가족들에게	가족/NNG+들/XSN+에게/JKB
미리	미리/MAG
일정	일정/NNG
나눠주려는	나누/VV+어/EC+주/VX+려는/ETM
새로운	새롭/VA+ㄴ/ETM
트렌드(흐름)로	트렌드/NNG+(/SS+흐름/NNG+)/SS+로/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


